NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.32,301.176,448.834,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,4.13,38.098,98.469,176.924,90.799,74.419,100.32,301.176,448.834,797.645,-30.041,-67.987,253.146,581.09,562.536,440,631,614,1666,3047,4141,2796,4332,9752,4368,29760
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,10.03,,,,,,,195.395,208.2,123.0544,23.0871,16.0105,-3.9582,-12.3246,158.603,20.2432,-130.1589,-368.1154,40.509,747.216,331.4874,2125.5517,250.4749
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,0,0,0,0,0,0,0,0,-0.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,6991.1998,14338.5599,15719.76,17161.8,18421.5601,19310.8795,19927.44,20362.8,21144.24,22004.32,21925.04,21982.96,23007.08,24145.84,24772.96,23520,22080,21720,21640,23960,24320,97560,24670,24960,24870,24690
"Basic EPS, GAAP",IS_EPS,,,,,,,,,0.0006,0.0027,0.0063,0.0103,0.0049,0.0038,0.005,0.0148,0.0212,0.0363,-0.0013,-0.003,0.011,0.024,0.0228,0.0188,0.0285,0.0283,0.077,0.1273,0.1702,0.0288,0.176,0.391,0.176,1.205
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,0.0006,0.0027,0.0063,0.0103,0.0049,0.0038,0.005,0.0148,0.0212,0.0363,-0.0013,-0.003,0.011,0.024,0.0228,0.0188,0.0285,0.0283,0.077,0.1273,0.1702,0.0288,0.176,0.391,0.176,1.205
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,0.0006,0.0027,0.0063,0.0103,0.0071,0.0044,0.005,0.0154,0.0218,0.0363,0.0075,0.0064,0.0164,0.025,0.0234,0.0185,0.028,0.0356,0.0779,0.1217,0.1551,0.0291,0.2059,0.404,0.2611,1.2155
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,13148.6398,17327.0398,19115.28,20528.88,20207.1606,20724.8401,21186.96,21942.24,23490.24,24269.28,21925.04,21982.96,23547.36,24654.84,24998.28,23800,22520,22760,25960,25280,25000,98880,25100,25350,25070,24940
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,0.0003,0.0022,0.0052,0.0086,0.0045,0.0036,0.0047,0.0137,0.0192,0.0328,-0.0013,-0.003,0.0107,0.0235,0.0225,0.0185,0.028,0.027,0.0643,0.1205,0.1658,0.0283,0.173,0.385,0.174,1.193
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,0.0003,0.0022,0.0052,0.0086,0.0045,0.0036,0.0047,0.0137,0.0192,0.0328,-0.0013,-0.003,0.0107,0.0235,0.0225,0.0185,0.028,0.027,0.0643,0.1205,0.1658,0.0283,0.173,0.385,0.174,1.193
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,0.0003,0.0022,0.0052,0.0086,0.0065,0.0041,0.0047,0.0142,0.0198,0.0328,0.0075,0.0064,0.016,0.0244,0.0231,0.0183,0.0275,0.034,0.065,0.1154,0.151,0.0287,0.2028,0.3981,0.2588,1.203
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,8.522,63.418,143.971,295.259,202.202,176.345,216.19,434.641,561.014,969.538,114.323,97.719,442.736,852.504,874.474,735,979,944,2121,3409,4066,3341,5775,11383,5961,34749
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,5.3856,16.9338,19.5809,21.5601,10.5896,9.6736,10.7555,18.2954,18.2814,23.6596,3.338,2.9376,12.495,21.3236,20.4309,17.7966,20.9099,18.8423,30.6946,35.0937,34.7047,30.6008,34.6327,42.294,22.0991,57.0385
EBIT,EBIT,,,,,,,,,4.516,54.412,128.135,251.762,143.986,93.657,113.593,336.664,453.452,836.346,-70.7,-98.945,255.747,648.299,648.239,496,759,747,1934,3210,3804,2846,4532,10041,4224,32972
Gross Margin,GROSS_MARGIN,,,,,,,,,30.6445,37.097,37.1131,37.9152,30.4892,29.0123,32.3122,38.3061,42.3769,45.616,34.2866,35.3808,39.7676,51.4395,52.0154,54.9153,55.5105,56.1078,58.7988,59.9341,61.2069,61.9894,62.3448,64.929,56.9289,72.7176
Operating Margin,OPER_MARGIN,,,,,,,,,2.8539,14.529,17.4271,18.3839,7.5407,5.1377,5.6513,14.1712,14.7763,20.4093,-2.0643,-2.9745,7.2177,16.2159,15.1452,12.0097,16.211,14.9102,27.9884,33.0451,32.4684,26.067,27.1784,37.3077,15.6595,54.1217
Profit Margin,PROF_MARGIN,,,,,,,,,2.61,10.1729,13.3923,12.9191,4.7553,4.0824,4.991,12.6774,14.6259,19.4649,-0.8771,-2.0438,7.1443,14.5348,13.1429,10.6538,13.4771,12.2555,24.11,31.3671,35.3448,25.6091,25.979,36.2339,16.1934,48.8493
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,638052.4174,955369.9104,923698.4925,1219475.512,1262027.1127,998873.9432,,867989.4045,751597.11,822038.1143,631892.8044,582973.1861,587710.8973,560483.6675,536764.3592,468891.9164,507368.8773,542971.7134,948915.1332,1185935.7832,882428.2594,792595.2813,878787.8788,1197614.9157,1029699.1907,2058175.6757
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,40.364,37.0414,30.2195,10.7042,7.5024,8.9995,22.5241,25.6263,34.494,-1.1986,-2.6873,8.6596,15.8612,12.5378,9.4786,14.2207,13.8179,32.5677,46.0515,49.2595,25.9538,29.7763,44.8316,17.9336,91.4581
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,24.1446,16.1537,14.0412,5.8201,4.9344,6.6264,16.8103,19.3883,24.8374,-0.8464,-1.9602,6.2651,11.5661,9.4029,6.4407,8.7324,8.4277,19.3597,28.9062,33.7586,18.2703,18.7915,26.7259,10.2332,55.673
Return on Capital,RETURN_ON_CAP,,,,,,,,,,38.2465,24.3499,21.1316,8.6955,7.3555,8.939,22.4513,25.6274,34.4961,-1.1818,-2.5755,8.6842,15.8302,12.5375,8.3995,11.49,11.0627,23.5733,34.4004,40.2559,21.7363,22.8739,31.6665,12.6076,68.0221
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,36.8344,20.6402,19.4934,7.4381,6.9549,8.1175,21.4755,23.4845,31.7633,-1.916,-3.1019,7.9944,14.9655,11.7505,7.9079,11.092,10.8561,23.8825,33.6136,39.4485,21.2026,23.1672,31.9539,12.749,72.3859
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,30.6445,37.097,37.1131,37.9152,30.4892,29.0123,32.3122,38.3061,42.3769,45.616,34.2866,35.3808,39.7676,51.4395,52.0154,54.9153,55.5105,56.1078,58.7988,59.9341,61.2069,61.9894,62.3448,64.929,56.9289,72.7176
Operating Margin,OPER_MARGIN,,,,,,,,,2.8539,14.529,17.4271,18.3839,7.5407,5.1377,5.6513,14.1712,14.7763,20.4093,-2.0643,-2.9745,7.2177,16.2159,15.1452,12.0097,16.211,14.9102,27.9884,33.0451,32.4684,26.067,27.1784,37.3077,15.6595,54.1217
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,23.0714,20.4355,19.4932,,-58.1824,10.6559,61.006,16.8505,37.2071,-134.7763,-28.7002,163.555,86.3471,,-101.3852,47.6449,,62.4737,45.5064,29.6703,-120.0501,29.2861,53.8041,,84.6825
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,2.8356,14.9974,19.6947,18.456,7.8848,4.7546,6.2392,15.0183,16.1133,21.9954,-1.2542,-2.4739,7.653,16.5935,15.4676,12.3487,16.1256,14.8303,27.5687,32.901,33.2537,27.2028,26.4408,36.9362,15.5001,55.5103
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,2.61,10.1729,13.3923,12.9191,4.7553,4.0824,4.991,12.6774,14.6029,19.4649,-0.8771,-2.0438,7.1443,14.5348,13.1429,10.6538,13.4771,12.2555,24.11,31.3671,35.3448,25.6091,25.979,36.2339,16.1934,48.8493
Net Income Margin,PROF_MARGIN,,,,,,,,,2.61,10.1729,13.3923,12.9191,4.7553,4.0824,4.991,12.6774,14.6259,19.4649,-0.8771,-2.0438,7.1443,14.5348,13.1429,10.6538,13.4771,12.2555,24.11,31.3671,35.3448,25.6091,25.979,36.2339,16.1934,48.8493
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,2.61,10.1729,13.3923,12.9191,4.7553,4.0824,4.991,12.6774,14.6259,19.4649,-0.8771,-2.0438,7.1443,14.5348,13.1429,10.6538,13.4771,12.2555,24.11,31.3671,35.3448,25.6091,25.979,36.2339,16.1934,48.8493
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,7.9563,32.1689,32.0003,30.0001,39.6913,14.1382,20.0057,15.5868,9.3735,11.5046,,,6.6464,12.4068,15.0298,13.7255,16.4238,17.362,12.5459,4.6621,,5.8586,1.7464,1.9012,,11.9995
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,5.68,5.79,6.66,6.61,6.93,6.89,6.73,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.48,6.52,6.91,6.88,6.69,6.55,6.45,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,3.49,3.81,6.2,6.22,7.61,7.28,7.22,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.88,7.11,7.05,6.79,6.65,6.59,6.95,6.61,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,29.5443,29.5443,29.5443,29.5443,30.0775,45.9209,46.9269,50.3873,67.3976,78.1109,70.8379,71.18,69.6811,69.9225,68.1923,71.9143,69.8722,70.345,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,0,0,0,0,0,17.5476,40.1087,40.441,57.9281,92.2984,80.3987,80.3987,80.3987,73.6333,73.6333,73.6333,75.3549,73.0595,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,7.9202,7.9202,7.9202,7.9202,9.5224,39.5707,17.503,21.2817,54.8972,50.7255,34.4921,35.52,36.5478,38.5127,33.3132,44.4982,42.9262,40.3567,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,89.2836,89.2836,91.2402,97.5015,97.5015,91.9928,97.5015,97.5015,97.5015,91.2402,97.5015,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,215,0.012,0.01,0.002,0,,,,,,,,0.008,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.001,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0.001,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,0.0001,0.0001,0.0001,0,0.0001,0.0001,0.0002,0.0012,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,2.167,2.084,2.743,3.6,2.419,2.571,2.37,2.675,2.817,2.692,4.612,12.346,14.39
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,43.893,44.5,48.659,52.27,48.774,51.224,50.863,65.107,74.692,105.621,133.569,142.909,178.087
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,117.416,123.872,123.87,128.972,135.045,131.316,139.847,154.089,197.074,245.093,328.38,424.997,496.901,612.607
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,116.497,100.409,100.41,81.2,76.18,117.959,126.393,140.215,184.008,229.915,312.361,406.682,443.973,555.465
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,1100.83,1100.83,1326.29,1309.04,1297.7,1241.46,1266.32,1284.98,1385.63,1380.74,0,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,0.035,0.03,0.045,0.08,0.088,0.049,0.088,0.076,0.055,0.06,1.83,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,2.64,,,,0,0.001,0.001,0,0.004,0.002,0,0,0.007,0
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,1394,,,,1.26,15.626,2.987,2.67,18.344,5.29,2.778,0.937,1.857,2.345
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,126,142.428,158.988,188.06,241.25,196.309,213.625,265.03,319.713,315.599,359.901,431.991,376.656,394.248
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,188.06,241.25,167.182,174.119,203.86,223.517,243.221,262.638,192.21,178.807,248.417
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,1.702,1.682,5.003,2.57,1.886,2.489,2.576,2.576,3.336,2.695,1.854,7.694,9.117,13.7,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,15,13,12,12,8.49,11,10.5,11.3,12,11.4,13.1
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16.1,16.5,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,15,16,16,16,16.5,18,18.4,18.6,18.9,18.9,19.1,19,19.2,19.7
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,12.94,,62,18,,,,,,,,,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,0.51,0.58,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,0.17,,,0.2,0,0.11,0.11,0,0,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,2737,4083,4985,5420,5706,4161,7133,7974,8808,9228,9227,10299,11528,13277,13775,18975,22473,26196,29600
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,11,9.3,8.4,8.4,8.7,13,6.7,5.6,5.6,6.7,3.8,4.9,5.3,2.7
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,1.573,1.6,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,28757,26983,,,,,,,,,370000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,8,9,10,11,12,13,14,15,16,17,18,19,20
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,4,5,4,4,4,4,4,5,5,5,5
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,8,19,8,9,8,9,8,8,8,9,9,13,9,7,4,4,4,5,4
