NFLX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.767,19.621,19.831,22.409,23.107,17.225,17.244,15.958,18.791,21.951,19.219,19.69,22.452,25.883,28.743,38.328,39.3,40.1,55.7,56.9,63.2,66.5,68.6,69.1,83.5,100.9,113.2,120.34,143.3,145.7,170.7,180.573,196.3,213.8,200,227.248,297.6,318.2,374,478.266,500.6,509.9,549.3,564.425,557,522,470,658.206,612,389,429,589.091,427,378,325,148.095,,,353,261.541,,,,874.55,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,,,,0,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.025,8.43,8.86,1.769,12.302,19.895,20.972,24.346,29.625,32.551,44.004,44.758,55.404,58.786,55.5,80.32,97.092,99.996,111.342,123.889,134.385,134.375,134.263,132.034,155.752,135.789,10.694,8.751,11.513,11.542,13.267,12.3,13.368,12.845,13.713,15.603,13.78,13.172,28.499,16.724,27.947,27.956,27.946,32.51,36.996,33.796,47.797,2151.095,2244.349,66.031,2697.5,2845.232,3412.454,3737.255,3994.586,4417.046,5355.884,5279.437,5918.863,7388.676,6896.121,8035.884,8368.17,9075.444,9717.294,10192.541,10735.477,11680.591,17403.371,18088.77,18631.466,19622.966,19857.023,20169.946,20015.702,20105.117,19543.965,19445.59,19760.351,22354.142,33365.348,22607.664,22537.944,24547.729,35419.608,25039.471,25242.85,25278.761,26051.193,26214.061,26527.671
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.875,22.867,21.632,13.483,22.435,30.48,31.262,37.066,42.275,45.472,59.068,64.447,79.546,86.323,86.384,120.99,137.625,142.622,155.5,180.361,198.837,201.73,205.879,246.575,259.516,286.869,281.624,256.499,263.798,249.429,257.169,268.721,268.755,252.754,278.036,344.836,368.586,601.249,771.445,1238.339,1421.718,1340.505,1583.815,1727.099,1806.189,1910.429,2052.047,2353.8,2461.322,2657.442,2954.847,3115.447,3701.57,4054.351,4346.554,4771.031,5718.438,6206.589,7153.445,7866.319,8698.766,9816.438,10566.192,11342.768,12335.221,13316.648,14636.248,16280.265,23049.725,24294.182,25613.953,27797.208,28612.129,28611.142,28796.063,29518.779,30015.506,31366.693,33324.07,36514.838,37232.889,38510.157,38745.284,39328.295,39007.722,39311.137,38722.312,38813.859,38906.408,39483.342,40152.745
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.74,117.898,122.907,130.53,135.629,150.065,158.864,176.012,191.233,204.193,235.637,251.793,253.582,268.728,278.302,364.681,392.945,512.712,550.594,608.779,625.11,612.3,624.197,678.998,585.678,646.023,582.999,615.424,628.678,591.993,492.131,679.734,648.293,693.972,770.283,982.067,1090.188,1570.693,1961.558,3069.196,3480.459,3478.29,3808.833,3967.89,4363.289,4480.751,4901.325,5412.563,6048.106,6325.822,6778.329,7042.5,9240.626,9654.861,9916.267,10202.871,11262.274,11593.507,12347.338,13586.61,14359.096,16517.223,16951.54,19012.742,20152.797,22663.537,23366.229,25974.4,27218.632,30171.339,30941.711,33975.712,35059.91,37175.281,38622.543,39280.359,40123.014,40970.969,42739.857,44584.663,45330.904,46350.935,47562.187,48594.768,49490.345,50817.473,49501.786,48731.992,48827.721,49098.895,52281.844
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.508,-13.115,-2.85,-2.315,-2.375,3.313,3.303,2.271,-5.79,2.891,18.925,5.569,-8.814,5.684,6.946,38.211,4.404,17.037,12.781,14.86,9.864,25.58,15.732,15.776,13.344,26.579,20.371,22.732,22.363,32.443,30.141,30.913,32.272,43.519,37.967,47.095,60.233,68.214,62.46,35.219,-4.584,6.164,7.675,7.897,2.689,29.471,31.822,48.421,53.115,71.018,59.295,83.371,23.696,26.335,29.432,43.178,27.658,40.755,51.517,66.748,178.222,65.6,129.59,185.517,290.124,384.349,402.835,133.934,344.052,270.65,665.244,586.97,709.067,720.196,789.976,542.156,1706.715,1353.013,1449.071,607.429,1597.447,1440.951,1398.242,55.284,1305.12,1487.61,1677.422,937.838,2332.209,2147.306,2363.509
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.505,8.116,11.074,14.419,12.827,23.62,21.986,31.359,33.8,31.966,49.268,32.537,29.443,36.494,33.308,54.184,57.622,46.307,61.462,87.111,63.029,72.121,77.565,71.498,64.062,67.38,60.495,92.1,65.633,75.302,78.311,105.817,77.205,60.252,42.227,96.717,116.323,86.392,49.531,65.466,19.109,19.407,-2.925,-14.005,-12.25,33.943,34.693,41.445,36.359,56.024,-37.439,-38.461,-127.382,-181.343,-195.969,-244.745,-228.59,-226.293,-461.941,-557.16,-343.856,-534.528,-419.607,-487.957,-236.757,-518.239,-690.411,-1235.072,-379.799,-543.754,-501.794,-1461.975,259.912,1041.076,1263.761,-137.672,777.266,-63.761,82.379,-403.274,922.839,102.75,556.81,443.858,2178.74,1440.232,1992.315,1663.014,2212.522,1290.847,2321.101
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,-0.749,-0.719,-1.188,-0.561,-2.4,-1.596,-4.315,-1.808,-2.048,-4.165,-6.941,-6.845,-5.931,-5.429,-9.417,-3.461,-5.373,-5.231,-11.524,-18.013,-8.968,-6.797,-9.863,-12.431,-15.662,-9.288,-7.471,-6.772,-6.933,-9.994,-22.433,-43.295,-5.671,-7.342,-47.339,-38.439,-27.691,-34.906,-33.8,-18.294,-71.315,-19.394,-39.494,-33.311,-22.111,-26.299,-38.349,-28.248,-40.85,-36.562,-38.856,-35.942,-47.324,-52.287,-33.653,-31.632,-28.738,-44.615,-79.845,-77.895,-72.855,-44.18,-32.092,-47.966,-39.875,-47.064,-70.12,-60.381,-39.584,-49.967,-107.737,-98.015,-141.741,-109.811,-148.356,-81.001,-110.278,-167.327,-165.979,-121.158,-90.018,-84.96,-111.593,-62.019,-100.972,-103.929,-81.632,-75.714,-78.287,-126.863
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0.023,0,,,0,0,0.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.095,-0.749,-0.719,-1.188,-0.561,-2.4,-1.596,-4.315,-1.808,-2.048,-4.165,-6.941,-6.845,-5.931,-5.429,-9.417,-3.484,-5.373,-5.231,-11.524,-18.013,-8.968,-7.412,-9.863,-12.431,-15.662,-9.288,-7.471,-6.772,-6.933,-9.994,-22.433,-43.295,-5.671,-7.342,-47.339,-38.439,-27.691,-34.906,-33.8,-18.294,-71.315,-19.394,-39.494,-33.311,-22.111,-26.299,-38.349,-28.248,-40.85,-36.562,-38.856,-35.942,-47.324,-52.287,-33.653,-31.632,-28.738,-44.615,-79.845,-77.895,-72.855,-44.18,-32.092,-47.966,-39.875,-47.064,-70.12,-60.381,-39.584,-49.967,-107.737,-98.015,-141.741,-109.811,-148.356,-81.001,-110.278,-167.327,-165.979,-121.158,-90.018,-84.96,-111.593,-62.019,-100.972,-103.929,-81.632,-75.714,-78.287,-126.863
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-788.349,-124.521,-68.876,0,-563.99,0,0,0,0,0,0,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-788.349,-124.521,-68.876,0,-563.99,0,0,0,0,0,0,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.703,-44.866,-5.048,-8.933,-7.194,-17.254,-12.886,-18.471,-23.406,21.151,-30.962,-20.202,-31.523,-28.726,-20.853,-20.665,-42.486,-35.427,-33.891,-53.116,-231.83,-81.913,-45.4,-40.224,36.564,-83.266,2.621,-50.027,-57.896,-36.816,25.584,-130.819,2.47,-5.796,1.736,-10.844,-35.236,-7.258,-6.675,-81.809,-117.523,60.661,-11.055,-28.326,-145.925,-105.574,12.63,102.971,85.887,11.897,16.151,-12.285,-6.88,-1.006,4.808,-6.908,35.895,25.842,68.591,104.267,2.305,16.423,246.372,-3.749,-1.786,-0.441,-121.63,-10.238,-19.722,-10.452,0.613,-99.834,-0.288,-0.26,-8.84,1.957,-4.615,-1,-21.304,0,0,0,0,-911.276,-201.634,198.709,400,493.228,0,0,-1742.246
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.798,-45.615,-5.767,-10.121,-7.755,-19.654,-14.482,-22.786,-25.214,19.103,-35.127,-27.143,-38.368,-34.657,-26.282,-30.082,-45.947,-40.8,-39.122,-64.64,-249.843,-90.881,-52.197,-50.087,18.133,-98.928,-6.667,-57.498,-64.668,-43.749,15.59,-153.252,-40.825,-11.467,-5.606,-58.183,-73.675,-34.949,-41.581,-115.609,-135.817,-10.654,-30.449,-67.82,-179.236,-127.685,-13.669,64.622,57.639,-28.953,-20.411,-51.141,-42.822,-48.33,-47.479,-40.561,4.263,-2.896,23.976,24.422,-75.59,-56.432,202.192,-35.841,-49.752,-40.316,-168.694,-80.358,-80.103,-50.036,-49.354,-207.571,-98.303,-142.001,-118.651,-146.399,-85.616,-111.278,-188.631,-954.328,-245.679,-158.894,-84.96,-1586.859,-263.653,97.737,296.071,411.596,-75.714,-78.287,-1869.109
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.254,-14.838,-0.836,-0.216,-0.407,-0.261,-0.551,-0.115,-0.111,-0.118,-0.1,-0.107,-0.079,,0,0,0,0,0,0,0,0,0,-0.195,-0.122,-0.23,-0.234,-0.237,-0.269,-0.295,-0.294,192.595,-0.361,-0.465,-0.47,-0.48,-0.501,-0.52,-0.526,197.524,-0.559,-0.577,-0.587,-0.596,280.235,-0.255,-0.258,-0.264,399.733,-0.271,-0.275,-0.28,1499.749,-0.287,-0.061,0.054,0,0,0,1000,0,1420.51,0,1600,0,1900,0,2061.852,0,2243.196,0,2226.11,0,1009.464,0,0,-500,0,0,0,-700,0,0,0,0,0,0,0,-400,0,1794.46
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,86.425,0.091,1.411,1.549,1.496,0.988,2.266,1.819,2.305,0.373,1.538,0.365,3.313,3.888,5.815,3.834,108.43,4.699,9.218,4.842,-15.516,-29.746,-23.581,-90.523,7.078,-86.359,-6.008,-25.446,-58.918,-125.361,-66.653,-90.382,-20.854,-30.37,43.337,-86.227,-26.135,-23.432,1.526,4.979,0.831,0.429,2.428,50.761,49.214,46.053,60.192,65.18,29.097,30.937,24.671,39.917,63.231,72.815,8.171,14.852,17.555,16.581,53.112,24.178,14.826,34.669,14.705,56.335,26.936,29.781,11.45,22.972,21.896,11.989,15.633,43.694,89.06,68.665,33.987,48.071,-480.273,-81.555,-136.019,13.678,11.25,4.113,6.705,-374.073,-610.429,-2442.282,-2448.573,-1731.119,-1483.131,-1558.78
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,86.428,0.091,1.414,1.549,1.496,0.988,2.266,1.819,2.305,0.373,1.538,0.365,3.313,3.888,5.815,3.834,108.43,4.699,9.218,4.842,14.699,5.587,10.729,9.362,7.078,3.669,3.984,17.273,13.593,4.325,12.766,17.342,24.291,27.02,43.337,22.416,25.286,16.17,1.526,4.979,0.831,0.429,2.428,50.761,49.214,46.053,60.192,65.18,29.097,30.937,24.671,39.917,63.231,72.815,8.171,14.852,17.555,16.581,53.112,24.178,14.826,34.669,14.705,56.335,26.936,29.781,11.45,22.972,21.896,11.989,15.633,43.694,89.06,68.665,33.987,48.071,19.749,18.445,88.149,13.678,11.25,4.113,6.705,26.028,34.717,57.818,51.427,268.881,118.75,143.244
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.003,0,-0.003,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,-30.215,-35.333,-34.31,-99.885,0,-90.028,-9.992,-42.719,-72.511,-129.686,-79.419,-107.724,-45.145,-57.39,0,-108.643,-51.421,-39.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500.022,-100,-224.168,0,0,0,0,-400.101,-645.146,-2500.1,-2500,-2000,-1601.881,-1702.024
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,-0.044,-0.178,0,,0,0.222,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.947,-0.388,-0.371,0,0,-9.414,0,0,0,-6.727,-0.353,0,0,-17.232,-0.397,0,-25.683,0.055,0.057,0.058,-10.64,0.061,-14.95,-0.247,-16.762,-0.321,-17.524,-0.544,-19.438,0,-18.192,0,-17.942,0,-7.559,0,0,0,0,0,0,0,0,0,0,0,-38.92,-32.826,-3.7,-1.825,-6.25,-9.084
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.167,71.587,-0.745,1.195,1.142,1.235,0.437,2.151,1.708,2.187,0.229,1.253,0.286,3.313,3.888,6.037,3.834,108.43,4.699,9.218,4.842,-15.516,-29.746,-23.776,-90.645,6.848,-86.593,-6.245,-25.715,-59.213,-125.655,125.942,-90.743,-21.319,-30.84,42.857,-86.728,-26.655,-23.958,398.997,4.032,-0.117,-0.158,1.832,321.582,48.959,45.795,59.928,458.186,28.473,30.662,24.391,1522.434,62.547,72.754,-17.458,14.907,17.612,16.639,1042.472,24.239,1420.386,34.422,1597.943,56.014,1909.412,29.237,2053.864,22.972,2246.9,11.989,2223.801,43.694,1090.965,68.665,33.987,-451.929,-480.273,-81.555,-136.019,-686.322,11.25,4.113,6.705,-374.073,-649.349,-2475.108,-2452.273,-2132.944,-1489.381,226.596
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,-2.377,1.579,-0.014,-2.336,-2.59,1.559,-0.086,0.301,1.25,-3.839,-4.398,-11.061,6.221,-7.741,-3.343,5.334,-2.742,-0.441,-11.316,5.455,11.527,10.685,2.181,7.177,-36.34,-5.562,-4.957,-5.014,4.998,-29.325,29.81,-70.902,11.819,28.459,66.674,-42.138,23.477,-63.843,-4.236,-11.448,-145.198,-180.058,166.564,26.423,39.626,-122.707,139.342,-95.79,-122.723,153.452
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
