LLY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,3634.5,3868.3999,4136.2002,4515.7998,4631.7998,4858.3999,5198.5,5568.6001,5634.6001,5879.6001,5955.7998,6148.1001,6191.7002,6254.6001,6405.7998,6566.5,6671,6842.3999,6880.2998,7026.3999,7101.8999,7221.2998,6755.7998,6828.2998,6837.3999,6886.3999,7007.8999,7096.3999,7002.5,7039.9,7023.3,7034.8999,7014.8999,7091.7,7163,7274.5,7036.2002,7082.1,7210.1,7347.3,7371.8,7468.5,7526.3,7784.7,7792.9,7918.6,8213.9,8415.4,8557.4,8893.9,9117.6,9546.1,9682.6,10100.3,10377.4,11068,11401.2,11802,12191.2,12338.9,12511.9,12730.7,12877.2,13136,13273.3,13568.1,13731.7,13716.7,14090.6,14296.1,14577.2,14841.3,15164.5,15310.7,14895.6,15315.9,14943,15215.7,15188.5,15100,14181.1,14044.2,14416.8,14486.6,14540.1,14670.1,14618.5,14594.1,14765.7,14705.6,14944.4,14918,14887.6,15037.9,15343,15646.7,15779.6,16113.6,16081.5,16029.3,16213.3,16404.2,16611.5,16660.9,16783.1,16927.6,17237.8,16777.6,17136.6,17533,17730.7,18091.1,18497.8,18336.9,18485.8,16663,17118.5,17349.3,17392.5,17034.5,17039.4,17278.1,17881.6,18252.6,18273.5,18697.7,18883.2,18961.8,19241,19247.9,19385.3,20377.4,21032.2,21909,22631,24012.9,24859,26257.2,
    - Accumulated Depreciation,BS_ACCUM_DEPR,1406.6,1455.8,1525.1,1579.1,1597.2,1634.1,1714.2,1786.1,1795,1878.8,1947.9,2076,2112.7,2185.7,2268,2366.3,2465.5,2553.3,2587.7,2614.8999,2684.8,2753.7,2591.6001,2589,2623.3,2645.7,2722.1001,2789.3999,2808.2,2883.4,2928.1,2933.2,2973.1001,3047,3117.4,3178.2,3183.3999,3228.7,3321.5,3365.8,3425.4,3476.6,3522.8,3608.1,3618.3,3675.3,3807.2,3883,3958.3,4089.9,4129.2,4253.1,4228.8,4408.2,4433.9,4529,4554.6,4666.9,4708.3,4788,4930,4992.8,5042.4,5223.5,5327,5480.1,5516.3,5564.4,5881.5,5986.4,6136.5,6266.2,6502.4,6640.2,6633.5,6689.6,6492.8,6621.4,6955.8,6902.6,6194.1,6259.8,6474.9,6545.9,6572.4,6716.4,6806.3,6833.8,7011.1,7085.7,7305.5,7157.8,7264.2,7401.2,7575.6,7671.2,7808.9,8012.7,8038.2,8065.4,8262.6,8381.6,8536.2,8607.4,8750,8861.5,8985.9,8525,8711.1,8950.2,9132.2,9264.6,9539.6,9566.1,9671.7,8666.9,8792,8956.3,9055.3,9161.6,9141.5,9297,9600.5,9570.7,9643.4,9842.2,9962.8,9976.7,10138.3,10119.7,10074,10233.4,10486,10631.6,10767.8,11099.3,11235,11427.8,
  + LT Investments & Receivables,BS_LT_INVEST,537.9,548.4,540.8,480.7,343.6,332.2,284.3,276.2,269.4,290.1,272.2,242.5,249.6,226.1,187.9,221.7,222.1,257.9,297.9,464.1,465,513.2,536.6,573.8,578.7,422.6,429.4,443.5,408.2,,416.9,465.6,429.9,0,,204,158.5,174.2,174.2,180.3,291.5,615.9,869.3,,1277.5,2230.5,2753.8,2710.9,2666.3,2423.3,3034.2,3150.4,3183.2,3687.8,3325.2,3374.6,3664.8,3576.1,3665.3,561.4,500.6,502.1,520.9,1296.6,1318.4,1287.8,1294.5,1001.9,945.4,552.9,570.6,577.1,596.1,1070.8,1186.6,1544.6,1363.8,1239,1173.8,1155.8,1099.2,1064.7,1340.2,1779.5,1898.7,2943,3219.6,4029.8,4521.1,4547.6,5224.3,6313.3,5636.2,6561.4,7220.2,7624.9,7204.8,6649.7,7405.5,4568.9,4576.5,4099.1,4102,3646.6,3764.3,4449.2,5027,5207.5,5297.7,5723.3,6148.7,5678.8,5375.1,2059.6,2005.8,2005.4,2111.4,1852.7,1825.3,1962.4,2148.7,2406.4,2476.2,2495,3232.4,3474.9,3350.5,2441.1,2727.3,2587.2,2574.6,2120.7,2750.4,2745.1,2691.7,2089.9,3086.9,2877.6,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363.8,1239,1173.8,1155.8,1099.2,1064.7,1340.2,1779.5,1898.7,2943,3219.6,4029.8,4521.1,4547.6,5224.3,6313.3,5636.2,6561.4,7220.2,7624.9,7204.8,6649.7,7405.5,4568.9,4576.5,4099.1,4102,3646.6,3764.3,4449.2,5027,5207.5,5297.7,5723.3,6148.7,5678.8,5375.1,2059.6,2005.8,2005.4,2111.4,1852.7,1825.3,1962.4,2148.7,2406.4,2476.2,2495,3232.4,3474.9,3350.5,2441.1,2727.3,2587.2,2574.6,2120.7,2750.4,2745.1,2691.7,2089.9,3086.9,2877.6,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,1010,1076.6,1080.5,1224.1,1254.6,1361.8,1348,1300.6,1367.5,1524.6,1386.8,1352.2,1392.7,1487.4,1541.7,1504.6,1540.8,1631.3,1740.5,5669.5,5645,5706.1001,5439.2998,5460.7998,5520.1001,5536.6001,5476.7998,5665.3999,6043.6,3140.3,3114.9,2689.3999,2796.1001,3026,3205.8,2888.3999,1513.8,1545.1,1672.7,1607.9,1503.4,1669.7,1820.1,2571.2,2432.2,2295.2,2260,2251.9,2369.5,2198.7,2584.3,2794.5,2844.8,2907.7,2948.7,3005.8,3092.1,3272.4,3452,3918.9,3899.9,4225.8,4500.8,4575.9,4521.6,4471.2,4632.3,3106.8,5332.8,5631.7,5508.5,5406.5,5467.8,5333.6,5312.6,6588.4,6522.4,6162.9,5911.4,5621.2,5859.2,6407.6,6437.9,6441.2,6474.6,6932.3,7437.7,7621.5,7359.9,7337.8,7418.9,7286.7,6714.4,6388.6,5775.8,6543.6,6542.1,7111.1,7089.5,11846.5,11384,11568.9,11560.4,11295.2,11179.8,10982.7,10925.5,10244.4,10924.9,10893.9,10834.8,11273.6,13760.8,13196.1,13119.3,13357.3,14971.4,14966.2,15068.8,15741.2,17062,16997.6,16948.8,17994.1,18371.3,18183.1,18107.8,18927.4,18124.6,18233,17935.7,19190.6,19055,19459.9,20353.6,23275.8,22043.8,23963.5,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,4114.2002,4084.6001,4039.1001,4028.2,3995,1557.3,1544.1,1550.5,1520.9,1508,1501.4,1517.9,120.7,119.9,125.8,118.6,110,106.3,108.1,,,,,93.1,,,,94.7,,,,,,,,110.3,,,,139.6,,,,130,2415.3,2494.3,2453.6,2455.4,2378.5,2337.4,2298.8,3929.1,3857.9,3790.3,3738.9,3699.8,4031.6,4036,4308.5,4818.8,4731.3,4955.4,5221.9,5128.1,5266.7,5142.8,5031.1,4752.7,4618.6,4508.5,4455.1,4331.1,4203.1,4670.1,4750.8,4642.3,8894.6,8867.6,8670.8,9074.7,8934.9,8832.8,8646.2,8330.6,8904.7,8833.4,8637.2,8399.3,8332.4,8105.2,7977.8,2434.6,10497.4,10406.7,10461.8,10297.4,11545.8,11435.7,11315,11216.5,11965.2,11869.6,11771.8,11583.9,11374.4,11389.5,11015.7,11279.6,11160.2,10982.4,10866.9,11846.3,11701.8,12404.3,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3995,1557.3,1544.1,,,1508,1501.4,,120.7,119.9,125.8,,110,106.3,108.1,,,,,,,,,,,,,,,,,,,,,139.6,,,,,,,,2455.4,,,,1167.5,,,,1175,,,,1423.9,,,,1434.7,,,,1501.3,,4508.5,4455.1,1516.8,,,4750.8,1758.1,3946.9,4024.7,4054.9,4039.9,4045.1,4026.5,4007.7,3972.7,4188,4290.8,4365.6,4370.1,4412.4,4333.1,4358.4,1366.6,3855.9,3820.1,3772.5,3679.4,3779.1,3723.2,3726.4,3766.5,3877.4,3884.2,3884.1,3892,3892,3891.8,3891.6,4073,4073.1,4078.9,4085.2,4939.7,4939.6,5768.2,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,,,2761.6,0,,,2524.8,0,,,3394.9,0,0,,3693.4,0,0,0,3251.4,0,0,0,2814.3,0,0,0,2884.2,4947.7,4842.9,4615.9,5034.8,4889.8,4806.3,4638.5,4357.9,4716.7,4542.6,4271.6,4029.2,3920,3772.1,3619.4,1068,6641.5,6586.6,6689.3,6618,7766.7,7712.5,7588.6,7450,8087.8,7985.4,7887.7,7691.9,7482.4,7497.7,7124.1,7206.6,7087.1,6903.5,6781.7,6906.6,6762.2,6636.1,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166.4,3681.6,3314.4,3132.3,2613.7,2511,2507.4,2412.8,2572.6,2471.6,2481.8,2555.3,2830.4,2649.9,2674.9,2625.6,2489.3,2464.9,2371.9,2384.3,2792.9,3406.7,3805.9,4574.8,5477.3,5633.9,6655.3,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.7,187.2,264.9,134.9,160.3,365.4,487.9,278.3,198,266.5,519.7,531.7,472,569.6,581.7,589.4,503.8,364.3,336.6,278.7,334.1,375.2,143.5,149.5,158.5,43.1,,427.2,132.1,170.9,156.2,37,28.9,44.6,43,35.1,4.1,4.2,6.9,12.7,,108.8,194.4,163.4,305.9,291.3,243.1,231.4,365,209.5,214,192,243.6,418.3,480.4,299.1,289.5,289.5,485.1,294.7,,47,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.8,,,,771.5,,,,781.1,,,,962.3,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,1010,1076.6,1080.5,1224.1,1254.6,1361.8,1348,1300.6,1367.5,1524.6,1386.8,1352.2,1392.7,1487.4,1541.7,1504.6,1540.8,1631.3,1740.5,5669.5,5645,5706.1001,5439.2998,5460.7998,1405.8999,1452,1437.6997,1637.2,2048.6,1583,1570.8,1138.8999,1275.2001,1518,1704.4,1370.4999,1393.1001,1425.2,1546.9,1489.3,1393.4,1563.4,1712,2571.2,2432.2,2295.2,2260,2158.8,2369.5,2198.7,2584.3,2699.8,2844.8,2907.7,2948.7,3005.8,3092.1,3272.4,3452,3808.6,3899.9,4225.8,4500.8,4436.3,4521.6,4471.2,4632.3,2976.8,2917.5,3137.4,3054.9,2951.1,3089.3,2996.2,3013.8,2659.3,2305.8,2185.4,1907.6,1786.5,1667.3,2006.2,1641.5,1344.1,1545.3,1710.4,1696.1,1961.7,1621.2,1625.4,1806.1,1944.6,1592,1515.8,984.1,1933.8,2004.9,2065.8,2195.2,7054.7,2330.9,2658.2,2889.6,1793.3,2112.8,1979,2123.1,1876.8,1991.3,2015.9,2154.6,1672.8,1742.7,1772.3,2002.3,1812.2,1963,1943.3,1999.8,2707.8,2738.7,2788.8,2835.4,3244,3391.2,3429.1,3496.4,3890.7,4041.7,4053.3,4055.3,4037.9,4198.6,4382.1,4426.8,4695.2,4708.1,4856.9,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,3775.7999,4037.6001,4232.4001,4641.4999,4632.8001,4918.3001,5116.6,5359.3,5476.5001,5815.5,5666.9,5666.8,5721.3,5782.3999,5867.3997,5926.5002,5968.4001,6178.3001,6331.0001,10545.1,10527.1001,10686.9002,10140.1,10273.8996,10312.9002,10199.9003,10191.9996,10415.8999,10646.1,7296.8,7627,7256.7001,7267.8001,7070.7,7251.4,7188.6997,5525.1001,5572.7,5735.5,5769.7,5741.3,6277.5,6692.9,6747.8,7884.3,8769,9420.5,9495.2,9634.9,9426,10606.9,11237.9,11481.8,12287.6,12217.4,12919.4,13603.5,13983.6,14600.2,12031.2,11982.4,12465.8,12856.5,13785,13786.3,13847,14142.2,12261,14487.3,14494.3,14519.8,14558.7,14726,15074.9,14761.3,16759.3,16336.4,15996.2,15317.9,14974.4,14945.4,15256.7,15720,16161.4,16341,17829,18469.5,19411.6,19635.6,19505.3,20282.1,21360.2,19974,20586.7,20763.4,22144,21717.6,21861.7,22538.3,24379.3,23911.2,23690.6,23737.7,22995.3,22977.2,23498,24204.4,23704.5,24648.1,25200,25582,25778.9,28094.1,24026.5,23939.2,23358.8,25409.3,25211.9,25231.3,25576.5,27108.6,27385.1,27706.1,29171,30233.8,30513.5,30378.7,30353.6,29954.6,29948.4,29821.6,31455.3,32351.6,33482.4,34908.5,38279.3,38754.7,41670.5,
Total Assets,BS_TOT_ASSET,6110.2002,6384.2002,6747.3999,7142.7998,7291.7998,7574.2002,7882.1001,8298.5996,8420.7002,8763.7002,8704.4004,8672.7998,9055.0996,9098.9004,9325.4004,9623.5996,9809,10177.5,10507.7002,14507.4004,14960.7002,15097.2002,14251.0996,14412.5,14160.4004,14258.7998,14052.7998,14307.2002,14513.6,12288.9,11819.2,12577.4004,12046.7998,11868.7,12581.3,12595.5,11225.5996,10820.2,12330.8,12825.2,12694.1,13029.6,13585,14690.8,14752.4,15633.5,16397.4,16434.1,17059,17543.9,18920.1,19042,19641.6,20050.5,20800.8,21678.1,22402.4,22771.8,24185.9,24867,23239.7,23419.6,24803.4,24580.8,24146.9,24435.6,23913.4,21955.4,23733.3,24055.6,24973.5,26874.8,27220.2,27752,27707.1,29212.6,26596.8,26931.5,27127.9,27460.9,27197.8,27723.1,29904.3,31001.4,31695.3,32779.3,33042.2,33659.8,32238.2,31812.6,34321,34398.9,32300.1,33226,33965.6,35248.7,34756.9,35018.4,34648.8,36307.6,35653.9,36036.6,36304.7,35568.9,34691.8,36475.3,37590.3,38805.9,37624.3,40946.5,43010.4,44981,44355.6,42359.2,44625.1,43908.4,38006.8,38666.4,37893.1,39286.1,41102.8,41967,43946,46633.1,46838.3,47809,48187,48806,46919.3,47063.6,47461.5,49489.8,53163,54814,57915.5,64006.3,63943.5,71874.8,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,340.8,274.4,256.8,255.3,388.6,317.5,297.5,311.1,442.6,338.2,-383.3,311.2,362.6,346.8,294.4,-523.6,330.7,346.6,318.7,290.1,393.2,327.1,1228,342.6,389.2,345.7,415.6,373,432.6,-1732.1,456.9,457.5,521.1,491.3,518.2,567.2999,625.7,576.4,732.6,786.3,845.5,666.2,778.8,767.3,806.8,827.7,570.1,575.4,629.2,658.5,683.9,736.3,407,692.2,714.4,747.2,400.4,656.9,755.2,-2.4,736.6,-252,794.4,700.6,834.8,822,873.6,132.3,508.7,663.6,926.3,854.4,1064.3,958.8,-465.6,-3629.4,1313.1,1158.5,941.8,915.4,1248.1,1348.9,1302.9,1169.6,1055.9,1197.3,1236.3,858.2,1011.1,923.6,1326.6,827.2,1548,1206.2,1203.1,727.5,727.9,733.5,500.6,428.5,529.5,600.8,799.7,478.4,440.1,747.7,778,771.8,-110.8,1008,555.6,-1656.9,1217.4,-259.9,1149.5,1125.1,4241.6,1327.2,1253.9,1495.7,1456.5,1412,1208.4,2116.8,1355.3,1390.2,1110.1,1726.1,1902.9,952.5,1451.7,1937.7,1344.9,1763.2,-57.4,2189.6,2242.9,2967,
Cash from Operating Activities,CF_CASH_FROM_OPER,301.4,245.3,486.6,441.1,188.5,157.7,471.4,437,269.4,273.2,241,699.9,175.3,322,491.3,528.3,168.1,319.2,502.3,542.7,283.8,463,311.2,766.6,221,586.6,480.4,703.4,303.7,643.4,494.3,959,57.3,734.1,782.9,1055.5,-109.2,716.3,941.6,1233.1,610.2,801.1,1240.3,1079.9,527.6,1020,1033.4,1080.6,238.2,568.3,569.2,695,589,828,1063.1,1166.6,577,944.2,799.9,548.4,804.8,674.1,-379.6,814.3,254.5,687.7,1176,1857.7,891.8,588.5,1444.5,2229.7,1702.6,1080.9,2131.6,2380.5,87.9,923.3,1305.7,2018.6,958,1911.6,1759.1,2228.1,1176.1,2040.3,2073.4,1944.7,852.5,1306,1544.3,1602,379.4,1637.2,1991.6,1726.8,272.3,1053.9,1691.3,1440.9,-84.8,948.6,1104.7,996.1,-219.1,1294,1769.6,2006.5,339.9,1651.1,1881.1,1743.5,436.5,1517.5,2121.8,1448.7,311.3,1051.5,1510.1,1963.7,382.4,2495.4,1806.6,1815.2,1697.4,1775.5,1631.3,2156.5,2523,1183.3,2216.7,1662.7,1730.6,631.9,2189.5,-311.9,1166,1466.2,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,-96.9,-148.8,-147.4,-158.2,-101.1,-131.7,-128.1,-83,-58.7,-77.2988,-77.7,-141.1,-77.7,-99.8,-86.6,-125.2,-84.7,-109.3,-126.2,-129.8,-110,-166,-157,-239.8,-154,-188.6,-228,-281.8,-192.7,-227.1,-320.2,-354.1,-278.6,-387.8,-382.4,-596.6,-463.6,-507.9,-456.6,-449.5,-242.2,-377.7,-258.6,-408.5,-160.7,-231.4,-275.7,-344.8,-239.4,-246.2,-230.1,-334.4,-184.2,-266.4,-220.9,-250,-157,-176.9,-174.3,-239.1,-125.1,-554.2,-183.1,-249.7,-131,-542.2,-348.6,-257.8,-164.3,-213.8,-249.7,-428,-157.9,-136.4,-253.8,-308.7,-227,-229.9,-296.9,-393.6,221.4,-223.9,-273.5,-287.6,-154.3,-245.4,-227.5,-336.4,-169,-221.6,-242.7,-402.8,-236.5,-310,-269.8,-394.3,-203.7,-240.3,-263.4,28.3,-258.3,-281.8,-393.1,-454.7,-300.3,-381.3,-336.8,-291.4,-365.4,-371,-617.2,-500.7,-668.5,-738.2,-970.3,-1070.6,-986.3,-1224.8,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,11.5,0,0,0,30.6,0,0,0,78.3,0,0,0,5.1,0,0,0,31.6,0,0,0,36.8,0,0,0,61.2,0,0,0,20.5,0,0,0,11.1,0,0,0,65.2,0,0,0,32.3,0,0,0,25.7,0,0,0,17.7,0,0,0,24.6,0,0,0,25.3,0,0,0,22,0,0,0,179.4,0,0,0,15.3,410,0,0,92.6,0,0,0,73.4,0,0,0,40.7,0,0,0,0,0,0,0,354.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,-96.9,-148.8,-147.4,-158.2,-101.1,-131.7,-128.1,-83,-58.7,-77.2988,-77.7,-152.6,-77.7,-99.8,-86.6,-155.8,-84.7,-109.3,-126.2,-208.1,-110,-166,-157,-244.9,-154,-188.6,-228,-313.4,-192.7,-227.1,-320.2,-390.9,-278.6,-387.8,-382.4,-657.8,-463.6,-507.9,-456.6,-470,-242.2,-377.7,-258.6,-419.6,-160.7,-231.4,-275.7,-410,-239.4,-246.2,-230.1,-366.7,-184.2,-266.4,-220.9,-275.7,-157,-176.9,-174.3,-256.8,-125.1,-554.2,-183.1,-274.3,-131,-542.2,-348.6,-283.1,-164.3,-213.8,-249.7,-450,-157.9,-136.4,-253.8,-488.1,-227,-229.9,-296.9,-408.9,-188.6,-223.9,-273.5,-380.2,-154.3,-245.4,-227.5,-409.8,-169,-221.6,-242.7,-443.5,-236.5,-310,-269.8,-394.3,-203.7,-240.3,-263.4,-326.5,-258.3,-281.8,-393.1,-454.7,-300.3,-381.3,-336.8,-291.4,-365.4,-371,-617.2,-500.7,-668.5,-738.2,-970.3,-1070.6,-986.3,-1224.8,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2,-20.6,47.9,-127.3,12,120.4,25.1,58,101.3,-12.5,1.3,-90.1,312.5,-541.8,-720.5,700.5,-893.1,-954.5,-865.7,-29.4,74.5,188.7,-1087.3,411.7,-37,-518.1,321.3,-9.1,-324.1,-45,-18.5,3269.2,47.7,5,2.4,-693.1,-75.9,-21.1,13.4,278.1,56.9,396.3,0.2,-404,-5.5,-499,-137.4,-173.2,117.1,127.5,168.3,262.6,133.8,-3,-204.6,-408.7,-26.4,-1174.3,-376,-744.2,-732.9,-292.4,-924.1,-1313.5,237,-1249.9,-743.7,-8965.2,-136.8,82.2,-1226.6,2487.9,-328.2,245.9,-319.3,243.5,-377.8,-972.1,-684,-226.1,-417.9,-833.3,-801.5,27.1,-251.1,2969.7,6.4,-53.4,23,246.8,31.9,60.6,-28.5,285.7,93.2,48,-6.7,-34.5,-131.7,43,-35.3,-47.6,-139.6,-35.5,135.9,-90.9,-43.6,-224.1,-46.6,46.6,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4,44,174.7,9.6,19.9,140.8,31.9,80.5,104.2,19.4,2.7,0,452.2,45.3,37.2,700.5,15.9,,14.6,288.5,125.4,281.7,54.9,4315.9,782.1,1360.5,1521,3098.8,1018.1,719.3,1145.3,11966.6,187.5,83.3,56.2,218.1,554.8,351.4,228.9,372.6,267.1,544.3,113.3,,36,438.8,178.7,943.8,184.8,182.6,374.8,365.6,191,192,61.4,140.3,211.9,223.5,647.2,1055.9,1423.2,1028.1,1106.1,798.3,2098.4,3364.8,3019.7,,2633.4,2906.7,1815.4,3653.9,596.2,1154.3,521.3,796.6,338.9,580.4,687.5,479.2,528,579.6,579.3,899.1,310.5,3084.6,49.6,64.8,83.6,332.8,82,111.4,54.5,357.5,162.1,183,284.8,177.1,75.3,262.8,81.4,87.1,83.1,90.6,281.9,106.5,87.8,31.9,70.5,179.6,
