MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-1511,394,344,277,243,642,607,575,384,378,345,599,569,534,494,468,499,502,466,461,26,720,745,699,878,1718,1717,1639,1973,1899,1815,1756,1759,1653,1346,1282,1158,1077,992,840,744,1026,2581,2756,3170,3423,3341,3240,3083,2982,2945,2901,6981,6693,7299,6963,4835,4745,4619,4459,3733,3522,11001,10547,10106,9598,9034,8544,8053,7579,8482,8103,7750,7508,7126,6855,7038,6923,6555,8127,7800,7794,7462,11348,11298,10808,10354,9879,9366,8895,29896,28828,27597,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041,1109,956,279,0,0,0,0,,,,0,,,,0,,,,,,,,131,,,,228,,,,219,,,,248,,,,1369,,,,7536,,,,6405,,,,7181,,,,13515,,,,20163,,,,22270,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,87,6,20,35,65,25,20,4,6,4,0,9,78,12,93,88,34,43,33,22,45,0,3,6,4,16,9,21,6,19,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,54.023,60.012,55.9,55.6,93.8,85.49,81.3,81.4,78.2,103.569,102,88,90,88,84,91,96,121,147,288,278,398,478,706,613,928,1204,1022,1018,2549,311,250,272,260,234,483,584,940,16052,1533,2521,2213,22723,2296,19657,3170,12869,1092,16660,942,926,1160,1193,3332,3710,3003,3375,3603,3221,2447,2010,4920,5212,4997,4725,4419,3168,2940,2645,2898,3601,3160,3098,2640,1751,1724,1639,1599,1628,1517,1478,1501,1429,1307,1353,1434,1972,1919,1403,1520,1569,1636,2262,2392,2480,2874,2898,3291,3271,3060,3200,2889,2869,2928,2895,4900,5227,5592,5680,5822,6063,6932,7041,6048,9772,10125,10252,7183,14455,14621,13618,6721,12941,8273,9193,7851,21070,21234,21800,8382,23479,24988,26950,10422,32145,32244,35545,14171,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,335.835,385.459,432.7,488.7,573.4,615.681,669,776.8,807,870.199,888,886,914,955,975,1004,1014,1051,1083,1265,1305,1590,1743,2003,1894,2254,2508,2344,2389,4014,4528,5204,5810,6468,6605,8240,9503,16923,32619,23073,25678,21842,45221,22675,39279,19620,29070,17399,36246,19070,20192,19428,19810,22759,23371,23537,24497,21823,21372,20542,19682,22078,21631,20563,20226,20587,19996,21191,21108,23003,29792,29564,29258,29551,27915,28056,28129,28608,29381,29609,30392,30437,31959,32622,33464,33786,32144,39730,41150,36187,37825,39109,40581,40965,42898,46673,47113,58138,57217,58486,58285,51675,51240,52286,53448,60709,61582,87779,87039,87616,88066,88370,88838,89186,93424,101985,103394,111004,113059,115720,114944,119396,123924,130164,143265,149373,161092,166201,190685,195156,198972,206729,216199,227719,238199,323165,337095,352429,
Total Assets,BS_TOT_ASSET,1015.314,1105.349,1203.5,1366,1502.4,1644.184,1870.2,2128.3999,2340,2639.9031,2849,3226,3560,3805,4048,4486,4926,5363,5637,5961,6592,7210,8160,9106,9590,10093,10740,12786,12613,14387,15366,16840,19545,22357,25569,30049,33561,38625,39672,45093,50895,52150,56089,57691,59605,59257,61367,65387,68379,67646,70235,72359,74482,81732,84281,85937,89767,92389,94268,64941,66275,70815,71462,67257,66854,69597,65354,66371,63891,63171,65645,67339,70747,72793,65117,65786,68853,77888,81612,82096,84910,86113,91540,92306,99727,108704,107415,112243,118010,121271,121876,128683,134105,142431,142348,153543,156119,172384,169656,174848,176683,174472,172896,180098,181869,202897,222008,235298,236016,250312,249097,256003,245497,258848,257619,258859,263281,286556,278955,282794,285449,301311,301001,304137,308879,333779,335418,340389,344607,364840,359784,364552,380088,411976,445785,470558,484275,512163,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,75.169,79.953,87.6,112.9,123.8,138.443,144,175.2,178.8,210.06,209,236,243,265,239,289,256,362,316,373,396,368,499,575,562,559,614,741,1042,1057,663,1133,1337,1357,1683,1983,1917,2202,2191,2436,2385,2409,2206,2624,2451,65,1283,2283,2738,1525,2041,1865,2142,1483,2614,1549,1315,2690,2528,3463,2563,3700,3141,3653,2977,2828,3478,2626,4926,3035,4289,4707,4388,4297,4373,4174,2977,3045,3574,6662,4006,4518,5410,6634,5232,5874,5738,6624,5108,-492,4466,6377,6055,4965,5244,6558,5660,4612,4540,5863,4985,-3195,5069,5938,4305,5227,5667,6267,5486,8069,6576,-6302,7424,8873,8824,8420,8809,13187,10678,11649,10752,11202,13893,15463,15457,16458,20505,18765,16728,16740,17556,16425,18299,20081,22291,21870,21939,22036,
Cash from Operating Activities,CF_CASH_FROM_OPER,92.49,56.779,120.6,97.1,150.8,189.378,187.9,218.3,174,326.779,187,220,266,401,316,349,423,505,390,445,643,512,500,1401,905,913,783,1218,1618,1070,1680,1664,2102,1434,2584,2151,2684,2611,2857,2148,2269,4152,2960,2869,4014,3579,3389,3565,4121,3434,6172,2767,4169,2689,3424,4574,4970,1658,4007,3619,5003,3976,4329,2231,4563,3281,4061,2042,7291,4402,5878,4567,7082,4085,3370,5782,6044,3841,6107,4969,7393,5604,8194,4186,8672,5942,8493,5862,9594,7677,8484,4780,9666,5903,8205,4413,10099,9514,8354,4340,9570,6849,8594,5618,10367,8464,11549,6293,10660,11005,12440,7875,12151,11418,13657,8900,13520,16108,13818,10680,17504,18673,19335,12516,22179,22710,24540,14480,25386,24629,23198,11173,24441,28770,30583,18853,31917,37195,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,-67,-103,-102,-223,-116,-88,-132,-158,-99,-117,-110,-173,-117,-151,-147,-241,-106,-135,-50,-292,-139,-232,-246,-262,-245,-272,-264,-322,-150,-172,-166,-282,-160,-276,-182,-273,-167,-172,-213,-557,-173,-176,-203,-260,-213,-318,-302,-745,-411,-572,-461,-820,-510,-695,-759,-1218,-778,-842,-632,-867,-435,-376,-408,-758,-564,-491,-658,-642,-436,-498,-749,-622,-603,-930,-930,-1794,-1231,-1732,-1192,-1330,-1282,-1490,-1391,-1781,-1356,-2024,-2308,-2655,-2163,-1988,-1695,-2283,-2132,-2586,-2934,-3980,-3602,-3707,-2565,-4051,-3385,-3545,-3767,-4744,-4907,-4174,-5089,-6452,-5810,-5865,-5340,-6871,-6283,-6274,-6607,-8943,-9917,-9735,-10952,-13873,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,-67,-103,-102,-223,-116,-88,-132,-158,-99,-117,-110,-173,-117,-151,-147,-241,-106,-135,-50,-292,-139,-232,-246,-262,-245,-272,-264,-322,-150,-172,-166,-282,-160,-276,-182,-273,-167,-172,-213,-557,-173,-176,-203,-260,-213,-318,-302,-745,-411,-572,-461,-820,-510,-695,-759,-1218,-778,-842,-632,-867,-435,-376,-408,-758,-564,-491,-658,-642,-436,-498,-749,-622,-603,-930,-930,-1794,-1231,-1732,-1192,-1330,-1282,-1490,-1391,-1781,-1356,-2024,-2308,-2655,-2163,-1988,-1695,-2283,-2132,-2586,-2934,-3980,-3602,-3707,-2565,-4051,-3385,-3545,-3767,-4744,-4907,-4174,-5089,-6452,-5810,-5865,-5340,-6871,-6283,-6274,-6607,-8943,-9917,-9735,-10952,-13873,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10075,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79311,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89386,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-377,-450,0,-41,-39,-63,-143,0,0,-69,0,-2,-875,-8627,-84,-526,-1145,-311,-108,-20,-15,-139,-157,-5626,-141,-2794,-162,-626,-390,-381,-559,-63,-24,-24760,-802,-358,-179,-27,-248,-434,-245,-1593,-269,-281,-462,-80,-329,-1650,-481,-415,-7512,-501,-1206,-850,-18719,-1263,-349,-679,-301,-341,-1186,-65029,-1575,-1342,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-377,-450,0,-41,-39,-63,-143,0,0,-69,0,-2,-875,-8627,-84,-526,-1145,-311,-108,-20,-15,-139,-157,-5626,-141,-2794,-162,-626,-390,-381,-559,-63,-24,-24760,-802,-358,-179,-27,-248,-434,-245,-1593,-269,-281,-462,-80,-329,-1650,-481,-415,-7512,-501,-1206,-850,-18719,-1263,-349,-679,-301,-341,-1186,-65029,-1575,-1342,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1074,-2543,-1281,-120,-1766,-1913,-3673,-3256,-2633,95,-4090,-1885,-3691,4,-2117,-1827,-3319,-1508,-3830,8657,-737,-1743,-4025,183,-3581,-1777,-924,4646,-7940,23590,-1610,1799,-3048,7010,1135,4484,6872,-1386,972,1895,-1747,-354,-19,715,1750,-1207,-5377,-6949,-725,347,-5353,-3361,-4393,-1010,-6481,-306,-1004,3557,-11408,-3514,-5971,-1352,-6622,-4025,-3368,846,-2935,-1954,-6314,-432,-3928,-2660,-3320,-923,-2616,-7355,-16283,11997,-3694,-4728,-4593,2282,7026,1744,894,1100,1471,-2925,2071,-2411,4147,1932,17,2920,2917,-3900,3766,5554,7888,-1595,3500,-197,3644,150,11606,2839,1827,367,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-173,-1191,-2694,-1428,-1959,-1872,-2048,-3723,-3548,-2772,-137,-4336,-2147,-3936,-268,-2381,-2149,-3469,-1680,-3996,-1700,-897,-2019,-4207,-90,-3748,-1949,-1137,4089,-8113,23414,-1813,1539,-3261,6692,833,3739,6461,-1958,511,1075,-2257,-1049,-778,-503,595,-2499,-6009,-7857,-1199,-92,-5904,-4119,-4957,-1570,-7139,-950,-2315,-5568,-12241,-4662,-7719,-2593,-7660,-5839,-4614,-1025,-4284,-8910,-7737,-4716,-5481,-5067,-5066,-3328,-5483,-10073,-18470,-14751,-6191,-7369,-6904,-331,3844,-2670,-2953,-4200,-1363,-7257,-1776,-6036,51,-4462,-5371,-1669,-9684,-10853,-3250,-1161,-16171,-9729,-3132,-7150,-3264,-9134,503,-71925,-10700,-14848,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,-7,-7,-7,-7,-7,-7,-7,-7,-6,0,0,0,0,0,0,0,0,0,0,0,,-857,0,0,-1729,0,0,-870,-33498,-885,-859,-857,-846,-925,-917,-897,-980,-976,-952,-938,-1034,-1023,-1020,-998,-1157,-1155,-1158,-1157,-1152,-1139,-1130,-1118,-1363,-1349,-1350,-1341,-1683,-1683,-1678,-1676,-1933,-1925,-1921,-1916,-2332,-2322,-2309,-2307,-2547,-2532,-2496,-2475,-2868,-2842,-2821,-2800,-3024,-3012,-3009,-3003,-3238,-3232,-3226,-3220,-3544,-3526,-3521,-3510,-3886,-3876,-3865,-3856,-4230,-4221,-4214,-4206,-4652,-4645,-4632,-4621,-5066,-5059,-5054,-5051,-5574,-5572,-5574,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,21,-1,3751,250,-2,0,-58,4721,-1000,2239,0,0,0,0,0,0,2232,0,1305,300,6962,-300,0,1499,4798,4105,3259,3261,5976,1747,7299,21362,9196,-966,1867,-925,3661,-12256,-681,0,-3000,0,-1000,-2500,-18,-3000,0,0,-3250,-500,0,-4826,0,-4197,0,-1000,-750,0,-1000,24265,-633,-9047,-14010,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-426,-517,376,-404,37,160,135,-1166,-283,-3184,345,471,-1296,-1150,-1023,-2535,-734,254,-251,-3841,-3438,-571,-354,-483,-350,-541,-1040,1296,132,-174,-2073,-2833,-2115,-6969,-4233,-3700,-7258,-1340,-6087,-6031,-2215,-1689,-963,-4052,-6221,-2722,96,125,-1283,-3123,-1587,-2920,-4217,-4388,562,-1073,-1528,-830,78,-743,-1038,-1504,-819,-859,-1780,-1976,-1682,-1000,-2170,-2002,-4954,-4128,-4256,-3561,-3698,-3504,-4121,-3468,-1883,-1544,-2263,-1819,-3530,-2107,-3384,-6213,-4479,-4325,-4485,-4972,-6717,-5451,-6198,-6233,-6534,-6727,-7072,-7142,-8345,-8296,-4998,-5216,-4973,-5192,-4146,-3739,-3691,-3676,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487,166,385,459,541,428,890,257,751,634,365,495,456,323,397,525,391,395,425,286,59,365,485,731,695,189,568,1296,487,795,354,1473,1001,466,442,281,425,4457,791,1186,715,2368,277,254,272,98,114,147,257,744,436,919,182,664,1410,183,406,212,1101,287,594,154,209,183,408,137,163,170,718,143,177,151,501,117,159,173,241,131,179,221,307,189,251,255,360,200,274,308,427,234,342,340,545,302,396,450,612,291,477,461,575,243,536,512,685,261,522,534,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-913,-683,-9,-863,-504,-268,-755,-1423,-1034,-3818,-20,-24,-1752,-1473,-1420,-3060,-1125,-141,-676,-4127,-3497,-936,-839,-1214,-1045,-730,-1608,0,-355,-969,-2427,-4306,-3116,-7435,-4675,-3981,-7683,-5797,-6878,-7217,-2930,-4057,-1240,-4306,-6493,-2820,-18,-22,-1540,-3867,-2023,-3839,-4399,-5052,-848,-1256,-1934,-1042,-1023,-1030,-1632,-1658,-1028,-1042,-2188,-2113,-1845,-1170,-2888,-2145,-5131,-4279,-4757,-3678,-3857,-3677,-4362,-3599,-2062,-1765,-2570,-2008,-3781,-2362,-3744,-6413,-4753,-4633,-4912,-5206,-7059,-5791,-6743,-6535,-6930,-7177,-7684,-7433,-8822,-8757,-5573,-5459,-5509,-5704,-4831,-4000,-4213,-4210,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,175,485,665,610,666,1001,882,19,1422,1882,-2822,67,-561,8,878,5,4,-14,7,5,37,-3,22,4,26,7,-10,3,54,-8,-74,27,1,30,-40,-5,19,13,6,58,28,42,9,0,0,0,-19,0,0,0,10,-25,0,-15,0,0,0,0,0,0,-16,0,6,0,-39,0,0,0,285,316,-239,-178,-65,-123,-3,-112,312,-375,-15,-150,-156,-640,-25,-780,-459,404,160,286,-39,-1052,-2946,-235,79,-1937,-430,-172,-192,-158,-341,-264,-317,-258,-167,-307,-201,-498,-303,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234,-349,854,254,640,819,1129,-291,-271,-1768,2227,-2351,-1229,-1711,-1015,-1657,-729,258,-265,-3834,-3433,-534,-1214,-461,-346,-2244,-1033,1286,-735,-33618,-2966,-3766,-2945,-7814,-5128,-4657,-8160,-2301,-7050,-6977,-3095,-2695,-1944,-5063,-5244,-3858,-1060,2699,-2190,-4277,-2726,-4098,-639,-6751,1437,-2423,-2869,-2513,-1605,-2421,-2714,-1221,-2744,-1469,-3396,2615,-4304,-3309,-2978,534,-3065,-3604,-3648,-518,-4916,971,14329,3016,-6236,-2701,-6341,-1552,-19658,-6039,-7384,-13216,-7601,-8686,-10209,-8915,-14645,-12262,-10289,-13634,-13192,-11371,-16276,-11986,-17345,-13269,-10883,-11349,-10290,-11413,14761,-10147,-18808,-23563,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,-83,-36,108,29,-1,-30,-37,58,-3,28,20,-38,-52,30,-44,47,15,-39,-31,24,33,2,-198,-6,-34,-36,3,-44,-18,17,-22,10,-18,12,15,26,-17,25,16,-129,17,18,-21,-72,18,-64,-83,-46,14,-33,36,-73,106,24,-198,-230,88,29,-81,-99,72,-80,-103,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,56.779,,,,189.378,,,,326.779,,,,401,,,,,,,,,,,,,,,,897,255,-1379,1528,-271,1352,922,90,-1228,-186,243,160,-346,-2205,890,618,-227,-809,2143,-140,-2100,2342,214,-1252,2138,-670,381,2800,7033,-4841,-6585,224,1749,-1877,1109,268,2363,2362,-2217,752,-1500,526,823,4360,-1481,-1335,-658,-1061,-1209,2747,599,-1267,-2650,2656,-4138,2998,2589,3271,-2271,-4222,550,-1902,981,-777,-1436,219,6036,1513,-2903,-2367,124,988,-1819,-164,1754,-15,-660,7418,-5460,-1755,950,-779,5975,-3638,2725,3191,-8499,4574,144,1761,-4253,2846,1866,3629,-2773,-730,522,4941,1439,-8106,1433,8953,-7238,10916,8142,45748,-63147,2329,-1319,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
