CAT US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,274,286,287,304,281,279,278,276,239,234,235,361,315,474,468,462,424,431,655,646,387,460,467,456,475,454,492,536,511,492,485,474,465,488,485,824,805,794,775,4529,4368,4287,4236,4166,4016,3875,3764,3718,3596,3509,3398,3210,3076,2890,2863,2841,2821,2741,2652,2453,2349,2287,2232,2175,2111,2163,2039,1976,1897,1807,1733,1630,1565,1478,1420,1363,1308,1246,1176,1121,1042,967,889,806,758,694,630,604,564,516,488,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3219,3270,3298,2714,2558,2464,2909,2493,2412,2387,806,2157,2082,2032,1873,2011,2112,2153,1985,594,700,737,761,1404,1342,1473,1559,2489,2486,2536,2579,2790,2940,2866,2845,1693,1687,1626,1288,1439,1378,1473,1372,1411,1426,1459,1440,1523,1391,1455,1744,1840,1973,2121,2218,2213,2405,2607,2719,2816,2860,2920,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,87,,,,33,,6,,14,,33,40,43,61,67,85,32,165,114,102,131,104,151,189,124,317,562,786,,,,463,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697,695,715,,814,805,769,773,835,602,518,553,553,559,518,,875,837,787,,750,763,751,747,792,784,752,800,817,820,839,,558,555,563,,546,571,,,554,551,551,598,563,641,100,94,92,92,101,105,133,154,160,164,140,123,121,133,139,124,199,272,270,288,278,272,266,259,265,257,230,229,231,246,,,247,249,,228,252,243,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,676,660,688,777,793,803,832,818,837,821,810,2537,2552,2591,4786,2625,2427,2467,2485,2271,2311,2365,2306,2347,2438,2538,2705,2670,1772,1955,1856,2869,1999,2007,1947,1646,1658,1722,1922,1921,1959,2038,2066,2314,1772,1875,1943,2661,1888,1939,1946,1982.531,2064,2242,2227,2043,2307,2296,2211,3449,3010,2985,2981,3078,2514,2462,3520,4253,3940,3877,3796,3475,3568,3574,3309,5016,1735,2067,2113,1632,2025,1524,1551,1538,1546,1567,1544,2107,2208,2146,2205,1785,1734,1729,1733,1745,1762,1832,1814,1798,1802,1776,1740,1665,2001,2044,1782,1389,1626,1488,1559,1770,2156,2245,2238,2289,2392,2471,2525,2684,3394,3435,3408,3093,3851,3787,3702,3382,4355,4045,3648,4029,4554,4590,4428,4701,5155,5008,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,5309,5468,5631,6050,6129,6236,6358,6472,6530,6517,6561,8398,8328,8502,8553,8736,8527,8754,8856,8841,8822,9412,9182,9183,9417,9781,9524,9945,10213,10378,10562,10942,12701,13420,13348,13669,13816,14503,14482,14901,14993,15526,15400,15943,16225,16533,16468,17257,17264,17888,17589,18238.531,18468,18731,19056,19674,19992,19992,20758,23563,24123,23829,24503,24279,24323,25574,26387,27786,28290,29376,29877,30655,31297,32595,33705,36149,34768,34709,34615,32821,32424,31417,33065,32210,31779,32856,40903,43318,43699,44544,45902,46832,46598,46570,47184,46561,46429,46551,45446,45814,43999,44015,43689,44834,44559,44694,44403,42737,42001,41519,41375,40718,40657,40346,39755,39906,39600,39398,38833,39260,38308,38704,38207,38860,38148,38751,38891,39338,39706,39125,38330,38158,37989,38427,38786,40527,40077,40240,
Total Assets,BS_TOT_ASSET,11136,11349,11475,11951,12070,12242,12278,12042,11918,12082,12315,13935,14167,14359,14825,14807,15197,15445,15913,16250,16798,17878,17486,16830,17412,18122,18598,18728,19292,20197,20758,20756,23577,25106,25134,25128,25719,26755,26459,26635,26963,27884,27840,28464,29225,30277,29903,30657,31147,32734,32374,32851,33538,34220,35067,36465,37858,38718,40394,43095,44347,44823,45865,47069,47957,49905,50483,51449,52248,53506,54799,56132,58204,60453,64229,67782,64440,62092,60838,60038,58836,58793,61642,64020,66387,73611,77767,81446,83908,88838,90541,88970,88743,87375,87272,84896,84397,87827,84488,84681,82490,82242,78969,78342,78307,78300,76402,74704,77549,78510,78560,76962,78014,78987,78209,78509,78726,79187,77993,78453,75894,76566,76741,78324,80729,81697,80784,82793,82276,81107,80907,81943,83649,85427,86791,87476,83741,83336,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,99,46,54,11,-32,-17,-37,-318,-2374,-64,5,-2,34,67,432,119,192,240,244,279,300,323,213,300,296,374,310,381,394,435,385,451,430,446,336,301,205,283,219,239,258,315,216,264,162,271,205,167,80,280,213,305,129,399,222,349,420,552,498,551,581,760,667,846,840,1046,769,882,816,823,927,975,922,1106,868,689,-112,371,404,232,233,707,792,968,1225,1015,1141,1547,1586,1699,1699,697,880,960,946,1003,922,999,1017,757,1245,802,559,-94,271,550,283,-1171,192,802,1059,-1299,1665,1707,1727,1048,1881,1620,1494,1098,1092,458,668,780,1530,1413,1426,2120,1537,1673,2041,1454,1943,2922,2794,2676,2856,2681,
Cash from Operating Activities,CF_CASH_FROM_OPER,90,173,388,169,-16,84,200,373,276,-41,152,116,108,204,332,761,152,541,478,586,420,468,564,738,267,562,459,494,340,503,819,434,108,266,970,434,-61,680,1127,824,-90,1198,552,411,316,467,720,484,103,728,632,1006,218,759,430,779,98,473,-480,1086,179,817,1134,983,507,1414,1645,2260,1349,1887,2194,2505,706,1199,1375,1573,895,1908,1715,1981,716,1104,1127,2177,765,2529,2221,1495,315,1663,1240,1922,1424,3169,3018,2580,1897,2237,2052,1871,1270,2088,1506,1835,490,2314,1163,1669,1541,2383,1241,541,935,2148,1392,2083,1121,2588,769,2434,1130,1391,1734,2072,1928,2118,1740,1412,313,2233,2481,2739,1573,3249,4060,4003,2052,3021,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,-117,-120,-146,-82,-116,-165,-197,-28,-118,-191,-226,-151,-173,-241,-256,-458,-162,-198,-228,-477,0,-537,-121,-399,-242,-382,-406,-582,-263,-605,-295,-312,-187,-259,-236,-322,-140,-307,-421,-660,-272,-434,-521,-551,-277,-488,-498,-840,-398,-597,-643,-994,-523,-541,-626,-1339,-237,-193,-269,-531,-185,-84,-295,-668,-458,-425,-694,-993,-884,-868,-934,-1273,-1056,-783,-731,-1032,-555,-538,-608,-774,-659,-445,-620,-777,-567,-655,-406,-401,-275,-286,-212,-399,-499,-490,-408,-583,-338,-465,-241,-472,-332,-284,-325,-402,-195,-269,-346,-397,-410,-396,-419,-544,-566,-523,-586,-636,-581,-532,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,31,34,38,32,32,25,52,50,45,61,59,0,114,,98,90,94,80,92,120,250,110,201,160,154,137,310,206,175,97,108,131,173,143,190,208,111,121,132,106,102,94,106,122,327,305,228,208,246,345,443,353,402,346,368,302,319,301,432,245,298,297,277,176,182,235,251,184,258,239,223,167,200,106,287,173,210,189,327,234,329,301,300,258,281,193,204,209,213,390,341,216,166,168,222,309,327,241,388,269,199,198,164,184,184,195,218,155,187,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,-117,-120,-146,-82,-116,-165,-197,-28,-153,-222,-260,-189,-205,-273,-281,-510,-212,-243,-289,-536,0,-651,-121,-497,-332,-476,-486,-674,-383,-855,-405,-513,-347,-413,-373,-632,-346,-482,-518,-768,-403,-607,-664,-741,-485,-599,-619,-972,-504,-699,-737,-1100,-645,-868,-931,-1567,-445,-439,-614,-974,-538,-486,-641,-1036,-760,-744,-995,-1425,-1129,-1166,-1231,-1550,-1232,-965,-966,-1283,-739,-796,-847,-997,-826,-645,-726,-1064,-740,-865,-595,-728,-509,-615,-513,-699,-757,-771,-601,-787,-547,-678,-631,-813,-548,-450,-493,-624,-504,-596,-587,-785,-679,-595,-617,-708,-750,-707,-781,-854,-736,-719,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-297,-544,-486,121,-426,-1449,-293,-29,-130,-1187,35,-244,344,-1084,-486,29,-623,-582,437,-70,-135,-1113,437,-486,-122,-101,-506,-775,-694,-635,-4998,-855,-644,-212,-649,-872,-109,54,-554,-752,-154,-885,-50,-1006,-715,-940,-1401,-309,688,724,745,124,201,-52,167,189,-13,-196,-273,-438,-616,-943,-600,-724,-430,-477,-532,-196,-399,-538,-109,-214,162,-188,-123,-397,43,-178,247,45,167,160,57,-192,119,-733,-30,-161,247,-407,34,-233,231,-111,295,-112,146,-742,258,-183,-13,-152,39,121,173,-358,-466,-413,-103,-563,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005,1390,1178,1865,1305,1317,1558,2160,1570,1458,2128,1844,1785,6627,1627,3643,3493,3645,5169,3139,3138,6521,4126,3529,3264,4388,3864,4126,4118,5355,0,0,1607,2696,1502,2152,2237,2822,2149,1953,2399,2918,3391,3143,2347,3097,2668,2554,2477,2735,2200,1976,1958,2208,2271,2566,1995,2090,2524,2472,2111,2272,2293,2451,2285,2352,2263,2887,2235,2588,2595,2600,2284,2267,2399,2433,2057,2451,2515,2473,2289,3302,3039,3515,2740,2789,2919,2930,2862,3159,3306,3091,3184,3648,2861,2995,2775,2832,3658,3216,2975,3565,3248,3446,3193,3595,3643,3666,3153,3627,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1302,-1934,-1664,-1744,-1731,-2766,-1851,-2189,-1700,-2645,-2093,-2088,-1441,-7711,-2113,-3614,-4116,-4227,-4732,-3209,-3273,-7634,-3689,-4015,-3386,-4489,-4370,-4901,-4812,-5990,-4998,-855,-2251,-2908,-2151,-3024,-2346,-2768,-2703,-2705,-2553,-3803,-3441,-4149,-3062,-4037,-4069,-2863,-1789,-2011,-1455,-1852,-1757,-2260,-2104,-2377,-2008,-2286,-2797,-2910,-2727,-3215,-2893,-3175,-2715,-2829,-2795,-3083,-2634,-3126,-2704,-2814,-2122,-2455,-2522,-2830,-2014,-2629,-2268,-2428,-2122,-3142,-2982,-3707,-2621,-3522,-2949,-3091,-2615,-3566,-3272,-3324,-2953,-3759,-2566,-3107,-2629,-3574,-3400,-3399,-2988,-3717,-3209,-3325,-3020,-3953,-4109,-4079,-3256,-4190,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-19,-103,-67,-941,-15,13,-60,-7345,-416,-63,-146,676,114,98,-24,-99,195,8,116,54,-9,138,-33,-71,-256,-12,-26,-34,-119,-18,88,-24,-5,-328,-8,-7,-33,-2,-1,0,-3,-35,-14,-31,-6,-358,-12,-56,-28,-8,-27,-8,-44,-19,-15,-47,2,42,-135,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,21,0,0,355,0,308,701,190,98,2,68,197,13,126,57,3,167,1,6,4,0,0,0,0,0,91,2,7,12,0,2,2,0,0,3,38,0,0,13,12,28,0,-5,13,0,1,0,0,-14,0,0,10,42,-103,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-103,-67,-941,-15,-8,-60,-7345,-771,-63,-454,-25,-76,0,-26,-167,-2,-5,-10,-3,-12,-29,-34,-77,-260,-12,-26,-34,-119,-18,-3,-26,-12,-340,-8,-9,-35,-2,-1,-3,-41,-35,-14,-44,-18,-386,-12,-51,-41,-8,-28,-8,-44,-5,-15,-47,-8,0,-32,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85,-206,-14,-344,-1166,-277,82,106,-23,-128,-290,12,-4,-155,73,-183,-383,-96,11,-9,-301,-307,-24,-3,-57,-55,31,28,-78,-37,5413,321,-27,70,25,562,71,-400,-84,81,-75,88,103,203,117,-229,111,99,52,-186,-44,-8,32,-17,127,1,24,-71,48,117,27,-11,10,45,-71,-57,84,65,-2,-474,42,373,-25,-41,-68,-114,-36,-26,32,333,1,4,-95,63,-92,-37,99,-21,-88,-25,-68,134,-77,-121,-155,-6,-70,-217,-231,-384,-882,0,578,-376,-271,-303,-5278,493,1600,508,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-500,-941,-726,-374,-1765,-1967,-467,-381,-315,-1513,-483,-709,340,-1776,-534,-553,-1248,-1060,42,-661,-699,-2025,118,-801,-366,-415,-711,-1069,-912,-979,-6,-1194,-943,-576,-1145,-861,-315,-834,-1136,-1511,-627,-1394,-590,-1797,-1121,-1710,-1916,-1549,503,345,432,-434,-55,-220,-942,-493,-434,-752,-8264,-1730,-1536,-1968,-848,-1838,-1459,-1341,-1278,-968,-948,-1434,-621,-624,-384,-707,-882,-1544,-572,-885,-161,-142,-125,-34,-274,-533,-800,-1268,-346,-798,-181,-898,-275,-574,-213,-530,-216,-526,-477,-1240,-375,-992,-1313,-575,190,-843,-683,-1199,-6377,-554,958,-722,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,-75,-94,-93,-92,-91,-110,-107,-107,-107,-116,-115,-115,-228,-2,-117,-117,-117,-120,-120,-120,-241,-120,-120,-120,-120,-121,-130,-127,-127,-141,-139,-141,-139,-169,-169,-168,-167,-196,-195,-193,-193,-231,-228,-223,-221,-256,-253,-253,-252,-261,-263,-262,-265,-277,-280,-281,-284,-297,-297,-298,-300,-339,-680,0,-342,-388,-381,-383,-374,-440,-423,-424,-422,-463,-448,-448,-450,-450,-451,-452,-454,-461,-464,-467,-466,-511,-507,-494,-492,-578,-568,-567,-558,-558,-560,-562,-564,-607,-599,-595,-592,-633,-620,-620,-618,-663,-662,-648,-635,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419,623,484,-221,1851,1837,-95,232,472,1091,-529,321,203,1066,-97,241,1019,776,-744,478,619,1414,-496,-222,295,-301,459,679,1115,681,684,150,1151,503,465,854,60,942,15,-259,-46,-62,-683,645,954,1281,2543,787,-282,-1624,-1727,-647,-1687,-669,-1262,-228,990,4250,-1042,626,1145,3422,504,407,504,-404,-135,-1576,314,2042,-355,443,160,-586,-342,630,-9,-90,-1184,-27,1356,-1221,-1428,-1090,283,1075,-392,874,-424,427,1756,-353,-365,1418,-562,-1101,1045,-645,-765,1046,-272,-512,-246,378,-61,651,-415,419,111,-490,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-130,-81,-249,-235,-84,-112,-290,-75,-78,-63,-67,-41,-211,-323,140,-14,-18,-11,-9,1,6,8,0,2,0,18,63,-329,-181,38,-120,41,-203,-358,-66,-575,-384,-1531,-401,-336,-412,-285,-334,-891,-652,-541,-340,-76,0,33,25,52,39,84,159,167,181,74,24,33,148,33,25,38,49,-931,-971,77,-1577,164,-2445,41,-351,-123,-1497,-21,-45,-2,1,23,-19,83,270,213,-351,-643,-714,-1777,-756,-1310,-1158,-585,-1043,-97,120,119,65,-193,-1372,-1033,-848,-1100,-1387,-872,-400,-1451,-322,-2787,-4455,-1812,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,1,2,2,1,1,0,8,2,1,0,3,140,1,1,3,1,1,6,8,0,2,0,18,63,76,69,38,30,180,154,124,134,70,354,142,46,14,99,221,134,29,40,129,14,8,0,33,25,52,39,84,159,167,181,74,24,33,148,33,25,38,49,69,29,77,161,164,55,41,17,1,2,13,0,0,8,23,0,83,270,213,149,107,36,21,0,39,20,179,0,0,120,119,65,58,0,12,0,4,0,47,0,0,36,0,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-133,-85,-252,-236,-86,-114,-291,-76,-78,-71,-69,-42,-211,-326,,-15,-19,-14,-10,0,0,0,0,0,0,0,0,-405,-250,0,-150,-139,-357,-482,-200,-645,-738,-1673,-447,-350,-511,-506,-468,-920,-692,-670,-354,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,-1000,0,-1738,0,-2500,0,-368,-124,-1499,-34,-45,-2,-7,0,-19,0,0,0,-500,-750,-750,-1798,-756,-1349,-1178,-764,-1043,-97,0,0,0,-251,-1372,-1045,-848,-1104,-1387,-919,-400,-1451,-358,-2787,-4455,-1812,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22,10,-4,-6,-4,-18,6,22,-27,-7,26,-15,3,-16,-18,-32,-39,-30,71,-14,-7,1,26,-1,-9,41,-32,15,33,13,13,84,29,-15,-1,-91,-2,18,-22,18,6,2,-8,-22,-9,-3,-50,172,0,-6,0,-10,-26,-26,-80,0,0,-2,-1,-8,-4,-445,0,-6,-8,0,-2,-3,-5,0,0,2,-7,0,0,0,-1,1,-8,0,-6,19,-1,-2,-3,-1,-28,-22,-1,-1,0,-1,-24,23,0,0,-2,0,-2,0,0,28,-1,-9,-25,25,0,0,-8,8,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,477,137,-555,1671,1616,-489,72,260,914,-686,150,-120,499,23,78,845,618,-802,345,498,1182,-590,-341,166,-362,369,235,840,605,436,136,836,-9,229,19,-494,-738,-604,-772,-645,-538,-1256,-496,70,516,1897,630,-535,-1849,-1963,-868,-1936,-876,-1460,-341,890,4038,-1316,354,991,2710,190,-241,545,-1677,-1496,-1883,-1651,1832,-3240,63,-622,-1131,-2302,161,-503,-541,-1641,-455,879,-1573,-1620,-1343,-538,-35,-1645,-1432,-1675,-1376,20,-1507,-1999,786,-1000,-1542,546,-1402,-2746,-586,-1715,-2176,-2267,-1123,-1106,-1393,-1400,-3033,-5000,-2929,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33,21,13,0,-54,-66,60,-16,56,31,-127,-44,37,-166,4,-42,-18,-23,3,-5,-34,-53,-36,-51,-42,8,-97,-38,11,-10,-12,-17,9,4,27,-2,10,-78,-49,-9,3,-13,-37,3,-80,14,10,43,-12,15,-12,-20,-16,9,-72,-115,-1,-59,-59,9,-30,13,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,39,230,-495,14,-85,14,125,-116,81,-42,265,130,-79,41,-64,-87,25,-40,168,-98,-115,160,-136,18,-18,88,-55,26,99,-50,28,72,232,218,141,-302,-158,-95,-23,77,-45,348,212,-345,5,1356,654,830,425,197,679,-1329,-58,-1215,1327,1277,5846,-7486,75,-193,2239,586,-199,492,128,247,-276,-736,2582,-1845,1259,222,258,-1775,414,-574,878,-651,1055,2304,780,-626,-1337,-393,767,-648,-156,-732,301,477,356,-1162,1661,528,47,1985,-509,-1393,-186,-2731,-509,332,658,-217,598,-3776,425,-2020,-617,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
