BYDDY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,-352.434,-325.432,0,0,0,0,0,47.243,103.421,159.357,155.469,611.654,523.867,91.791,573.83,966.939,
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,44.452,137.318,248.97,763.373,953.968,1110.013,592.848,1181.145,1742.88,1363.972,4506.45,3142.267,1727.484,290.725,832.081,873.952,3794.986,6568.41,5620.641,4385.64,2431.131,6882.587,4518.003,21079.729,37268.637,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,0,,,,-4.527,-1.508,127.041,-125.17,-78.067,62.966,-340.95,40.503,2.613,-518.048,-1285.774,476.757,53.077,-124.431,-42.102,600.629,83,974.637,443.881,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644,,,-93.568,-235.353,-53.736,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,69.183,92.062,41.051,9.414,13.951,-12.76,-442.608,35.52,135.402,49.014,18.526,97.943,375.662,112.802,876.123,1053.704,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,-19.099,,,10.776,80.179,9.715,15.373,78.315,,1.023,,458.564,-19.824,299.523,93.293,322.054,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,72,30.151,,37,116.871,169.854,,,,,,91.588,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,-1.222,,,,,-186.494,-1438.165,158.901,3.029,-404.941,-98.834,9.028,1.651,-34.223,-31.257,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,-35.007,-43.812,,,,,,,,,-83.774,,,-57.146,-210.904,-288.72,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,-502.543,-13.314,,-4.261,,-1.376,-3.966,-26.872,-11.638,-131.786,-25.96,224.157,23.586,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,-159.346,-125.095,,,,,,,,,-86.578,,-3.065,5.716,-168.06,-55.692,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,44.452,137.318,248.97,763.373,953.968,1110.013,592.848,1181.145,1742.88,1363.972,4506.45,3142.267,1727.484,290.725,832.081,873.952,3794.986,6568.41,5620.641,4385.64,2431.131,6882.587,4518.003,21079.729,37268.637,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,2.987,6.266,20.289,59.445,61.567,64.426,90.041,53.075,40.551,88.323,428.01,223.677,132.408,77.835,56.215,134.082,656.79,1088.398,703.705,829.447,312.274,868.624,550.737,3366.625,5924.567,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,,,,,,,,41.465,131.052,228.681,703.928,892.401,1045.587,502.807,1128.07,1702.329,1275.649,4078.44,2918.59,1595.076,212.89,775.866,739.87,3138.196,5480.012,4916.936,3556.193,2118.857,6013.963,3967.266,17713.104,31344.07,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,41.465,,131.052,228.681,703.928,892.401,1045.587,502.807,1128.07,1702.329,1275.649,4078.44,2918.59,1595.076,212.89,775.866,739.87,3138.196,5480.012,4916.936,3556.193,2118.857,6013.963,3967.266,17713.104,31344.07
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,0.797,6.998,18.197,45.625,28.54,8.586,-0.206,10.736,90.618,254.4,284.864,395.176,210.451,131.513,222.807,306.345,314.755,427.858,850.458,775.999,504.407,1779.696,922.078,1090.656,1303.259,
"Net Income, GAAP",NET_INCOME,,,,,,,,,,40.668,124.054,210.484,658.303,863.861,1037.001,503.013,1117.334,1611.711,1021.249,3793.576,2523.414,1384.625,81.377,553.059,433.525,2823.441,5052.154,4066.478,2780.194,1614.45,4234.267,3045.188,16622.448,30040.811,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,40.829,212.122,244.049,238.4,257.865,216.634,61.6,6.294,0,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,40.668,124.054,210.484,658.303,863.861,1037.001,503.013,1117.334,1611.711,1021.249,3793.576,2523.414,1384.625,81.377,553.059,433.525,2782.612,4840.032,3822.429,2541.794,1356.585,4017.633,2983.588,16616.154,30040.811,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,40.668,124.054,210.484,658.303,863.861,1037.001,503.013,1117.334,1611.711,1021.249,3793.576,2523.414,1384.625,81.377,553.059,433.525,2782.612,4840.032,3822.429,2541.794,1356.585,4017.633,2983.588,16616.154,30040.811,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,-4.527,-1.0104,,-119.5262,-77.1363,47.2245,-255.7125,30.3773,1.9598,-388.536,-964.3305,357.5678,39.8078,-132.4454,-31.5765,450.4718,-117.675,727.233,336.3098,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,HK GAAP,,HK GAAP,HK GAAP,HK GAAP,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,CN GAAP,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,CN GAAP,IAS/IFRS,IAS/IFRS,CN GAAP,CN GAAP,CN GAAP
EBITDA,EBITDA,,,,,,,,,,57.452,159.786,310.869,843.512,1071.94,1404.72,1082.435,1945.793,3287.526,,,5721.147,5214.872,4517.753,5630.079,6665.289,11044.204,15620.431,15375.091,16389.134,15671.982,22481.477,20554.578,41001.689,78273.137,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,13.8347,18.3118,23.8159,36.8201,26.3812,21.8608,16.6571,15.0383,15.499,,,12.2547,11.2602,10.1795,11.3127,12.0385,14.23,15.5881,14.9781,12.6017,12.8693,14.6489,9.5097,9.6688,12.9954,
EBIT,EBIT,,,,,,,,,,48.405,143.587,274.588,783.516,950.276,1167.5,723.891,1412.623,2376.333,1657.657,4420.468,3471.839,2453.592,1158.424,2003.049,2350.442,5627.587,8592.862,8282.596,6990.449,5834.349,9965.486,6476.053,20715.765,34993.06,
Gross Margin,GROSS_MARGIN,,,,,,,,,,27.4334,30.8106,32.9488,41.6598,32.5611,26.5321,22.3834,21.1624,20.0257,19.6687,22.1574,17.7023,14.8277,11.5508,13.0934,13.7691,15.2802,18.9788,17.472,16.4003,14.8434,17.7518,13.0214,17.0365,20.2148,
Operating Margin,OPER_MARGIN,,,,,,,,,,11.6562,16.4553,21.0364,34.2013,23.387,18.1691,11.1396,10.9176,11.2032,6.0439,10.9308,7.4367,5.2979,2.6102,4.0248,4.2453,7.2509,8.5751,8.0687,5.375,4.791,6.4935,2.9962,4.8851,5.8098,
Profit Margin,PROF_MARGIN,,,,,,,,,,9.7931,14.2168,16.1253,28.7356,21.2602,16.1382,7.7407,8.6355,7.5984,3.7235,9.3807,5.4052,2.9898,0.1834,1.1113,0.783,3.6379,5.0417,3.9615,2.1377,1.3257,2.759,1.4089,3.9198,4.9876,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,134758.7029,145116.7864,160643.825,118151.4545,143765.7444,176760.1083,220968.1279,415198.1211,259363.05,272425.1882,267354.5663,313005.5786,291402.0211,388059.925,516534.5515,510699.5721,590749.6048,531782.1703,684213.9278,750010.0456,743887.7223,856164.7894,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,87.1995,77.2729,45.3419,29.5254,28.3151,12.2391,23.6029,20.1457,9.2867,27.128,14.361,6.9957,0.3846,2.578,1.8418,10.2189,12.6447,7.7559,4.9639,2.6171,7.4299,3.9557,16.1244,24.0481,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,21.7342,20.2619,29.4919,19.6788,14.4211,5.0258,8.0966,7.0573,3.3039,10.3965,5.3507,2.2933,0.1189,0.7473,0.504,2.6955,3.878,2.5166,1.492,0.8275,2.135,1.2259,4.2101,5.1203,
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,45.0592,40.5151,42.3347,26.7551,19.3168,7.6836,13.164,12.7835,7.576,16.756,10.3478,5.8771,1.9828,3.7304,3.5362,6.5606,8.0481,6.376,4.6275,3.2358,6.4711,4.2793,12.8233,18.9,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,46.4997,40.8797,42.1197,27.6065,19.017,8.0855,13.4654,14.3106,6.7553,15.4898,10.3508,6.2235,2.1565,4.1769,3.7249,7.3281,8.3864,6.7743,4.5835,3.8962,7.2571,4.5552,12.1568,17.1324,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,27.4334,30.8106,32.9488,41.6598,32.5611,26.5321,22.3834,21.1624,20.0257,19.6687,22.1574,17.7023,14.8277,11.5508,13.0934,13.7691,15.2802,18.9788,17.472,16.4003,14.8434,17.7518,13.0214,17.0365,20.2148,
Operating Margin,OPER_MARGIN,,,,,,,,,,11.6562,16.4553,21.0364,34.2013,23.387,18.1691,11.1396,10.9176,11.2032,6.0439,10.9308,7.4367,5.2979,2.6102,4.0248,4.2453,7.2509,8.5751,8.0687,5.375,4.791,6.4935,2.9962,4.8851,5.8098,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,20.8134,30.2741,51.6366,9.4089,9.1947,,10.6936,11.6498,,21.2303,,-272.9394,-67.0577,15.6789,6.2051,14.7317,13.1232,,,-13.9683,13.0357,,6.8487,8.0095,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,10.7043,15.7369,19.0737,33.322,23.4778,17.2744,9.1231,9.1286,8.2168,4.9731,11.1435,6.7307,3.7301,0.6551,1.6719,1.5785,4.8897,6.5548,5.4755,3.3722,1.9964,4.4847,2.0903,4.9709,6.1876,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,9.985,15.0188,17.5194,30.7272,21.9626,16.2718,7.7375,8.7184,8.0256,4.6511,10.0851,6.2516,3.4442,0.4797,1.559,1.3363,4.0434,5.4687,4.79,2.7344,1.7399,3.9187,1.8355,4.177,5.2039,
Net Income Margin,PROF_MARGIN,,,,,,,,,,9.7931,14.2168,16.1253,28.7356,21.2602,16.1382,7.7407,8.6355,7.5984,3.7235,9.3807,5.4052,2.9898,0.1834,1.1113,0.783,3.6379,5.0417,3.9615,2.1377,1.3257,2.759,1.4089,3.9198,4.9876,
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,9.7931,,14.2168,16.1253,28.7356,21.2602,16.1382,7.7407,8.6355,7.5984,3.7235,9.3807,5.4052,2.9898,0.1834,1.1113,0.783,3.5853,4.83,3.7237,1.9544,1.114,2.6179,1.3804,3.9183,4.9876
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,,6.7196,4.5631,8.1492,7.7871,6.4538,5.8041,15.1879,4.4935,2.3267,6.4754,9.4977,7.1183,7.6648,26.7727,6.756,15.342,17.3068,16.5702,12.52,18.9128,12.8448,12.6206,12.1898,15.9709,15.8969,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2.06,2.25,2.32,2.6,2.33,2.54,2.71,,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,1.07,1.05,1.07,1.17,1,1.27,1.24,,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.44,1.44,2.05,2.44,3.33,2.83,3.03,3.82,,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5.02,5.13,4.92,4.85,4.65,4.68,4.61,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,22.9655,22.9655,22.9655,22.9655,15.6825,23.8004,28.2768,38.0847,39.4729,50.4476,51.2222,49.5825,51.4938,56.1412,64.0378,62.4987,57.63,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1.0873,15.4636,15.4636,40.1087,37.2395,37.2395,37.2395,45.817,62.2169,55.4515,55.4515,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12.364,15.5985,19.7703,28.0834,30.1391,25.2116,30.9553,36.3362,40.5079,42.0798,33.7364,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,68.7237,68.7237,68.7237,68.7237,46.9296,71.2222,71.2222,83.0223,83.0223,83.0223,86.1529,86.1529,86.1529,86.1529,89.2836,89.8555,83.5942,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.021,0.027,0.103,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162,0.068,0.109,0.09,0.087,0.233,0.492,0.437,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.089,0.073,0.094,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064,,,,,0,0.0007,0.0204,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.406,315.61,550.932,931.916,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3945.77,4903.5,7511.04,11409.5,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,3710.15,4078.89,4926.48,4993.4,5060.95,6598.1,10409.9,16241,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,3010.13,3322.6,3939.28,4006.86,4158.26,5167.56,7915.52,12024,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,64368,74769,96620,90420.898,89615.703,142227,247300,417070,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,4.141,1.067,2.367,116.52,0.972,1.221,3.087,6.313,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,22.441,54.182,58.542,39.243,29.086,41.446,71.741,118.381,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,273.783,278.733,431.833,345.973,400.837,513.246,1209.42,1520.78,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,27142,33369,31848,28191.1,29404.9,35918.898,51100,73810,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,10711.6,15078.3,16243.9,15942.6,18652.301,24497.4,40052,51739.801,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,11.162,9.521,12.44,17.626,11.775,,11.022,26.53,47.552,71.045,40.66,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42141,107012,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,15.4,15.7,16.6,16.9,14,13,14,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5.3,6.1,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,36,30,32,33,34,33,30.47,31.55,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.525,8.52,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.37,0.3,0.247,0.42,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
