RTX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,35.9,62,42,43,42,27,,32,33,33,32,31,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,714.7,-1083,192,444,543,723,906,1040,1222,1498,1776,1907,2205,2328,2673,3069,3732,4224,4689,3829,4373,4979,5130,5721,6220,7608,5055,4552,5269,5537,-3519,3864,5197,3195
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,714.7,-1083,192,444,543,723,906,1040,1222,1498,1776,1907,2205,2328,2673,3069,3732,4224,4689,3829,4373,4979,5130,5721,6220,7608,5055,4552,5269,5537,-3519,3864,5197,3195
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,652,,85,,,,,17.63,,308.76,403.1,155.1,7.1,27.55,13.7,-199.15,1582.9,202.65,938,801,1101.0949,5784.6504,2709.6894,1578.1543,1716.7353
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,322,0,0,0,0,0,-98,-690,0,0,0,0,0,95,0,0,,0,-188,-158,-290,-454,-155,-3610,10,0,0,-2217,367,33,19,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,966.76,972.296,985.904,1007.976,1054.344,1043.824,1044.4919,937.772,911,931.2,940.2,940.4,944,947.6,992.8,991.2,980,963.9,938,917,907.9,892.3,895.2,901,898.3,872.7,818.2,790,800.4,854.8,1357.8,1501.6,1475.5,1426
"Basic EPS, GAAP",IS_EPS,0.7388,-1.1138,0.195,0.4413,0.515,0.6925,0.8625,1.11,1.34,1.61,1.89,2.03,2.335,2.465,2.69,3.1,3.81,4.38,5,4.17,4.82,5.58,5.73,6.35,6.92,8.72,6.18,5.76,6.58,6.48,-2.59,2.57,3.52,2.24
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.7388,-1.1138,0.5213,0.4413,0.515,0.6925,0.8625,1.11,1.235,0.87,1.89,2.03,2.335,2.465,2.69,3.19,3.81,4.38,5,4.17,4.62,5.41,5.41,5.84,6.75,4.58,6.19,5.76,6.58,4.11,-2.29,2.6,3.54,2.24
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.7388,-1.1138,0.5213,0.4413,0.515,0.6925,0.8625,1.11,1.235,1.57,1.89,2.12,2.325,2.465,2.725,3.23,3.83,4.44,5.33,4.6152,4.7804,5.4221,5.4374,5.8587,6.5299,6.395,6.4381,6.9494,7.5837,5.1721,1.9389,4.3998,4.6046,3.4444
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,1065.536,1088.0959,1097.256,1116.912,1054.344,1043.824,1044.4919,1014.22,989.6,1013.4,1016,1010.8,1012,1005.8,1010.8,1014.5,1005.7,988.8,956,929,922.7,906.8,906.6,915.1,911.6,883.2,826.1,799.1,810.1,863.9,1357.8,1508.5,1485.9,1435.4
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.7388,-1.1138,0.175,0.4125,0.515,0.6925,0.8625,1.0525,1.265,1.505,1.775,1.915,2.21,2.345,2.64,3.03,3.71,4.27,4.9,4.12,4.74,5.49,5.66,6.25,6.82,8.61,6.12,5.7,6.5,6.41,-2.59,2.56,3.5,2.23
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.7388,-1.1138,0.4688,0.4125,0.515,0.6925,0.8625,1.0525,1.165,0.825,1.775,1.915,2.21,2.345,2.64,3.12,3.71,4.27,4.9,4.12,4.55,5.33,5.35,5.75,6.65,4.53,6.13,5.7,6.5,4.06,-2.29,2.58,3.51,2.23
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.7388,-1.1138,0.4688,0.4125,0.515,0.6925,0.8625,1.0525,1.165,1.47,1.775,2,2.2,2.345,2.675,3.16,3.73,4.33,5.22,4.5539,4.7181,5.3378,5.3804,5.765,6.4315,6.3222,6.3753,6.8738,7.4888,5.1721,1.9389,4.3763,4.5721,3.426
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,2011.5,1065,1028,1630,1795,2432,2634,2528,2715,2053,3999,4138,4384,4644,5279,6166,7131,8223,8946,7723,8198,9109,9208,10284,11413,9154,10134,10278,10986,7622,2267,9515,10087,8235
EBITDA Margin (T12M),EBITDA_MARGIN,9.3811,5.1104,4.7502,7.8607,8.6294,10.6657,11.2028,10.5382,11.9147,8.6101,15.0434,14.8331,15.5395,14.9642,14.098,14.4318,14.9094,15.0167,14.9706,14.5937,15.6824,16.3378,15.9562,18.1696,19.7116,16.3179,17.7032,17.1767,16.5201,16.8074,4.0062,14.7776,15.0386,11.9486
EBIT,EBIT,1311.6,301,176,815,955,1588,1781,1694,1985,1234,3140,3233,3657,3845,4301,5182,6098,7050,7625,6465,6898,7846,7684,8549,9593,7291,8172,8138,8553,4914,-1889,4958,5504,3561
Gross Margin,GROSS_MARGIN,25.3092,21.3676,21.8382,21.6966,21.4845,22.8138,24.5619,23.7651,25.8481,23.7334,28.6386,27.9958,28.5375,27.4731,27.248,27.5951,27.3662,27.0951,26.9759,26.5665,27.3955,27.5944,26.9547,28.5018,29.3644,27.9279,27.5732,26.131,24.8357,23.7072,15.0759,19.3996,20.3775,17.5406
Operating Margin,OPER_MARGIN,6.117,1.4443,0.8133,3.9304,4.5911,6.9643,7.5749,7.0616,8.7111,5.1753,11.8121,11.5891,12.9626,12.3896,11.4862,12.1287,12.7496,12.8746,12.76,12.2166,13.1956,14.0725,13.3153,15.1042,16.5682,12.9969,14.2757,13.6003,12.8615,10.836,-3.3382,7.7002,8.2059,5.1669
Profit Margin,PROF_MARGIN,3.5006,-4.8992,1.0813,2.3486,2.8124,3.2892,3.8534,4.4687,5.5075,6.4209,6.8013,6.947,7.9257,7.6078,7.1385,7.1831,7.8028,7.7138,7.8468,7.2354,8.3654,8.9303,8.8896,10.1078,10.7427,13.562,8.8306,7.6073,7.9232,12.2098,-6.2187,6.0011,7.7482,4.6358
Sales per Employee,ACTUAL_SALES_PER_EMPL,111329.1796,112587.7904,121578.6517,122989.3238,121643.2749,133657.6788,135281.9333,133198.2232,127444.0716,160782.1982,172841.3524,183532.8947,182012.9032,152651.2543,178309.5238,192281.7282,222979.021,242726.0638,267848.4984,256023.2221,251080.6916,278909.4547,264715.5963,266981.1321,273758.8652,284761.4213,283948.4127,291887.8049,277087.5,186467.9276,312635.3591,370045.977,368538.4615,372540.5405
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,14.177,-23.2801,5.238,12.744,14.7755,18.6029,21.7605,24.824,28.9197,26.0635,24.0341,23.7914,26.3693,23.2081,20.5829,19.6372,21.7685,21.8566,25.2654,21.3737,21.0996,23.0163,21.4671,19.8027,19.7213,25.9787,18.4029,15.9191,15.4843,13.8045,-6.1771,5.3212,7.1338,4.8252
Return on Assets,RETURN_ON_ASSET,4.9193,-6.4006,1.4665,3.0876,3.745,4.7495,5.5408,6.4608,7.3375,7.2673,7.2713,7.4006,7.9567,7.3246,7.0607,7.107,8.0201,8.3055,8.4174,6.8011,7.6548,8.3021,6.801,6.3566,6.8427,8.5153,5.7057,4.8782,4.5593,4.0442,-2.3323,2.3885,3.2454,1.9923
Return on Capital,RETURN_ON_CAP,11.6411,,6.6824,10.3609,12.3804,15.0005,16.9955,19.3083,21.2424,18.2923,16.8024,17.0589,18.6806,17.5352,16.5002,15.8234,17.0497,17.4758,18.5731,15.7574,16.4029,17.6317,14.6772,13.2018,14.0389,16.9015,12.2829,9.9011,8.9343,8.5465,-2.2202,4.8654,5.9912,4.4969
Return on Invested Capital,RETURN_ON_INV_CAPITAL,8.8868,,1.4201,7.0969,8.525,14.7914,16.9955,18.2812,19.7868,8.49,15.0248,17.1137,21.4311,19.7633,17.7391,16.8593,17.9945,18.0469,18.0887,15.598,14.7463,16.3109,13.8802,12.2391,12.7254,9.5985,11.7192,8.0801,6.8898,4.0944,-3.5188,2.0552,2.6819,1.2616
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,25.3092,21.3676,21.8382,21.6966,21.4845,22.8138,24.5619,23.7651,25.8481,23.7334,28.6386,27.9958,28.5375,27.4731,27.248,27.5951,27.3662,27.0951,26.9759,26.5665,27.3955,27.5944,26.9547,28.5018,29.3644,27.9279,27.5732,26.131,24.8357,23.7072,15.0759,19.3996,20.3775,17.5406
Operating Margin,OPER_MARGIN,6.117,1.4443,0.8133,3.9304,4.5911,6.9643,7.5749,7.0616,8.7111,5.1753,11.8121,11.5891,12.9626,12.3896,11.4862,12.1287,12.7496,12.8746,12.76,12.2166,13.1956,14.0725,13.3153,15.1042,16.5682,12.9969,14.2757,13.6003,12.8615,10.836,-3.3382,7.7002,8.2059,5.1669
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,-167.8738,,,215.3846,31.6342,27.1831,,,,69.5874,7.0776,134.6032,6.6619,7.1128,16.6856,17.9467,13.7374,11.5046,-16.9665,,27.2492,,,80.3077,-127.7469,76.8761,,6.2275,-17.204,,87.7708,20.3276,
Pretax Margin,PRETAX_INC_TO_NET_SALES,6.0218,-4.2754,0.9242,4.3837,5.1728,5.8942,6.6349,7.2367,7.9431,5.2718,10.3751,10.062,11.6121,11.1813,10.5168,10.9631,11.4826,11.6584,11.607,10.8844,11.9522,13.1829,11.9758,13.523,15.0466,11.528,12.4607,12.9736,12.4509,9.1557,-4.1582,7.6583,9.1198,5.5659
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,3.7874,-4.6353,0.5684,2.7633,3.3268,3.8593,4.4105,4.8814,5.4505,3.9087,7.1662,7.3556,8.468,8.1491,7.7634,8.0304,8.3589,8.3055,8.4559,7.8968,8.6523,9.3554,9.0109,9.9912,11.171,7.765,9.4962,8.2223,8.5021,8.2273,-5.1743,6.4375,7.942,4.9042
Net Income Margin,PROF_MARGIN,3.5006,-4.8992,1.0813,2.3486,2.8124,3.2892,3.8534,4.4687,5.5075,6.4209,6.8013,6.947,7.9257,7.6078,7.1385,7.1831,7.8028,7.7138,7.8468,7.2354,8.3654,8.9303,8.8896,10.1078,10.7427,13.562,8.8306,7.6073,7.9232,12.2098,-6.2187,6.0011,7.7482,4.6358
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,3.3332,-5.1967,0.8872,2.1412,2.6105,3.1708,3.8534,4.3353,5.3627,6.2825,6.681,6.8359,7.8158,7.5015,7.1385,7.1831,7.8028,7.7138,7.8468,7.2354,8.3654,8.9303,8.8896,10.1078,10.7427,13.562,8.8306,7.6073,7.9232,12.2098,-6.2187,6.0011,7.7482,4.6358
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,37.105,,38.5,36.9637,35.6877,34.5238,33.5256,32.5461,31.3812,25.8552,30.9282,26.897,27.0757,27.1182,26.1808,26.7506,27.2032,28.7594,27.1482,27.4479,27.6088,29.034,24.7576,26.1171,25.7576,32.6426,23.7908,36.6224,31.715,10.1397,,15.94,12.9148,11.8874
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.73,3.46,3.78,4.25,3.9,4.18,4.49,5.01,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,3.14,3.59,3.97,2.76,2.98,3.95,5.12,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.67,1.67,2.08,2.08,2.77,2.77,3.18,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.69,6.86,7.73,8.3,8.06,7.45,7.72,7.9,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,31.7875,32.1296,33.5178,33.5178,34.071,32.1296,33.5681,34.9562,34.8456,36.8474,43.0641,52.8418,53.8678,52.4293,49.8944,52.4997,63.1023,59.7727,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,4.6814,8.064,8.064,8.064,6.1009,8.064,8.064,9.7252,9.3929,9.3929,24.4337,47.5083,50.5889,45.2431,37.6321,41.3168,65.5391,57.1127,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,9.9758,7.6179,11.7896,11.7896,15.4172,7.6179,9.4317,9.4317,9.4317,15.4474,17.11,17.11,17.11,18.1378,18.1378,28.5671,36.185,34.6131,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,85.5208,85.5208,85.5208,87.4774,93.7387,93.7387,93.7387,93.7387,87.4774,87.4774,87.4774,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,759.172,785.316,796.383,607.971,536.565,510.42,506.7,532.402
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.82,1071.07,994.4,1160.14,1002.04,941.639,936.1,939.441
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,6238.18,5255.98,4640.6,6015.55,5138.27,4897.73,5065.34,5093.58
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.41,2505.41,2287.23,2864.07,2620.66,2562.06,2645.15,2597.73
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,173134,196120,220387,209118,183286,184214,188727,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,191.533,74.635,12.675,106.89,51.692,0.086,0.3,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,27.211,26.304,24.943,,20.355,22.27,22.5,24.515
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,413,175.964,151.474,141.043,115.646,109.751,112.018,101.134,129.705,131.066,118.367,202.268,236.735,305.669,,,87.3,99.9,127.26
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,5882,5521,5489.1,6991.97,5791.94,5686,5874.09,6097.18
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,2972,4955,,,,2718,3297,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,17.6,,20.3,25.5,19,,,,,,,,,,,,33.7,40.4,55.2
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,30.13,,33
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.42,27.72,28.58,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,25.2,25.5,25.3
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,30.9,32,33
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,4,0,0
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,0.18,0.13,0.2,0.19,0.17,0.15,0.13,0.11,0.1,0.09,0.09,0.09,0.12,0.08,0.07
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,222200,213197,225600,223100,206700,208200,199900,218000,212000,211000,197000,201600,205000,240000,243200,181000,174000,182000,185000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,703000,668000,656000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
