AAPL US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,502,500,844,812,781,830,799,1400,2200,1700,1600,2000,2600,3100,3000,2600,2600,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,180,226,,130,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,0,,,,0,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,137.66,171.858,174.216,176.997,173.416,181.991,182.009,217.784,226.023,230.103,203.078,151.953,165.138,188.092,173.511,192.097,187.374,198.441,159.194,154,226,230,296,290,265,276,251,260,289,308,323,324,335,301,243,381,513,408,558,219,237,225,277,288,303,330,110,101,103,114,131,136,132,137,150,151,158,154,191,209,234,239,338,1071,1522,1351,1238,1251,1001,945,925,1631,876,774,772,1854,1816,2226,1167,1019,1015,1289,1464,1554,1685,1740,1956,2281,2392,2338,2478,2583,2694,3221,5146,5091,5106,4160,3764,3608,3937,4081,5422,7974,7745,7862,8757,7390,7549,10150,10162,13323,23086,22546,22283,34686,34587,33634,32978,33195,33868,32836,33952,43270,43339,44854,38762,50109,51959,52605,44011,60924,65388,64768,54097,66681,70262,70435,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,505.934,550.562,572.381,613.249,609.316,627.127,629.987,673.914,683.931,698.004,665.299,791.286,815.451,847.612,833.057,834.433,864.092,863.423,826.294,815,889,921,1007,1002,957,891,849,853,845,848,809,753,750,666,591,725,843,721,876,2677,2095,1775,1376,1060,785,823,878,850,850,850,910,885,893,895,928,942,951,937,995,1040,1104,1112,1251,2019,2625,2623,2696,2797,2688,2846,3177,3850,3176,3280,6165,7624,9384,12970,15946,20594,24721,28692,33505,42815,47907,59860,71383,83910,100222,110953,118411,123740,131406,131637,133714,144837,135448,154571,163308,178491,193303,202198,200967,217065,217685,211841,214817,227809,232542,232298,246674,262984,237449,233436,234386,232891,218652,187266,175697,177387,176647,177279,180175,199948,215693,215417,216166,228037,232482,224017,217350,217970,219247,212379,209017,209822,208995,206177,
Total Assets,BS_TOT_ASSET,2775.6699,2889.5359,2975.707,3157.2581,3422.176,3455.4609,3493.5969,3745.4641,3940.874,4121.1558,4223.6929,4494.6089,4470.0879,4767.9829,5171.4121,5042.4399,5285.8862,5123.4121,5302.7461,5533,6050,6112,6231,6553,5234,5345,5364,5272,4487,4341,4233,4126,3963,4041,4289,4592,4935,5019,5161,7586,7007,6932,6803,5986,6130,6071,6021,6122,6264,6293,6298,6269,6361,6441,6815,6971,6735,7223,8050,9362,10111,10488,11551,14181,13911,15114,17205,19455,18686,21503,24878,30039,28949,30123,36171,42787,43237,48140,47501,53926,57057,64725,75183,86742,94904,106758,116371,138681,150934,162896,176064,196088,194743,199856,207000,225184,205989,222520,231839,261894,261194,273151,290345,293284,305277,305602,321686,331141,334532,345173,375319,406794,367502,349197,365725,373719,341998,322239,338516,340618,320400,317344,323888,354054,337158,329840,351002,381191,350662,336309,352755,346747,332160,335038,352583,353514,337411,331612,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,131.815,119.764,98.476,150.509,131.149,-53.055,81.238,166.018,135.078,131.665,97.612,161.341,110.9,-188.316,2.664,40.018,17.404,138.101,114.655,188,73,103,60,-69,-740,-32,25,-120,-708,-56,-161,47,55,101,106,152,135,203,111,183,233,200,170,-195,43,61,66,38,40,32,-45,-8,14,19,44,63,46,61,106,295,290,319,428,565,410,472,542,1011,774,840,870,1581,1101,1131,2247,2255,1620,1828,2532,3378,3074,3253,4308,6004,5987,7308,6623,13064,11622,8824,8223,13078,9547,6900,7512,13072,10223,7748,8467,18024,13569,10677,11124,18361,10516,7796,9014,17891,11029,8717,10714,20065,13822,11519,14125,19965,11561,10044,13686,22236,11249,11253,12673,28755,23630,21744,20551,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,
Cash from Operating Activities,CF_CASH_FROM_OPER,303.249,301.846,97.637,226.884,-18.118,-135.514,55.419,305.711,289.855,267.08,21.1,78.807,-52.844,-287.927,-399.873,367.431,-14.743,142.269,242.038,453,7,-27,-673,187,-364,289,407,92,100,-204,198,143,153,156,323,223,269,88,218,373,61,234,158,-13,-44,-33,275,42,2,-37,82,110,98,8,73,219,61,211,443,775,536,472,752,283,-125,1007,1055,1813,734,1227,1696,2787,1193,1321,4295,3938,841,2270,3110,5781,2330,4801,5683,9773,6219,11108,10429,17554,13977,10189,9136,23426,12504,7828,9908,22670,13538,10255,13250,33722,19081,14988,13475,27463,11601,10634,16533,27234,12345,8897,15749,28293,15130,14488,19523,26690,11155,11636,19910,30516,13311,16271,20576,38763,23981,21094,20200,46966,28166,22892,24127,34005,28560,26380,21598,39895,22690,28858,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,-22,-29,-59,-49,-31,-9,-15,-12,-18,-18,-6,-11,38,-5,17,-7,-5,1,-6,-14,-38,-17,-10,-31,-22,-17,-30,-163,-36,-43,-31,-64,-20,-40,-46,-58,-44,-35,-38,-59,-58,-43,-63,-96,-82,-193,-237,-145,-137,-110,-283,-205,-224,-320,-304,-403,-353,-116,-272,-472,-381,-301,-626,-813,-1263,-656,-962,-4571,-1429,-1509,-2963,-3501,-2455,-2299,-2016,-2306,-2044,-1486,-2431,-3852,-3265,-2476,-2089,-3658,-4006,-2599,-2905,-4038,-3420,-3015,-2151,-3865,-2964,-4041,-3267,-3041,-3355,-2363,-2000,-2777,-2107,-1853,-1565,-1784,-3500,-2269,-2093,-3223,-2803,-2514,-2102,-3289,-3787,-2916,-2093,-2163,-2392,-1996,-2151,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,45,0,34,10,0,20,1,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,-22,-29,-59,-49,-31,-9,-15,-12,-20,-18,-6,-11,-7,-5,-17,-17,-5,-19,-7,-16,-38,-27,-11,-31,-22,-17,-30,-163,-36,-43,-31,-64,-20,-40,-46,-58,-44,-35,-38,-59,-58,-43,-63,-96,-82,-193,-237,-145,-142,-110,-283,-205,-224,-320,-304,-403,-353,-116,-272,-472,-381,-301,-626,-813,-1263,-656,-962,-4571,-1429,-1509,-2963,-3501,-2455,-2299,-2016,-2306,-2044,-1486,-2431,-3852,-3265,-2476,-2089,-3658,-4006,-2599,-2905,-4038,-3420,-3015,-2151,-3865,-2964,-4195,-3267,-3041,-3355,-2363,-2000,-2777,-2107,-1853,-1565,-1784,-3500,-2269,-2093,-3223,-2803,-2514,-2102,-3289,-3787,-2916,-2093,-2163,-2392,-1996,-2151,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,24,0,0,0,133,0,21,-202,84,-1,203,132,5,0,0,0,0,13,0,23,9,0,0,0,5,0,0,0,0,0,,-12,-13,0,0,-6,-11,-9,-16,-14,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,24,0,0,0,245,0,237,51,84,0,203,132,5,0,0,0,0,13,0,23,9,0,0,0,5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-112,0,-216,-253,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,-12,-13,0,0,-6,-11,-9,-16,-14,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-325,-290,-23,0,0,0,-244,0,-350,0,0,-284,-15,-144,-53,-525,-34,-339,-2867,-23,-92,-115,-113,-86,-54,-6,-151,-17,-50,-181,-81,-173,-132,-126,-290,-167,-124,-320,-13,-958,-176,-339,-51,-9,0,-4,-20,0,-167,-2,-137,0,0,0,0,0,0,0,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,-325,-290,-23,0,0,0,-244,0,-350,0,0,-284,-15,-144,-53,-525,-34,-339,-2867,-23,-92,-115,-113,-86,-54,-6,-151,-17,-50,-181,-81,-173,-132,-126,-290,-167,-124,-320,-13,-958,-176,-339,-51,-9,0,-4,-20,0,-167,-2,-137,0,0,0,0,0,0,0,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,-450,57,-42,-45,-219,-67,-234,-90,-481,-166,328,-754,-51,-19,-293,-374,579,244,-92,54,-381,-782,113,972,244,737,97,-131,121,-368,-422,-648,-1465,-866,368,-333,175,2655,780,-2571,-1092,-873,-1144,609,-3229,-2388,-1054,-1583,-8286,-3569,-1067,-3299,-3577,543,-4514,-3547,-9466,-866,-14070,-8321,-15699,-12617,-9347,-812,-10782,-12043,-4347,2970,-12534,13261,-19444,9716,-17877,-19763,-9199,2396,-16358,-11007,-1559,-3208,-15685,-11137,-848,-5996,-10453,32883,7340,330,9366,15835,29822,1992,-10603,11042,-3261,7366,-5075,-8099,5669,4078,-13303,-6584,6338,2209,2342,5235,2530,4557,4319,1686,2024,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,-49,,-9,-15,-12,-468,39,-48,-56,-181,-72,-217,-73,-486,-165,322,-635,-89,-15,-505,-321,556,430,10,-104,-417,-825,82,908,237,697,74,-180,77,-403,-460,-702,-1523,-909,305,-429,93,2462,531,-2729,-1229,-983,-1433,393,-3462,-2724,-1372,-1993,-8639,-3685,-1339,-3771,-3958,-83,-5430,-4383,-10729,-1522,-15032,-13136,-17128,-14476,-12310,-4313,-13521,-14357,-6507,611,-15103,11741,-22214,2997,-21165,-22331,-11403,-1375,-20450,-13660,-4470,-7397,-19122,-14202,-3180,-9942,-13590,28710,3947,-3001,5844,13348,27502,-798,-13668,9013,-5165,5531,-8584,-10368,3572,835,-16106,-9265,4234,-1217,-1445,2319,437,2394,1927,-310,-127,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2488,-2493,-2491,-2811,-2769,-2769,-2661,-2867,-2829,-2801,-2743,-3053,-2964,-2969,-2902,-3187,-3092,-3130,-3004,-3365,-3270,-3339,-3190,-3653,-3530,-3568,-3443,-3629,-3479,-3539,-3375,-3656,-3511,-3613,-3447,-3767,-3640,-3732,-3595,-3811,-3703,-3768,-3650,-3849,-3758,-3825,-3710,-3895,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,-47,-6,-102,0,0,-23,1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-300,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16896,0,0,0,13970,4296,1076,7748,10680,9801,-1240,16321,4395,2581,2385,10469,9237,6923,6971,-501,-6011,-27,6,-2542,-5073,-210,231,803,2168,-703,-978,10423,0,3220,-1000,-1751,971,1657,-9615,-1996,-283,1993,-3984,-3148,-3253,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,172,1,11,2,27,3,32,6,-30,-24,30,-47,10,3,15,6,18,11,36,42,16,13,3,15,-4,32,76,211,108,254,152,63,74,283,-141,129,53,188,255,229,142,494,368,354,208,96,73,243,333,626,321,438,278,662,572,258,472,424,589,456,547,-1470,297,-15798,-4658,-4615,-17681,-4707,-16528,-4686,-6648,-9658,-12969,-6638,-6381,-10039,-6169,-10851,-6663,-7139,-7514,-10095,-22429,-20782,-18763,-8796,-23312,-16954,-17054,-20704,-18146,-15891,-16737,-24775,-17987,-22900,-19748,-20478,-22631,-21865,-24428,-19475,-19594,-17478,-21003,-20139,-23205,-26522,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,172,1,11,2,27,3,32,6,45,17,30,3,35,3,15,6,18,11,36,42,16,13,3,15,22,32,76,211,108,254,152,63,74,283,212,130,54,188,255,229,145,494,368,354,208,96,73,243,333,626,321,438,278,662,572,258,472,424,589,456,547,480,297,202,252,414,290,293,472,344,322,342,284,225,286,127,0,0,498,0,281,0,327,1,341,0,390,1,390,2,428,0,450,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-75,-41,0,-50,-25,0,0,0,0,0,0,0,0,0,0,0,-26,0,0,0,0,0,0,0,0,0,-353,-1,-1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1950,0,-16000,-4910,-5029,-17971,-5000,-17000,-5030,-6970,-10000,-13253,-6863,-6667,-10166,-6169,-10851,-7161,-7139,-7795,-10095,-22756,-20783,-19104,-8796,-23702,-16955,-17444,-20706,-18574,-15891,-17187,-24775,-18548,-22900,-19748,-20478,-22631,-21865,-24428,-19475,-19594,-17478,-21003,-20139,-23205,-26522,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,-9,-214,0,-8,-34,1,-35,-14,-103,-159,-122,-22,-233,-25,-221,-41,-355,-279,-511,-81,-534,-54,-413,-81,-365,-65,-409,-319,-512,-96,-724,-167,-597,-154,-610,-209,-629,-159,-1036,-228,-1038,-152,-1077,-260,-1318,-160,-1148,-296,-1395,-222,-1737,-406,-2883,-315,-2729,-214,-2949,-374,-2740,-320,-2705,-484,-2438,-385,-2637,-370,-2347,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-42,-2,70,1,11,-21,28,3,33,5,-29,-24,30,-47,10,3,15,6,18,11,36,42,16,13,3,15,-4,32,-224,211,108,254,152,63,74,283,-141,129,53,188,255,229,142,485,154,354,200,62,74,208,319,523,162,316,256,429,547,37,431,69,310,-55,-2022,-4497,-2248,-2126,-7508,-7749,-20407,5987,-15380,-6923,-1739,-2755,-6299,-11444,6884,-9441,-6889,-12225,643,-2303,-4089,-7501,-26272,-31523,-22580,-13676,-29457,-26804,-21039,-25407,-20940,-19116,-21357,-32249,-11326,-29396,-20382,-28159,-28351,-27445,-26794,-35563,-25724,-24048,-23153,-30585,-30433,-36017,
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,301.846,97.637,226.884,-18.118,-135.514,55.419,305.711,289.855,267.08,21.1,78.807,,,,,,,242.038,,,,-722,,-373,274,395,-378,97,-254,212,-37,92,-82,278,-260,137,415,-446,260,76,-318,-153,546,401,-17,189,-364,-787,87,1006,360,798,97,-111,328,-566,-38,-151,-494,-221,840,397,659,2196,1667,-1621,772,6,23,2231,-190,-1377,303,2502,-4639,-2770,1139,-342,2346,2409,-313,1556,-527,5244,-3887,-2276,495,-189,-2176,2801,5408,-4101,-805,3011,-182,4872,-5972,867,5634,-4989,830,5801,-4431,4825,-3277,2247,-4113,-1214,3414,1718,7202,17568,-13088,-6058,18858,-4954,12334,-1927,-8559,1384,-8010,4750,-2070,2287,-4730,653,2701,-9450,-319,-3884,-3003,5155,2769,839,11237,-8053,-7286,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18,13,-9,29,-7,6,0,20,8,29,-1,11,9,9,16,8,8,-1,1,3,17,8,10,10,8,7,-15,-7,37,10,61,-91,22,62,24,86,114,387,187,175,251,1255,269,245,550,1278,662,507,980,1164,513,40,826,1087,650,775,1474,3361,1066,1781,1890,2368,2930,1940,3387,1982,2644,2013,3869,3189,3546,2648,3398,3232,2360,1454,3510,3368,2874,1839,3551,2789,2479,1598,4916,4581,2298,3468,4393,3112,905,1091,1787,8489,8260,6849,5235,4066,2950,7322,828,4066,2126,11659,7255,7276,4699,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
