GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.701,16.865,21.66,20.223,47.083,45.645,55.307,36.635,-51.473,49.853,54.344,117.533,-288.711,129.903,245.575,207.288,301.504,656.77,-474.068,1261.818,433.846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2683,2672,2004,3052,2838,2693,2547,2461,2225,2342,2748,2731,3274,3953,4167,4298,4276,5361,5778,5712,5670,6623,6439,6822,7628,10051,10065,9699,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.224,376.068,446.133,528.307,619.886,706.725,848.508,1068.316,1270.742,1738.913,3337.899,3834.989,5433.504,5934.664,6566.362,7606.889,8046.668,12140.051,12862.949,12844.123,11589.393,11432.227,11323.907,11349.301,11329.82,11739,12884,13895,16289,16650,18419,19046,19816,20285,32194,32909,33344,33884,34321,36210,38034,41212,43703,45666,50531,53087,54643,56178,57347,58792,60054,61402,62089,63962,66235,70191,72987,83174,87453,91836,97116,107142,109664,114686,123331,126385,129423,134874,145320,154958,159690,163293,171125,179243,182814,192146,200469,207506,214256,220401,230862,241879,252775,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.458,1079.454,1328.022,2888.518,3313.3511,3865.199,4497.718,9451.001,10271.813,11294.87,14396.006,15693.232,18473.351,20015.438,21423.885,23340.65,25335.806,27604.982,29179.786,30806.974,31767.575,33513.029,35158.76,37702.845,40496.778,42871,48045,53342,57851,59960,64861,69088,72574,77144,86051,89730,93798,96692,101182,105068,110920,116526,121608,125781,129187,133400,138807,144281,147461,149747,154292,159948,167497,172756,178621,189536,197295,206935,211610,221538,232792,245349,257101,263044,275909,273403,278492,299243,319616,327095,335387,347403,359268,357096,355185,358255,365264,369491,383044,396711,402392,407350,414770,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.254,63.973,79.063,51.983,204.1,369.193,342.814,381.182,372.208,592.291,721.077,733.361,1030.716,1002.162,925.12,1069.989,1206.449,1307.086,1247.391,1289.938,382.442,1422.828,1484.545,1638.975,1974.1,1955,1840,2167,2543,1798,2505,2729,2705,2890,2785,2176,2886,3346,3228,2970,3376,3452,3351,2739,4675,3515,3931,3979,4923,4207,4877,5061,5333,5426,3524,6732,-3020,9401,3195,9192,8948,6657,9947,7068,10671,6836,6959,11247,15227,17930,18525,18936,20642,16436,16002,13910,13624,15051,18368,19689,20687,23662,23619,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.543,208.045,162.559,238.343,368.097,529.622,624.619,646.747,658.434,824.804,840.586,1004.324,910.794,1219.593,1229.926,1632.643,1693.248,1779.446,1766.154,2184.955,2122.299,2249.512,1609.172,2725.983,2731.531,2584,2085,2886,3526,3172,3519,3950,3924,3694,4252,4004,4669,3633,4705,5083,5238,4391,5627,5994,6364,6722,7096,6145,6609,7658,9120,9845,9413,9548,7403,9872,10268,11642,10132,13210,12987,12000,12627,15466,14427,11451,13993,17003,22677,19289,21890,25539,24934,25106,19422,23353,23614,23509,28666,30656,18915,28848,26640,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.491,-86.037,-96.246,-77.632,-59.08,-142.391,-157.463,-292.532,-245.831,-344.938,-699,-492.222,-366.638,-596.893,-575.098,-552.64,-678.209,-841.597,-697.517,-451.503,-367.844,-262.755,-139.437,-186.339,-221.357,-239,-476,-757,-2545,-890,-917,-680,-951,-607,-774,-872,-1020,-1203,-1611,-2289,-2255,-2345,-2646,-2417,-3551,-2927,-2515,-2373,-2100,-2428,-2123,-2357,-3064,-2467,-2818,-3511,-4289,-7269,-5477,-5262,-7052,-4638,-6126,-6732,-6052,-6005,-5391,-5406,-5479,-5942,-5496,-6819,-6383,-9786,-6828,-7276,-7595,-6289,-6888,-8055,-11019,-12012,-13186,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,16,13,197,14,41,13,27,18,30,0,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.491,-86.037,-96.246,-77.632,-59.08,-142.391,-157.463,-292.532,-245.831,-344.938,-699,-492.222,-366.638,-596.893,-575.098,-552.64,-678.209,-841.597,-697.517,-451.503,-367.844,-262.755,-139.437,-186.339,-221.357,-239,-476,-757,-2545,-890,-917,-680,-951,-607,-774,-872,-1020,-1203,-1611,-2289,-2255,-2345,-2646,-2417,-3551,-2927,-2515,-2383,-2102,-2444,-2136,-2554,-3078,-2508,-2831,-3538,-4307,-7299,-5477,-5282,-7081,-4638,-6126,-6732,-6052,-6005,-5391,-5406,-5479,-5942,-5496,-6819,-6383,-9786,-6828,-7276,-7595,-6289,-6888,-8055,-11019,-12012,-13186,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1074,-375,-322,-401,-321,-262,-90,58,-276,-300,-80,-556,171,288,-232,-548,-808,-81,-313,-325,-312,-526,-428,-4886,-627,-529,-322,-426,-764,-375,-358,-884,-590,-742,-101,-647,-893,-701,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,42,56,91,305,78,40,97,318,498,693,154,407,99,107,91,108,260,213,125,425,19,237,334,344,12,113,6,19,36,145,562,204,313,292,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1074,-375,-322,-406,-363,-318,-181,-247,-354,-340,-177,-874,-327,-405,-386,-955,-907,-188,-404,-433,-572,-739,-553,-5311,-646,-766,-656,-770,-776,-488,-364,-903,-626,-887,-663,-851,-1206,-993,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.072,-3.021,-34.98,0,-190,-229,-441,-208,-148,-715,-488,0,-92,-9854,-525,-97,-251,1301,147,-120,-2947,-543,-1142,130,-64,-78,-102,8,-34,-38,-252,-662,-101,-42,-130,-14,-1250,-184,-18,-39,-99,-148,-126,-2142,-190,-165,-13,-370,-1666,-308,-259,-385,-173,-1063,-5649,-84,-42,-298,-126,-29,-61,-26,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,201,201,0,0,2313,174,0,0,0,0,386,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.072,-3.021,-34.98,0,-190,-229,-441,-208,-148,-715,-488,0,-92,-10055,-726,-97,-251,-1012,-27,-120,-2947,-543,-1142,-256,-64,-78,-102,0,-34,-38,-252,-662,-101,-42,-130,-14,-1250,-184,-18,-39,-99,-148,-126,-2142,-190,-165,-13,-370,-1666,-308,-259,-385,-173,-1063,-5649,-84,-42,-298,-126,-29,-61,-26,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-122.115,-20.806,-91.905,-1232.096,-237.552,-329.937,-191.036,103.442,-2102.445,-1543.679,-1368.638,-1622.134,-461.901,-180.237,-364.243,-537.046,-197.223,-565.397,-261.116,-685.454,-1448.994,-154.005,-74.684,-2388.67,-4551.885,-2995,844,-3348,-96,-3383,-4982,-2279,-3608,8850,-1758,-1910,-4397,-987,-3493,-3676,758,-2015,2009,-5768,180,-3239,-2135,-3020,-2994,-3462,-4750,-10346,-1034,-7,-4012,-10683,-2115,502,1999,-4896,763,157,-4100,-1774,3816,4660,-2366,-9350,3454,2852,-2741,-2650,-3822,1672,4079,12450,2336,3975,-2872,1132,5528,4402,11132,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-178.606,-106.843,-188.151,-1309.728,-296.632,-472.328,-348.499,-189.09,-2348.276,-1888.617,-2067.638,-2114.356,-828.539,-777.13,-939.341,-1089.686,-875.432,-1406.994,-958.633,-1136.957,-1816.838,-418.832,-217.142,-2609.989,-4773.242,-3424,139,-4546,-2849,-4421,-6614,-3447,-4559,8151,-12386,-3307,-5514,-2441,-3803,-5818,-1617,-7307,-1180,-9327,-3241,-7304,-5103,-5817,-5487,-6245,-7173,-13045,-4702,-2851,-7172,-14404,-6974,-7846,-3374,-10408,-6876,-5388,-10455,-8945,-4703,-1847,-8448,-15197,-7281,-5383,-9074,-10050,-11016,-9051,-4187,-833,-6227,-2946,-10800,-7150,-6167,-8564,-2781,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2466,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.951,-1.204,-1.199,-1.118,-1.186,-0.592,-1.019,0.198,-0.012,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,1342,-251,977,0,0,1249,749,-1,-669,-401,-151,-2,-3,993,-1004,-3,-4,-3,-3,-3,-14,-6,-1042,-274,-13,-18,-38,-8,-22,1313,-1344,-25,-5,-30,-46,-145,-47,-49,-35,9802,-57,-37,-1042,-42,-115,2,-356,-674,-168,-25,-132,-166,-437,-1097,470,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.827,4.914,25.516,1163.119,1.475,4.097,8.975,4308.095,51.088,119.896,2299.056,129.418,418.028,88.51,120.129,49.011,145.417,28.656,43.577,4.285,11.049,-4.892,51.246,28.497,158.561,-85,-685,12,410,24,9,28,40,28,27,58,75,94,104,104,179,155,137,175,181,0,0,0,-1780,-2098,-1595,0,0,-1127,-1618,0,-2101,-2173,-2052,-2200,-2650,-3025,-3577,-5696,-6098,-8496,-6852,-7897,-7904,-11395,-12796,-12610,-13473,-13300,-15197,-15392,-15407,-14557,-14969,-15787,-16191,-15688,-15684,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.827,4.914,25.516,1163.119,1.475,4.097,8.975,4308.095,51.088,119.896,2299.056,129.418,418.028,88.51,120.129,49.011,145.417,28.656,43.577,4.285,11.049,31.844,51.246,28.497,158.561,12,19,12,410,24,9,28,40,28,27,58,75,94,104,104,179,155,137,175,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,-36.736,0,0,0,-97,-704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1780,-2098,-1595,0,0,-1127,-1618,0,-2101,-2173,-2052,-2200,-2650,-3025,-3577,-5696,-6098,-8496,-6852,-7897,-7904,-11395,-12796,-12610,-13473,-13300,-15197,-15392,-15407,-14557,-14969,-15787,-16191,-15696,-15684,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.766,-2.553,4.619,-0.845,10.651,-5.1,-13.176,-0.853,-2.629,1.922,8.739,3.033,6.047,5.696,1.598,20.784,11.956,37.048,-7.311,-45.35,-30.307,0,0,0,0,-38,39,-66,0,116,-28,-108,0,-47,-137,-5,-98,-210,-58,-369,-144,-326,-595,-627,-521,-493,-558,-606,-765,-807,-803,-815,-879,-529,-1084,-698,-1055,-1158,-1541,-1253,-91,-1128,-1123,-1113,-1181,359,-611,-1359,-1309,-2174,-2153,-2602,-2923,-2916,-2264,-2031,-2054,-1986,-2734,-2429,-2680,-2929,-3209,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.642,1.157,28.936,1161.156,10.94,-1.595,-5.22,4307.44,48.447,121.818,2307.795,132.451,424.075,94.206,121.727,69.795,157.373,65.704,36.266,-41.065,-19.258,-4.892,51.246,28.497,158.561,-123,-646,2067,1752,-111,958,-80,40,1230,639,52,-692,-517,-105,-267,32,822,-1462,-455,-344,-496,-561,-609,-2559,-2911,-3440,-1089,-892,-1674,-2740,-706,-3178,-2018,-4937,-3478,-2746,-4183,-4746,-6954,-7326,-8186,-7498,546,-9270,-13606,-15991,-15254,-16511,-16214,-17817,-18097,-17629,-16568,-17835,-18382,-19308,-19714,-20889,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56.169,41.784,31.273,-6.377,-43,-57,137,-56,145,42,-113,-52,50,-176,74,55,-78,-8,80,3,-5,-4,-227,-197,-293,45,-104,-82,60,9,68,-307,191,88,108,18,165,-331,-29,-107,18,13,-122,68,-272,51,35,210,-143,183,-146,-181,100,-368,-375,137,50,-26,-351,-94,-125,-238,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-86.421,102.359,3.344,89.771,82.404,55.699,270.9,4765.097,-1641.395,-941.995,1080.743,-977.581,506.33,536.669,412.312,612.752,975.189,438.156,843.787,1006.933,286.203,1769.619,1485.06,175.764,-1889.527,-1006,1521,544,2373,-1215,-2095,310,-647,13125,-7671,823,-1482,597,789,-922,3656,-2099,2981,-4015,2582,-1371,1477,-385,-1519,-1438,-1484,-4221,3512,5214,-2421,-5130,134,1943,1490,-705,3258,2447,-2561,-555,2466,1146,-1902,2387,6336,157,-2992,89,-2774,-59,-2950,4048,-105,4045,5,4773,-6654,445,2732,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.131,119.687,43.149,1.809,0.396,1.964,3.228,151.268,1.126,207.254,142.323,186.999,12.774,321.1,304.176,244.638,12.091,366.459,364.89,480.545,158.439,854.992,439.875,442.66,179,1130,645,221,210,654,50,557,207,796,681,,385,411,508,628,353,1313,716,437,98,136,2309,1108,166,-214,958,709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.538,,,,,22.546,78.764,187.964,0.542,69.306,144.634,34.441,173.099,615.552,83.559,3125.113,186.095,-24.562,32.591,2.072,3.021,34.98,,190,229,441,208,148,715,488,,92,10055,726,97,251,1012,27,120,2947,543,1142,256,64,78,102,,34,38,252,662,101,42,130,14,1250,184,18,39,99,148,126,2142,190,165,13,370,1666,308,259,385,173,1063,5649,84,42,298,126,29,61,26,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.052,122.008,66.313,160.711,309.017,387.231,467.156,354.215,412.603,479.866,141.586,512.102,544.156,622.7,654.828,1080.003,1015.039,937.849,1068.637,1733.452,1754.455,1986.757,1469.735,2539.644,2510.174,2345,1609,2129,981,2282,2602,3270,2973,3087,3478,3132,3649,2430,3094,2794,2983,2046,2981,3577,2813,3795,4581,3762,4507,5214,6984,7291,6335,7040,4572,6334,5961,4343,4655,7928,5906,7362,6501,8734,8375,5446,8602,11597,17198,13347,16394,18720,18551,15320,12594,16077,16019,17220,21778,22601,7896,16836,13454,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.7167,512.1168,,622.9535,655.0098,1080.3271,,938.1442,1068.637,1733.452,1762.9472,,,,,,,,,,,3287.0563,3001.6859,3103.3047,3495.8585,3148.1561,3666.2157,2449.085,3108.241,2809.9197,3001.8073,2065.5886,3001.9659,3595.9526,2833.4771,3814.8501,4601.6227,3783.1519,4531.615,5238.6071,7009.5048,7315.2794,6360.6656,7059.8929,4588.9075,6356.7803,5947.4405,4369.7505,4675.4662,7953.5257,5931.7637,7390.6024,6521.4721,8752.8414,8391.9476,5464.5066,8612.9299,11637.4114,17241.1821,13411.0267,16458.0391,18783.2185,18649.972,15392.0496,12663.852,16163.5465,16090.5087,17286.1401,21814.0601,22708.7475,7954.4714,16914.553,13511.438,
