GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,,,,25.146,204.496,392.649,989.665,2401.09,4121.935,6052.058,8131.856,9836.494,11777,13593,16796,19342,21475,24423,29860,33061,36559,47832,57188,93854,93670,99601
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,29.0954,46.5284,26.7849,31.0315,39.1149,38.8681,36.4714,37.3097,41.591,40.1658,35.8607,36.4821,34.8385,32.5374,32.5688,33.0778,29.8236,26.7207,29.552,31.3313,36.4288,33.1181,32.4017
EBIT,EBIT,,,,,,,,,,-6.516,-14.737,10.964,186.466,342.464,841.192,2107.278,3549.996,5084.4,6631.969,8312.186,10381,11742,13834,15403,16496,19360,23716,26146,27524,34231,41224,78714,74842,84293
Gross Margin,GROSS_MARGIN,,,,,,,,,,-312.7273,68.1756,83.5374,70.0779,57.3068,54.2944,58.1089,60.1597,59.9308,60.4437,62.6051,64.4726,65.2078,62.6925,60.3865,61.0748,62.4425,61.0754,58.8805,56.4761,55.5805,53.5784,56.9398,55.3794,56.625
Operating Margin,OPER_MARGIN,,,,,,,,,,-2961.8182,-77.1248,12.686,42.4261,23.3615,26.3761,34.3285,33.475,30.64,30.4281,35.1458,35.4047,30.9774,30.0484,27.7437,24.9936,25.8171,26.2717,23.5858,20.1171,21.1489,22.5852,30.5523,26.4613,27.4218
Profit Margin,PROF_MARGIN,,,,,,,,,,-2761.8182,-76.8788,8.0821,22.6744,7.2069,12.5146,23.872,29.019,25.3328,19.3932,27.5699,29.0065,25.6879,23.3215,22.9345,21.4179,21.8005,21.577,11.4221,22.4647,21.2181,22.0619,29.5117,21.2038,24.0066
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,,,644439.8768,1336311.7593,,,993527.9183,987443.3799,1077813.7672,1192365.1626,1201680.3279,1167493.1469,854774.3265,1162555.4904,1231361.9403,1213139.4183,1252855.5369,1383784.7959,1385214.2835,1361298.2447,1349043.9834,1646242.8115,1486779.4401,1684332.2265
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,,,31.3481,22.9809,23.7349,23.2622,21.1617,16.5992,20.2993,20.6821,18.6558,16.5363,16.0139,14.789,14.1183,15.0196,8.6863,18.6205,18.1196,18.9954,32.0693,23.6213,27.3556
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,,,18.2411,19.0747,21.5735,21.4119,19.1911,14.8042,18.0461,17.2958,14.9312,12.9072,12.4396,11.7748,11.8186,12.3686,6.942,14.2929,13.5022,13.5239,22.3994,16.5547,19.2261
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,22.5777,23.7399,23.2637,21.1662,,,,17.4607,15.4796,15.0761,14.0993,14.0078,14.5821,8.491,18.2404,17.2559,17.3007,28.825,21.2877,24.7541
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,25.2401,28.9855,23.2226,20.5491,18.9534,19.0012,20.3663,19.0932,16.4448,15.8319,15.0616,12.8431,13.644,14.173,8.073,14.2225,14.7462,14.5634,24.4195,22.1536,24.821
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,-312.7273,68.1756,83.5374,70.0779,57.3068,54.2944,58.1089,60.1597,59.9308,60.4437,62.6051,64.4726,65.2078,62.6925,60.3865,61.0748,62.4425,61.0754,58.8805,56.4761,55.5805,53.5784,56.9398,55.3794,56.625
Operating Margin,OPER_MARGIN,,,,,,,,,,-2961.8182,-77.1248,12.686,42.4261,23.3615,26.3761,34.3285,33.475,30.64,30.4281,35.1458,35.4047,30.9774,30.0484,27.7437,24.9936,25.8171,26.2717,23.5858,20.1171,21.1489,22.5852,30.5523,26.4613,27.4218
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,38.1785,49.7057,15.1982,28.9405,42.9278,32.3019,25.6201,29.752,90.5771,36.4842,15.8551,25.7192,16.5506,10.4274,31.8647,28.5023,11.8059,5.3073,26.7873,33.8316,49.9135,,38.4844
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,-2761.8182,-76.8788,11.6493,42.0732,23.6473,20.3885,34.8889,37.8225,34.193,26.8568,35.4376,36.82,32.5181,31.4277,28.637,26.1496,26.2052,26.7525,24.5302,25.5177,24.4815,26.3424,35.2178,25.2189,27.8851
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,-2761.8182,-76.8788,8.0821,22.6744,7.2069,12.5146,23.872,29.019,25.3328,19.3932,27.5699,29.0065,25.6879,25.0939,23.7036,20.6361,21.8005,21.577,11.4221,22.4647,21.2181,22.0619,29.5117,21.2038,24.0066
Net Income Margin,PROF_MARGIN,,,,,,,,,,-2761.8182,-76.8788,8.0821,22.6744,7.2069,12.5146,23.872,29.019,25.3328,19.3932,27.5699,29.0065,25.6879,23.3215,22.9345,21.4179,21.8005,21.577,11.4221,22.4647,21.2181,22.0619,29.5117,21.2038,24.0066
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,-2761.8182,-76.8788,8.0821,22.6744,7.2069,12.5146,23.872,29.019,25.3328,19.3932,27.5699,29.0065,25.6879,23.3215,22.9345,21.4179,21.1044,21.577,11.4221,22.4647,21.2181,22.0619,29.5117,21.2038,24.0066
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,,,,30.6218,46.1071,69.5235,38.6192,31.5771,23.2756,25.9123,27.7904,22.2014,21.2208,21.0044,20.1534,17.2275,21.0847,16.8083,19.3458,53.4365,11.964,13.33,16.2493,16.2023,15.9208,13.9086
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,2.52,2.73,3.12,3.48,4.23,4.28,4.26,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.96,3.1,3.36,3.29,4.4,5.2,5.2,4.91,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.77,1.03,1.69,1.7,2.55,2.56,2.59,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,5.92,5.86,5.96,6.29,6.61,6.76,6.93,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,28.6893,29.3834,30.3289,30.4597,33.6284,35.0367,35.8415,35.8415,43.225,50.7394,55.7288,55.7791,58.5052,57.9821,58.5555,55.7791,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,0,2.084,4.923,2.084,11.2051,12.9266,13.7723,13.7723,22.984,42.7061,44.1256,42.7061,50.891,50.891,52.6125,52.6125,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,5.3507,5.3507,5.3507,8.5852,8.9782,8.9782,10.5502,10.5502,15.266,18.1076,31.6808,33.2527,33.2527,31.6808,31.6808,23.3374,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,83.0223,83.0223,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,10.919,,29.563,37.187,41.373,51.802,66.991,66.218,66.549,63.5,81.9,55.8,64.1,91.2,79.4
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,1147.99,,1439.7,1654.65,1831.14,2198.82,2450.44,2902.55,3301.39,4344.7,5116.9,5865.1,6576.2,8045.4,9252.9
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,2863.85,3324.82,3970.44,4702.39,5533.43,6513.72,8029.41,10572.5,12801.9,15492,18639.9,22367.1,25910.5
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,2675.9,3307.87,3712.86,4402.84,5221.48,6209.19,7609.09,10094.9,12237.2,15138.5,18287.1,21758.301,25307
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,11022.5,12135.6,21990.9,25082.5,14372,7460.46,8365.04,7306.62,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,9.728,8.415,9.749,13.169,14.193,8.798,10.703,19.807,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,50.05,43.058,53.363,57.1,48.1,28.9,28.2,38.2,41.1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,9463.96,11625.5,15785.9,19537.4,21536.199,23837.801,28768.9,32757.801
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6620.99,7344.03,6567.99,7703.29,8711.77
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,200,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,20.8,22.9,24.2,24.5,25.5,26.1,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,31,30.8,30.9,31.6,32,32.5,33.9,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,39,41.5,43.4,45.6,48.3,49.6,51.7,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.5,6.1,5.6,5.4,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,16805,20222,19835,24400,32467,53861,47756,53600,61814,72053,80110,98771,118899,135301,156500,190234,182502
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,14,15,16,17,18,19,20,21,22,23,24,25
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,,5,8,7,6,6,6,6,6,10,6,6,6,5,6,8,9,8
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,80,80,75,75,75,75,75,75,75,75,74.33,75,75,75,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,,,10,10,9,9,9,10,10,11,11,12,12,11,11,11,11,11,10
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,,,,,,,,,,,,,,,,,,9,9,9,6,6,6,6,6,7,7,7,7,5,5,5,5,5
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,,,,,,,,,,,,,,,,,,7,7,6,6,6,7,7,8,7,8,7,6,8,10,10,10,9
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,,,,,,,,,,,,,,,,,,7,7,5,7,12,6,8,8,9,5,5,6,10,4,4,5,6
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,,,,,,,,,,,,,,,,,,75,75,80,80,75,75,75,75,75,75,75,75,74.81,75,75,75,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,3
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,,,,,,,,,,,,,,,,,,3,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,3
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,,,,,,,,,,,,,,,,,,5,6,5,5,5,6,5,5,5,5,5,6,7,4,6,6,5
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,80,80,75,75,75,75,75,75,75,75,75,75,75,75,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,0,2,2,2,2,1,1,1,1,1
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,,,,,,,,,,,,,,,,,,0,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,2
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,,,,,,,,,,,,,,,,,,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
