MLM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,295,,,208,661,,94,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,-0.879,,,,,,15.94,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,-4.492,-15.494,-0.956,-2.265,-52.297,14.093,0.41,-19.366,-39.26,-3.061,73,21.7,195.7,-1.9
"Pretax Income (Loss), GAAP",PRETAX_INC,,,56.546,74.058,90.42,103.791,118.953,151.212,174.142,194.313,168.821,158.439,124.384,142.128,188.263,268.394,353.009,376.424,247.129,110.622,129.669,100.589,104.13,164.226,249.178,413.801,607.028,618.928,576.081,748.3,889.3,855.5,1091.1,1492.8
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,17.56,26.057,32.075,36.24,40.325,52.683,58.529,68.532,56.794,53.077,32.265,41.047,57.816,72.681,107.632,115.299,72.088,25.974,30.913,21.003,17.431,44.045,94.847,124.863,181.584,-94.457,105.705,136.3,168.2,153.2,234.8,292.5
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,,,38.986,48.001,58.345,67.551,78.628,98.529,115.613,125.781,112.027,105.362,92.119,101.081,130.447,195.713,245.377,261.125,175.041,84.648,98.756,79.586,86.699,120.181,154.331,288.938,425.444,713.385,470.376,612,721.1,702.3,856.3,1200.3
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,0,17.512,4.641,0,0,0,0,,0,0,5.814,7.461,1.284,3.047,-0.045,-1.624,-4.709,-3.516,0.092,-3.987,1.172,0.749,0.037,0,0,0,0,0,0,-0.5,-10.5,30.9
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,-3.516,0.092,-3.987,1.172,0.749,0.037,0,0,0,0,0,0,-0.5,-10.5,30.9
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,38.986,30.489,53.704,67.551,78.628,98.529,115.613,125.781,112.027,105.362,86.305,93.62,129.163,192.666,245.422,262.749,179.75,88.164,98.664,83.573,85.527,119.432,154.294,288.938,425.444,713.385,470.376,612,721.1,702.8,866.8,1169.4
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3.494,2.705,1.652,1.194,1.053,-1.905,-1.307,0.146,0.058,0.043,0.378,0.1,0.1,0.3,0,0.5
"Net Income, GAAP",NET_INCOME,,,38.986,30.489,53.704,67.551,78.628,98.529,115.613,125.781,112.027,105.362,86.305,93.62,129.163,192.666,245.422,262.749,176.256,85.459,97.012,82.379,84.474,121.337,155.601,288.792,425.386,713.342,469.998,611.9,721,702.5,866.8,1168.9
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1.048,0.993,0.657,0.5,0.513,0.647,1.252,1.775,2.029,0.806,0.9,0.6,0.2,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,38.986,30.489,53.704,67.551,78.628,98.529,115.613,125.781,112.027,105.362,86.305,93.62,129.163,192.666,245.422,262.749,176.256,84.411,96.019,81.722,83.974,120.824,154.954,287.54,423.611,711.313,469.192,611,720.4,702.3,866.8,1168.9
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,38.986,30.489,53.704,67.551,78.628,98.529,115.613,125.781,112.027,105.362,86.305,93.62,129.163,192.666,245.422,262.749,176.256,84.411,96.019,81.722,83.974,120.824,154.954,287.54,423.611,711.313,469.192,611,720.4,702.3,866.8,1168.9
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,2.808,-2.1268,2.0027,22.2196,-1.0361,24.8076,31.9363,0.8574,-265.0732,-20.367,-2.0232,58.697,62.884,161.792,8.137
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,0,17.512,4.641,0,0,0,0,,0,0,5.814,7.461,1.284,3.047,-0.045,-1.624,-4.709,-3.516,0.092,-3.987,1.172,0.749,0.037,0,0,0,0,0,0,-0.5,-10.5,30.9
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,45.008,46.079,46.079,46.122,46.454,46.668,46.753,47.873,48.727,48.905,48.142,46.54,45.453,42.653,41.37,44,45.485,45.652,45.828,46.164,56.854,66.77,63.61,62.932,62.895,62.5,62.3,62.4,62.3,61.9
"Basic EPS, GAAP",IS_EPS,,,,,1.19,1.47,1.71,2.14,2.49,2.7,2.4,2.2,1.77,1.91,2.68,4.14,5.4,6.16,4.2,1.92,2.11,1.79,1.83,2.62,2.73,4.31,6.66,11.3,7.46,9.77,11.56,11.26,13.91,18.88
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,1.3,1.47,1.71,2.14,2.49,2.7,2.4,2.2,1.89,2.06,2.71,4.21,5.4,6.12,4.09,1.84,2.11,1.7,1.86,2.64,2.73,4.31,6.66,11.3,7.46,9.77,11.56,11.2468,13.74,19.38
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,1.71,2.14,2.52,2.7,2.4,2.2,1.89,2.06,2.71,4.08,5.34,6.12,4.09,1.9023,2.0663,1.7466,2.3428,2.6111,3.1625,4.7847,6.673,7.0908,7.1361,9.7436,12.5056,12.2546,16.3418,19.5143
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,45.008,46.079,46.101,46.238,46.708,46.947,46.948,48.066,48.858,49.136,48.534,47.279,46.367,43.347,41.617,44.19,45.659,45.793,45.97,46.285,57.088,67.02,63.861,63.217,63.147,62.7,62.4,62.6,62.5,62.1
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,1.19,1.47,1.71,2.13,2.48,2.68,2.39,2.19,1.77,1.91,2.66,4.08,5.29,6.06,4.18,1.91,2.1,1.78,1.83,2.61,2.71,4.29,6.63,11.25,7.43,9.74,11.54,11.22,13.87,18.82
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,1.3,1.47,1.71,2.13,2.48,2.68,2.39,2.19,1.88,2.06,2.69,4.14,5.29,6.02,4.07,1.83,2.1,1.69,1.86,2.63,2.71,4.29,6.63,11.25,7.43,9.74,11.54,11.21,13.7,19.32
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,1.3,1.47,1.71,2.13,2.51,2.68,2.39,2.19,1.88,2.06,2.69,4.02,5.23,6.02,4.07,1.8935,2.0534,1.7337,2.3428,2.6076,3.1446,4.7665,6.6434,7.0569,7.1075,9.7077,12.4807,12.2145,16.2887,19.451
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,97.124,115.806,134.715,163.239,181.886,242.49,295.319,340.043,338.85,351.88,313.693,317.381,363.25,447.305,531.978,581.265,494.515,362.303,379.844,334.416,333.381,391.749,537.619,757.754,962.519,997.543,1034.737,1337.3,1477.9,1498.4,1785.8,2185.7
EBITDA Margin (T12M),EBITDA_MARGIN,,,23.7862,25.5695,26.8538,24.5692,25.1938,26.9175,27.9211,23.7109,22.3292,20.4814,19.3652,18.5446,21.0445,22.4309,24.2796,26.4825,23.3656,23.028,22.9818,19.5152,16.4073,18.174,18.1754,21.4081,25.2051,25.1549,24.3797,28.2184,31.2459,27.6764,28.987,32.2508
EBIT,EBIT,,,55.12,78.782,91.887,107.565,120.676,162.77,196.554,215.289,202.477,197.245,174.997,177.775,230.391,309.054,390.549,430.927,323.386,182.912,198.307,161.009,156.17,217.988,314.873,494.167,677.266,700.381,690.737,884.9,1005.4,973.8,1206.7,1596
Gross Margin,GROSS_MARGIN,,,24.0945,27.2562,27.7365,25.1599,25.2802,26.116,26.6286,21.6648,20.0045,17.6799,17.8804,17.515,20.0825,21.2819,23.9745,25.9182,22.2316,21.0744,19.4609,17.6237,16.0999,16.8846,17.6595,20.537,23.8753,24.5093,22.7737,24.8781,26.4868,24.9058,23.1029,29.8442
Operating Margin,OPER_MARGIN,,,13.4992,17.3948,18.3166,16.1896,16.7154,18.0682,18.5833,15.0119,13.3427,11.4807,10.8031,10.3874,13.3475,15.498,17.8247,19.6331,15.2799,11.6259,11.9982,9.3959,7.6859,10.1129,10.645,13.9612,17.7353,17.6614,16.2746,18.6723,21.2563,17.9867,19.5871,23.5495
Profit Margin,PROF_MARGIN,,,9.5479,6.7319,10.7053,10.1671,10.8911,10.9372,10.9307,8.7706,7.3823,6.1327,5.3279,5.4702,7.4829,9.6616,11.2011,11.9709,8.328,5.4318,5.8695,4.8073,4.1574,5.629,5.2604,8.159,11.1394,17.9883,11.0737,12.9117,15.2435,12.9756,14.0698,17.2475
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,150968.6686,125415.0009,166101.5015,180486.7554,180172.5952,185559.8316,235101.4754,252919.5,248992.7536,253105.7813,290076.2712,298736.9332,346567.4314,398373.0909,417679.1627,435477.572,323727.572,369672.5565,343203.6852,410650.9701,428028.3956,410826.5278,484872.6027,470811.1207,471757.5541,487062.7725,535733.6649,543666.6667,541400,655393.617,720978.7234
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,12.1878,20.5874,16.8917,17.3855,18.8968,18.806,17.4489,13.6844,11.176,8.1991,8.4615,11.3138,16.5584,20.2188,23.8867,17.915,7.0727,6.8814,5.7657,5.9559,8.1958,5.2625,6.8393,10.3354,16.1303,9.7485,11.8673,12.8168,11.3037,12.6487,15.3765
Return on Assets,RETURN_ON_ASSET,,,,6.5447,9.9609,9.7669,10.0916,10.5118,8.582,7.5518,6.2515,5.1826,3.8378,4.0677,5.5128,8.0459,9.9366,10.1248,6.1668,2.7252,3.0729,2.6478,2.678,3.7795,2.9696,4.074,5.9668,8.7562,5.069,6.2175,6.962,5.6259,5.8993,7.762
Return on Capital,RETURN_ON_CAP,,,,8.7006,13.4031,12.9407,13.4614,14.7396,12.1687,11.2018,9.5428,8.1751,6.486,6.6942,8.4977,11.8733,14.1748,15.0825,10.4251,5.7301,5.8457,5.1866,5.1901,6.21,4.5563,5.8928,8.3957,11.3928,7.3691,8.5943,9.2695,7.7067,7.971,10.1107
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,12.987,13.3905,12.0423,12.3498,13.6857,11.4214,9.4971,8.1947,7.1505,6.7141,7.1365,8.8158,11.9643,14.0429,14.68,10.3262,6.0723,6.0107,4.931,5.274,6.197,4.5024,5.6932,7.6212,10.6096,6.7006,8.0379,8.4892,6.7715,6.8715,9.2097
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,24.0945,27.2562,27.7365,25.1599,25.2802,26.116,26.6286,21.6648,20.0045,17.6799,17.8804,17.515,20.0825,21.2819,23.9745,25.9182,22.2316,21.0744,19.4609,17.6237,16.0999,16.8846,17.6595,20.537,23.8753,24.5093,22.7737,24.8781,26.4868,24.9058,23.1029,29.8442
Operating Margin,OPER_MARGIN,,,13.4992,17.3948,18.3166,16.1896,16.7154,18.0682,18.5833,15.0119,13.3427,11.4807,10.8031,10.3874,13.3475,15.498,17.8247,19.6331,15.2799,11.6259,11.9982,9.3959,7.6859,10.1129,10.645,13.9612,17.7353,17.6614,16.2746,18.6723,21.2563,17.9867,19.5871,23.5495
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,53.0717,26.8799,9.6334,22.7855,23.5272,21.5421,4.977,,,-22.662,3.0336,359.1046,29.3467,41.3884,1048.2347,-137.0246,-25.865,19.3672,,,49.9943,12.0744,30.8267,65.5848,15.7411,,39.2379,,,31.1906,63.1468
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,13.8484,16.3517,18.0242,15.6216,16.4767,16.7852,16.4644,13.5493,11.1248,9.222,7.6786,8.3045,10.9068,13.4591,16.1114,17.1499,11.6767,7.0311,7.8454,5.87,5.1248,7.6187,8.424,11.6907,15.896,15.6074,13.5732,15.7899,18.8017,15.8016,17.7106,22.0268
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,9.5479,10.5984,11.6304,10.1671,10.8911,10.9372,10.9307,8.7706,7.3823,6.1327,5.6868,5.9062,7.5573,9.8144,11.199,11.8969,8.2706,5.3802,5.9751,4.6443,4.2669,5.5754,5.2175,8.1631,11.1409,17.9894,11.0826,12.9138,15.2456,12.9719,13.8994,17.7109
Net Income Margin,PROF_MARGIN,,,9.5479,6.7319,10.7053,10.1671,10.8911,10.9372,10.9307,8.7706,7.3823,6.1327,5.3279,5.4702,7.4829,9.6616,11.2011,11.9709,8.328,5.4318,5.8695,4.8073,4.1574,5.629,5.2604,8.159,11.1394,17.9883,11.0737,12.9117,15.2435,12.9756,14.0698,17.2475
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,9.5479,6.7319,10.7053,10.1671,10.8911,10.9372,10.9307,8.7706,7.3823,6.1327,5.3279,5.4702,7.4829,9.6616,11.2011,11.9709,8.328,5.3652,5.8095,4.769,4.1328,5.6052,5.2386,8.1236,11.0929,17.9371,11.0547,12.8927,15.2308,12.9719,14.0698,17.2475
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,31.0544,35.1846,35.4733,34.9163,33.8999,34.8405,33.6099,35.2689,33.6415,33.5,25.9398,28.8803,30.7102,27.08,30.4899,30.6301,29.1702,23.48,23.8399,20.88,16.7397,26.8197,38.064,30.1746,29.9136,,18.349,18.2146,18.9138,17.9077,21.5196,19.5941
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.76,3.01,3.05,3.07,3.3,3.11,3.25,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.91,1.44,1.44,1.48,1.24,1.54,1.31,1.62,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,1.69,2.78,2.7,3.04,3.17,3.11,3.13,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,6.65,6.7,6.86,7.35,7.38,7.26,6.96,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,30.3792,29.5443,29.5443,29.6952,29.6952,29.6952,32.7935,34.3627,37.1693,39.8652,39.2616,40.9315,38.2658,41.6256,41.022,48.5565,48.7275
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2.7484,4.1679,4.1679,5.0136,6.4331,14.9502,11.5675,23.0142,14.9502
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,7.9202,7.9202,7.9202,8.3736,8.3736,8.3736,15.1753,19.8912,24.3047,28.4764,25.9674,30.1391,20.7074,22.2793,23.8513,35.0363,43.6215
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,83.0223,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,83.0223,84.2866,86.7851,87.4774,87.4774,87.4774,87.4774,87.4774,87.4774,87.4774
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,468,479,502,4500,4505,4547,4608.97,4295
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,553,626,610
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4619.95,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556.74,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136370,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.014,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,0.025,,,,,0.05
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,18,17,14,13,13,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,,9.13,10,11,11
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,40,40,38,40,36,,,41,41,42
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
