JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11883,13488,,3336,-10416,-5092,-21212,33613,-12558,-20795,25093,-16874,17838,-322,20666,-23581,-8359,-4500,-28334,19388,-11719,-26424,-2814,10721,-19141,-34599,18677,-14516,-51518,-14838,-14957,-29247,-2423,26396,8432,-9307,50756,52503,7625,11013,19132,28423,-53201,1894,-5979,64704,7793,29414,4266,41983,-16659,-4511,19964,68520,26383,-7108,14667,-4371,-2449,28746,14879,17296,25124,16167,-21383,-1524,4192,38911,-22559,4073,-4895,15077,-35109,35685,13189,422,-80880,-13854,16015,82811,-120089,82919,-14688,-28052,-43872,13530,23331,85095,-41917,66018,-18204,101222,-111241,18865,45119,60231,-154158,38469,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,28850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133,-1414,4874,5012,-2199,-534,-13060,-4230,-2264,3517,18436,4964,-10111,3533,14971,-2341,17401,13040,-10852,12650,-20101,-13312,-13647,-5792,-5414,-362,-541,13417,-15940,-18517,-81008,-3132,-126011,-9153,-20360,10914,623,31856,-21097,20478,-14713,14290,-18389,-28010,-11117,24753,-4956,-3716,268,3252,2187,2945,4606,-7254,-11500,15543,10387,11752,10271,13573,9080,7131,5953,-25506,8050,21079,1244,12850,8814,2711,-460,-29111,-2772,-36286,-85809,-4905,-65801,-83144,27831,-59638,-17687,24814,-24004,-79944,-20806,6198,36515,-9440,24719,25814,19485,25576,-2419,-20094,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49002,41396,48237,55892,44564,42495,70700,66805,95243,91604,92041,47619,52788,30326,33809,62874,36944,25228,20126,31690,36830,43009,30826,38013,22624,32211,19979,54793,31016,22646,38674,48894,51407,63199,35518,51638,58270,76500,22880,53697,24966,57933,36762,35826,52251,66551,39028,36764,51248,39452,30287,42145,34030,23861,33371,41982,33509,35699,23166,30617,28739,29608,30718,31695,28466,46276,29942,46197,28180,18224,19804,20205,30472,37373,19232,38727,66009,32668,66884,63232,109619,70524,45167,38410,37774,41308,47358,45961,54830,52277,49127,59000,74325,50428,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45869,-42810,-43363,-50880,-46763,-43029,-83760,-71035,-97507,-88087,-73605,-42655,-62899,-26793,-18838,-65215,-19543,-12188,-30978,-19040,-56931,-56321,-44473,-43805,-28038,-32573,-20520,-41376,-46956,-41163,-119682,-52026,-177418,-72352,-55878,-40724,-57647,-44644,-43977,-33219,-39679,-43643,-55151,-63836,-63368,-41798,-43984,-40480,-50980,-36200,-28100,-39200,-29424,-31115,-44871,-26439,-23122,-23947,-12895,-17044,-19659,-22477,-24765,-57201,-20416,-25197,-28698,-33347,-19366,-15513,-20264,-49316,-33244,-73659,-105041,-43632,-131810,-115812,-39053,-122870,-127306,-45710,-69171,-118354,-58580,-35110,-10843,-55401,-30111,-26463,-29642,-33424,-76744,-70522,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91,73,78,-157,-4,-2,-4640,-264,-15,1,51,65,-30,120,0,-2,-37,-8,-17,-87,0,-19,43,-24,0,0,-1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9920,9920,0,0,-2362,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91,73,18,-97,-4,-2,-4640,-264,-15,1,51,65,-30,120,0,-2,-37,-8,-17,-87,0,0,24,-24,0,0,-1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9920,9920,0,0,-2362,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-272,1535,-938,1625,513,-2027,-825,-1010,1600,366,-36,-964,-567,44,15862,1587,1070,1006,1866,-185,210,2775,1145,-2106,-1047,97,-2404,-619,461,25455,-26851,-546,4527,-9956,15990,-95,515,1175,-431,-1373,-132,138,193,-262,-447,-895,-357,-1701,-891,-932,-580,1724,-580,154,387,2220,1944,79,2154,789,162,-738,-1014,-1235,-24,574,105,-1218,-649,-1263,-75,-2999,-1769,106,-2620,-752,-13108,7203,2507,-3943,-653,-2853,-3845,-3693,-3197,-1556,-2750,-4429,-6581,-4838,-11184,-4057,-963,276,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1707,2317,-15156,23450,-9624,3375,-7676,-9419,-5328,-10135,681,27200,-41954,-29942,53306,-4486,-6662,12921,-9519,-9684,-34501,-39660,-31461,5995,-11846,-16471,-13004,-31797,-68493,14411,-165447,-66817,2754,31676,3165,-8240,-13862,87536,-52953,33281,-65810,-79997,-23860,-1085,-45362,-20600,-3759,-50104,-55455,-86790,-46856,38600,-68410,-29528,2308,-70006,-24150,101621,2251,27258,-34581,-17483,-60038,-2847,47112,-22573,23167,-93606,-45021,6047,-808,-158211,36301,-8877,-63925,-15558,-135833,-47646,-14727,-63706,15391,17698,-62275,-100158,-72608,-53203,39522,-51530,23794,-18243,-17790,79882,-43379,-94239,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-631,-694,-695,-677,-684,-690,-712,-698,-696,-726,-714,-729,-720,-734,-1237,-1236,-1227,-1222,-1220,-1209,-1215,-1213,-1209,-1209,-1207,-1197,-1331,-1316,-1319,-1344,-1364,-1884,-1832,-849,-252,-489,-253,-492,-257,-484,-246,-1319,-1061,-1269,-1024,-1469,-1223,-1478,-1242,-1485,-1547,-1782,-1554,-1806,-1718,-1912,-1770,-1964,-1944,-2195,-1946,-2174,-2069,-2287,-2045,-2341,-2092,-2515,-2236,-2480,-2273,-3120,-3033,-3048,-2975,-3287,-3188,-3154,-3209,-3139,-3193,-3121,-3158,-3386,-3430,-3344,-3412,-3376,-3374,-3277,-3386,-3426,-3493,-3777,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13967,1194,30573,-67961,34554,5120,-18657,15132,-5149,-5863,-21202,-14369,39152,7097,2386,-36586,16711,5801,12811,-17729,29062,40727,21171,-19601,73434,10253,-2169,-2208,39543,-19248,82422,-68565,61371,-4625,-10582,-66770,32574,-80894,79306,-66515,11935,-27042,-20708,-47305,39033,-13003,4460,-4831,31710,16026,-50459,-30109,47813,-1489,-19623,6686,-1205,-19756,-19582,-44336,8269,9430,18596,-11628,12452,-6486,-2850,-20123,19243,299,1357,16341,44942,-44731,37859,-73809,67522,7164,-46234,-18855,107410,-48985,9269,-53243,41457,12633,18481,-40214,34425,13384,13604,-39009,118717,75287,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,7,-548,164,214,290,-20,241,205,462,335,211,543,209,554,-1196,-942,-831,-409,-748,-902,-393,-354,-467,-3128,-1142,-1895,-181,255,6295,13140,24861,-313,-18930,7,9,12,-126,-2527,-332,670,-3469,-4423,-774,60,-1430,1194,12,-1631,345,-1009,-284,3848,1997,140,-1898,-508,2133,-416,-1219,-1696,-2840,-2295,-2251,-2832,-3007,-4763,-4808,-4671,-4968,-4416,-5928,-4166,-5210,-5579,-8121,-3447,0,0,0,-3306,-4919,-3286,-2122,-4455,-707,0,-5434,-2690,-2477,-2382,-2275,-332,-11336,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,344,229,274,214,290,,241,205,462,335,211,543,209,692,0,374,0,55,253,528,352,547,534,874,734,242,0,255,6295,13140,24861,0,5757,7,9,12,9,2,3,765,11,2,89,276,7,1194,12,947,1517,1531,15,4234,3372,1629,,1392,3382,832,0,0,0,0,0,0,0,0,1258,0,0,0,1696,1850,0,2250,900,4500,0,0,0,1500,3850,2000,0,0,0,0,0,0,0,0,0,2500,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-158,-337,-777,-110,,,-20,,,0,0,0,,,-138,-1196,-1316,-831,-464,-1001,-1430,-745,-901,-1001,-4002,-1876,-2137,-181,,0,0,0,-313,-24687,0,0,0,-135,-2529,-335,-95,-3480,-4425,-863,-216,-1437,0,0,-2578,-1172,-2540,-299,-386,-1375,-1489,,-1900,-1249,-1248,-1219,-1696,-2840,-2295,-2251,-2832,-3007,-4763,-6066,-4671,-4968,-4416,-7624,-6016,-5210,-7829,-9021,-7947,0,0,0,-4806,-8769,-5286,-2122,-4455,-707,0,-5434,-2690,-2477,-2382,-2275,-2832,-11336,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,-116,318,-334,-252,149,-89,95,227,60,43,85,95,-177,-16,-435,-113,330,243,3021,1447,1125,3639,235,301,139,685,860,753,161,47,-1397,-376,-555,-5144,4851,-12121,-6673,-6124,25326,-1261,-839,2065,-668,1637,-7772,1475,4816,-3533,-3783,-5126,959,-4469,-2323,1199,3991,-1147,-374,-514,-4036,-3021,-72,-1848,-1233,100,-1052,-31,13,-1176,-345,2711,-908,4893,4027,-4120,-1657,3442,313,-976,-2359,-2501,1005,-1916,-2319,-491,1466,2225,-761,2513,3920,3149,-2074,1267,-715,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7108,4623,34448,-56762,22219,16661,-21136,27352,-9499,11626,-26160,-1936,49464,38548,-17682,-10549,20806,11002,10277,2597,53875,75746,10673,12654,54788,34922,25278,68422,77972,-55440,178798,48357,-53437,-85976,-15145,2379,285,-114437,96362,-31427,67328,21997,43040,-24659,35352,-30485,28754,54086,28180,1928,21135,-22725,40318,35118,-1375,44167,4337,-117766,-30084,-43998,53584,20575,57540,-33428,43605,4306,-11506,-21763,60589,-46823,2553,17839,69435,-12966,39537,-63019,362305,89131,19251,125958,218911,-37943,97047,-2022,132772,-83802,-32883,-142344,64557,-49915,-4316,-35897,141168,27238,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-287,249,290,-14,-339,-138,946,-141,363,293,-673,-834,1525,-1415,141,909,-888,32,788,340,-25,-17,-635,-448,-76,123,-128,-195,102,-70,-14,-153,2574,2834,1864,-1681,3049,-4541,-1017,-354,-1045,1131,-3068,2800,-2480,1791,3957,5887,-6967,1064,-3655,-1950,-4549,-14285,-13508,15699,1656,-1584,-6767,8566,-5666,-2765,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3336,-1601,1848,-1920,301,37,-759,-3719,1059,3011,1169,-4813,1683,-849,4106,7290,4353,2425,-2501,-2056,3634,233,1487,-2111,4133,-8576,3613,-2683,7378,7056,-14633,21783,-27767,-214,-1548,-4065,5138,5216,1384,-8846,3607,-4098,6997,26300,2836,-4219,-10517,8477,380,-8199,-16310,1450,9107,-13450,1202,-2151,2459,-5010,1274,-2837,-768,-2278,1498,1680,2483,70732,-11360,8630,-101973,-16492,-9632,13917,-140304,23811,-34566,-11441,7034,103903,126195,-6207,40087,183463,-5651,54448,-19035,13698,-85272,-25073,-76953,-21234,-50877,16246,112782,-62035,-31297,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,899,,1019,438,-48,286,-197,439,301,285,228,-247,-119,1349,354,325,485,137,530,1187,1245,1153,1173,234,965,750,3614,1596,2000,606,3270,502,1762,567,-551,718,3119,274,1323,2228,3133,3045,1341,716,4037,1017,2383,-467,1311,705,501,349,2335,334,484,270,-1009,1192,939,608,5225,1038,2552,447,814,549,595,356,1380,1502,1087,429,3477,-1709,1345,534,2358,586,2746,763,3379,2381,1617,707,13009,3901,1120,705,2395,-2874,4129,1382,4084,75,4367,1585,6025,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,0,0,0,39,33,0,0,10,13,0,646,24,340,-14620,442,304,109,,,663,0,,-848,,70,0,0,-802,358,-1718,34,91,-73,,,4,2,4640,264,15,-1,-51,-65,30,-120,0,2,37,8,17,87,0,0,-24,-819,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3372,-4254,9332,-34361,21983,-15688,6423,-1754,12676,-6197,-574,-37963,30780,2584,-25961,-17868,4987,-20826,9994,-7010,9778,6128,,,,,-17126,-31455,37120,13058,121695,-54508,111652,23564,-3120,-55919,51544,-52634,25593,-64778,5799,37504,-13072,-18048,43142,28822,-11104,-9517,52392,85842,-24605,-37407,66178,-2748,-20776,35106,14780,585,6299,-28587,-13526,7495,22376,26871,-10519,-2824,-8157,-5474,-16275,35605,15863,14683,-35387,-58989,54821,7246,-49918,89682,-61303,-47287,64659,-34573,34198,31426,-2857,78241,-155,55218,-77172,31876,58337,20836,-33342,107439,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9774,8.2596,,4.7119,-8.6872,-13.4709,-47.2428,,-12.7882,-20.2286,627.325,,12.7414,-0.1762,12.6941,-12.6508,-4.3311,,-19.9817,11.6375,-5.1762,-26.5835,-1.1136,3.9737,-6.2126,-9.7737,5.6648,-3.2072,-10.7621,-3.5045,-4.4343,-9.8442,-1.0211,13.1782,16,-13.2578,23.7067,19.2955,2.1251,3.3597,5.7523,5.9276,-12.0419,0.3921,-1.0763,11.9138,1.8285,7.89,0.8664,8.4643,-2.9185,-0.7925,3.0577,10.548,,-1.3467,2.7836,-0.7309,-0.4401,5.8296,2.5159,2.7498,3.6925,2.9752,-3.8737,-0.2458,0.6669,5.7843,-3.4986,0.5795,-0.7271,3.5626,-4.03,4.2911,1.5739,0.0597,-8.8114,-1.4354,1.7638,9.7196,-41.9159,17.6913,-1.5554,-2.3115,-3.068,1.1324,1.9963,8.183,-5.0612,7.633,-1.8696,9.1953,-8.8133,1.3036,3.4308,6.4716,-11.488,2.1196,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12834,12726,,13933,14795,14479,18110,14922,15015,12559,12399,10456,10957,11190,10527,10698,11454,11842,10421,10746,11625,11227,16546,17483,19054,18432,20772,20924,23576,24525,24957,26674,28856,30082,28005,28780,26763,26634,23069,25025,29584,29502,30145,26401,30806,28133,26928,29608,28763,30575,27106,24394,29087,25133,27799,26165,27616,27652,25504,25511,25341,26741,26288,24639,25954,25642,24595,25147,25411,26846,27140,26089,27917,29173,29467,28423,32290,32834,32791,32793,36059,35952,36184,34185,33008,35334,30942,30627,33648,31832,31047,30675,32341,34233,40809,47409,54642,61172,61704,61907,66290,75967,69665
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
