MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income, GAAP",NET_INCOME,462.743,708.06,953,1146,1453,2195,3454,4490,7785,9421,7346,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,15,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,462.743,708.06,953,1146,1453,2195,3439,4462,7757,9421,7346,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,462.743,708.06,953,1146,1453,2195,3439,4462,7757,9421,7346,7829,7531,8168,12254,12599,14065,17681,14569,18760,23150,16978,21863,22074,12193,20539,25489,16571,39240,44281,61271,72738,72361,88136
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,6.6,,2554,,,,,659,,1040,-187.85,-715,5826.4,686.9,9.64,7819.6,251.5,-1480.05,11968.72,-2921.92,303.36,-973.28,-3655.19,740.6,93.22
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,9007.6319,9414.9756,9696,9760,10032,10240,9564,19456,5028,10378,10682,10812,10723,10803,10839,10438,9742,9328,8945,8813,8490,8396,8375,8299,8177,7925,7746,7700,7673,7610,7547,7496,7446,7431
"Basic EPS, GAAP",IS_EPS,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.36,0.23,0.385,0.905,0.69,0.725,0.7,0.76,1.13,1.21,1.44,1.9,1.63,2.13,2.73,2.02,2.61,2.66,1.49,2.59,3.29,2.15,5.11,5.82,8.12,9.7,9.72,11.86
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.36,0.23,0.385,0.905,0.725,0.725,0.7,0.76,1.13,1.21,1.44,1.9,1.63,2.13,2.73,2.02,2.61,2.66,1.49,2.59,3.29,2.15,5.11,5.82,8.12,9.7,9.72,11.86
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.36,0.23,0.38,0.905,0.94,0.96,1.05,1.26,1.32,1.28,1.51,1.93,1.745,2.1074,2.6425,2.7161,2.6925,2.661,2.4474,2.6234,3.0995,3.7065,4.7332,5.8587,7.9896,9.216,9.8176,11.8731
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,9007.6319,9414.9756,9696,9760,10032,10240,10488,21448,5482,11072,11148,11106,10882,10894,10906,10531,9886,9470,8996,8927,8593,8506,8470,8399,8254,8013,7832,7794,7753,7683,7608,7540,7472,7469
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.33,0.21,0.355,0.85,0.66,0.705,0.69,0.75,1.12,1.2,1.42,1.87,1.62,2.1,2.69,2,2.58,2.63,1.48,2.56,3.25,2.13,5.06,5.76,8.05,9.65,9.68,11.8
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.33,0.21,0.355,0.85,0.69,0.705,0.69,0.75,1.12,1.2,1.42,1.87,1.62,2.1,2.69,2,2.58,2.63,1.48,2.56,3.25,2.13,5.06,5.76,8.05,9.65,9.68,11.8
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.0515,0.0753,0.0984,0.1175,0.145,0.2144,0.33,0.21,0.35,0.85,0.9,0.935,1.04,1.25,1.31,1.27,1.49,1.9,1.7356,2.079,2.6068,2.685,2.6611,2.6311,2.4274,2.5914,3.061,3.6656,4.6831,5.7995,7.9221,9.1652,9.7791,11.8125
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,725.604,1108.3,1477,1963,2307,3558,5428,7438,10854,12256,13256,12994,10938,10220,15416,17375,19964,24327,22925,26771,29927,24730,30519,32971,24118,33700,39215,46904,56348,67798,83729,100304,105259,135275
EBITDA Margin (T12M),EBITDA_MARGIN,39.3616,40.1744,39.3552,42.2241,38.858,41.0333,47.7901,48.7354,54.9653,53.3891,52.4035,45.81,33.9827,27.7454,38.7454,39.2372,39.0517,40.2632,39.2303,42.8446,42.7877,33.5445,39.2028,37.9706,25.7726,36.9704,40.6074,42.5009,44.7764,47.4062,49.8126,50.5896,49.6704,55.1868
EBIT,EBIT,649.842,995.979,1326,1726,2038,3078,4871,6414,9928,11006,11720,11910,9545,9034,14561,16472,18524,22271,20363,24098,27161,21763,26764,27759,18161,26078,29025,35058,42959,52959,69916,83383,88523,109433
Gross Margin,GROSS_MARGIN,80.3308,83.0928,83.1335,83.5879,85.2282,86.2992,90.4473,83.8815,85.7497,86.9228,86.3417,81.6993,81.1756,81.7673,84.4174,82.7244,79.0834,80.8044,79.1998,80.1629,77.729,76.2218,73.8147,68.816,64.6954,64.0389,64.5225,65.2474,65.902,67.781,68.9258,68.4017,68.9201,69.7644
Operating Margin,OPER_MARGIN,35.2517,36.1029,35.3317,37.1263,34.3271,35.4976,42.8861,42.0259,50.276,47.9439,46.3314,41.9884,29.6548,24.5256,36.5965,37.198,36.2349,36.8603,34.8461,38.5667,38.833,29.52,34.3794,31.9683,19.4069,28.6087,30.0556,31.7669,34.137,37.0304,41.5949,42.0553,41.7729,44.6443
Profit Margin,PROF_MARGIN,25.1023,25.6662,25.393,24.6505,24.4736,25.3143,30.4103,29.4195,39.4237,41.0394,29.0402,27.6009,23.3976,22.1746,30.7982,28.4517,27.5126,29.2635,24.9311,30.0237,33.0984,23.0294,28.0839,25.4212,13.0295,22.5322,26.3941,15.0154,31.1817,30.9625,36.4517,36.6863,34.1462,35.956
Sales per Employee,ACTUAL_SALES_PER_EMPL,224098.226,239016.2102,260083.1601,304712.5909,333520.5887,421720.7334,510885.2105,564110.146,628965.4733,587109.9744,531428.5714,561683.1683,585218.1818,646228.0702,,623690.1408,647113.9241,663956.044,628354.8387,702067.4157,777144.4444,784287.234,786353.5354,678382.8125,793050.8475,799596.4912,778798.3871,842442.7481,873909.7222,877392.638,928662.9834,897149.3213,958891.4027,1075096.4912
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,40.7812,39.9606,35.0693,29.7972,29.7046,35.8631,41.1733,35.0731,35.9912,27.3763,16.5717,15.7416,12.8634,11.6905,19.9349,28.563,39.5079,52.4791,38.4183,43.7638,44.8391,27.5068,30.0921,26.1652,14.3559,25.1745,29.8464,19.4462,42.4106,40.1398,47.0787,47.1513,38.8239,37.1333
Return on Assets,RETURN_ON_ASSET,33.6598,33.0554,29.5738,25,23.113,25.3713,28.219,24.4394,25.5321,20.7568,13.2384,12.3802,10.0831,9.382,15.0168,17.9458,21.1873,26.0084,19.3375,22.8779,23.7659,14.7651,16.5816,14.0235,7.0306,10.8854,11.2482,6.5092,14.3893,15.065,19.2952,20.8234,18.6302,19.0742
Return on Capital,RETURN_ON_CAP,40.5915,39.7255,,29.8318,29.3569,35.1453,38.7872,32.7689,34.5501,26.9919,,,12.8634,11.6905,,29.0224,39.9599,52.7127,35.7812,38.7469,38.6289,23.4439,25.6981,21.7881,11.1566,16.812,16.9008,10.0789,23.204,23.8666,29.8072,31.7686,27.8759,27.772
Return on Invested Capital,RETURN_ON_INV_CAPITAL,39.0694,37.9254,33.1411,29.8664,27.6061,32.0351,35.5537,29.0373,27.6465,20.3305,,,10.7161,8.3412,16.6866,24.6737,36.6306,48.1709,34.8533,36.2635,35.8817,21.7265,24.3716,20.7559,10.2488,15.7513,14.6551,8.8075,21.4688,22.9883,28.8729,31.7364,28.2877,28.7142
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,80.3308,83.0928,83.1335,83.5879,85.2282,86.2992,90.4473,83.8815,85.7497,86.9228,86.3417,81.6993,81.1756,81.7673,84.4174,82.7244,79.0834,80.8044,79.1998,80.1629,77.729,76.2218,73.8147,68.816,64.6954,64.0389,64.5225,65.2474,65.902,67.781,68.9258,68.4017,68.9201,69.7644
Operating Margin,OPER_MARGIN,35.2517,36.1029,35.3317,37.1263,34.3271,35.4976,42.8861,42.0259,50.276,47.9439,46.3314,41.9884,29.6548,24.5256,36.5965,37.198,36.2349,36.8603,34.8461,38.5667,38.833,29.52,34.3794,31.9683,19.4069,28.6087,30.0556,31.7669,34.137,37.0304,41.5949,42.0553,41.7729,44.6443
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,38.8802,37.8171,33.1921,44.6429,24.2236,38.0395,66.7287,39.5236,78.3501,33.593,30.5128,6.1909,,,187.1656,42.5234,30,40.299,-96.2179,92.2906,41.0645,,121.207,11.0752,,,54.4028,43.7523,51.0302,58.2343,67.6305,44.6193,37.6695,62.9687
Pretax Margin,PRETAX_INC_TO_NET_SALES,36.3802,37.7444,37.3301,37.0402,36.4999,38.969,46.7864,46.6322,60.2167,62.1842,45.5606,40.5888,34.3431,33.1098,41.7915,41.2402,39.3197,39.4141,33.9186,40.031,40.1341,30.2036,34.7493,32.0385,19.7767,28.1271,30.9627,33.05,34.7163,37.0842,42.3005,42.2232,42.1447,43.9728
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,25.1023,25.6662,25.393,24.6505,24.4736,25.3143,30.4103,29.4195,39.4237,41.0394,30.5226,27.6009,23.3976,22.1746,30.7982,28.4517,27.5126,29.2635,24.9311,30.0237,33.0984,23.0294,28.0839,25.4212,13.0295,22.5322,26.3941,15.0154,31.1817,30.9625,36.4517,36.6863,34.1462,35.956
Net Income Margin,PROF_MARGIN,25.1023,25.6662,25.393,24.6505,24.4736,25.3143,30.4103,29.4195,39.4237,41.0394,29.0402,27.6009,23.3976,22.1746,30.7982,28.4517,27.5126,29.2635,24.9311,30.0237,33.0984,23.0294,28.0839,25.4212,13.0295,22.5322,26.3941,15.0154,31.1817,30.9625,36.4517,36.6863,34.1462,35.956
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,25.1023,25.6662,25.393,24.6505,24.4736,25.3143,30.2782,29.236,39.2819,41.0394,29.0402,27.6009,23.3976,22.1746,30.7982,28.4517,27.5126,29.2635,24.9311,30.0237,33.0984,23.0294,28.0839,25.4212,13.0295,22.5322,26.3941,15.0154,31.1817,30.9625,36.4517,36.6863,34.1462,35.956
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,31.0002,32,31.9772,33.4495,32.9488,35.04,35.0019,36.9116,34.5303,34.0035,33.0065,31.9986,31.8708,33.0272,26.305,31.0097,30.0284,25.7538,26.4971,24.999,17.5305,23.7526,19.1816,20.6542,34.1168,19.8916,14.7554,54.5676,10.1813,16.5077,13.8266,13.1134,18.9786,18.2313
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.13,4.13,4.19,4.1,4.01,4.53,4.61,5.67,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,6.55,6.2,6,5.79,5.65,6.19,6.1,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.79,0.63,0.89,0.91,0.91,1.73,1.74,3.84,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,8.61,8.46,8.26,8.04,8.35,8.03,8.08,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,27.7437,31.7875,34.9965,36.2237,36.7569,43.4765,50.6689,48.9287,51.9465,57.7708,62.8709,62.0159,64.5207,64.8627,64.8627,65.3355,65.3355,63.9473,62.1567,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,0,2.839,4.0773,4.7418,1.9027,16.2791,30.897,36.9073,40.3805,61.492,69.7372,69.7372,70.5829,70.5829,70.5829,72.0024,72.0024,72.0024,72.3346,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,0,9.3108,17.7146,20.7376,25.1814,33.4946,40.4776,26.7231,32.3156,28.688,31.2878,28.7183,29.1112,30.1391,30.1391,30.1391,30.1391,25.9674,20.2539,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,83.0223,83.0223,83.0223,83.0223,83.0223,80.5238,80.5238,83.0223,83.0223,83.0223,87.4774,87.4774,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.02,0.026,0.223,0.209,0.215,0.202,0.284,0.259,0.273,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.009,0.01,0.199,0.184,0.185,0.17,0.248,0.221,0.232,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.002,0.002,0.007,0.007,0.008,0.008,0.011,0.01,0.01,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.002,0.002,0.013,0.013,0.012,0.012,0.018,0.016,0.02,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,10.59,24.55,25,,,,,39.665,85.188,90.568,88.486,107.452,99.008,117.956,118.1,123.704,139.413,144.96,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,250.14,251.79,255,,,,,1277.36,1521.37,1637.43,2060.53,2697.55,2946.04,3557.52,4328.92,5010.67,6381.25,8077.4,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,2657.46,3053.24,3889.75,4194.7,5187.18,6756.78,7781.38,9249.36,11283.5,14134,18644.9,24007.9,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,2497.89,2732.48,3240.62,4180.21,5080.38,6344.7,7357.64,8744.83,10770.7,13621.5,18153.5,23567.5,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,10915.9,10667.4,10322.7,10627.1,19719.199,20950.5,23911.199,27472.699,15139.3,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,24.207,22.919,20.51,20.307,21.723,22.016,19.685,19.904,20.861,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,0,3.258,,0.172,0.419,1.923,2.188,1.405,14.534,9.469,1.75,0.881,0.195,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,10.944,19.924,21.894,24.175,30.41,31.243,26.059,19.067,46.178,40.571,22.518,29.596,36.392,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,2410.27,4452.75,4633.49,4687.75,5148.45,6718.98,7505.08,7936,8068,10706,12951,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,4452.75,4633.49,4687.75,3235.52,3393.32,3559.3,3740,3295,4307,5107,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,387,432.6,498,,603,949,904,907,1127,1130.9,1313.5,1463.1,1701.2,1848.9,2328.5,2889.1,,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,18,19.1,19.9,20.5,21.1,22,23.2,23.9,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,85.8,21.7,22.5,24.2,25.4,26.3,27.1,28.4,28.4,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,24,24,24,24,28,28,25.8,27,28.1,29.2,30.2,30.9,32.7,33.1,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,35,36,38,39,41,,,,,,,,,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,71000,79000,91259,93000,89000,90000,94000,99000,128000,118000,114000,124000,131000,144000,163000,181000,221000,221000,228000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,7.89,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,299,300,,,,,,,,,,,,,
