PCCYF US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,31456,29848,15275,27001,55231,45469,46910,69614,103843,133362,142224,146750,114453,103387,139992,132961,115326,129599,107172,35517,7900,22793,53036,45677,19006,92170,148743,161146,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,2844,2003,1338.9046,,2036.4959,2745.75,5395.5,8658,3645.75,-13083,4635.75,2819.25,-4273.6463,21808.2881,34662.75,19708.4447,13808.25,32091,32677.5,25475.25,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS,CN GAAP,CN GAAP,IAS/IFRS,CN GAAP,IAS/IFRS,IAS/IFRS,IAS/IFRS,IAS/IFRS
EBITDA,EBITDA,,,,,,,,65785,53837,72675,126456,105440,111835,143600,199500,245479,261149,268045,256932,235526,300821,320321,326155,351649,347021,281839,242983,286975,355166,343583,289787,392405,454681,482900,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,41.7998,36.5524,41.2999,52.2563,43.693,45.7545,47.2712,50.2071,44.4524,37.9038,32.0493,23.954,23.1072,20.528,15.9853,14.857,15.5726,15.2005,16.3344,15.0277,14.2356,14.9548,13.6515,14.9851,15.0097,14.037,16.0378,
EBIT,EBIT,,,,,,,48388,49431,36260,49487,92696,71825,75053,103069,151138,194174,199761,200771,162173,143267,187612,182248,174180,188284,169558,78964,38623,72683,122890,134469,75912,161136,216645,235448,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,55.8537,,,,,,,,,23.5757,21.4121,,20.4388,,,,,
Operating Margin,OPER_MARGIN,,,,,,,33.6783,31.4085,24.6186,28.1226,38.3054,29.7634,30.7061,33.9289,38.0361,35.1619,28.9938,24.0055,15.1196,14.0558,12.8027,9.0949,7.9342,8.3381,7.4271,4.5765,2.3887,3.6055,5.1745,5.3428,3.9255,6.1635,6.6883,7.8196,
Profit Margin,PROF_MARGIN,,,,,,,21.8936,18.9654,10.3709,15.3442,22.8235,18.8418,19.1921,22.916,26.1336,24.1498,20.6427,17.5464,10.6706,10.1432,9.5531,6.6353,5.2533,5.7392,4.6944,2.0584,0.4886,1.1307,2.2332,1.8149,0.9828,3.5255,4.592,5.3519,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,366592.9185,548734.6939,571098.6051,582519.4591,727964.8406,936769.0222,,1543789.9124,1792817.6085,2244974.6745,1890459.0035,2651384.6621,3624831.3164,4003421.1414,4150330.0048,4269996.1844,3308168.0938,3178143.9862,4078297.0562,4987020.7865,5462728.2277,4476441.1358,6266822.1577,8129623.0298,8012208.5241,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,20.2318,18.7153,22.8526,16.1363,15.4492,20.6788,26.4775,28.2798,25.8104,22.1529,14.9698,12.6225,15.6753,13.6955,11.1601,11.7992,9.2845,3.0155,0.6669,1.9129,4.4057,3.7376,1.5543,7.4369,11.3148,11.4622,
Return on Assets,RETURN_ON_ASSET,,,,,,,,,4.9969,7.4345,13.1602,10.2092,9.9195,13.7186,17.7482,18.8296,17.2369,15.1301,10.1111,7.813,9.012,7.4403,5.6443,5.7459,4.5148,1.4801,0.3298,0.9493,2.189,1.7656,0.728,3.6939,5.7511,5.9432,
Return on Capital,RETURN_ON_CAP,,,,,,,,,9.6088,11.0643,16.2121,12.677,12.5144,17.2095,22.9008,24.7823,23.2137,20.3539,14.1419,10.4495,13.0636,11.6921,9.5729,9.4791,7.5518,3.1975,2.358,2.7852,4.8015,4.4495,2.5034,6.8915,9.3136,9.8625,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,9.4552,11.6363,16.7151,12.2901,12.4986,16.6643,20.9529,22.7923,21.4997,18.4977,13.5188,10.0652,12.1292,10.583,8.7985,8.7294,7.0565,3.0429,1.3876,2.789,4.1597,4.246,2.245,6.0206,8.3516,8.5973,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,55.8537,,,,,,,,,23.5757,21.4121,,20.4388,,,,,
Operating Margin,OPER_MARGIN,,,,,,,33.6783,31.4085,24.6186,28.1226,38.3054,29.7634,30.7061,33.9289,38.0361,35.1619,28.9938,24.0055,15.1196,14.0558,12.8027,9.0949,7.9342,8.3381,7.4271,4.5765,2.3887,3.6055,5.1745,5.3428,3.9255,6.1635,6.6883,7.8196,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,7.6109,-130.4835,46.116,,65.4454,-3105.8036,103.9948,47.2007,51.3695,27.7876,4.0856,0.6853,,-35.4516,9.9397,,,22.4486,,-16.2491,-37.1721,8.5366,13.9835,8.1614,-10.0445,12.5235,8.884,
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,28.7979,26.8196,15.4494,20.7599,33.9065,28.2326,28.3278,32.3663,38.0628,35.0981,28.9085,24.506,15.1046,13.7384,12.9182,9.1931,7.5986,7.8854,6.8665,3.3508,2.795,2.6332,4.9168,4.1009,2.8996,6.0513,6.5843,7.8865,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,21.9541,19.0677,10.3322,15.4164,22.7553,18.6744,19.2326,23.1254,27.0907,25.287,21.6839,18.5539,11.8219,10.4544,10.2901,7.284,5.95,6.3005,5.2138,2.4393,1.8192,1.8249,3.115,2.6625,1.7315,4.3872,5.0429,5.9878,
Net Income Margin,PROF_MARGIN,,,,,,,21.8936,18.9654,10.3709,15.3442,22.8235,18.8418,19.1921,22.916,26.1336,24.1498,20.6427,17.5464,10.6706,10.1432,9.5531,6.6353,5.2533,5.7392,4.6944,2.0584,0.4886,1.1307,2.2332,1.8149,0.9828,3.5255,4.592,5.3519,
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,21.8936,18.9654,10.3709,15.3442,,22.8235,18.8418,19.1921,22.916,26.1336,24.1498,20.6427,17.5464,10.6706,10.1432,9.5531,6.6353,5.2533,5.7392,4.6944,2.0584,0.4886,1.1307,2.2332,1.8149,0.9828,3.5255,4.592,5.3519
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,23.765,28.9038,33.1224,25.7398,32.8881,33.8554,32.1072,28.5511,28.8263,27.9535,24.9913,24.2885,21.7334,23.9038,20.3444,20.767,21.6958,20.0991,24.0694,27.2006,34.9133,30.6972,36.6447,35.076,40.2832,27.5007,23.4104,24.075,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,3.09,3.13,3.47,3.57,3.96,4.1,4.23,,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,2.11,2.16,2.31,2.36,3.06,3.3,3.45,,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.48,2.72,2.61,3.62,3.92,4.03,4.09,4.35,,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.14,5.48,5.7,5.6,5.59,5.59,5.59,5.54,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,28.649,28.7999,28.7999,28.2768,28.2768,28.7999,32.3207,,35.6705,42.883,47.7819,49.5121,50.7092,52.5098,54.9241,59.7123,61.01,62.3076,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,3.9565,3.9565,3.9565,3.9565,3.9565,3.9565,3.9565,,8.1546,17.608,32.3165,35.6992,35.6992,38.5382,38.5382,42.4645,45.3337,49.2298,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,16.6264,19.2261,19.2261,17.6542,17.6542,19.2261,19.2261,,21.584,21.584,21.584,23.3978,26.9952,29.5647,36.8198,40.9915,42.0193,42.0193,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,65.2318,63.0945,63.0945,63.0945,63.0945,63.0945,73.6303,,77.1222,89.2836,89.2836,89.2836,89.2836,89.2836,89.2836,95.5449,95.5449,95.5449,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,140.3,122.7,112.7,102.9,97,89,77.6,56.4,50.1,48.5,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2,63.9,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,108.614,127.498,123.5,105.044,103.793,111.321,111.015,105.039,174.4,123.3,123.2,109.1,104,93.8,88.4,11.1,9.2,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132170,127570,121390,119680,124660,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41910,39870,38150,40880,46520,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,657549,650030,658817,687100,708511,521555,510030,399902,337317,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,42900,46600,50300,54200,56300,55300,52500,56400,62300,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,16500000,16200000,16600000,18100000,18500000,18700000,17500000,17700000,18100000,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,1929.27,1499.14,1380.98,1469.74,1420,1190,1948.8,1844.4,1809.6,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396,943,1300,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2603,2485,3555,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,791210,800050,793830,769950,750040,746880,771230,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,436.17,411,202,161,373,163.04,192.8,210.64,158.04,320.87,298.94,238.98,194.38,229.69,161.57,480.43,407.18,381.69,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4111,2075,678,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,33,34,,,32.78,32.5,32.2,31.9,31.6,31.2,30.71,29.82,28.79,27.52,26.05,24.54,23.1,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.89,6.5,6.45,6.5,6.51,6.53,6.61,6.63,6.7,6.82,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,2,2,1,5,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,446290,466502,447780,539168,552698,552810,548000,544083,534652,521566,839971,812858,771662,732706,692841,665578,634927,598560,
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.22,0.14,0.15,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21000000,8450000,14000000,12720000,15100000,22230000,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,14,1,2,3,4,5,6,7,8,1,2,3,
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,5,5,5,6,6,5,6,7,6,6,6,6,6,6,2,1,6,5,
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,87.5,,,,,,95.83,85.71,100,100,100,100,100,100,100,100,100,100,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,,12,11,14,14,14,13,12,11,10,11,13,14,11,9,11,12,11,12,
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,,,,,,,,,,,,,,,,,7,11,11,12,12,12,11,12,10,11,9,10,9,8,7,9,9,11,
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,,,,,,,,,,,,,,,,,10,9,11,11,11,9,9,8,7,8,11,12,9,8,10,10,8,9,
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,,,,,,,,,,,,,,,,,4,7,8,7,7,10,7,10,10,8,7,8,7,6,9,6,7,7,
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,92.72,100,100,100,100,100,100,100,100,100,100,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
