V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,-434,509,274,185,233,349,-209,-29,609,1218,893,1006,603,1395,868,1286,1097,1257,1369,-2824,1644,2157,2045,1541,1929,1942,1793,1761,978,2111,1734,1979,840,303,2452,2508,396,3537,2767,2813,2916,3736,3476,3294,2064,3384,4042,3875,1467,3002,2096,3513,3329,4414,3971,4232,3489,5252,5876,4171,3860,5797,6927,3614,4538,5134,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67,-166,-86,-92,-68,-68,-69,-101,-37,-42,-65,-94,-75,-72,-89,-117,-99,-61,-108,-106,-100,-111,-122,-138,-120,-97,-109,-227,-104,-88,-74,-138,-126,-124,-132,-141,-171,-146,-195,-183,-141,-213,-155,-195,-157,-156,-194,-249,-191,-216,-161,-168,-160,-158,-179,-208,-173,-267,-235,-295,-249,-210,-295,-305,-267,-281,-400,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-71,-166,-86,-92,-68,-68,-69,-101,-37,-42,-65,-97,-75,-72,-89,-117,-101,-61,-108,-106,-100,-111,-122,-138,-120,-97,-109,-227,-104,-98,-74,-138,-126,-124,-132,-141,-171,-146,-195,-183,-141,-213,-169,-195,-157,-156,-194,-249,-191,-216,-161,-168,-160,-158,-179,-208,-173,-267,-235,-295,-249,-210,-295,-305,-267,-281,-400,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-1805,0,-162,-106,0,0,0,-3,0,0,0,0,0,0,0,-134,-15,0,0,-93,0,0,-14,-9068,0,0,-302,0,0,0,-196,0,0,0,0,-136,-563,-77,0,0,0,-75,0,0,0,-832,-1113,0,-3,0,0,0,0,0,-915,0,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-1805,0,-162,-106,0,0,0,-3,0,0,0,0,0,0,0,-134,-15,0,0,-93,0,0,-14,-9068,0,0,-302,0,0,0,-196,0,0,0,0,-136,-563,-77,0,0,0,-75,0,0,0,-832,-1113,0,-3,0,0,0,0,0,-915,0,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,464,116,-933,969,123,68,976,59,72,3,5,2,111,-34,-1757,293,-903,-1062,-365,-765,527,-783,328,-156,267,-93,-257,-532,167,-552,-21,-6068,4486,887,-616,-246,3133,-486,-669,-566,-21,-13,-1584,87,-170,1139,-192,830,2095,28,-713,874,993,251,-1490,458,-405,-1828,405,-261,-115,312,-883,-1622,20,955,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1251,298,30,-1025,901,55,-1,875,22,30,-62,-1894,-73,-123,-229,-1874,194,-964,-1173,-471,-865,416,-905,190,-276,170,-336,-499,-636,79,-719,-159,-6194,4348,-8313,-757,-417,2685,-681,-852,-707,-430,-168,-1779,-70,-326,809,-1004,562,1879,-133,-881,639,835,72,-1698,-547,-1785,-2063,107,-510,-325,17,-1188,-1889,-1176,555,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,-93,-81,-80,-79,-78,-93,-92,-93,-90,-108,-107,-105,-103,-152,-148,-148,-147,-220,-217,-216,-211,-254,-253,-251,-248,-297,-294,-294,-292,-340,-336,-335,-339,-399,-396,-394,-390,-458,-490,-487,-483,-572,-569,-565,-563,-671,-668,-663,-662,-703,-701,-698,-696,-809,-802,-798,-794,-945,-941,-937,-928,-1060,-1060,-1056,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,-4,-4,-4,-2,-6,-4,-42,-10,-5,-4,-5,-10,-5,-4,-35,-5,-1,0,0,-5,0,-1,0,0,0,0,0,0,0,0,0,15971,0,0,0,566,-566,0,2488,-1750,0,0,0,0,0,0,0,0,1001,2984,3227,-3000,0,0,0,0,300,2918,-1000,-2250,0,0,0,0,0,0,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5654,0,0,-2646,8,18,13,-419,-216,20,-315,-273,-216,-1036,-382,-13,42,-412,-82,-1133,-1800,-959,-1291,-999,-1085,-1115,-738,-715,-1024,-1025,20,-1950,-1723,-1677,-1649,-1837,-1545,-1660,-1700,-1725,-2022,-1722,-1559,-2345,-1897,-2111,-2092,-2315,-3079,-1036,-1494,-1735,-1666,-2146,-2921,-4045,-2895,-2393,-2060,-3059,-2132,-2970,-3680,-3476,-2679,-4443,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19100,0,0,0,8,18,13,13,16,20,21,33,14,28,42,62,42,49,92,120,20,22,20,92,34,37,18,88,28,30,20,65,27,28,38,56,31,41,21,53,50,32,29,48,41,38,35,55,54,33,48,61,47,54,46,59,54,40,43,56,62,71,71,104,79,84,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-13446,0,0,-2646,0,0,0,-432,-232,0,-336,-306,-230,-1064,-424,-75,0,-461,-174,-1253,-1820,-981,-1311,-1091,-1119,-1152,-756,-803,-1052,-1055,0,-2015,-1750,-1705,-1687,-1893,-1576,-1701,-1721,-1778,-2072,-1754,-1588,-2393,-1938,-2149,-2127,-2370,-3133,-1069,-1542,-1796,-1713,-2200,-2967,-4104,-2949,-2433,-2103,-3115,-2194,-3041,-3751,-3580,-2758,-4527,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-2171,186,65,-703,542,542,-153,70,70,-430,70,-730,-330,70,70,-1495,70,0,-164,4307,0,0,0,-77,-1062,-2,-394,0,215,35,68,-147,-23,28,-3,-60,-6,-7,-18,-88,0,-2,-4,-101,-2,-1239,-5,-147,-8,-121,-316,-134,-6,-2,-2,-113,-3,-16,-186,-93,147,-12,28,157,-135,188,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,3479,182,-32,-3432,464,477,-260,-452,-243,-507,-340,-1121,-658,-1075,-450,-1665,-37,-560,-393,2949,-2017,-1176,-1502,-1330,-2400,-1368,-1380,-1012,-1103,-1284,-204,13534,-2082,-1984,-1991,-1730,-2513,-2061,380,-4021,-2512,-2211,-2046,-3018,-2468,-3915,-2660,-3133,-2754,1164,755,-5572,-2373,-2846,-3619,-4967,-3400,-289,-4040,-6347,-2926,-3919,-4580,-4379,-3874,-5311,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20,-2,12,11,2,4,-4,3,5,6,-3,-17,0,4,-8,11,0,0,0,0,,0,0,-1,1,0,0,0,0,0,-62,28,-156,35,215,142,80,126,-295,-12,-68,-103,109,-215,127,-39,85,267,304,-288,76,-129,-194,-111,-420,-562,692,136,16,-208,300,-176,-50,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423,3343,721,-783,-2366,750,837,417,-457,400,645,-1338,-183,-172,88,-1473,-185,100,-484,516,-740,43,76,733,-65,-301,238,-87,114,-46,108,1371,9319,3106,-10056,-268,205,603,1010,2437,-1835,100,1062,-361,138,-833,387,163,1431,553,4118,2237,-1116,1503,1716,-1475,-1476,-1807,2480,1381,-1994,745,1911,951,-2354,-688,328,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,245,313,115,4,320,204,644,25,734,218,314,29,986,236,480,57,1014,504,482,45,376,57,117,96,1296,551,713,57,1319,516,594,79,1422,542,799,96,1514,629,799,183,1014,452,636,168,1213,611,656,345,1346,102,878,252,1253,629,878,268,1839,784,850,721,1914,378,420,1503,2155,1041,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,1805,0,162,106,0,,,3,0,,,,0,0,,,15,0,0,0,93,0,14,9068,0,0,302,0,0,0,196,0,0,0,0,136,563,77,0,0,0,75,0,0,0,832,1113,0,3,0,0,0,0,0,915,0,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,-600,423,182,117,165,280,-310,-66,567,1153,796,931,531,1306,751,1220,1036,1149,1228,-2924,1533,2035,1907,1421,1832,1833,1566,1657,880,2037,1596,1853,716,171,2311,2337,250,3342,2584,2672,2703,3567,3281,3137,1908,3190,3793,3684,1251,2841,1928,3353,3171,4235,3763,4059,3222,5017,5581,3922,3650,5502,6622,3347,4257,4734,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9356,-565.2054,440.7311,198.2485,135.0693,183.0947,296.862,-295.1101,-55.894,584.9119,1161.2959,805.7029,,538.6688,1313.1575,759.4298,1226.3513,1041.6209,1156.5712,,,,,,1421,,,,,,,,1874.3297,808.3081,298.8957,2414.8586,2434.281,271.4841,3440.9224,2686.2007,2791.9098,2826.8934,3695.3766,3401.619,3255.916,2021.3478,3292.6715,3890.8173,3775.392,1346.041,2955.927,2029.4288,3466.4301,3271.9223,4311.8569,3867.2345,4167.3329,3329.5953,5115.8825,5709.6894,4037.0338,3764.5309,5648.9864,6773.9913,3498.3456,4326.3572,4893.4443,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-604,419,,,159,276,-352,-76,562,1149,,,526,1302,,,,1149,,,1533,2034,1907,1421,1832,1833,1566,1657,890,2037,1596,17824,716,5888,2311,2903,-436,3271,5072,872,2703,3575,3281,3131,1908,3188,3793,3684,2252,5661,4943,-1050,2835,4020,3711,3974,3514,7799,4054,1329,3554,5403,6534,3264,4244,4557,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0358,-0.1929,0.1363,0.0588,0.0347,0.0488,0.0827,-0.0917,-0.0196,0.169,0.344,0.2383,0.2794,0.1599,0.3958,0.2312,0.3761,0.3194,0.3546,0.38,-0.9069,0.4809,0.6456,0.6104,0.4572,0.5933,0.2034,0.5145,0.5443,0.395,0.9176,0.8193,0.8415,0.3295,0.0791,1.0799,1.1013,0.1183,1.5922,1.2399,1.2914,1.3153,1.7477,1.6155,1.5553,0.9516,1.6014,1.9157,1.871,0.6386,1.4599,0.9933,1.7195,1.6253,2.1763,1.9397,2.1097,1.6878,3.0554,3.4072,2.4076,2.2475,3.4089,4.131,2.113,2.696,2.6155,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.8219,355.3485,49.8952,69.1574,231.787,1079.9286,162.1121,44.0412,25.3741,17.0716,18.015,19.624,20.097,21.8251,22.3077,24.1222,23.4752,257.8048,137.6346,76.2106,57.562,25.3722,23.3966,28.2559,30.1656,35.3281,39.4708,28.3173,26.0295,26.0817,26.301,35.8413,35.4935,30.1257,37.3626,24.0976,25.9744,26.88,21.9935,23.6756,25.1411,21.1655,26.608,30.3209,28.5543,29.6387,26.7346,32.8232,40.2937,45.4617,36.5176,35.893,29.8562,27.6031,28.0246,22.3928,17.3147,19.6779,20.2792,20.7021,18.8609,21.8773,22.5995,22.7139,23.7939
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4292,-1.3822,1.2062,,0.3223,0.4347,0.4787,-0.4066,-0.038,0.8541,1.7011,1.1537,1.138,0.6844,1.3881,0.9864,1.2498,0.8491,,0.8237,-2.1841,1.2945,1.7608,1.7156,1.0952,1.2071,1.4279,1.671,1.1224,0.631,1.244,1.1468,1.0196,0.4921,0.7354,1.2698,1.2116,0.9209,1.7178,1.293,1.1154,1.1194,1.6041,1.2218,1.1065,0.6933,1.0913,1.3362,1.1843,0.4757,1.2651,0.9808,1.1238,1.1001,1.7142,1.108,1.069,0.9567,1.5397,1.4914,0.9981,0.9067,1.3949,1.4798,0.7391,0.9732,1.0538,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1488,1453,1613,1709,1739,1647,1646,1879,1960,1959,2029,2117,2238,2245,2322,2383,2547,2578,2565,2731,2846,2958,3001,2973,3155,3163,3155,3229,3382,3409,3518,3571,3565,3626,3630,4261,4461,4477,4565,4855,4862,5073,5240,5434,5506,5494,5840,6137,6054,5854,4837,5101,5687,5729,6130,6559,7059,7189,7275,7787,7936,7985,8123,8609,8634,8775,8900,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739,1647,1646,1879,1960,1959,2029,2117,2238,2245,2322,2383,2547,2578,2565,2731,2846,2958,3001,2973,3155,3163,3155,3229,3382,3409,3518,3571,3565,3626,3630,4261,4461,4477,4565,4855,4862,5073,5240,5434,5506,5494,5840,6137,6054,5854,4837,5101,5687,5729,6130,6559,7059,7189,7275,7787,7936,3771,3668,3876,8634,8775,3967,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802,812,965,1024,773,766,824,1010,743,837,892,1004,872,862,977,1021,929,972,5172,1209,1046,1098,1173,1222,1078,1115,1135,1677,1144,1128,1256,1288,1169,1192,3202,1636,1361,1669,1541,1643,1535,1737,2355,2028,1789,1853,1932,2402,2038,1930,1838,1959,1843,2148,2066,2244,2283,2387,3127,2700,2846,2649,3099,3059,2680,3421,2962,
