NSC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,11.7,-26.65,16.9,-3.25,-65.65,-16.9,-55.25,-35.75,-3550.25,-135.09,-33.18,351.55,-67.94,-64.78,-38.71
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,-223.3,0,0,-17,-22,-104,0,0,-13,0,-124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,486.285,443.277,424.377,418.242,408.903,393.033,378.999,377,379,381,383,385,388,389.8,394.2,404.2,406,389.6,372.3,367.1,366.5,345.5,320.9,311.9,309.4,301.9,293.9,287.9,277.7,263.3,255.1,246.9,234.8,227.2388
"Basic EPS, GAAP",IS_EPS,1.1433,0.0667,1.3133,1.8467,1.6333,1.8133,2.03,1.91,1.94,0.63,0.45,0.97,1.18,1.37,2.34,3.17,3.63,3.74,4.6,2.79,4.06,5.52,5.42,6.1,6.44,5.13,5.66,18.76,9.58,10.32,7.88,12.16,13.92,8.04
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,1.1433,0.0667,1.3133,1.3133,1.6333,1.8133,1.98,1.85,1.66,0.63,0.45,0.94,1.18,1.05,2.34,3.17,3.63,3.74,4.6,2.79,4.06,5.52,5.42,6.1,6.44,5.13,5.66,18.76,9.58,10.32,7.88,12.16,13.92,8.04
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,1.1433,0.0667,1.3133,1.3133,1.6333,1.8133,1.98,2.2,1.66,0.71,0.55,0.91,1.18,1.35,2.21,2.93,3.63,3.79,4.62,2.8268,3.9873,5.5887,5.4277,5.9004,6.3966,4.9545,5.5402,6.4319,9.1102,10.212,9.2691,11.8957,13.6509,7.8697
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,486.285,443.277,424.377,418.242,408.903,393.033,384,380,381,382,383,386,390,391.7,399.3,412.3,414.7,397.8,380,372.1,371.8,351.3,325.2,315.5,312.5,304.4,296,290.3,280.2,265.6,256.6,248.1,235.6,227.8055
"Diluted EPS, GAAP",IS_DILUTED_EPS,1.1433,0.0667,1.3133,1.8467,1.6333,1.8133,2.01,1.9,1.93,0.63,0.45,0.97,1.18,1.37,2.31,3.11,3.57,3.68,4.52,2.76,4,5.45,5.37,6.04,6.39,5.1,5.62,18.61,9.51,10.25,7.84,12.11,13.88,8.02
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,1.1433,0.0667,1.3133,1.3133,1.6333,1.8133,1.96,1.84,1.65,0.63,0.45,0.94,1.18,1.05,2.31,3.11,3.57,3.68,4.52,2.76,4,5.45,5.37,6.04,6.39,5.1,5.62,18.61,9.51,10.25,7.84,12.11,13.88,8.02
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,1.1433,0.0667,1.3133,1.3133,1.6333,1.8133,1.96,2.19,1.65,0.71,0.55,0.91,1.18,1.35,2.18,2.88,3.57,3.73,4.54,2.7914,3.9283,5.4981,5.36,5.8319,6.3359,4.9185,5.4992,6.3804,9.0279,10.1251,9.21,11.8362,13.605,7.8501
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,1181.1,1173.3,1283.1,1265.9,1469.2,1499.8,1584,1645,1502,1207,1150,1534,1687,1592,2311,2904,3307,3371,3899,2807,3502,4082,4046,4179,4531,3943,4104,4581,5063,5242,4265,5734,6131,4264
EBITDA Margin (T12M),EBITDA_MARGIN,25.5815,26.3586,27.8535,28.3828,32.0695,32.1294,38.6247,38.9534,35.584,23.0256,18.6719,24.8622,26.9059,24.6135,31.6056,34.0565,35.1547,35.74,36.5726,35.224,36.8012,36.5378,36.6486,37.1632,38.9797,37.5131,41.5049,43.4177,44.1875,46.4058,43.5693,51.4629,48.1051,35.0773
EBIT,EBIT,808.1,792,886.5,860.4,1065.4,1086.3,1165,1213,1052,718,633,1007,1158,1064,1702,2117,2557,2585,3084,1962,2676,3213,3124,3257,3575,2884,3074,3522,3959,3989,3002,4447,4809,2851
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,17.5027,17.7926,19.2441,19.291,23.2554,23.2712,28.4077,28.7237,24.923,13.6971,10.2776,16.3209,18.4689,16.4502,23.2768,24.827,27.1819,27.4067,28.9279,24.6204,28.1211,28.7594,28.2971,28.964,30.7553,27.4379,31.0882,33.3807,34.5523,35.3134,30.6671,39.912,37.7324,23.4534
Profit Margin,PROF_MARGIN,12.0446,0.6672,12.1065,17.309,14.5766,15.2678,18.7759,17.0732,17.3892,4.5593,2.7927,6.0778,7.3365,8.2715,12.6231,15.0229,15.7436,15.5216,16.0961,12.9753,15.7209,17.15,15.8424,16.9853,17.2058,14.8035,16.8689,51.2179,23.2676,24.097,20.5639,26.97,25.6571,15.0296
Sales per Employee,ACTUAL_SALES_PER_EMPL,144425.6757,139312.087,152865.4421,152201.068,168628.5264,173248.2185,158768.8734,163574.389,173703.7037,168196.1111,182553.7969,199715.155,216430.7905,224950.44,256786.655,,,306174.1219,347162.0698,278704.578,333204.9442,368360.3152,356785.0564,373550.8089,394274.4726,345120.83,352588.789,389192.18,429750.2063,459429.78,485661.8377,606532.3898,674338.6243,598817.734
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,11.0331,0.6596,13.3966,17.4398,14.3528,14.9824,15.7047,13.8361,12.9157,4.0327,2.9262,6.2951,7.3074,7.94,12.3346,14.8272,15.6686,15.138,17.7511,10.2806,14.1566,18.6006,17.7419,18.1101,16.846,12.6118,13.5301,37.5556,16.8027,17.8223,13.4312,21.1382,24.7971,14.3215
Return on Assets,RETURN_ON_ASSET,5.3555,0.2874,5.4281,7.3804,6.3276,6.6321,6.9561,5.0448,4.1317,1.2771,0.8999,1.9534,2.3366,2.6386,4.0709,5.0621,5.7083,5.6122,6.5445,3.8535,5.3844,6.754,5.9409,6.0804,6.0899,4.6214,4.8326,15.3081,7.4107,7.3407,5.3054,7.8608,8.452,4.537
Return on Capital,RETURN_ON_CAP,9.8435,0.8293,10.5026,13.311,11.4245,12.1095,12.5252,9.9533,8.4196,,3.9519,5.3012,5.5676,6.0005,8.3374,10.4235,11.0817,10.8487,12.3146,7.8846,10.1591,12.6036,11.4948,11.4765,11.1455,8.7158,9.0495,23.605,11.7417,11.7334,8.9937,12.565,13.5823,8.1653
Return on Invested Capital,RETURN_ON_INV_CAPITAL,5.795,1.8774,6.5663,6.0777,7.9046,7.9488,8.2629,6.5144,4.5564,,2.3869,3.1487,3.7928,3.9203,5.7239,6.897,7.2038,7.1981,8.2125,5.2173,6.9143,8.5531,7.8222,7.6181,7.624,5.9345,6.0785,17.1222,9.0191,8.8913,6.603,9.6119,10.4669,5.8438
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,17.5027,17.7926,19.2441,19.291,23.2554,23.2712,28.4077,28.7237,24.923,13.6971,10.2776,16.3209,18.4689,16.4502,23.2768,24.827,27.1819,27.4067,28.9279,24.6204,28.1211,28.7594,28.2971,28.964,30.7553,27.4379,31.0882,33.3807,34.5523,35.3134,30.6671,39.912,37.7324,23.4534
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,-9.7163,60.8499,-17.8157,169.1423,24.1061,,39.3443,-8050,,,3400,151,,75.5924,34.1564,50,112,40.6021,-41.679,46.1538,32.4275,-67.4242,64.878,83.905,-62.0845,,67.5716,48.1808,,-65.4944,106.7997,22.5827,-332.4278
Pretax Margin,PRETAX_INC_TO_NET_SALES,18.9604,3.226,19.001,20.1475,22.8974,23.8796,28.4321,23.6325,20.019,-3.4338,4.0591,8.9627,11.26,9.06,17.8063,19.9015,23.7058,23.7171,25.795,20.3539,24.8739,26.1189,24.9819,26.3673,26.9615,23.2328,26.1125,29.6465,30.2758,30.9047,25.8453,34.8052,32.4049,19.0852
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,12.0446,0.6672,12.1065,12.3024,14.5766,15.2678,18.3614,16.5522,14.9254,-5.5704,2.7927,5.8671,7.3365,6.3544,12.6231,15.0229,15.7436,15.5216,16.0961,12.9753,15.7209,17.15,15.8424,16.9853,17.2058,14.8035,16.8689,51.2179,23.2676,24.097,20.5639,26.97,25.6571,15.0296
Net Income Margin,PROF_MARGIN,12.0446,0.6672,12.1065,17.309,14.5766,15.2678,18.7759,17.0732,17.3892,4.5593,2.7927,6.0778,7.3365,8.2715,12.6231,15.0229,15.7436,15.5216,16.0961,12.9753,15.7209,17.15,15.8424,16.9853,17.2058,14.8035,16.8689,51.2179,23.2676,24.097,20.5639,26.97,25.6571,15.0296
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,12.0446,0.6672,12.1065,17.309,14.5766,15.2678,18.7759,17.0732,17.3892,4.5593,2.7927,6.0778,7.3365,8.2715,12.6231,15.0229,15.7436,15.5216,16.0961,12.8749,15.6368,17.1321,15.8062,16.9498,17.1714,14.756,16.8285,51.1989,23.2589,24.097,20.5639,26.97,25.6571,15.0296
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,36.4748,79.3176,36.2847,38.9383,36.3394,36.0635,35.4202,29.9599,25.4438,,31.2,34.5389,34.8442,29.8635,29.1091,24.5138,33.5874,34.5552,37.6,36.2515,36.7976,34.3386,36.5845,35.5818,36.1838,36.2817,35.3989,,23.1479,22.0281,20.4348,22.5116,20.8232,21.25
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,5.08,4.79,4.95,4.77,5.18,5.17,5.17,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,4.43,4.79,5.19,5.16,5.16,5.12,5.19,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.28,4.01,2.81,2.8,2.44,3.48,3.53,3.58,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.51,7.96,8.07,8.05,7.99,7.89,7.86,7.63,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,33.5278,36.948,39.5835,40.5995,44.3416,45.76,45.5789,48.2648,51.353,53.7572,56.9963,57.4691,58.7969,63.4041,64.3195,63.0419,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,1.7215,8.4567,12.7152,14.1347,24.3431,26.0948,21.2927,22.6216,36.9979,29.2359,38.961,40.3805,41.2262,50.3473,52.0689,52.4011,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,13.1499,16.6868,20.3446,24.4861,25.5139,25.5139,23.4885,30.2297,29.4438,44.4377,44.4377,44.4377,47.5816,46.0097,47.0375,42.8658,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,85.5208,85.5208,85.5208,83.0223,83.0223,85.5208,91.7821,91.7821,87.4774,87.4774,87.4774,87.4774,87.4774,93.7387,93.7387,93.7387,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.881,35.882,37.781,35.548
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.857,0.84,1.058,1.007
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,4456.64,4949.6,5127.99,4925.24,5088.31,5358.75,5268.21,4970.16,4872.47,4930.13,4784.05,3786.84,4165.81,4127.66,4097.54
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,243.357,279.25,277.068,252.854,260.792,266.815,250.526,235.524,228.814,196.155,201.474,193.097,147.906,150.491,145.307
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,20242,16732.199,18415.6,37705.898,20260.9,20740.699,16349.2,113119,,20317.1,20127,19408.1,16222.3,32983.898,31687.1,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,480.7,512,468.8,440.7,451.459,437.146,451.646,452.871,3.185,437.1,389.035,412.517,442.386,421.322,362.819,366,359
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,11500,18024.301,10775.8,1636120,18380.4,20962.801,108.607,8.34,,20758.6,22463.699,18190.5,15120,10182.9,9063.08,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,1661.11,1547.17,1710.33,1964.78,1894.83,1933.34,1529.25,108.011,,1892.38,1832.71,1718.66,1412.02,1465.02,1430.95,1434.74
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,4.262,,,0.13,0.039,0.615,0.318,0.117,0.075,5.203,6.471
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,347.513,327.581,377.807,228.686,334.372,393.375,355.056,240.113,210.588,163.139
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,3142.17,3623.78,,,,,,,,2507.57,2304.29,1957.53,1983.65
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,2691.93,2629.09,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,6.814,6.433,4.388,3.428,2.491,2.453,8.396,4.242,6.874,10.209
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,9.68,10,10,10,10.3,10.3,10.34,7,13,17,24,17,31,27,19,16.6
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,,,,22.84
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,7.13,7.04,6.91,6.8,6.9,7.1,7.271,7.19,7.45,7.43,7.09,7.5,7.76,4.1,4,7.93
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,16.299,15.43,,13.653,16,15.64,13.58,13.12,17.44,17.23,18.42,13.6,15,23.01
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,0,0,2,1,1,1,1
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,30806,28092,27967,28559,30498,30416,29034,29482,30456,27507,25123,26539,21043,19077,17933,19212,20700
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,7.7,6.93,,8.807,8.57,10.62,10.83,2.68,13.4,16.14,18.46,25.29,15.69
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,19400,,,,,,,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,26,27,28,,,31,32,33,34,35,36,37,38,39,40,41,42
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,,4,5,5,5,6,5,6,6,6,6,5,5,6,5,5,5,5
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,,4,5,5,5,6,5,6,6,6,6,5,5,6,5,5,5,5
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,,8,8,8,8,8,9,8,8,8,9,9,9,9,7,8,9,8
