SO US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,768.157,773.511,808.453,757,758.973,759.068,760.996,760,781.123,805.145,860.483,1186,2659.9509,2649.5139,2822.4309,3385.533,3395.95,3343.7461,3328.1489,3379,3165.98,3099.1819,3990.094,3628,3363.4131,3300.4551,3223.6931,3385.4331,6723.9761,6760.2622,7188.4941,6887,7741.9712,7019.2578,7179.0742,7202,6514.839,6928.172,6208.564,7733,8384.715,7789.381,8392.629,6225,6165.462,2212.014,3104.318,2254,2374.458,2450.473,2482.682,2517,2567.617,2614.088,2652.369,2710,2727.194,2737.774,2924.837,,2894.304,,,3819,3714.451,4119.963,4220.85,5254,5225.222,5020.044,4904.619,5376,5484.244,5737.339,5942.987,5123,4901.583,4762.469,4605.575,4980,5292.58,5263.726,5043.364,4876,4812,5010,4995,5867,5784,5803,5834,6408,6425,6419,6437,5391,5718,5824,5794,7009,7236,8014,7988,8245,7933,9260,16975,17330,17156,16795,16928,16692,16696,19556,19408,22166,17227,18662,19445,19485,19312,19454,19873,20263,20327,20151,20719,21283,21530,22512,24640,24184,23797,23591,23278,23166,23127,23008,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.574,,1889.568,1882.559,3251.499,3411.447,3744.752,3732.955,670,4719.506,4610.405,5594.894,778,804.054,348.669,872.483,827,,714.021,749.48,786,,329.189,,911,928.624,946.015,966.169,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,0,,,,319,0,754,7165,7221,7186,7200,7169,7141,7074,6017,5989,5928,5869,5832,5830,5816,5803,5791,5779,5767,5757,5746,5735,5725,5715,5705,5695,5567,5558,5547,5538,5529,5520,5511,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219.991,1943.362,1944.7,2106,2090.904,2013.715,2256.33,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,,0,0,0,0,0,0,0,,0,0,0,0,,2,0,264,6223,6251,6251,6271,6267,6268,6226,5315,5315,5315,5284,5282,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5280,5161,5161,5161,5161,5161,5161,5161,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,,490,942,970,935,929,902,873,848,702,674,613,585,550,550,536,523,511,499,487,477,466,455,445,435,425,415,406,397,386,377,368,359,350,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,,,,,,,,,878.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,1387,1393,,1432,1448,1467,1488,1510,1527,1533,1553,1560,1572,1580,1590,1629,1647,1325,1318,825,818,789,792,794,794,794,796,798,798,797,799,796,803,806,815,824,833,843,854,866,876,892,889,886,888,874,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443.12,1518.768,1497.706,1376,1355.738,1433.99,1244.175,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,6,0,,1541,1549,1615,1632,1637,1513,1542,1546,1569,1580,1598,1557,1540,1303,1386,1363,1358,1362,1368,1287,1278,1282,1293,1305,1292,1443,1408,1382,1376,1368,1395,1385,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,20614.1078,20671.6615,20522.3027,20564,20617.541,20658.7524,20437.3408,20700,20745.4409,20762.2468,20826.8542,20988,22504.276,22494.448,23263.3106,23575.8004,23651.8296,23655.2095,23749.2598,24674,24703.3227,24495.3971,27215.3762,27044,26927.6436,26974.8456,26891.0821,27234.9039,30453.5272,30564.5361,31428.5736,31668,31883.8041,31901.3323,31940.0001,32486,32249.064,33938.204,34256.552,34867,35137.527,35386.369,36064.833,28537,28875.917,26227.604,26525.462,26868,27446.83,27965.84,28318.82,28832,29928.808,30335.002,30471.566,32128,32472.431,32766.717,33125.987,,33689.805,,,35672,35765.388,36480.833,37253.181,38839,39081.096,39390.638,39872.36,41057,41769.753,42489.639,43187.648,42989,43608.366,44027.679,44642.274,46173,47359.914,47850.228,48285.328,49149,49779,50521,50848,52995,53833,54524,55267,56987,57342,57960,58912,58947,59698,61024,61396,64369,65238,67576,68945,71792,73274,75724,96704,99975,101333,99847,101113,100933,102043,101158,102333,107331,105387,106515,107674,108883,109422,110662,112584,114318,115924,116356,118187,118569,119342,120988,123642,124475,125201,126137,127233,128899,129577,130944,
Total Assets,BS_TOT_ASSET,22803.8301,23043.9941,22860.334,22866,22796.0098,22966.1328,22801.9883,22883,23018.9785,23088.4707,23323.1133,23224,24983.7695,25343.1387,25843.7578,25910.6563,25872.7578,26301.6914,26269.7402,27042,26964.9512,27021.4961,30318.5313,30554,29716.0371,30340.8594,29927.0859,30291.8027,34000.082,34412.3789,35384.2188,35271,35023.2383,35754.9531,35951.707,36192,35437.799,37569.764,38224.599,38396,38451.52,39521.49,43531.909,31362,31527.04,29267.18,29798.71,29824,30197,31310.47,31451.61,31799,32850.424,33293.29,33892.52,35045,35367.3,35935.204,36498.15,,37289.953,,,39877,39977.404,40801.215,42035.719,42858,43105.434,44144.746,45308.214,45789,46595.753,47858.255,49012.349,48347,49557.114,50417.049,50524.207,52046,52580.045,53374.49,54894.78,55032,55019,56023,57343,59267,59874,60897,61963,63149,63274,63961,64697,64546,64838,66400,67654,70233,71610,74181,75215,78318,78735,90873,106362,109697,109760,108684,110315,111005,111567,112777,111717,116914,114096,114867,117591,118700,118852,119731,123158,122935,125393,125907,127861,127534,128639,130769,134005,134891,134756,137116,138321,139331,140120,141937,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,142.981,244.708,216.314,114.997,164.232,197.826,398.741,223.201,211.753,248.805,430.285,166.157,201.308,273.535,464.502,155.97,162.937,277.931,437.982,197.15,228.792,289.767,490.612,184.855,254.368,308.967,489.796,180.221,225.591,257.857,420.289,231.263,283.439,312.767,560.954,-6.16,273.716,364.754,666.893,172.637,292.381,388.945,660.595,159.079,366.591,319.286,600.943,162.18,228.667,335.788,599.826,148.719,302.549,437.359,618.835,146.479,336.614,361.671,651.875,,322.96,394.223,729.629,167,270.622,393.229,747.105,196,348.818,439.283,772.446,221.453,375.399,432.577,796.63,186,141.916,494.808,806.17,267,510.703,526.389,833.433,169,438,620,933,277,384,639,993,399,97,313,869,431,368,628,735,317,525,643,970,283,500,635,1150,208,669,-1370,1079,502,942,-150,1168,282,2088,902,1320,445,872,616,1255,391,1139,376,1105,-211,1036,1111,1475,-86,862,838,1422,855,1129,1203,
Cash from Operating Activities,CF_CASH_FROM_OPER,275.331,280.393,843.925,457.351,333.737,365.373,848.598,409.292,364.916,398.917,964.012,359.155,515.743,346.984,934.816,529.577,477.663,422.404,863.534,287.489,511.737,429.973,980.143,461.147,417.537,504.039,1011.111,555.828,619.627,605.648,1150.6219,408.527,603.084,613.556,930.233,763.2131,238.663,689.476,1163.309,833.552,411.763,1028.035,1003.459,444.743,471.109,443.734,1035.269,620.888,449.363,600.808,1218.178,665.651,364.866,797.257,1236.051,699.048,313.463,606.688,1184.15,,178.51,632.813,1290.758,457.919,67.42,693.229,1245.677,847.674,271.979,722.65,1503.418,944.953,537.091,873.792,1225.249,827.868,401.131,218.484,1740.169,903.216,738.96,676.002,2111.639,464.399,998,1391,2209,1305,568,1189,2287,854,737,1210,2464,1686,1103,967,2617,1128,913,1194,2981,1186,878,1262,2156,598,896,1845,2510,1143,1509,1749,2326,1361,744,1769,2368,900,894,1953,2655,1194,1242,1662,2177,1088,1592,1987,1438,1285,844,2056,2840,1813,1311,2688,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,86.11,0,0,0,0,0,0,0,34.55,0,2.78,2.78,,0,1.8,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-23.913,-27.957,-34.24,0,-37.748,-14.525,-3.611,0,-11.423,-13.762,-9.365,0,-2.78,0,-2.78,,-1.8,0,-1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1421,-23,-81,-35,-18,-18,-30,-33,-30,-21,-10,-124,-7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1800.996,-81.196,-972.298,-83.51,-215.817,164.884,0.686,-861.753,-101.696,-1471.169,28.669,-394.804,-99.292,-22.822,12.875,28.239,-76.9,-47.886,61.606,-55.82,-100.705,-71.054,-90.05,126.809,-67.531,-19.803,-49.989,25.323,-32.395,-97.37,5.906,,-48.729,-25.421,12.562,-132.734,-33.312,-12.105,-25.665,233.206,-8.237,-61.066,54.578,-66.275,52.907,-51.533,-45.151,-24.223,44.265,442.065,-31.368,20.941,42.95,-55.445,2.117,-47.406,207,-90,173,125,-164,-213,260,-90,-51,77,-58,-114,-11,-10,-125,-844,32,-59,-1240,-166,-268,-8817,-721,-1236,-1225,-76,139,1932,-235,135,-29,-78,-191,13,-78,-304,-237,-64,26,4,-476,17,-23,-81,96,38,-62,83,-231,-9,342,-226,-476,87,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,-506.065,,,,-313.509,-2158.886,-488.858,-1393.493,-720.187,-651.376,-335.42,-409.527,-1227.7631,-597.096,-2026.629,-329.696,-1260.579,-554.418,-545.604,-543.1,-662.878,-747.083,-789.542,-542.963,-656.412,-780.86,-800.883,-676.614,-702.643,-600.657,-593.76,-396.231,-603.352,-554.829,-614.166,-459.445,,-546.76,-740.307,-552.627,-784.556,-504.91,-655.924,-987.637,-685.529,-787.872,-894.208,-877.402,-1149.518,-995.241,-1028.704,-955.826,-1146.229,-1122.03,-683.03,-1051.288,-1462.652,-1088.188,-947.352,-970.444,-1250.016,-884,-1180,-834,-1285,-1427,-1364,-967,-1410,-1279,-1350,-1473,-1640,-1215,-1554,-1388,-2251,-1107,-1659,-2114,-2400,-2197,-10478,-3965,-3407,-2797,-2086,-1802,-505,-1995,-1629,124,-2260,2454,-1452,-2075,-2319,-889,-1766,-2237,-2138,-2243,-1783,-1824,-1503,-1555,-1905,-2492,-2478,-2118,-2170,-2433,-2947,-2385,-1837,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-258.772,-264.606,-268.559,-260.063,-274.186,-317.354,-236.951,-278.509,-283.279,-284.214,-280.4,-275.107,-267.494,-264.33,-264.351,-234.825,-275.366,-276.324,-277.757,-279.553,-238.593,-240.55,-234.133,-226.534,-245.745,-247.324,-255.042,-276.889,-262.978,-267.857,-271.453,,-273.36,-285.081,-285.05,-284.509,-285.457,-295.71,-311.534,-281.299,-300.421,-313.829,-315.226,-323.524,-325.02,-338.847,-340.068,-342.065,-343.045,-359.646,-364.912,-366.397,-375.338,-392.065,-395.466,-398.131,-401,-418,-423,-424,-426,-443,-447,-442,-442,-460,-461,-465,-468,-486,-488,-424,-495,-513,-457,-494,-497,-526,-530,-551,-556,-578,-582,-584,-586,-608,-611,-620,-623,-646,-650,-651,-655,-677,-676,-677,-678,-699,-700,-700,-702,-723,-741,-741,-742,-764,-765,-764,-733,-754,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.593,-263.641,689.736,491.312,82.828,201.559,-351.587,601.2,97.564,2021.896,-112.387,922.927,768.397,-180.765,-178.72,-355.912,449.802,554.347,-246.424,279.275,354.083,326.173,-344.03,239.774,338.465,6.864,-298.229,-408.1,384.383,91.904,-381.765,,611.289,333.885,-163.973,372.799,842.805,221.018,183.133,-365.956,645.207,356.61,-176.311,-234.506,825.132,347.027,536.389,195.452,1183.782,549.853,-628.985,397.35,226.649,409.084,-0.42,208.687,59,-53,-9,114,747,15,-267,710,847,325,-588,186,358,864,14,441,1094,1296,-273,1881,928,9834,1104,2107,1378,1136,-88,701,1149,-886,-2686,-156,-2873,186,1835,865,968,136,2208,-1044,2248,713,869,935,610,802,407,2318,1291,1975,81,1024,1839,269,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,816.5,403.012,-56.07,-142.442,134.285,181.816,187.651,1.248,188.026,-250.931,-398.046,-313.049,-414.534,-0.025,60.003,849.79,87.88,107.449,132.339,97.332,160.882,526.948,-311.911,149.081,206.661,-30.585,79.229,339.695,148.702,59.969,27.619,,56.031,30.257,-208.986,34.698,1.149,6.323,12.359,252.169,167.509,143.976,253.013,443.502,7.107,103.347,145.746,92.8,151.379,387.709,129.441,617.471,147.345,194.102,269.018,161.535,193,289,138,103,116,200,-20,-329,24,169,317,215,124,189,166,322,-3,-408,20,120,270,1113,1882,493,186,81,446,-328,113,109,656,179,224,228,171,221,52,7,4,11,14,10,38,11,38,23,1742,-293,15,7,4,10,28,56,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1020.028,469.167,102.687,89.368,134.372,222.5,256.619,255.509,273.705,0.043,0.045,0.207,0.043,0.256,60.171,849.79,87.88,107.449,132.339,97.332,160.882,561.948,302.339,740.831,246.661,169.415,79.229,99.695,148.702,88.357,27.619,,56.031,92.578,60.113,59.278,15.835,6.323,12.359,252.483,167.509,143.976,253.013,443.502,132.107,103.347,145.746,92.8,151.379,387.709,129.441,617.471,147.345,194.102,269.018,161.535,193,289,138,103,116,200,65,16,42,169,318,216,128,190,166,322,112,4,20,120,270,1113,1882,493,186,231,446,180,113,109,656,212,224,228,171,221,52,7,4,11,14,10,38,11,38,23,1742,0,15,7,4,10,28,56,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-203.528,-66.155,-158.757,-231.81,-0.087,-40.684,-68.968,-254.261,-85.679,-250.974,-398.091,-313.256,-414.577,-0.281,-0.168,0,0,0,0,0,0,-35,-614.25,-591.75,-40,-200,0,240,0,-28.388,0,,0,-62.321,-269.099,-24.58,-14.686,0,0,-0.314,0,0,0,0,-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-85,-345,-18,0,-1,-1,-4,-1,0,0,-115,-412,0,0,0,0,0,0,0,-150,0,-508,0,0,0,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-293,0,0,0,0,0,0,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,359.155,,,,529.577,,,,287.489,,,,-44.918,,,,242.319,105.061,-167.098,237.56,-19.523,-123.56,209.8369,171.196,13.5271,-317.258,-105.325,318.851,-302.268,-66.986,39.783,68.67,3.533,-19.435,20.472,105.396,48.567,-57.869,378.622,-368.553,87.99,41.135,-93.306,372.31,-271.917,14.217,-134.326,92.864,,13.34,-140.281,174.831,-209.14,98.675,-37.886,155.197,-250.986,-5.357,7.348,365.67,-333.661,48.299,-54.882,612.052,-389.469,255.599,109.661,-174.98,82.72,-350.672,-72.772,992.457,-812.013,-37,27,1079,-201,-271,-385,597,-628,-113,-91,258,-23,-69,-7,831,-704,402,-299,296,295,-650,1143,772,-693,-876,339,403,289,143,-273,-126,-372,-155,22,1549,-957,190,-283,1780,-2597,733,-184,484,-272,-156,62,278,24,-820,1027,-354,-969,-89,379,
