BRK/B US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,10.326,11.02,5.243,9.963,8.733,13.3,20.5,28.3,27,41,241,54,14,64,59,104,258,354,602,386,527,492,488,369,298,331,353,413,301,375,732,1012,761,924
"Net Income, GAAP",NET_INCOME,394.093,439.908,407.285,688.121,494.798,794.9,2488.6001,1901.6,2830,1557,3328,795,4286,8151,7308,8528,11015,13213,4994,8055,12967,10254,14824,19476,19872,24083,24074,44940,4021,81417,42521,89795,-22759,96223
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,394.093,439.908,407.285,688.121,494.798,794.9,2488.6001,1901.6,2830,1557,3328,795,4286,8151,7308,8528,11015,13213,4994,8055,12967,10254,14824,19476,19872,24083,24074,44940,4021,81417,42521,89795,-22759,96223
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,394.093,439.908,407.285,688.121,494.798,794.9,2488.6001,1901.6,2830,1557,3328,795,4286,8151,7308,8528,11015,13213,4994,8055,12967,10254,14824,19476,19872,24083,24074,44940,4021,81417,42521,89795,-22759,96223
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,-486,-1874,521,-2227,-4337,-3321,-6725,-6497,-30483,20760,-56940.25,-20599,-62081,53797.21,-58747
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,70.984,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,659.667,747.83,710.922,1312.595,1053.355,1025.3,1473.1,2060.5,2273,1907,2668,2035,6327,12583,12331,13394,20018,23890,11708,16671,25888,22661,31134,38105,38754,46362,45200,34398,19800,116980,71118,127106,-15763,137217
EBITDA Margin (T12M),EBITDA_MARGIN,24.8378,24.1094,23.5087,36.0066,27.3779,23.4665,18.3765,22.0996,19.9089,8.4146,8.9094,5.4587,15.3133,19.7043,16.5779,16.4016,20.3148,20.2038,10.8623,14.8196,19.0094,15.771,19.1637,20.9196,19.9046,21.9784,20.2311,14.2105,8.7851,35.7493,24.8382,35.8302,-6.7328,31.2327
EBIT,EBIT,625.584,710.655,669.848,1262.415,990.808,949.6,1321.5,1833.2,2008,1219,1671,959,5807,12063,11420,12412,17952,21483,8898,13544,21609,17978,24980,31597,31384,38583,36299,25210,10021,105481,59119,114972,-28011,123196
Gross Margin,GROSS_MARGIN,43.9263,40.8406,39.718,50.4556,41.6953,39.4924,28.007,30.4289,27.8094,26.8279,13.6546,13.0418,23.6368,36.3222,25.4981,26.2432,28.2203,27.6232,19.5851,21.9418,23.6641,20.3817,22.6821,24.6385,23.1665,25.5481,25.4505,19.6769,14.2664,39.3631,37.55,43.3852,5.8777,37.8482
Operating Margin,OPER_MARGIN,23.5545,22.9109,22.1505,34.6301,25.7522,21.734,16.4854,19.6617,17.5878,5.3788,5.58,2.5724,14.0547,18.8901,15.3532,15.199,18.2182,18.1682,8.2552,12.0399,15.8674,12.5118,15.3758,17.3467,16.1192,18.2907,16.2471,10.4147,4.4462,32.2352,20.6475,32.4098,-11.9643,28.0413
Profit Margin,PROF_MARGIN,14.8384,14.1823,13.4681,18.8763,12.8604,18.1933,31.0446,20.3953,24.7876,6.8702,11.1133,2.1325,10.3735,12.7641,9.825,10.4429,11.1783,11.1743,4.6333,7.1604,9.5216,7.1363,9.1245,10.6923,10.2065,11.4168,10.7753,18.5656,1.7841,24.8812,14.8506,25.3125,-9.721,21.9019
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,245360.5263,,440058.2524,267375,338909.0909,281068.0272,369768.3845,413233.3333,425328.125,454096.7742,,438154.4715,437715.9533,523788.4615,532177.7778,563129.9827,550726.3904,571804.9099,583892.9333,608768.3924,642071.618,578833.1497,835735.3929,794962.9901,954505.9504,611839.5091,1108205.5292
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,7.7178,6.9455,5.0047,7.1217,4.437,5.5561,12.3919,6.9298,6.3697,2.704,5.5706,1.3286,7.027,11.51,8.9397,9.6153,11.0203,11.5321,4.3426,6.7022,8.9917,6.3656,8.4109,9.5112,8.6015,9.7164,8.9558,14.2584,1.1538,21.0517,9.798,18.9169,-4.6465,18.5993
Return on Assets,RETURN_ON_ASSET,3.9155,3.5007,2.5936,3.7741,2.422,3.1765,6.9012,3.8215,3.1736,1.2277,2.4909,0.5326,2.5796,4.6563,3.9563,4.405,4.931,5.0664,1.8477,2.8538,3.8745,2.6812,3.6152,4.2693,3.9319,4.4676,4.1043,6.7939,0.5704,10.674,5.0277,9.8002,-2.3866,9.5344
Return on Capital,RETURN_ON_CAP,7.7981,7.0723,5.3025,6.8492,4.4895,5.5082,11.7731,6.7005,6.1273,2.3672,4.5379,1.6221,5.2706,9.2852,7.9861,8.3461,9.6035,9.6213,4.2733,6.0606,7.7424,5.5962,7.1129,7.9035,7.2639,8.071,7.4361,11.4551,1.6287,17.1991,8.3533,15.5974,-2.985,15.4055
Return on Invested Capital,RETURN_ON_INV_CAPITAL,6.6244,5.8917,4.287,6.0284,4.9503,3.567,3.1892,3.2447,2.5088,1.0462,1.2465,0.617,4.0015,8.0997,6.9322,7.5775,9.6544,9.6481,4.2678,6.0904,7.7695,5.6271,7.1814,7.9428,6.5908,6.8068,6.0361,9.4552,1.7527,15.1505,7.2912,13.5645,-2.8865,13.4024
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,43.9263,40.8406,39.718,50.4556,41.6953,39.4924,28.007,30.4289,27.8094,26.8279,13.6546,13.0418,23.6368,36.3222,25.4981,26.2432,28.2203,27.6232,19.5851,21.9418,23.6641,20.3817,22.6821,24.6385,23.1665,25.5481,25.4505,19.6769,14.2664,39.3631,37.55,43.3852,5.8777,37.8482
Operating Margin,OPER_MARGIN,23.5545,22.9109,22.1505,34.6301,25.7522,21.734,16.4854,19.6617,17.5878,5.3788,5.58,2.5724,14.0547,18.8901,15.3532,15.199,18.2182,18.1682,8.2552,12.0399,15.8674,12.5118,15.3758,17.3467,16.1192,18.2907,16.2471,10.4147,4.4462,32.2352,20.6475,32.4098,-11.9643,28.0413
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,19.0776,-52.4895,95.3668,,,10.1974,39.1358,8.3505,,6.2062,,120.0892,27.7526,,13.6245,32.8277,17.9184,-120.327,98.7041,34.041,,37.2943,33.611,,44.3179,,,-91.0666,93.7344,-113.3601,81.6326,-118.5361,73.6819
Pretax Margin,PRETAX_INC_TO_NET_SALES,19.446,19.1174,18.2078,32.6359,17.2112,24.8192,46.2301,30.327,37.7858,10.8106,18.6569,3.9405,15.3908,18.8227,14.7025,15.6632,17.0268,17.0502,7.0269,10.2691,13.9891,10.6578,13.6868,15.8089,14.4351,16.5666,15.0691,9.8479,1.7752,31.3841,19.451,31.4835,-13.0275,27.3517
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,15.2272,14.5375,13.6415,21.0968,13.0873,18.4977,31.3004,20.6989,25.0241,7.0511,11.9181,2.2774,10.4073,12.8643,9.9043,10.5703,11.4401,11.4736,5.1918,7.5036,9.9086,7.4787,9.4249,10.8949,10.3596,11.5737,10.9333,18.7362,1.9176,24.9958,15.1063,25.5978,-9.396,22.1122
Net Income Margin,PROF_MARGIN,14.8384,14.1823,13.4681,18.8763,12.8604,18.1933,31.0446,20.3953,24.7876,6.8702,11.1133,2.1325,10.3735,12.7641,9.825,10.4429,11.1783,11.1743,4.6333,7.1604,9.5216,7.1363,9.1245,10.6923,10.2065,11.4168,10.7753,18.5656,1.7841,24.8812,14.8506,25.3125,-9.721,21.9019
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,14.8384,14.1823,13.4681,18.8763,12.8604,18.1933,31.0446,20.3953,24.7876,6.8702,11.1133,2.1325,10.3735,12.7641,9.825,10.4429,11.1783,11.1743,4.6333,7.1604,9.5216,7.1363,9.1245,10.6923,10.2065,11.4168,10.7753,18.5656,1.7841,24.8812,14.8506,25.3125,-9.721,21.9019
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,21.6949,23.9564,25.079,35.3571,23.9605,25.4703,32.2944,31.7478,33.7738,34.7755,36.1196,42.2056,32.3793,31.6556,32.6353,32.515,32.8108,32.7067,26.1157,30.6267,29.4315,29.8289,31.1387,31.0842,28.2334,30.1379,27.4453,,,20.3552,22.3367,18.6944,,19.156
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.23,1.22,1.21,1.2,1.19,1.22,1.38,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.82,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,5.08,5.01,4.93,4.87,4.84,5.01,5.08,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,28.6893,28.6893,28.6893,28.6893,28.6893,29.5242,30.4497,30.4497,30.7917,30.7917,30.7917,30.7917,30.7917,30.7917,31.7574,34.3728,34.3728
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3322,0.3322,0.3322
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,5.3507,5.3507,5.3507,5.3507,5.3507,5.3507,8.1318,8.1318,9.1596,9.1596,9.1596,9.1596,9.1596,9.1596,11.7291,19.5889,19.5889
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.95,21.8
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3,30.79
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,32.15
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.57,36.97
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,233000,246000,257000,260000,271000,288500,330000,316000,360000,367000,377000,389000,391539,360174,371653,382651,396500
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,28,29,30,31,32,33,34,35,36,37,38,39
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,4
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,,6,7,7,5,12,5,5,6,6,6,6,7,5,6,6,6,6
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,100,100,100,86.66,100,100,100,100,100,100,100,100,100,100,100,100,100
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,,,11,11,12,12,12,12,13,13,12,12,12,14,14,14,15,15,14
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,,,,,,,,,,,,,,,,,,3,3,3,3,3,3,3,2,2,2,3,5,5,5,5,5,4
