VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
    - Interest Income,IS_INT_INC,,,,,,,,,,,4.678,4.444,3.473,4.528,5.599,16.627,6.171,6.625,3.126,2.282,0.863,3.444,1.141,0.943,0.96,0.345,0.807,4.437,0.554,1.2,1.6,1.6,0.8,16.5
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-5.307,-3.074,-0.002,-6.727,-7.538,-3.107,1.678,-0.944,-13.357,-13,-9.2,17.5,-10.7,-5.1,2.7
"Pretax Income (Loss), Adjusted",PRETAX_INC,179.229,73.447,130.726,125.222,145.906,258.4206,285.58,300.501,374.844,351.561,304.395,315.57,265.6,310.754,375.566,480.237,703.491,667.653,75.058,-19.221,-192.206,-153.738,-120.418,-3.703,298.838,327.857,547.257,361.316,623.29,757.7,743.8,873.8,788.1,1245.1
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,0,-5.125,0,0,15,0,-12.191,0,0.697,-34.922,-58.659,158.437,-27.104,-19.302,-78.958,-15.518,-37.741,-218.627,1.124,1.364,13.173,12.769,-12.514,44.4,-153.8,72,-105.2
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,-244.222,-9.927,-15.431,-17.827,-12.015,-23.752,-4,-120.1,-10.7,-76.4
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,15.709,,0.697,,,,,,,,,3.095,5.19,10.506,,,,,4.6,67.9,28.3
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,21.2,-6.329,,,15.616,3.033,6.9,-113.2,-3,-59.2
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,40,-44.177,43.38,,,,-11.014,,-2.253,,22.7,12.1,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,-27.104,-59.302,-47.752,-68.455,-39.25,,,,11,5.202,1.748,17.5,47.8,10.6,
"Pretax Income (Loss), GAAP",PRETAX_INC,179.229,73.447,130.726,125.222,145.906,258.4206,285.58,300.501,374.844,351.561,304.395,315.57,265.6,310.754,375.566,480.237,703.491,667.653,75.058,-19.221,-192.206,-153.738,-120.418,-3.703,298.838,327.857,547.257,361.316,623.29,757.7,743.8,873.8,788.1,1245.1
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,58.951,20.867,39.746,36.993,47.93,92.181,96.985,91.356,118.936,111.868,92.345,101.373,71.427,87.971,114.353,136.402,223.313,204.416,76.724,-37.869,-89.663,-78.483,-66.492,-24.459,91.692,94.943,124.851,-232.075,105.449,135.2,155.8,200.1,193,299.4
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,120.278,52.58,90.98,88.229,97.976,166.24,188.595,209.145,255.908,239.693,212.05,214.197,194.173,222.783,261.213,343.835,480.178,463.237,-1.666,18.648,-102.543,-75.255,-53.926,20.756,207.146,232.914,422.406,593.391,517.841,622.5,588,673.7,595.1,945.7
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,-3.005,0,0,0,0,0,0,0,0,0,26.783,28.502,-26.172,-44.922,9.964,12.176,2.449,-11.666,-6.053,-4.477,-1.333,-3.626,2.223,11.737,2.915,-7.794,2.036,4.8,3.5,3.3,18.6,10.8
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,-11.666,-6.053,-4.477,-1.333,-3.626,2.223,11.737,2.915,-7.794,2.036,4.8,3.5,3.3,18.6,10.8
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,120.278,52.58,93.985,88.229,97.976,166.2396,188.595,209.145,255.908,239.693,212.05,214.197,167.39,194.281,287.385,388.757,470.214,451.061,-4.115,30.314,-96.49,-70.778,-52.593,24.382,204.923,221.177,419.491,601.185,515.805,617.7,584.5,670.4,576.5,934.9
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,0,0,0,0,0,0,0,-7.843,-8.483,-2.486,-0.671,0,,0,0.151,0,0,0,0,0,0,0,0,0,0,0,,0,-0.4,0.9,1.7
"Net Income, GAAP",NET_INCOME,120.278,52.58,93.985,88.229,97.976,166.24,188.595,209.145,255.908,239.693,219.893,222.68,169.876,194.952,287.385,388.757,470.214,450.91,-4.115,30.314,-96.49,-70.778,-52.593,24.382,204.923,221.177,419.491,601.185,515.805,617.7,584.5,670.8,575.6,933.2
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,120.278,52.58,93.985,88.229,97.976,166.24,188.595,209.145,255.908,239.693,219.893,222.68,169.876,194.952,287.385,388.757,470.214,450.91,-4.115,30.314,-96.49,-70.778,-52.593,24.382,204.923,221.177,419.491,601.185,515.805,617.7,584.5,670.8,575.6,933.2
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,120.278,52.58,93.985,88.229,97.976,166.24,188.595,209.145,255.908,239.693,219.893,222.68,169.876,194.952,287.385,388.757,470.214,450.91,-4.115,30.314,-96.49,-70.778,-52.593,24.382,204.923,221.177,419.491,601.185,515.805,617.7,584.5,670.8,575.6,933.2
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,-7.9242,,,,-38.1284,102.9841,-17.6176,-12.5463,-51.3227,-10.0867,-24.5317,-142.1076,2.0815,-35.2134,-288.4376,10.0875,-9.8861,35.076,-121.502,56.88,-83.108
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,-3.005,0,0,0,0,0,0,0,0,0,26.783,28.502,-26.172,-44.922,9.964,12.176,2.449,-11.666,-6.053,-4.477,-1.333,-3.626,2.223,11.737,2.915,-7.794,2.036,4.8,3.5,3.3,18.6,10.8
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,116.49,114.648,113.34,110.925,110.049,107.799,104.274,101.484,100.854,100.895,101.037,101.445,101.709,101.849,102.447,102.179,97.577,97.036,109.774,118.891,128.05,129.381,129.745,130.272,131.461,133.21,133.205,132.513,132.393,132.3,132.6,132.8,133,133
"Basic EPS, GAAP",IS_EPS,1.0333,0.46,0.83,0.7967,0.89,1.5433,1.81,2.06,2.54,2.38,2.18,2.2,1.67,1.91,2.81,3.8,4.82,4.6468,-0.04,0.25,-0.75,-0.55,-0.41,0.19,1.56,1.66,3.15,4.54,3.9,4.67,4.41,5.05,4.33,7.02
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,1.0333,0.46,0.8033,0.7967,0.89,1.5433,1.81,2.06,2.54,2.38,2.18,2.2,1.93,2.19,2.55,3.37,4.92,4.7723,-0.02,0.16,-0.8,-0.58,-0.42,0.16,1.58,1.75,3.17,4.48,3.91,4.71,4.44,5.08,4.47,7.1
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,1.0333,0.46,0.8033,0.7967,0.89,1.5433,1.81,2.06,2.4867,2.38,2.18,2.29,1.93,2.1122,2.55,3.37,4.57,4.3794,0.92,0.0087,-0.8988,-0.9783,-0.4934,-0.029,0.4947,1.7641,2.9067,2.3013,3.9876,4.6305,4.6989,4.1611,4.8953,6.4729
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,116.49,114.648,113.34,110.925,110.049,107.799,105.519,102.849,102.177,102.19,102.012,102.497,102.515,102.71,103.664,104.085,99.777,99.403,109.774,119.43,128.05,129.381,129.745,131.467,132.991,135.093,135.79,134.878,133.926,133.4,133.2,133.5,133.6,133.7
"Diluted EPS, GAAP",IS_DILUTED_EPS,1.0333,0.46,0.83,0.7967,0.89,1.5433,1.7867,2.0333,2.5,2.35,2.16,2.17,1.66,1.9,2.77,3.73,4.71,4.5362,-0.04,0.25,-0.75,-0.55,-0.41,0.19,1.54,1.64,3.09,4.46,3.85,4.63,4.39,5.02,4.31,6.98
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,1.0333,0.46,0.8033,0.7967,0.89,1.5433,1.7867,2.0333,2.5,2.35,2.16,2.17,1.92,2.18,2.52,3.3,4.81,4.6587,-0.02,0.16,-0.8,-0.58,-0.42,0.16,1.56,1.72,3.11,4.4,3.87,4.67,4.41,5.05,4.45,7.06
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,1.0333,0.46,0.8033,0.7967,0.89,1.5433,1.7867,2.0333,2.4533,2.35,2.16,2.26,1.92,2.103,2.52,3.3,4.46,4.2751,0.92,0.0087,-0.8988,-0.9783,-0.4977,-0.029,0.4915,1.7354,2.8507,2.2615,3.9453,4.5959,4.6733,4.1399,4.8757,6.4384
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,290.265,222.998,246.68,233.433,244.295,360.765,387.088,404.194,480.655,565.202,572.854,648.631,573.748,618.016,623.182,689.736,915.902,927.384,638.162,543.064,367.553,425.163,416.74,497.512,817.635,824.601,964.522,945.009,1093.959,1305.6,1348.3,1541.7,1621.6,2118.5
EBITDA Margin (T12M),EBITDA_MARGIN,26.261,22.1343,22.8824,20.5942,19.4912,24.6935,24.6719,24.0795,27.0573,21.6738,20.8721,21.4779,21.6668,21.3685,25.3911,23.8224,27.4019,27.8679,17.477,20.1846,14.3639,16.5785,16.2326,17.9561,27.3076,24.0958,26.847,24.2914,24.9599,26.4876,27.7611,27.7674,22.1675,27.2234
EBIT,EBIT,190.104,113.273,143.335,130.653,137.6,250.088,274.488,283.57,342.863,358.094,340.489,370.422,306.072,340.925,378.132,468.78,689.532,655.909,249.102,148.452,-14.54,63.444,84.781,190.404,538.138,549.778,679.582,639.044,747.713,877.5,895.7,1010.8,951.4,1427.4
Gross Margin,GROSS_MARGIN,26.3656,21.0557,23.1054,21.7669,21.3954,28.4922,28.905,28.5436,30.9423,22.4886,21.2668,21.5052,19.5038,20.1742,23.7406,24.4696,27.8807,28.5746,20.532,16.5755,11.7523,11.069,13.0107,15.4069,19.6242,25.0581,27.8572,25.5382,25.1193,25.4793,26.3857,24.7361,21.294,25.0389
Operating Margin,OPER_MARGIN,17.1992,11.2432,13.296,11.5266,10.9785,17.1179,17.4951,16.8934,19.3006,13.7318,12.4058,12.2657,11.5584,11.7878,15.4067,16.1909,20.6294,19.7101,6.822,5.5177,-0.5682,2.4739,3.3023,6.872,17.9729,16.0651,18.9158,16.4266,17.0599,17.8024,18.4422,18.2054,13.0058,18.3426
Profit Margin,PROF_MARGIN,10.8818,5.219,8.7182,7.7838,7.8171,11.3787,12.0205,12.4596,14.4057,9.1915,8.0119,7.3735,6.4151,6.7406,11.7093,13.427,14.0678,13.5498,-0.1127,1.1267,-3.7708,-2.7599,-2.0486,0.88,6.8441,6.463,11.6763,15.4535,11.7687,12.5317,12.0347,12.0817,7.8685,11.9919
Sales per Employee,ACTUAL_SALES_PER_EMPL,167471.2211,157418.4417,171853.1857,179918.8911,185600.4716,211184.4462,226529.7352,233785.6622,254832.0126,282134.6961,294642.4041,317559.4101,288899.3045,,291835.3151,,418699.1106,,391785.1931,327031.7248,330218.3508,359987.3666,381642.6342,401435.6708,431436.4553,476228.9173,502541.1946,492442.5316,523452.6454,430978.4034,576064.5238,485459.4736,641853.1192,749556.9254
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,17.902,7.7147,13.5911,12.5765,13.6591,21.7554,22.4478,22.3069,23.8587,19.3507,15.7339,14.4796,10.2916,11.1407,15.0589,18.7782,22.7297,15.6281,-0.113,0.802,-2.4144,-1.8271,-1.3927,0.6334,5.0506,5.1252,9.2945,12.6017,10.1419,11.4127,10.0351,10.6711,8.5441,12.9503
Return on Assets,RETURN_ON_ASSET,11.3441,4.7994,8.7143,8.16,8.6716,13.871,14.8708,15.1013,16.4685,10.6575,7.2475,6.7054,4.9516,5.5032,7.8714,10.7184,13.4027,7.2938,-0.0461,0.3477,-1.1443,-0.8544,-0.6431,0.2976,2.5144,2.7067,5.0019,6.6886,5.3349,6.032,5.2338,5.2882,4.1236,6.485
Return on Capital,RETURN_ON_CAP,16.0204,7.3719,12.4749,11.7253,12.4257,19.5464,20.7244,20.7725,22.4553,15.8779,10.3696,9.8298,7.6942,8.464,11.6752,15.5454,18.5811,9.74,-0.1098,2.0834,0.3205,1.0937,1.317,2.4199,5.9201,6,8.052,11.0337,7.9106,8.556,7.4623,7.4961,6.1732,9.2042
Return on Invested Capital,RETURN_ON_INV_CAPITAL,14.7879,9.0155,11.3437,10.4447,10.0442,16.5644,17.7024,17.6555,18.6685,12.8984,8.2789,7.8557,6.7515,7.9901,8.7413,11.2497,16.2077,8.329,-0.2096,1.6407,0.145,0.9965,1.3705,2.4011,5.6663,6.2241,7.9334,10.7111,7.6355,8.4702,7.8133,7.4163,6.2616,9.3111
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,26.3656,21.0557,23.1054,21.7669,21.3954,28.4922,28.905,28.5436,30.9423,22.4886,21.2668,21.5052,19.5038,20.1742,23.7406,24.4696,27.8807,28.5746,20.532,16.5755,11.7523,11.069,13.0107,15.4069,19.6242,25.0581,27.8572,25.5382,25.1193,25.4793,26.3857,24.7361,21.294,25.0389
Operating Margin,OPER_MARGIN,17.1992,11.2432,13.296,11.5266,10.9785,17.1179,17.4951,16.8934,19.3006,13.7318,12.4058,12.2657,11.5584,11.7878,15.4067,16.1909,20.6294,19.7101,6.822,5.5177,-0.5682,2.4739,3.3023,6.872,17.9729,16.0651,18.9158,16.4266,17.0599,17.8024,18.4422,18.2054,13.0058,18.3426
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,-78.5336,42.6067,,5.7954,54.1813,22.5987,8.2838,60.594,1.8321,,10.8691,-17.3012,14.2761,,20.5555,49.3689,-228.9148,,-10.474,-123.8278,1371.0267,773.0797,51.929,155.6135,2.7195,76.1376,,22.0615,23.7605,,16.5516,,101.9927
Pretax Margin,PRETAX_INC_TO_NET_SALES,16.2153,7.2902,12.1263,11.0475,11.6412,17.6882,18.202,17.9021,21.1009,13.4813,11.0907,10.4494,10.03,10.7446,15.3021,16.5866,21.047,20.063,2.0556,-0.7144,-7.5114,-5.9947,-4.6904,-0.1336,9.9807,9.5804,15.2326,9.2876,14.2211,15.372,15.3146,15.7379,10.7735,15.9999
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,10.8818,5.219,8.4394,7.7838,7.8171,11.3787,12.0205,12.4596,14.4057,9.1915,7.7261,7.0926,7.3327,7.7029,10.6429,11.8755,14.3659,13.9203,-0.0456,0.6931,-4.0074,-2.9344,-2.1005,0.7491,6.9183,6.806,11.7574,15.2531,11.8151,12.6291,12.1067,12.1339,8.1351,12.1526
Net Income Margin,PROF_MARGIN,10.8818,5.219,8.7182,7.7838,7.8171,11.3787,12.0205,12.4596,14.4057,9.1915,8.0119,7.3735,6.4151,6.7406,11.7093,13.427,14.0678,13.5498,-0.1127,1.1267,-3.7708,-2.7599,-2.0486,0.88,6.8441,6.463,11.6763,15.4535,11.7687,12.5317,12.0347,12.0817,7.8685,11.9919
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,10.8818,5.219,8.7182,7.7838,7.8171,11.3787,12.0205,12.4596,14.4057,9.1915,8.0119,7.3735,6.4151,6.7406,11.7093,13.427,14.0678,13.5498,-0.1127,1.1267,-3.7708,-2.7599,-2.0486,0.88,6.8441,6.463,11.6763,15.4535,11.7687,12.5317,12.0347,12.0817,7.8685,11.9919
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,32.8914,28.411,30.404,29.5419,32.8499,35.6709,33.9607,30.4012,31.7295,31.8204,30.3372,32.1238,26.8927,28.3089,30.4482,28.4031,31.7435,30.6171,102.2196,,,,,,30.6828,28.9587,22.814,,16.9181,17.8435,20.9465,22.9,24.4893,24.0463
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.44,3.26,3.9,3.92,3.93,3.9,4.18,4.17,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,2.52,2.67,2.62,3.11,3.24,3.36,3.75,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,1.17,2.68,2.9,2.22,2.04,2.67,2.35,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.67,7.45,7.43,7.32,7.46,7.35,7.33,7.08,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,30.3591,30.3591,31.2142,31.2142,31.3248,34.6042,34.6042,33.7692,33.7692,34.6042,40.4285,39.2214,43.225,44.0801,49.0192,49.5121,55.3063,56.3223,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,0,0,0,0,0.3322,3.2619,3.2619,3.2619,3.2619,3.2619,10.0272,10.0272,11.4467,11.4467,26.276,21.4739,33.9172,39.5651,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,5.3507,5.3507,7.9202,7.9202,7.9202,14.8428,14.8428,14.8428,14.8428,14.8428,23.6094,19.9819,30.5925,33.162,33.162,33.162,38.1197,35.52,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,85.5208,85.5208,85.5208,85.5208,85.5208,85.5208,85.5208,83.0223,83.0223,85.5208,87.4774,87.4774,87.4774,87.4774,87.4774,93.7387,93.7387,93.7387,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,549.261,580.756,592.159,588.921,626.221,625.905,826.863,929.419,898.159
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,302.857,308.042,330,362.248,371.778,339.341,318.221,298.594,310.639
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3961.35,3385.87,4286.49,4820.99,4710.08
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.354,800.684,833.608,895.464,856.977
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81905.297,75253,,93900.102,81417.703
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.761,180.075,,0.264,0.276
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,0.137,0.127,0.171,0.569,0.394,,0,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.581,3.68
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7653740,,7880700,,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
