VMC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    - Accumulated Depreciation,BS_ACCUM_DEPR,745.93,763.111,785.922,804.102,826.448,848.808,871.213,878.268,899.723,920.437,943.061,960.712,981.437,1002.694,1022.698,1040.22,1060.1689,1080.037,1099.928,1107.131,1121.863,1142.025,1164.734,1161.403,1183.668,1204.203,1219.381,1237.674,1261.594,1280.568,1292.844,1311.781,1335.324,1339.677,1358.144,1384.9709,1733.683,1759.91,1788.9771,1510.182,1541.179,1581.1071,1609.705,1647.5699,1809.41,1858.9139,1898.299,1943.924,1998.309,2044.1543,2088.186,2122.49,2192.5081,2203.5061,2216.3369,2222.998,2268.158,2313.3301,2356.3479,1727.7,1761.268,1797.21,1838.36,1877.741,1917.815,1953.064,1992.564,2028.504,2070.84,2114.125,2151.182,2185.695,2267.613,2325.181,2401.074,2480.061,2560.199,2644.146,2713.057,2778.59,2834.162,2915.565,2987.287,3059.9,3136.39,3197.163,3222.469,3287.367,3349.258,3419.174,3477.496,3507.432,3507.394,3519.862,3578.01,3621.585,3446.744,3494.896,3539.772,3537.212,3587.444,3637.392,3683.961,3734.997,3786.59,3834.68,3876.743,3924.38,3980.567,3992.728,4002.227,4050.381,4090.574,4134.75,4197.592,4220.312,4292.8,4339.594,4395.539,4466.647,4547.482,4584.365,4666.975,4735.5,4814,4795.451,4887.795,4977.3,5086.9,5175.3,5237.9,5347.9,5468.7,5566.8,5611.8,5742.2,5869.4,5960.1,
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,55.986,56.049,56.505,56.688,56.641,57.59,58.138,58.859,61.397,61.66,56.272,56.896,59.139,60.699,61.274,59.589,61.451,63.106,63.482,64.9414,67.373,67.969,71.034,73.792,74.022,71.185,77.064,80.413,74.919,78.254,72.558,12.455,12.392,13.389,13.352,14.726,16.193,16.222,15.964,19.593,21.257,20.965,21.111,20.94,20.666,20.371,7.226,7.122,6.994,6.919,6.942,6.864,6.729,6.985,6.664,2.383,5.004,5.069,25.445,24.743,24.265,25.003,27.998,28.011,30.614,31.424,33.283,33.298,34.078,33.808,37.386,37.271,37.251,28.917,29.004,29.172,28.506,42.226,42.081,41.707,43.194,43.275,42.387,42.137,42.128,42.117,41.65,41.613,41.603,40.516,40.558,38.895,38.924,38.914,39.226,34.311,38.888,35.999,35.115,35.056,41.989,42.944,44.615,50.952,51.667,57.059,60.709,57.987,43.849,41.778,34.3,34.3,34.264,34.108,34.1,36.5,33.1,33.1,31.8,31.3,31.2,31.2,31.3,31.4,31.4,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.011,30.614,31.424,33.283,33.298,34.078,33.808,37.386,37.271,37.251,28.917,29.004,29.172,28.506,42.226,42.081,41.707,43.194,43.275,42.387,42.137,42.128,42.117,41.65,41.613,41.603,40.516,40.558,38.895,38.924,38.914,39.226,34.311,38.888,35.999,35.115,35.056,41.989,42.944,44.615,50.952,51.667,57.059,60.709,57.987,43.849,41.778,34.3,34.3,34.264,34.108,34.1,36.5,33.1,33.1,31.8,31.3,31.2,31.2,31.3,31.4,31.4,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,78.123,77.906,98.527,101.994,99.918,106.644,115.146,112.524,111.529,119.371,118.811,115.365,115.425,67.922,64.251,61.648,64.804,64.482,74.104,84.451,83.223,89.667,91.458,99.368,82.162,101.702,99.483,100.836,97.507,93.018,84.065,90.213,106.025,123.763,113.146,115.411,630.812,602.336,594.023,497.99,499.816,496.512,493.104,612.878,649.671,668.588,639.671,669.922,661.661,637.9517,652.042,666.516,661.623,663.621,667.804,672.859,676.017,675.649,675.084,703.455,727.099,871.313,825.151,813.253,812.637,816.094,806,820.862,846.839,864.156,855.279,4133.602,4186.522,4248.854,4256.487,3836.469,3835.744,3861.955,3880.993,3884.028,3884.792,3876.648,3894.68,3895.485,3903.44,3913.261,3907.43,3919.031,3918.524,3921.823,3921.483,3940.361,3948.17,3954.738,3951.36,3953.243,3883.066,3888.024,4026.233,4007.348,4006.154,4016.556,4013.033,4020.193,4002.8,4010.411,4014.119,4033.629,4100.43,4107.435,4118.662,4370.744,4381.091,4513.179,4468.056,4471.063,4460.33,4464.504,4460.194,4484.531,4472.597,4515.137,4508.396,4526.3,4520.6,4506.34,5731.648,5713.7,5756.4,5813.1,5689.8,5676.9,5638.7,5594.5,5254.6,5260.1,5250.2,5280.9,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.008,571.404,544.261,537.796,454.783,450.085,445.895,443.504,562.044,599.475,604.52,577.182,588.562,588.264,561.6997,564.536,575.791,575.838,578.473,579.18,579.817,579.817,579.817,579.817,600.181,616.341,636.582,646.833,617.083,628.683,630.802,625.076,620.189,650.206,650.205,650.205,3789.091,3900.36,3895.267,4057.114,3756.805,3755.338,3774.616,3775.066,3778.943,3778.172,3775.038,3787.758,3788.709,3798.062,3791.525,3785.419,3784.218,3782.568,3781.688,3780.024,3779.248,3787.641,3784.69,3779.176,3779.099,3715.391,3714.963,3854.18,3853.067,3858.896,3862.819,3861.519,3861.403,3848.196,3849.165,3848.138,3863.876,3930.355,3936.41,3936.606,4185.951,4190.992,4320.852,4268.969,4260.774,4247.24,4244.047,4238.391,4258.536,4250.576,4286.704,4279.203,4295.6,4286.7,4275.191,5494.541,5445.7,5461.1,5518.4,5412.8,5391.7,5368.8,5342.6,5003.5,4992.4,4977.5,4999.3,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.085,445.895,443.504,562.044,599.475,604.52,577.182,588.562,588.264,561.6997,564.536,575.791,575.838,578.473,579.18,579.817,579.817,579.817,579.817,600.181,616.341,636.582,646.833,617.083,628.683,630.802,625.076,620.189,650.206,650.205,650.205,3789.091,3900.36,3895.267,3899.517,3083.013,3082.467,3091.524,3093.979,3096.3,3096.3,3093.979,3093.979,3097.016,3097.016,3097.016,3086.716,3086.716,3086.716,3086.716,3086.716,3086.716,3095.801,3086.219,3081.521,3081.521,3081.521,3081.521,3095.317,3094.824,3094.824,3094.824,3094.824,3094.824,3094.824,3094.824,3094.824,3094.824,3101.241,3101.439,3101.337,3122.321,3130.161,3163.954,3169.615,3165.396,3161.842,3167.061,3167.061,3167.061,3167.061,3172.112,3172.112,3172.1,3172.1,3172.112,3674.763,3696.7,3709.2,3742.4,3704.5,3689.6,3689.6,3689.5,3531.7,3531.7,3531.7,3536.6,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.597,673.792,672.871,683.092,681.087,682.643,681.872,681.059,693.779,691.693,701.046,694.509,698.703,697.502,695.852,694.972,693.308,692.532,691.84,698.471,697.655,697.578,633.87,633.442,758.863,758.243,764.072,767.995,766.695,766.579,753.372,754.341,753.314,769.052,829.114,834.971,835.269,1063.63,1060.831,1156.898,1099.354,1095.378,1085.398,1076.986,1071.33,1091.475,1083.515,1114.592,1107.091,1123.5,1114.6,1103.079,1819.778,1749,1751.9,1776,1708.3,1702.1,1679.2,1653.1,1471.8,1460.7,1445.8,1462.7,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,78.123,77.906,98.527,101.994,99.918,106.644,115.146,112.524,111.529,119.371,118.811,115.365,115.425,67.922,64.251,61.648,64.804,64.482,74.104,84.451,83.223,89.667,91.458,99.368,82.162,101.702,99.483,100.836,97.507,93.018,84.065,90.213,106.025,123.763,113.146,21.403,59.408,58.075,56.227,43.207,49.731,50.617,49.6,50.834,50.196,64.068,62.489,81.36,73.397,76.252,87.506,90.725,85.785,85.1479,88.624,93.042,96.2,95.832,95.267,103.274,110.758,234.731,178.318,196.17,183.954,185.292,180.924,200.673,196.633,213.951,205.074,344.511,286.162,353.587,199.373,79.664,80.406,87.339,105.927,105.085,106.62,101.61,106.922,106.776,105.378,121.736,122.011,134.813,135.956,140.135,141.459,161.113,160.529,170.048,172.184,174.144,167.675,173.061,172.053,154.281,147.258,153.737,151.514,158.79,154.604,161.246,165.981,169.753,170.075,171.025,182.056,184.793,190.099,192.327,199.087,210.289,213.09,220.457,221.803,225.995,222.021,228.433,229.193,230.7,233.9,231.149,237.107,268,295.3,294.7,277,285.2,269.9,251.9,251.1,267.7,272.7,281.6,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,698.363,714.275,819.203,822.685,814.999,810.576,815.483,787.964,771.237,782.278,775.481,779.086,778.065,785.589,776.899,775.938,780.125,781.186,848.713,844.346,840.899,861.926,859.14,853.673,849.775,903.501,914.591,926.6,934.31,955.945,940.572,962.114,998.2734,1033.449,1031.646,1082.23,2129.4141,2108.056,2109.928,2214.769,2272.7,2309.4911,2296.606,2534.07,2661.0251,2691.121,2681.846,2683.304,2683.6611,2666.2472,2675.685,2658.533,2683.948,2657.0039,2622.1161,2586.618,2583.9,2584.549,2566.312,2247.174,2303.087,2454.192,2422.896,2424.162,2484.554,2538.075,2578.901,2696.64,2805.342,2874.783,2913.118,7779.141,7900.085,7995.003,8001.575,8020.279,7953.423,7920.817,7877.677,7791.982,7711.131,7627.741,7597.453,7565.785,7533.541,7493.257,7379.815,7366.214,7297.39,7228.84,7176.661,7141.627,7151.113,7208.575,7209.095,7307.647,6818.493,6831.914,7136.92,7120.628,7131.86,7173.683,7173.176,7217.041,7239.522,7266.706,7281.326,7334.293,7586.562,7685.131,7692.362,8324.79,8442.012,8661.582,8699.723,8752.985,9213.001,9225.749,9215.431,9269.467,9352.602,9368.614,9325.2,9409.7,9339.8,9370.602,11969.586,11986,12198.2,12282,12282.4,12332.6,12284.4,12289.9,11919.3,12020.8,12003.3,12239.9,
Total Assets,BS_TOT_ASSET,984.507,1024.7159,1146.407,1117.9969,1086.292,1123.649,1128.881,1073.111,1070.6479,1118.912,1124.012,1083.915,1078.006,1144.192,1138.474,1078.551,1080.069,1155.019,1215.8199,1181.144,1190.922,1255.684,1260.1801,1215.7939,1227.08,1308.717,1327.462,1320.645,1315.09,1385.313,1409.675,1449.246,1472.413,1543.097,1590.2419,1658.611,2726.6421,2782.2759,2813.4661,2839.4929,2878.032,3003.8669,3029.457,3228.574,3346.937,3459.469,3476.231,3413.2561,3387.571,3423.5098,3447.4541,3448.2209,3496.7971,3550.0859,3659.6001,3636.8601,3656.261,3513.9009,3636.054,3665.133,3713.531,3656.398,3654.721,3588.884,3405.805,3485.446,3410.238,3427.834,3570.915,3689.649,3734.508,8936.37,9060.005,9134.482,9127.12,8914.169,8835.564,8847.872,8763.168,8524.871,8466.803,8495.044,8529.597,8339.536,8298.791,8385.61,8383.526,8229.314,8216.039,8180.075,8225.916,8126.599,8078.475,8120.224,8310.056,8259.143,7872.235,7933.898,8091.538,8041.097,8326.525,8195.883,8316.866,8301.632,8247.025,8290.113,8358.085,8471.475,8744.324,9869.943,9439.334,9504.891,9453.211,9844.784,9875.635,9832.13,10296.852,10480.764,10539.673,10648.793,10629.382,11398.724,11590.533,11686.9,11332.8,11571.027,13688.002,13682.6,13860.8,14181.5,14615.8,14234.6,14076.9,14333.6,14620.5,14545.7,13910.9,14216.4,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,18.677,39.664,42.128,19.809,-2.219,25.879,30.226,-1.306,7.637,30.237,35.755,20.356,-0.526,31.641,36.564,20.55,-5.226,33.734,37.6,31.868,15.962,47.731,59.148,43.399,20.131,58.552,62.109,47.803,21.926,62.764,73.306,51.149,36.509,70.03,89.926,59.443,26.365,62.726,85.784,64.818,23.261,76.061,85.95,34.621,5.72,79.629,92.228,45.103,11.624,65.369,76.819,36.601,-17.55,56.024,99.149,57.329,14.995,87.796,98.962,85.327,54.351,121.547,122.216,90.643,70.085,150.633,135.687,113.809,88.874,142.011,135.412,84.612,13.933,140.755,59.05,14.813,-32.78,22.211,54.232,-13.349,-38.747,-23.992,13.246,-46.997,-54.733,-8.139,19.959,-27.865,-52.053,-18.283,14.26,3.483,-54.836,28.772,41.364,9.082,53.995,45.968,66.939,38.021,-39.678,48.162,123.805,88.888,40.158,123.75,142.024,112.601,44.921,120.139,108.579,327.546,52.979,159.652,179.152,124.022,63.299,197.558,215.712,141.093,60.258,209.916,199.788,114.538,160.6,195.344,176.907,137.935,91.8,187.3,177.1,119.4,120.7,308.6,276.5,227.5,102.7,308,
Cash from Operating Activities,CF_CASH_FROM_OPER,34.25,17.574,70.04,76.666,28.02,13.083,66.706,74.497,30.006,26.836,61.219,82.322,22.84,7.473,69.087,93.618,15.946,21.828,75.946,94.539,37.05,31.001,79.711,118.694,54.416,62.159,103.076,125.881,43.485,96.34,81.588,124.401,53.258,58.33,113.44,137.568,64.57,46.288,110.098,182.013,69.391,45.405,141.074,162.287,75.915,62.353,205.909,175.405,89.926,81.975,141.727,144.415,75.908,91.246,184.095,167.797,94.014,112.518,157.099,216.984,102.347,111.72,60.071,199.046,19.626,122.084,169.517,238.367,98.145,119.794,203.374,286.831,12.917,121.136,36.532,264.6,105.098,64.304,185.42,98.213,6.439,12.217,109.171,74.879,44.05,-37.034,114.71,47.317,29.144,-32.205,96.82,144.716,-12.867,-32.478,305.357,96.487,-4.972,27.872,126.826,111.281,19.154,45.483,216.7,238.201,67.493,59.676,242.915,299.14,94.152,61.07,244.313,245.143,92.968,182.792,296.871,260.146,116.164,185.752,344.213,337.993,82.475,343.116,352.335,292.474,169.3,228.611,326.943,287.084,175.6,149.9,422.8,399.9,221.3,286.2,547.7,481.6,173.4,201.1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,-24.204,-38.844,-14.451,-31.675,-32.391,-41.606,-43.707,-34.063,-36.422,-49.804,-30.08,-28.486,-29.663,-40.988,-42.487,-63.066,-83.736,-26.481,-58.854,-42.512,-92.998,-91.494,-37.954,-55.614,-90.52,-71.297,-53.905,-32.142,-69.508,-52.738,-64.097,-36.547,-46.336,-43.126,-1.928,-20.833,-36.813,-38.338,-40.201,-40.071,-43.724,-52.054,-50.363,-58.876,-93.215,-89.316,-110.707,-134.051,-71.813,-107.495,-111.064,-104.011,-102.698,-82.384,-93.006,-49.566,-22.568,-33.482,-31.716,-4.213,-18.705,-20.229,-19.162,-14.626,-23.615,-21.18,-20.807,-19.635,-8.098,0.583,-12.973,7.96,-25.228,-32.296,-44.812,-155.468,-28.221,-67.637,-52.042,-50.924,-47.257,-98.045,-65.049,-70.693,-107.198,-90.139,-84.238,-45.255,-131.783,-150.721,-73.938,-87.368,-126.987,-111.656,-96.757,-111.478,-115.507,-99.13,-80.144,-66.652,-140.114,-79.97,-39.465,-91.151,85.8,-87.334,-124.766,-108.547,-154.2,-126.2,-132.2,-161.3,-192.2,-141.9,-306,-137.9,-151.4,-189.2,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.511,7.57,5.064,2.301,17.883,5.955,2.652,0.564,4.424,55.416,4.244,38.983,4.212,13.483,36.595,8.059,4.123,8.535,5.359,20.973,1.385,10.75,5.879,7.874,4.771,7.291,36.325,33.313,5.106,19.004,2.555,21.712,1.481,2.866,0.722,5.56,2.572,2.17,1.167,2.009,50.823,4.669,5.622,27.825,6.588,6.988,3.221,8.745,3.07,0.981,2.348,11.351,1.054,2.17,0.784,9.594,0.592,6.125,5.013,1.945,10.75,15.319,2.861,51.899,1.623,0.894,12.457,2.602,17.785,2.669,0.866,4.708,2.354,1.065,1.045,3.754,1.086,1.341,3.438,17.453,1.239,7.291,1.873,5.353,1.701,6.822,4.315,9.372,6.512,4.688,0.912,10.549,2.536,0.527,6.377,2.06,186.5,4.25,1.62,24.133,6.2,4,27.6,0.9,1.4,19.1,5.7,68.4,1.4,2.2,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,-24.204,-38.844,-14.451,-31.675,-32.391,-41.606,-43.707,-34.063,-37.933,-57.374,-35.144,-30.787,-47.546,-46.943,-45.139,-63.63,-88.16,-81.897,-63.098,-81.495,-97.21,-104.977,-74.549,-63.673,-94.643,-79.832,-59.264,-53.115,-70.893,-63.488,-69.976,-44.421,-51.107,-50.417,-38.253,-54.146,-41.919,-57.342,-42.756,-61.783,-45.205,-54.92,-51.085,-64.436,-95.787,-91.486,-111.874,-136.06,-122.636,-112.164,-116.686,-131.836,-109.286,-89.372,-96.227,-58.311,-25.638,-34.463,-34.064,-15.564,-19.759,-22.399,-19.946,-24.22,-24.207,-27.305,-25.82,-21.58,-18.848,-14.736,-15.834,-43.939,-26.851,-33.19,-57.269,-158.07,-46.006,-70.306,-52.908,-55.632,-49.611,-99.11,-66.094,-74.447,-108.284,-91.48,-87.676,-62.708,-133.022,-158.012,-75.811,-92.721,-128.688,-118.478,-101.072,-120.85,-122.019,-103.818,-81.056,-77.201,-142.65,-80.497,-45.842,-93.211,-100.7,-91.584,-126.386,-132.68,-160.4,-130.2,-159.8,-162.2,-193.6,-161,-311.7,-206.3,-152.8,-191.4,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.596,0.104,0,0,175.34,,,0,5.026,0,0,-0.341,-0.86,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.596,0.104,0,0,175.34,,,0,5.026,0,0,0,0,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,,0,0,-0.341,-0.86,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65,-37.093,4.538,0,51.064,-0.11,-35.404,-35.13,12.284,0,60.546,-8.622,11.827,0,-1.137,10.476,-42.048,5.005,-1.304,0,720.056,-1.174,-268.397,-13.363,0,-21.387,0.586,-6.397,-1.611,0,0,-30.926,-185.067,-25.495,0,-611.871,-65.003,-142.737,5.858,-8.281,2.866,0,0,-45.273,0,-5.017,0,-37.183,0,0,-1634.492,-4.908,-148.2,-39.9,-339.9,48.8,130.5,-129.6,0,483.6,-12.3,-180.9,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.65,-0.113,4.538,0,51.064,-0.11,0,0,12.284,0,60.546,1.909,11.827,0,-1.137,10.476,18.164,34.744,-1.304,0,720.056,-0.967,0,2.27,0,0,0,0,0,0,0,0,0,0,0,287.292,11.256,0,0,0,1.744,0,0,0,0,0.651,-0.651,0.349,0,0,0,0,0,0,0,50,130,-130,0,483.6,0,0.2,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-36.98,0,0,0,0,-35.404,-35.13,0,0,0,-10.531,0,0,0,0,-60.212,-29.739,0,0,0,-0.207,-268.397,-15.633,0,-21.387,0.586,-6.397,-1.611,0,0,-30.926,-185.067,-25.495,0,-899.163,-76.259,-142.737,5.858,-8.281,1.122,0,0,-45.273,0,-5.668,0.651,-37.532,0,0,-1634.492,-4.908,-148.2,-39.9,-339.9,-1.2,0.5,0.4,0,0,-12.3,-181.1,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
