CSX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.1008,-0.0208,0.0053,0.0961,0.1731,0.1633,0.2222,0.2039,0.1417,0.0133,0.049,0.0772,0.1222,0.0356,0.1083,0.185,0.3311,0.3167,0.4144,0.32,0.4567,0.57,0.5967,0.61,0.6433,0.6667,0.6033,2.0033,1.2867,1.39,0.4,1.68,1.95,1.85
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.1008,-0.0208,0.0053,0.0961,0.1731,0.1633,0.2222,0.2289,0.1128,0.0083,0.0489,0.0772,0.1222,0.0489,0.1083,0.185,0.3311,0.3122,0.4144,0.32,0.4662,0.57,0.5634,0.5913,0.6533,0.6472,0.6,0.7491,1.2448,1.3387,0.3967,1.5015,1.8296,1.8273
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,3537.072,3617.6039,3704.6519,3848.94,3767.472,3784.8601,3891.69,3860.0101,3855.528,3828.528,3803.652,3823.362,3843.216,4037.904,4050.54,4104.432,4193.406,4034.52,3677.58,3561.174,3462,3267,3120,3057,3006,2952,2844,2742,2583,2395,6915,2255,2141,2013
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.1153,-0.075,0.0053,0.0961,0.1731,0.1633,0.22,0.2067,0.1394,0.0006,0.1483,0.0767,0.1106,0.0617,0.0844,0.28,0.3133,0.3322,0.3711,0.3211,0.45,0.5667,0.5967,0.61,0.64,0.6667,0.6033,1.9967,1.28,1.39,0.4,1.68,1.95,1.85
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.1008,-0.0208,0.0053,0.0961,0.1731,0.1633,0.22,0.2067,0.1394,0.0133,0.0487,0.0767,0.1217,0.035,0.1039,0.1761,0.3133,0.3044,0.4067,0.3167,0.45,0.5667,0.5967,0.61,0.64,0.6667,0.6033,1.9967,1.28,1.39,0.4,1.68,1.95,1.85
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.1008,-0.0208,0.0053,0.0961,0.1731,0.1633,0.22,0.2317,0.1111,0.0083,0.0489,0.0767,0.1106,0.0633,0.1039,0.1761,0.3133,0.3,0.4067,0.3167,0.4603,0.5667,0.5631,0.5913,0.6519,0.6468,0.6,0.7484,1.2383,1.3345,0.396,1.5014,1.8295,1.8272
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,1288,1355,1492,1485,1809,2029,2142,2271,1760,1194,1405,1579,1776,1163,1730,2383,3005,3146,3686,3173,4018,4446,4516,4577,4764,4792,4690,5035,6200,6398,5827,7103,7632,7281
EBITDA Margin (T12M),EBITDA_MARGIN,15.6977,15.6901,17.0827,16.6107,18.8281,19.3165,20.3303,21.3822,17.8354,11.5084,17.153,19.4698,21.7861,15.3714,21.5174,27.6514,31.4133,31.3659,32.7499,35.0957,37.7774,37.6939,38.4144,38.0592,37.6036,40.5723,42.3706,44.1357,50.6122,53.5981,55.06,56.7242,51.3836,49.6759
EBIT,EBIT,815,854,965,913,1232,1429,1522,1583,1130,573,805,957,1127,520,1000,1550,2138,2256,2768,2270,3071,3470,3457,3473,3613,3584,3389,3720,4869,4965,4362,5594,6023,5561
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,9.933,9.8888,11.0488,10.2125,12.8226,13.6043,14.4457,14.9044,11.4512,5.5229,9.8279,11.8002,13.8248,6.8729,12.4378,17.9856,22.35,22.4925,24.5935,25.1078,28.8736,29.4192,29.4063,28.8791,28.5184,30.3446,30.617,32.6087,39.7469,41.5934,41.217,44.6734,40.5507,37.9409
Profit Margin,PROF_MARGIN,5.0701,-3.1496,0.229,4.0157,6.786,5.8835,8.115,7.5228,5.4418,0.0193,6.8978,3.6128,5.2012,3.2514,4.2164,13.2861,13.6943,13.32,12.1279,12.6424,14.6954,15.7185,15.8132,15.4998,15.2104,16.6624,15.4847,47.9576,27.0122,27.9048,26.1268,30.1949,28.0482,25.3463
Sales per Employee,ACTUAL_SALES_PER_EMPL,159515.5238,172937.9018,183495.1048,189958.1412,226177.0245,223489.3617,222682.5041,226407.4524,213838.386,,180597.5085,186013.4407,,201673.9524,224286.5512,246228.5714,265722.2222,286571.4286,331029.4118,300485.2433,354533.3333,380483.871,367375,387935.4839,395906.25,407275.8621,409962.963,475333.3333,544444.4444,568428.5714,548853.8533,598594.5791,658903.3804,630897.0386
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,11.9918,-8.0916,0.6497,11.6653,18.8685,15.5023,18.5125,14.8499,9.2221,0.0344,9.5982,4.8282,6.8603,3.8758,5.1116,15.5097,15.5066,15.1586,16.3151,13.6055,17.9243,21.644,21.3151,19.1362,17.8045,17.2514,14.6843,41.4645,24.2629,27.291,22.1652,28.4382,31.9173,30.0287
Return on Assets,RETURN_ON_ASSET,3.3145,-2.1248,0.1548,2.7126,4.804,4.4133,5.4725,4.328,2.6595,0.0097,2.742,1.4192,2.031,1.1519,1.4623,4.6891,5.3078,5.2741,5.268,4.299,5.6807,6.4504,6.2055,5.9789,5.9443,5.8055,4.886,15.3781,9.1323,8.8843,7.0852,9.4144,10.1064,8.8117
Return on Capital,RETURN_ON_CAP,9.5431,,,8.3449,12.3711,11.3082,12.5916,10.31,7.4014,1.2743,7.2561,4.8643,5.3649,3.9886,4.4747,10.232,11.0007,10.3781,10.655,9.2081,11.1596,12.5572,12.1172,11.4288,11.0892,10.7102,9.1881,23.5309,14.1098,13.9308,11.3279,14.2693,15.3705,13.8645
Return on Invested Capital,RETURN_ON_INV_CAPITAL,6.05,,,6.0598,8.8049,9.6503,9.2008,7.9891,5.2363,1.1454,3.1,3.5304,4.0776,2.0725,3.4804,5.3827,7.546,6.8139,7.9889,6.472,7.9756,8.9479,8.4515,8.1245,8.089,7.4201,6.6225,17.8508,10.9953,10.8598,8.9646,11.1576,11.8619,10.7045
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,9.933,9.8888,11.0488,10.2125,12.8226,13.6043,14.4457,14.9044,11.4512,5.5229,9.8279,11.8002,13.8248,6.8729,12.4378,17.9856,22.35,22.4925,24.5935,25.1078,28.8736,29.4192,29.4063,28.8791,28.5184,30.3446,30.617,32.6087,39.7469,41.5934,41.217,44.6734,40.5507,37.9409
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,9.0487,113.2653,,47.7545,21.9866,290.625,71.7647,-60.1594,,,,404.7619,-103.5836,101.2658,95.1557,62.0253,25.431,41.7959,-22.4932,50.2194,34.4262,-33.3333,5.9259,21.7729,-3.38,-26.2803,97.6401,136.4608,,-44.5347,63.5379,18.4041,-235.7143
Pretax Margin,PRETAX_INC_TO_NET_SALES,6.7276,-1.019,0.0916,7.2371,10.4704,9.2727,12.8891,11.5243,8.1881,1.0024,3.3818,5.524,8.869,2.5773,7.9229,12.0214,19.2452,19.2622,20.8707,19.312,23.9376,24.9258,25.2127,24.2974,24.0272,26.5685,24.7629,27.5421,35.1347,36.1565,34.2719,39.5384,36.4505,33.3697
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,4.6313,-0.5906,0.4007,4.1723,6.786,5.8835,8.5137,7.9089,5.7965,0.3084,2.2708,3.6128,5.7287,1.8107,5.199,8.3546,13.6943,12.2233,13.283,12.4765,14.6954,15.7185,15.8132,15.4998,15.2104,16.6624,15.4847,47.9576,27.0122,27.9048,26.1268,30.1949,28.0482,25.3463
Net Income Margin,PROF_MARGIN,5.0701,-3.1496,0.229,4.0157,6.786,5.8835,8.115,7.5228,5.4418,0.0193,6.8978,3.6128,5.2012,3.2514,4.2164,13.2861,13.6943,13.32,12.1279,12.6424,14.6954,15.7185,15.8132,15.4998,15.2104,16.6624,15.4847,47.9576,27.0122,27.9048,26.1268,30.1949,28.0482,25.3463
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,4.9604,-3.1496,0.229,4.0157,6.786,5.8835,8.115,7.5228,5.4418,0.0193,6.8978,3.6128,5.2012,3.2514,4.2164,13.2861,13.6943,13.32,12.1279,12.6424,14.6954,15.727,15.8132,15.4914,15.2025,16.654,15.4757,47.9488,27.0041,27.9048,26.1268,30.1949,28.0482,25.3463
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,31.1594,,,42.3493,35.1889,36.5503,33.947,31.3725,29.2079,69.2308,32.852,34.5982,35.408,29.7436,34.3799,30.5019,28.843,36.5424,36.3559,35.3952,38.6096,36.9388,37.2807,36.2081,36.6951,37.2849,37.4681,,23.118,22.8221,23.7662,23.6316,23.0513,24.0442
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,4.73,4.83,4.99,5.36,5.64,6.15,6.39,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,4.87,5.18,5.43,5.32,5.3,6.61,6.64,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.68,3.06,2.67,2.7,3.78,4.67,4.7,5.07,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,7.12,7.77,7.99,7.87,7.68,7.52,7.92,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,38.8995,37.2297,48.808,50.4376,56.8052,54.9039,56.2519,56.3927,58.5152,60.6378,63.1224,63.1224,62.0058,62.0058,62.0058,61.7141,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,8.2452,8.2452,30.142,39.2631,37.2999,52.5219,52.8541,52.5219,55.1193,53.1561,63.1833,63.1833,63.5156,63.5156,63.5156,65.2371,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,22.763,22.763,30.6227,31.4087,46.2213,29.0508,26.4813,27.237,29.0508,37.3942,34.8247,34.8247,31.1366,31.1366,31.1366,28.5369,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,85.5208,80.5238,85.5208,80.5238,86.7851,83.0223,89.2836,89.2836,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,91.2402,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,96.238,97.316,81.039,80.693,87.419,79.743,71.967,55.295,52.175,44.813,37.874,37.44,37.991,40.661
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.545,2.333,1.926,1.601,1.573,1.488,1.808
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.629,1.517,1.307,1.105,1.088,1.002,1.087
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,1.701,1.398,0.946,0.953,0.99,0.945,0.866,0.055,0.056,0.052,0.044,0.048,0.053,0.063
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,6025.38,5785.31,4773.18,5214.94,5400.09,5268.9,5251.73,5212.6,5300.1,4774.8,4706.71,4637.62,4309.32,3815.52,3956.08,4080.65,4247.42
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,270.983,263.927,255.464,255.738,295.354,300.17,313.226,327.528,280.588,229.217,220.696,144.001,195.606,185.216,173.317,178.786,179.758
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,22267.301,21338.6,17927.301,19606.801,20165.4,20518.4,21399.9,22470.301,21537,19411.4,18909.6,18471.801,17509.9,15392.3,16352.8,16353.4,16973.6
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,435.718,434.827,539.091,538.694,566.058,593.993,570.292,454.047,435.528,309.402,454.349,420.138,412.636,413.266,374.91
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,8354,10119.9,12363.4,12772.2,13459.3,23023.9,9729.33,16180,18401.301,13807.2,13506.5,11516
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,2160.51,2070.4,1697.14,1860.18,1904.26,1858.35,2256.53,2166.29,1869.97,1690.59,1812.17,1797.09,1678.33,1469.85,1343.42,1575.85,1639.95
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,6.733,0.404,0.361,0.125,0.058,0.106,0.467,2.609,4.802,0.172,0.152,0.1,0.085,0.104,0.173,0.07,0.093
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,96.69,147.402,216.639,273.207,324.153,302.969,101.175,100.483,100.966,439.952,203.044,75.759
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,3501.37,3826.92,5347.66,4266.36,5519.72,6594.49,6109.93,4538.92,7574.16,1841.56,1815.15,2029.07,2118.15,2229.38,2095.09
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,6.622,6.34,6.055,5.127,9.221,,,,,16,12,10,10,8.7,10.4,10.4,14.9
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,21,22,22,22,22,23,23,23,23,24,23,23,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,6,6,7,7,6,7,6,7,6,6,6,6,5,5,5,5,5
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,15,15,16,15,16,16,,,,18,20
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,5,0,4,,2,0,2,2,2,2,1,0,3
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,32897,32955,30088,29916,31838,30399,31015,31775,28878,27288,24006,22475,20908,19282,20919,22542,23232
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,10.57,11.57,10.27,9,10,10.09,10,10,13,9,7.6,11,8,10,10
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,1013940,937694,962566,822962,1216960,1204410,,1635820,1636010,958103,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,27,28,29,,,32,33,34,35,36,37,38,39,40,41,42,43
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,5,5,6,5,5,5,5,5,5
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,,5,4,4,4,4,4,4,4,5,5,6,5,5,5,5,5,5
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,,6,9,6,6,8,9,9,8,9,8,8,8,9,9,9,9,9
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,85,80,75,75,75,100,94,94
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,,,12,12,11,12,13,13,13,12,12,12,13,13,11,12,11,11,11
