CAT US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,210,-404,-2435,652,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,895,2700,4928,5681,3789,2452,2512,-67,754,6147,6093,2998,6489,6705,10335
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,210,-404,-2435,652,955,1136,1361,1665,1513,946,1053,805,798,1099,2035,2854,3537,3541,3557,895,2700,4928,5681,3789,2452,2512,-67,754,6147,6093,2998,6489,6705,10335
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,40,,,,,,403.65,126.4,496.6,35.6,-108.85,2044.1,703.521,1983.35,3368.705,575.424,690.35,767.02,-371,758,555
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,2217,29,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,809.92,807.28,807.472,810.632,812,793.6,769.92,750,726.378,710.7848,693.636,686.648,687.96,690.446,684.5,678.4,658.7,638.2,610.5,615.2,631.5,645,652.6,645.2,617.2,594.3,584.3,591.8,591.4,561.6,544.1,544,526.9,510.6
"Basic EPS, GAAP",IS_EPS,0.2587,-0.5,-3.015,0.8037,1.175,1.43,1.77,2.22,2.085,1.33,1.52,1.175,1.16,1.59,2.97,4.21,5.37,5.55,5.83,1.45,4.28,7.64,8.71,5.87,3.97,4.23,-0.11,1.27,10.39,10.85,5.51,11.93,12.72,20.24
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.2587,-0.5,-0.27,0.84,1.175,1.43,1.77,2.22,2.085,1.33,1.52,1.175,1.16,1.59,4.455,4.21,5.37,5.55,5.83,1.45,4.28,7.64,8.71,5.87,3.97,4.23,-0.11,1.27,10.39,10.85,5.51,11.93,12.72,20.24
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,0.84,,1.43,1.77,2.22,2.085,1.33,1.52,1.315,1.16,1.65,2.97,4.21,5.37,5.55,5.83,2.1109,4.4757,8.4102,8.7597,5.7039,7.2847,5.4106,3.2797,6.9664,11.367,12.0786,6.9197,11.2463,14.164,21.3279
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,809.92,807.28,808.4,819.6,820.4,800.4,777.372,762.0137,736.2607,718.7346,697.796,694.184,693.892,702.704,707.4,705.8,683.8,659.5,627.9,626,650.4,666.1,669.6,658.6,628.9,601.3,584.3,599.3,599.4,567.5,548.6,548.5,530.4,513.6
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.2587,-0.5,-3.0125,0.795,1.1625,1.4175,1.75,2.185,2.055,1.315,1.51,1.16,1.15,1.565,2.88,4.04,5.17,5.37,5.66,1.43,4.15,7.4,8.48,5.75,3.9,4.18,-0.11,1.26,10.26,10.74,5.46,11.83,12.64,20.12
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.2587,-0.5,-0.27,0.8313,1.1625,1.4175,1.75,2.185,2.055,1.315,1.51,1.16,1.15,1.565,4.32,4.04,5.17,5.37,5.66,1.43,4.15,7.4,8.48,5.75,3.9,4.18,-0.11,1.26,10.26,10.74,5.46,11.83,12.64,20.12
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.2587,-0.5,-0.27,0.8313,1.1625,1.4175,1.75,2.185,2.055,1.315,1.51,1.3,1.15,1.62,2.88,4.04,5.17,5.37,5.66,2.0748,4.3443,8.1455,8.5332,5.5847,7.1503,5.35,3.2797,6.8811,11.22,11.9565,6.8581,11.1536,14.0691,21.2006
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,927,509,565,1294,2117,2363,2667,3168,3118,2439,2800,2480,2544,3035,4081,5261,6523,6718,6428,2913,6259,9680,11386,8715,6477,6831,4196,7337,11059,11099,7189,9444,10310,15299
EBITDA Margin (T12M),EBITDA_MARGIN,8.106,4.999,5.5425,11.1408,14.7753,14.7026,16.1421,16.7398,14.8639,12.3795,13.8786,12.1271,12.6241,13.333,13.466,14.4776,15.7116,14.9428,12.5244,8.9919,14.6966,16.0963,17.2843,15.6587,11.7371,14.5306,10.8882,16.1388,20.2094,20.6301,17.22,18.5282,17.349,22.8139
EBIT,EBIT,394,-93,-89,626,1434,1681,1971,2430,2253,1494,1737,1311,1324,1688,2684,3784,4921,4921,4448,577,3963,7153,8573,5628,3314,3785,1162,4460,8293,8290,4553,6878,7904,12966
Gross Margin,GROSS_MARGIN,18.1007,15.2819,15.4699,20.3874,22.9202,23.5129,26.4738,27.424,26.0142,23.6575,24.7336,24.6504,22.2559,23.4943,24.0381,24.8026,26.3627,24.9121,22.9055,23.043,26.5497,26.1632,27.3594,25.5175,25.0834,27.3936,25.6818,29.8183,31.0716,30.513,28.9283,29.4344,29.4681,34.6898
Operating Margin,OPER_MARGIN,3.4453,-0.9134,-0.8731,5.3896,10.0084,10.4592,11.9295,12.8402,10.7403,7.583,8.6097,6.4108,6.5701,7.4155,8.8563,10.4131,11.853,10.9458,8.6665,1.7811,9.3054,11.8943,13.014,10.1121,6.0054,8.0513,3.0153,9.8104,15.1548,15.4089,10.9059,13.4939,13.3004,19.3349
Profit Margin,PROF_MARGIN,1.8363,-3.9678,-23.8866,5.6134,6.6653,7.0682,8.2375,8.7979,7.2127,4.8015,5.2193,3.9364,3.9599,4.828,6.7148,7.8538,8.5194,7.8762,6.9305,2.7627,6.3398,8.1945,8.6239,6.8079,4.4433,5.3434,-0.1739,1.6585,11.2331,11.3253,7.1812,12.7308,11.2828,15.4116
Sales per Employee,ACTUAL_SALES_PER_EMPL,195661.1005,189835.1853,200870.9531,226634.1463,265402.1413,295702.0901,289727.4927,316138.5163,318683.1551,294516.862,294783.7522,284011.9993,292100.3044,329092.5125,393993.7598,,438901.3986,443665.9331,454649.3396,345325.2747,407579.6727,480723.2672,525566.2553,469666.9226,483082.822,444758.7512,403951.782,462012.1951,526173.0769,525904.2033,429064.7482,473268.338,544702.1082,592402.8269
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,4.6594,-9.4129,-86.6702,34.5522,37.3777,36.0692,36.274,37.8624,30.8461,17.8558,19.033,14.3609,14.4004,19.0303,30.048,35.9016,46.2625,44.9879,47.5217,12.0726,27.6017,41.5742,37.3566,19.7637,13.0575,15.9214,-0.4795,5.6197,44.3251,42.5682,20.0408,40.7921,41.449,58.4509
Return on Assets,RETURN_ON_ASSET,1.8359,-3.3676,-18.7474,4.5369,6.15,6.8682,7.6551,8.4338,6.5949,3.6498,3.8169,2.7232,2.5131,3.171,5.1156,6.3307,7.1804,6.5829,5.7411,1.4004,4.3528,6.7755,6.6672,4.3585,2.8919,3.0818,-0.0876,0.9943,7.9076,7.7637,3.8245,8.055,8.1403,12.2005
Return on Capital,RETURN_ON_CAP,4.4912,,,12.1612,13.3923,13.6388,13.9939,14.6093,11.0048,6.1201,6.3003,4.6677,4.4021,5.2176,7.7496,9.3318,10.9226,10.4738,9.4836,2.5964,7.4682,12.0262,11.4372,7.1307,4.9604,5.3114,-0.489,1.7349,13.0228,12.4012,6.3868,12.7232,12.9921,19.2682
Return on Invested Capital,RETURN_ON_INV_CAPITAL,3.1482,,,9.5735,14.6547,13.7296,13.9014,14.3146,10.7416,4.3683,5.563,3.6079,3.5504,4.9103,7.1539,8.7019,10.3805,10.1098,8.6634,2.8617,8.1588,12.9741,12.0802,7.8905,8.1323,5.7607,0.2662,1.6156,13.5575,12.4461,6.1622,8.1077,10.8021,18.3613
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,18.1007,15.2819,15.4699,20.3874,22.9202,23.5129,26.4738,27.424,26.0142,23.6575,24.7336,24.6504,22.2559,23.4943,24.0381,24.8026,26.3627,24.9121,22.9055,23.043,26.5497,26.1632,27.3594,25.5175,25.0834,27.3936,25.6818,29.8183,31.0716,30.513,28.9283,29.4344,29.4681,34.6898
Operating Margin,OPER_MARGIN,3.4453,-0.9134,-0.8731,5.3896,10.0084,10.4592,11.9295,12.8402,10.7403,7.583,8.6097,6.4108,6.5701,7.4155,8.8563,10.4131,11.853,10.9458,8.6665,1.7811,9.3054,11.8943,13.014,10.1121,6.0054,8.0513,3.0153,9.8104,15.1548,15.4089,10.9059,13.4939,13.3004,19.3349
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,-38.8357,33.3333,50.3167,29.7825,14.1628,64.4444,19.1011,,-59.5294,51.3742,,,13.941,13.2043,18.2331,21.9583,0,,-20.4512,33.2221,18.1766,24.7516,-28.8189,-490.2542,,-30.9535,47.6245,41.3931,-0.3254,-31.0073,25.2087,12.1334,66.3173
Pretax Margin,PRETAX_INC_TO_NET_SALES,2.5184,-5.4606,-3.2568,6.2247,9.136,10.1854,11.9477,13.004,10.3828,7.111,7.4349,5.7311,5.5081,6.5765,9.1269,10.9359,11.7085,11.0169,8.7152,1.7564,8.8053,11.1826,12.5025,9.2137,5.7118,7.3153,0.3607,8.9789,14.2941,14.5204,9.5693,16.0954,14.7273,19.4602
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,1.8363,-3.9678,-2.1385,5.8631,6.6653,7.0682,8.2375,8.7979,7.2127,4.8015,5.2193,3.9364,3.9599,4.828,6.7148,7.8538,8.5194,7.8762,6.9305,2.5528,6.476,8.2826,8.6861,6.833,4.4723,5.3668,-0.1531,1.6695,11.235,11.3271,7.1932,12.7386,11.2811,15.4071
Net Income Margin,PROF_MARGIN,1.8363,-3.9678,-23.8866,5.6134,6.6653,7.0682,8.2375,8.7979,7.2127,4.8015,5.2193,3.9364,3.9599,4.828,6.7148,7.8538,8.5194,7.8762,6.9305,2.7627,6.3398,8.1945,8.6239,6.8079,4.4433,5.3434,-0.1739,1.6585,11.2331,11.3253,7.1812,12.7308,11.2828,15.4116
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,1.8363,-3.9678,-23.8866,5.6134,6.6653,7.0682,8.2375,8.7979,7.2127,4.8015,5.2193,3.9364,3.9599,4.828,6.7148,7.8538,8.5194,7.8762,6.9305,2.7627,6.3398,8.1945,8.6239,6.8079,4.4433,5.3434,-0.1739,1.6585,11.2331,11.3253,7.1812,12.7308,11.2828,15.4116
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,27.0833,,,5.8091,27.0435,30.6048,31.0537,32.3446,30.5326,32.4768,29.8,31.314,28.1081,26.5865,26.4281,28.1832,28.9035,29.9818,21.3056,,25.8133,25.5762,30.6945,25.7215,21.9543,26.6356,138.1295,81.7981,21.708,22.3502,25.1815,21.2335,23.6175,21.3103
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.65,3.56,3.74,4.08,4.36,4.53,4.65,4.64,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,2.36,2.59,3.63,3.72,4.37,4.51,4.66,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,1.88,2.1,2.27,2.4,2.37,2.38,2.26,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,7.26,7.25,6.83,7.57,7.43,7.67,7.66,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,31.2544,32.5319,32.5319,34.3527,35.2077,37.7226,40.2273,44.8144,44.8144,51.3329,55.3264,56.0608,59.4709,59.8129,59.8129,59.8129,59.3904,59.9135
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,3.3827,4.9532,4.9532,4.9532,9.1815,12.5642,19.6919,19.1483,19.1483,34.9441,34.9441,34.9441,36.3636,36.3636,36.3636,36.3636,36.6959,36.6959
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,7.1644,9.4317,9.4317,17.4123,13.2406,17.4123,17.8053,29.6252,29.6252,31.4389,37.1524,39.3591,48.1862,49.214,49.214,49.214,47.6119,49.1838
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,83.0223,83.0223,83.0223,80.5238,83.0223,83.0223,83.0223,85.5208,85.5208,87.4774,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,839,1020,990,890,863,860,940,910,700,740,740,690
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,1669,1450,1480,1450,1314,1290,1320,930,830,850,800,810
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,7220,7907,7139.56,7746,7611.11,6869,6402.78,6580.56,6983.33,6666.67,5380.56,5725,5733.33,5406.94
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,2541,2817,2723,2409,2370,2450,2550,2380,2090,2250,2270,2210
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,750,914,816.72,698,772,676,558,599,635,587,554,567,575,637
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,22789.199,20063.6,20366.4,17905.801,,19872,18397.9,15687,16429.4,14460.9,14650.2,15293.8,14574.5,14233.8,12871,14195.9,15672.3,17792.199
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,28.6,37.9,41,42.3,49.1
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,19,20,20,23,22,28
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,20,20,20,23,23,23
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,1.05,0.71,0.48,0.36,0.35,0.28,0.3,0.29,0.23,0.2,0.19,0.17,0.16,0.15,0.2,0.18,0.18,0.14
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,94593,101333,112887,93813,104490,125099,125341,118501,114233,105700,95400,98400,104000,102300,97300,107700,109100,113200
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
