EQIX US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,0,,0,0,0,0,-0.376,0,0,0,0,0,-13.086,0,0,0,-12.392,0,0,0,0,0,0,0
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,,0,0,0,-13.086,0,0,0,-12.392,0,0,0,0,0,0,0
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,,,,,,,,,,,-119.79,,-21.618,-84.171,-68.631,-42.612,-6.397,-5.188,131.579,69.431,36.881,92.61,147.782,96.123,-260.726,187.774,126.8,232.982,365.359,507.245,370.074,499.728,704.577,968.98
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,,,,,,,,,,,0,,0,0,0,0,0,0,0,,0,-1.394,3.116,1.438,-1.179,0,0,0,0,-0.205,0.297,-0.463,0.232,-0.198
"Net Income, GAAP",NET_INCOME,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.631,-42.612,-6.397,-5.188,131.579,69.431,36.881,94.004,144.666,94.685,-259.547,187.774,126.8,232.982,365.359,507.45,369.777,500.191,704.345,969.178
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.631,-42.612,-6.397,-5.188,131.579,69.431,36.881,94.004,144.666,94.685,-259.547,187.774,126.8,232.982,365.359,507.45,369.777,500.191,704.345,969.178
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,,,,,,,,,,,-119.79,-188.415,-21.618,-84.171,-68.631,-42.612,-6.397,-5.188,131.579,69.431,36.881,94.004,144.666,94.685,-259.547,187.774,126.8,232.982,365.359,507.45,369.777,500.191,704.345,969.178
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,33.896,42.09,-8.12,5.018,,1.0998,21.3746,4.5598,15.5266,74.4374,422.3209,26.0378,37.0595,68.2356,50.6038,78.4539,197.3378,61.8637,-11.0295,-5.087
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,,,,,,,,,,0,,0,0,0,0,-0.376,0,0,0,0,0,-13.086,0,0,0,-12.392,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,34.461,78.681,2.99,9.604,17.719,23.956,28.551,32.136,36.774,38.488,43.742,46.956,48.004,49.438,52.359,57.79,70.117,76.854,79.779,84.14,87.7,89.772,91.569,93.615
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,-3.48,-2.39,-7.23,-8.76,-3.87,-1.78,-0.22,-0.16,3.58,1.8,0.84,2.002,3.01,1.92,-4.96,3.25,1.81,3.03,4.58,6.03,4.22,5.57,7.69,10.35
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,-3.48,-2.39,-7.23,-8.76,-3.87,-1.78,-0.23,-0.16,3.58,1.8,0.84,2.002,2.74,1.92,-4.96,3.25,1.63,3.03,4.58,6.03,4.22,5.57,7.69,10.35
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,-3.48,-1.7728,-35.7494,-8.76,-1.96,-0.01,-0.51,-0.0039,3.58,1.8325,1.3318,2.0991,3.0645,3.4209,3.1088,3.6998,2.1602,3.9193,5.2139,6.9634,6.4665,6.2609,7.5715,10.2985
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,34.461,78.681,2.99,9.604,17.719,23.956,28.551,32.136,43.728,39.676,44.81,47.898,51.816,50.116,52.359,58.483,70.816,77.535,80.197,84.679,88.41,90.409,91.828,94.009
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,-3.48,-2.39,-7.23,-8.76,-3.87,-1.78,-0.22,-0.16,3.31,1.75,0.82,1.723,2.92,1.89,-4.96,3.21,1.79,3,4.56,5.99,4.18,5.53,7.67,10.31
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,-3.48,-2.39,-7.23,-8.76,-3.87,-1.78,-0.23,-0.16,3.31,1.75,0.82,1.723,2.67,1.89,-4.96,3.21,1.62,3,4.56,5.99,4.18,5.53,7.67,10.31
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,-3.48,-1.7728,-35.7494,-8.76,-1.96,-0.01,-0.51,-0.0039,3.31,1.7777,1.297,1.8182,2.9696,3.3753,3.1059,3.6552,2.1433,3.8801,5.191,6.9165,6.4121,6.2143,7.5499,10.2559
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,,,,,,,,,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,,,-53.955,-57.051,-11.831,4.872,35.614,70.139,74.692,109.264,235.591,354.609,454.887,654.837,799.332,893.403,990.957,1092.922,1455.946,1851.494,2204.872,2673.489,2693.596,2986.228,3150.355,3531.846
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,-414.5283,-89.9659,-15.3275,4.1308,21.7595,31.7289,26.0328,26.0498,33.4323,40.1819,37.2756,40.753,42.1646,41.5002,40.5502,40.0945,40.3087,42.3835,43.4744,48.0658,44.9042,45.0036,43.3748,43.1337
EBIT,EBIT,,,,,,,,,,,-107.109,-106.696,-72.791,-63.955,-24.377,-2.959,1.914,9.184,76.544,181.079,194.711,307.163,400.753,460.932,509.266,567.342,618.739,809.014,977.383,1169.631,1052.928,1108.162,1200.528,1443.274
Gross Margin,GROSS_MARGIN,,,,,,,,,,,-233.4435,-49.6342,-34.8305,-8.6305,16.326,28.3651,34.3433,37.12,41.1564,45.2221,44.7146,46.0033,50.2045,50.5565,50.9822,52.6204,49.5882,49.7955,48.6267,49.4766,48.7486,47.6693,48.3485,48.3685
Operating Margin,OPER_MARGIN,,,,,,,,,,,-822.9026,-168.2531,-94.3035,-54.2258,-14.8939,-1.3386,0.6671,2.1896,10.8622,20.5187,15.9555,19.1159,21.1396,21.4112,20.8393,20.8133,17.1301,18.5196,19.2715,21.0284,17.5531,16.7004,16.5291,17.6264
Profit Margin,PROF_MARGIN,,,,,,,,,,,-920.3288,-297.1189,-28.0069,-71.3664,-41.9323,-19.2765,-2.2296,-1.2369,18.6722,7.8675,3.0222,5.8502,7.6311,4.3983,-10.6207,6.8886,3.5105,5.3333,7.2039,9.1233,6.1644,7.5381,9.6976,11.8364
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,,41189.8734,233139.7059,162501.0526,273647.3341,,,465771.1039,,632000,,635259.7605,593149.5017,601250.8722,615076,632120.0207,540632.0904,602701.3182,600636.3261,641737.8211,663898.3051,599075.7016,606317.3428,600405.4724,622624.5913
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,,,,-65.1237,-8.865,-27.8589,-23.1167,-15.1542,-1.9876,-0.8872,15.2018,6.6152,2.4082,4.9053,6.7483,3.9499,-10.9764,7.4877,3.5662,4.1546,5.1938,6.3195,3.7975,4.6495,6.2922,8.0782
Return on Assets,RETURN_ON_ASSET,,,,,,,,,,,,-29.9419,-4.0519,-17.5991,-14.2045,-7.2053,-0.8806,-0.3513,5.7003,2.5373,0.9853,1.8372,2.4276,1.3898,-3.3985,2.0704,1.1043,1.4887,1.8767,2.2956,1.4509,1.8213,2.4192,3.0786
Return on Capital,RETURN_ON_CAP,,,,,,,,,,,,,,,,,,,8.2817,4.875,4.2673,4.881,5.4055,5.0792,-16.0113,5.6106,3.9963,4.4327,4.5395,4.2211,2.8337,3.0756,3.7411,4.6202
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,,,,,,,,,,,8.0456,4.7623,4.272,4.7288,5.1832,6.5648,-23.1539,6.1947,4.2497,4.5711,4.5634,4.1419,3.1827,3.5503,3.7262,4.2942
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,-233.4435,-49.6342,-34.8305,-8.6305,16.326,28.3651,34.3433,37.12,41.1564,45.2221,44.7146,46.0033,50.2045,50.5565,50.9822,52.6204,49.5882,49.7955,48.6267,49.4766,48.7486,47.6693,48.3485,48.3685
Operating Margin,OPER_MARGIN,,,,,,,,,,,-822.9026,-168.2531,-94.3035,-54.2258,-14.8939,-1.3386,0.6671,2.1896,10.8622,20.5187,15.9555,19.1159,21.1396,21.4112,20.8393,20.8133,17.1301,18.5196,19.2715,21.0284,17.5531,16.7004,16.5291,17.6264
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,,,0.8195,246.1522,21.6813,86.549,37.3227,7.3993,5.4857,23.6154,58.784,4.0352,29.0944,32.3951,23.4139,16.6091,20.5877,5.8002,25.154,23.9424,39.1954,,8.6711,14.7181,26.2419
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,,,,-920.3288,-297.1189,-28.0069,-71.3664,-41.8388,-19.0308,-2.2076,-1.1241,3.8488,12.3543,4.0874,8.1502,10.3642,5.2156,3.4673,7.7406,4.4258,6.566,8.5384,12.452,8.6058,9.1771,11.4189,13.73
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,,,,-920.3288,-297.1189,-28.0069,-71.3664,-41.9323,-19.2765,-2.3606,-1.2369,18.6722,7.8675,3.0222,5.7635,7.1052,4.4651,-10.669,6.8886,3.1675,5.3333,7.2039,9.1196,6.1694,7.5311,9.7008,11.834
Net Income Margin,PROF_MARGIN,,,,,,,,,,,-920.3288,-297.1189,-28.0069,-71.3664,-41.9323,-19.2765,-2.2296,-1.2369,18.6722,7.8675,3.0222,5.8502,7.6311,4.3983,-10.6207,6.8886,3.5105,5.3333,7.2039,9.1233,6.1644,7.5381,9.6976,11.8364
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,,,,-920.3288,-297.1189,-28.0069,-71.3664,-41.9323,-19.2765,-2.2296,-1.2369,18.6722,7.8675,3.0222,5.8502,7.6311,4.3983,-10.6207,6.8886,3.5105,5.3333,7.2039,9.1233,6.1644,7.5381,9.6976,11.8364
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,,,,,,,,,,,,,36.3182,26.0605,29.2843,31.4451,14.3892,407.703,11.0067,28.4319,18.7741,15.6289,26.7619,28.3115,17.9364,15.0466,13.8095
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5.16,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57,6.58,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89,1.89,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,6.74,6.92,6.82,6.93,6.89,6.72,6.89,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,,29.6348,29.6348,29.6348,29.6348,29.6348,30.842,30.842,50.4275,53.0731,53.3649,56.433,56.433,56.4833,58.7365,57.962,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,0.3322,39.1121,39.1121,39.5953,39.2933,39.2933,41.0148,47.7801,50.3473,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,,5.3507,5.3507,5.3507,5.3507,5.3507,8.9782,8.9782,20.7678,26.2092,26.6022,36.1245,36.1245,34.5526,34.5526,34.5526,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,91.2402,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,88.8621,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
ODS Emissions,ODS_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Scope 1,CO2_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.96,11.496,24.939,22.976,19.453,
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,9.4,14.8,46.7,40.7,55.1,50.7,40.293,29
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,1122.4,1526.8,1756.2,1916.4,2079,2280.2,2307.6,2405.23,2610.2
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,795.669,797.8,466.9,224,306,327.7,254.8,228.167,234.1
GHG Scope 3,GHG_SCOPE_3,,,,,,,,,,,,,,,,,,,,,,,,,,7.462,10.024,134.244,1581.38,1311,1318,1503.66,1292,1249
Scope of Disclosure,SCOPE_OF_DISCLOSURE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,2681.76,3761.84,4609.87,5234.49,5820,6430,7140,7905.43,8302
Renewable Energy Use,RENEW_ENERGY_USE,,,,,,,,,,,,,,,,,,,,,,,,,,1066,2077,3495.16,4730,5250,5840,6770,7434.42,7850
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,2640.07,3691.64,4517.96,,,6430,7140,7751.47,8170
Fuel Used - Coal/Lignite,COAL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,654.712,2233.4,3601.3,2039.48,1231.78,7166.01,4755.51,1482.62,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,1.916,1.979,3.054,3.56,3.552,4.651,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Recycled,WASTE_RECYCLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5970
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.614,0.74,0.575,0.822,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,23,24,23,22,22,24,25.3,25.9,27.3
Pct Minorities in Management,PCT_MINORITY_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Political Donations,POLITICAL_DONATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Fatalities - Total,FATALITIES_TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,,1115,1301,1921,2709,3153,3500,3866,5042,5993,7273,7903,8378,10013,10612,12331,13772
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,12,12,13,7,10,12,10
Pct Employees Unionized,PCT_EMPLOYEES_UNIONIZED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200718,182640,185240,230280,478443,528670
