TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3844653,,1706586,4032719,3938318,743961,761936,7067686,1975534,4417277,2366184,,2321530,8822759,2418229,5256035,2534578,5874754,2697006,6034971,2832138,6668480,3205552,7149267,3310792,7043059,3156097,3134680,3043775,3002215,2603008,2678519,2484548,2567273,2677823,2531355,2563637,2626662,2551318,2556370,2498539,2505961,2438362,2447081,2444830,2512575,2726840,2803644,2827498,2989846,3211132,3171728,3266667,3458425,3663057,3586923,3627864,3720218,3394881,3553014,3534693,3749742,4027232,4001448,4114464,4247764,4406979,4396265,4535822,4545875,4611174,12489619,12781597,13270110,6191164,13626050,13272732,13650566,6391627,15544594,15950205,16224789,7424715,17097243,18151037,17739607,18227012,7705413,19356447,19330647,19972304,8554896,,,,,,,,,,,,,,,,,,,,,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4278,,4328,4285,4116,5086,5123,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,900877,933104,950887,1000257,1059140,1051104,1057967,1108634,1100561,1136931,1157947,1191966,1190300,1209032,1218945,1249122,1299050,1309946,1321958,1355326,1356564,,,,,,,,,,,,,,,,,,,,,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,900877,933104,950887,,1000257,1059140,1051104,1057967,,1108634,1100561,1136931,1157947,,1191966,1190300,1209032,1218945,1249122,1299050,1309946,1321958,,1355326,1356564,,,,,,,,,,,,,,,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448916,443593,427691,326364,335357,346796,345278,336224,310632,306958,324854,342202,408521,388053,387221,387427,434307,441902,460503,502230,532424,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,248717,202648,222669,169118,157519,139566,153077,0,174323,161456,119690,114642,,,,372786,,,,236023,,,,333683,,,,404593,,,,355259,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104863,,,,,,1245596,,1370171,,1430730,,1570185,,1663859,,1828369,,1902341,,2058177,,2156126,,2098556,2102108,2070931,1966653,1826375,1844226,1773943,1829587,1879320,1757174,1785351,1817089,1827331,1804681,1803272,1819465,1920987,1913801,1919273,1995755,2103283,2174166,2206923,2354406,2429778,2391908,2462146,2582978,2691460,2572780,2559817,2655023,2631612,2545946,2587773,2685526,2845639,2811012,2925975,3071841,3162917,3109166,3216315,3206165,3313723,3442582,3556994,3653102,4297564,3732034,3883603,3923054,4160803,4269682,4392060,4562011,4837895,4830904,4988214,5101573,5227345,5143351,5570443,5641846,5710106,5606133,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840375,,,597395,4028434,3934202,738875,,310690,7067686,729938,4417277,,996013,,890800,8822759,,848044,5256035,870719,5874754,868637,6034971,929797,6668480,1147375,7149267,1154666,7043059,,1057541,1032572,972844,1035562,,765130,834293,710605,737686,,638949,774181,778286,809573,,577081,751689,695267,686496,464513,533280,525557,516820,,,488597,629478,620575,635440,,523794,779820,804521,875447,,598812,1014143,1068047,1065195,,639548,758351,744272,841547,790531,1032917,1048923,1022846,,971109,1112776,1158051,1220020,,985566,7697244,7847906,8238430,,50583,8499519,7991229,8324267,,138213,9863719,10114256,10179977,,191540,10667518,11565738,11031868,10330955,828705,12034156,11906340,,11375611,1059775,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895348,,9477971,9284484,9345567,9474062,9722779,12578692,12672537,12794399,13191775,,14172485,14322814,14894906,15492059,16471414,17423293,17996373,18204250,19145268,20100732,20790656,21731071,21466331,21778944,20372093,21246016,20476447,18264257,17763108,17698611,16937897,17181441,17275683,16980306,17244334,17431656,17988411,17674817,17141576,17358088,18329776,17922151,18139308,19903481,21698427,22798189,23664360,25721918,25719767,25881443,27525837,29705610,29793433,30649122,29749479,30743444,29218044,27931961,28122966,31073338,30916491,31393494,32127307,32711830,32155593,33022204,33990012,33294798,33057712,33661187,34098534,35123708,35009043,35473876,35420055,36333523,39490340,40226659,41070904,41948170,43966481,46631124,48675760,46820630,47843399,51187209,52608953,52377437,55400017,58313469,,,,,,,,,,,,,,,,,,,,,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18296742,,19888937,19413846,19956937,20058940,20742386,20901500,20777120,21086214,22040228,,23310194,23119134,24335011,25103627,26257592,27545199,28731595,28743348,30047847,31016861,32574779,34184734,33890681,34499743,32458320,34185561,32898632,29591044,29062037,29404542,28538759,29552531,30349287,29781535,29437782,29234349,29818166,29284861,28387556,28761679,30650965,30029775,30100682,32157040,35483317,37168264,38246709,40518144,41437473,41455717,43784073,46722224,47729830,48821479,48574586,48922991,47427597,44524374,43776105,48111485,48750186,49456031,50253031,51216462,50308249,51049149,52516005,51085992,51936949,53288787,53350562,54901470,53972363,55916537,56483801,58010315,62267140,61651149,61758833,63618063,67688771,71935191,74484023,71580587,74303180,80131208,83661391,84232154,90114296,94037319,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266899,,,,,,,,,,,,353659,139810,-164641,-765765,-77822,21836,153219,112223,190466,98690,93629,25398,1160,80421,80944,121034,290347,257922,99914,313980,562194,438429,525464,297032,587774,539062,600027,446475,646394,611718,627965,426617,552465,393708,486531,398405,613056,458272,941849,480806,657306,585086,180915,459566,619131,530409,559298,327302,158843,470525,838696,777197,897832,626652,791738,533888,736820,434264,727942,552292,1311372,1278056,1357814,997691,1333347,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932765,581011,-386561,349690,558954,1009042,483340,507194,767086,458707,208999,589217,316351,173007,281335,681742,702691,536856,506677,705092,1029338,937750,759923,919024,875596,775710,686305,1348142,1123375,834148,1108350,1394984,1178213,396163,586912,1252949,1072365,965891,805625,1379247,824016,1002172,1040582,899827,650897,909527,444072,394000,673252,616262,544575,893073,958958,913822,768728,1081107,764087,894710,167126,1129153,1358218,919861,508062,1420232,683661,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-336899,-337246,-299317,,-343734,-203190,-101917,-104873,,-142083,-133710,-129208,-128583,,-186483,-167133,-132243,-142470,-245058,-173059,-162325,-209355,,,-270631,-230791,-207705,-200829,,-291505,-250674,-204775,-266458,,-382864,-370981,-245603,-292449,,-331365,-636846,-517511,-512911,-594653,-565635,-592236,-527817,,-629927,-676378,-525910,-560191,,-525897,-658586,-578642,-574772,,-495434,-541447,-506989,-673893,,-633375,-709204,-596721,-451899,,-492539,-459749,-467476,-531311,-531699,-706508,-587214,-708386,,-882667,-857657,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17572,10150,3253,,16411,14650,9474,15468,,12881,11178,8634,8595,,22935,5308,6386,9647,15292,10230,5872,7693,,,15396,8655,7399,10084,,13053,13743,8378,9593,,9833,7300,7546,13267,,14034,323220,313517,306161,336618,306855,307346,321528,,347363,351355,368594,369981,,360581,372836,372869,346086,,347351,278401,382187,367692,,383961,429883,391076,349539,,409383,444678,453267,398890,418762,468251,532442,522187,,640739,640009,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-354471,-347396,-302570,,-360145,-217840,-111391,-120341,,-154964,-144888,-137842,-137178,,-209418,-172441,-138629,-152117,-260350,-183289,-168197,-217048,,,-286027,-239446,-215104,-210913,,-304558,-264417,-213153,-276051,,-392697,-378281,-253149,-305716,,-345399,-960066,-831028,-819072,-931271,-872490,-899582,-849345,,-977290,-1027733,-894504,-930172,,-886478,-1031422,-951511,-920858,,-842785,-819848,-889176,-1041585,,-1017336,-1139087,-987797,-801438,,-901922,-904427,-920743,-930201,-950461,-1174759,-1119656,-1230573,,-1523406,-1497666,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-642514,-296330,253470,,636638,65597,-393465,-1056024,,-575755,-177022,-937909,-377481,,-223254,147761,-194288,-610958,-308094,-566660,-506659,-715822,,,-442413,-1112039,-969994,-477086,,-751874,-520918,-708146,-387630,,-978634,-145909,-368447,-792369,,426695,-269241,-310010,-394581,-350348,-464232,-282678,-332208,,-462464,-354779,34119,-165159,,318755,593079,-2459,-156891,,-463418,1286,138470,-231291,,-575718,-227451,127519,245110,,-370452,-70630,156507,-248703,346341,141258,59795,-344281,,-578183,-487948,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442838,253901,534342,773545,277029,312891,263791,720122,1054744,1070452,1127585,1275070,1098472,767718,663728,758220,764277,678724,911124,848407,1287561,835118,1071993,868994,972404,656555,885851,971614,1099301,1017897,1086635,1368309,395438,468851,535926,501326,635292,729403,562693,596150,602713,687016,604068,805001,885676,357390,373217,759365,593473,667087,451861,349497,640954,572933,721413,267337,282823,462129,196790,391987,755711,460017,567413,468227,649510,,,,,,,,,,,,,,,,,,,,,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1085352,-550231,-280872,-136907,-211432,-706356,-1319815,-1295877,-1231766,-2008361,-1505066,-1498324,-950711,-962006,-1274686,-1066314,-1330937,-1185383,-1626946,-1290820,-2399600,-1805112,-1549079,-1620868,-1493322,-1364701,-1273481,-1950248,-1245210,-1386344,-1879004,-941614,-664679,-778861,-930507,-851674,-1099524,-1012081,-894901,-1058614,-957492,-652897,-769227,-486246,-292597,-359849,-530108,-1222783,-592187,-528617,-683152,-925215,-868405,-445414,-476303,-637789,-353453,-305622,-445493,-45646,-614453,-400222,-911694,-1046410,-1137458,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-45,0,0,0,0,0,-1020,0,0,0,-299,0,0,0,-147,0,0,0,16216,0,0,0,6603,0,0,0,0,0,0,0,0,0,0,0,44274,0,0,0,-576,0,0,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-45,0,0,0,0,0,-1020,0,0,0,-299,0,0,0,-147,0,0,0,16216,0,0,0,6603,0,0,0,0,0,0,0,0,0,0,0,44274,0,0,0,-576,0,0,0,5010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-34643,150229,61066,,-40895,-96688,30879,-281282,,9637,-165371,262526,85868,,-5418,60516,-122974,77861,194569,39620,7965,-66675,,,22486,33476,-59939,-116783,,42218,73664,2641,4601,,-194297,-537048,-488180,300575,,-337463,347379,351305,-216792,89996,12089,-43618,-113409,,342619,-11470,-319848,236948,,-152441,-345313,103634,-105406,,559558,202544,-1215685,-862074,,213997,1563755,-374132,597263,,111255,79467,-20609,48911,100061,-551804,-1007118,-525871,,692228,-1053998,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1014056,-483392,15219,252009,-234281,-464503,-1442179,-709221,-476103,-804591,-420196,-415454,41144,-449505,-675567,-358730,-700099,-661019,-991852,-674342,-1309354,-1237638,-794698,-994558,-697928,-910280,-649487,-1555795,-1053938,-1102230,-784243,-242133,-558708,-476216,-1124284,-810731,-1017778,-918532,-973434,-750348,-1042627,-811639,-488402,-354573,-410820,-477467,-837069,-399294,-337617,-1584204,-1767258,-995096,627100,-843334,390474,-751736,-450912,-331578,-731103,-85297,-1117054,-1534537,-1578538,-768622,-2399603,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-236196,0,-203796,0,-109756,0,-62720,0,-78400,0,-62720,0,-94071,0,-62714,0,-95004,0,-95004,0,-190046,0,-205984,0,-316977,0,-237956,0,-393352,0,-311376,0,-335368,0,-299108,0,-329693,0,-297199,0,-352912,0,-291895,,-339893,0,-278908,0,-331938,0,-293576,0,-377453,0,-332419,0,-385792,0,-342188,0,-474781,0,-405416,0,-606338,,,,,,,,,,,,,,,,,,,,,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549420,-44845,631161,,73683,13431,-520946,476901,,-64641,411192,-91072,177333,,106611,-166837,18376,228268,-240921,208511,82402,89025,,,330410,262675,539939,303487,,263262,322406,392266,404389,,158996,329288,557197,94873,,-322591,347382,-24986,611019,97514,240999,84059,385038,,-20757,667297,181821,-119869,,-6278,475543,45677,516916,,474553,2485041,-288900,461360,,543901,-1272925,124497,-26128,,-125647,458570,-208150,401529,511625,451491,759887,1572617,,922765,342128,,,,,,,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96,-69739,-701,,-51,230,321,-30,,-10772,-12364,-6366,-9927,,40,-19365,-9334,-3662,-5087,-16811,-10727,-16691,,,1131,-18872,-19188,-16998,,64270,330,-168285,-186278,,6449,1998,227100,-300594,,-231760,-147334,-358269,-104509,-93874,653,-249074,15161,,-214558,-128861,-170734,-151825,,-98217,-54308,-245845,-70176,,-105799,199986,-21,-28,,-53,-21517,-228301,-66509,,-88391,-121311,-74234,-141032,-94522,-34377,-82130,-75077,,-39485,-18972,,,,,,,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,230,321,0,0,0,0,0,40,0,0,0,0,0,0,0,1131,0,0,0,64270,330,0,0,6449,1998,474917,0,0,0,0,0,0,653,0,15161,0,0,0,0,0,0,0,0,,199986,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-96,-69739,-701,-51,0,0,-30,-10772,-12364,-6366,-9927,0,-19365,-9334,-3662,-5087,-16811,-10727,-16691,0,-18872,-19188,-16998,0,0,-168285,-186278,0,0,-247817,-300594,-231760,-147334,-358269,-104509,-93874,0,-249074,0,-214558,-128861,-170734,-151825,-98217,-54308,-245845,-70176,-105799,0,-21,-28,-53,-21517,-228301,-66509,-88391,-121311,-74234,-141032,-94522,-34377,-82130,-75077,-39485,-18972,,,,,,,,,,,,,,,,,,,,,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63065,-29499,-20984,-18705,-107,-28381,-30646,-15239,-88,-29163,-18771,-18060,-1638,-21681,-27274,-14772,-37,-28520,-13720,-26892,-234,-23879,-14958,-15879,-238,-17932,-14652,-3274,-740,-19494,-24280,-7689,-260,-25189,-44319,-15065,23898,-35191,-30863,-11698,-20184,-35607,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313128,-114584,426664,,73633,-96095,-520625,414151,,-75413,320428,-97438,104686,,106651,-280273,9042,161892,-246008,96696,71675,-22670,,,331541,53757,520751,80505,,264467,-23740,202997,-38550,,165338,-90447,753651,-532336,,-554439,-164483,-402026,189342,2002,-109722,-192289,88228,,-235352,157004,-2633,-590481,,-104729,57463,-215126,151953,,368516,2335157,-303573,164482,,543108,-1691389,-128084,-432745,,-214298,-73722,-326703,-96756,441001,-92858,646894,1080426,,863096,-318789,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
