JPM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,,,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,EBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,34.3599,31.973,37.2195,28.403,17.5181,17.3128,30.3379,28.1156,26.001,32.5841,31.3624,5.4303,15.9976,24.2069,27.5099,29.8018,27.3963,32.2767,32.8213,36.0998,35.6487,37.3882,38.7712,29.858,48.9622,35.8724,38.9693
Profit Margin,PROF_MARGIN,,,,,,,,21.529,18.425,24.2515,18.0077,5.8313,5.6156,20.1264,10.3627,15.7829,23.5782,21.5281,8.3343,11.6773,16.9143,19.5158,21.9353,18.3697,22.8625,26.1292,25.8529,24.2699,29.7847,31.482,24.2858,39.7323,29.2754,31.3414
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,559539.8716,575347.737,574136.6138,654822.2222,526332.8184,459765.7285,475779.2687,353678.9921,469466.44,568507.6852,644019.107,451149.3103,520124.5075,481484.8789,426042.7357,418097.568,426137.3589,426787.4825,399961.9861,433465.5133,455296.0137,513117.6666,554574.0736,508754.6162,469336.7771,526999.9285,772523.1184
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,,,,,14.3925,22.1371,15.1673,4.0243,3.9613,15.4277,5.8674,7.976,12.9587,12.8571,3.82,6.0063,9.6855,10.2116,10.7216,8.3826,9.7456,10.4501,10.1569,9.86,13.3496,14.9067,11.3352,18.2874,13.6936,16.8942
Return on Assets,RETURN_ON_ASSET,,,,,,,,,0.7564,1.1594,0.8286,0.2405,0.229,0.8785,0.4632,0.7201,1.1327,1.0547,0.3,0.5575,0.8372,0.8658,0.9204,0.7492,0.8718,0.9926,1.0215,0.9729,1.2596,1.3722,0.9595,1.3561,1.017,1.3142
Return on Capital,RETURN_ON_CAP,,,,,,,,,1.823,2.848,1.9357,0.5511,0.5153,1.9834,1.0056,1.58,2.6726,2.5077,0.7402,1.3582,1.9104,2.0993,2.419,2.0144,2.4058,2.8235,2.952,2.8118,3.6879,4.098,3.1899,5.0248,3.8461,4.6422
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,,,,,2.5611,3.3986,2.4625,2.1694,2.3316,2.4299,2.476,2.4754,3.1258,3.6031,3.3455,5.0758,3.7319,2.9465,2.8353,2.0772,2.7559,3.2887,3.615,3.4364,4.2178,4.7148,5.0723,4.0697,4.544,5.5612
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,,,,,,,,34.3599,31.973,37.2195,28.403,17.5181,17.3128,30.3379,28.1156,26.001,32.5841,31.3624,5.4303,15.9976,24.2069,27.5099,29.8018,27.3963,32.2767,32.8213,36.0998,35.6487,37.3882,38.7712,29.858,48.9622,35.8724,38.9693
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,,,,,,63.3185,,-143.2619,6.7376,132.6525,20.4777,17.4444,79.6858,23.9616,-454.6602,37.4149,389.0265,,,,,,180.4235,27.0796,58.4334,61.3062,,1398.5277,,52.5213
Pretax Margin,PRETAX_INC_TO_NET_SALES,,,,,,,,16.7626,14.4524,22.1573,14.8183,5.0883,5.8079,22.5536,10.8798,14.9354,20.4237,19.5998,2.7323,13.8949,21.5276,24.1334,26.7295,24.9197,29.8023,30.3962,32.7399,31.2228,31.02,31.4816,27.5689,46.8247,29.8245,25.7333
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,,,,,,,,21.529,18.425,24.2515,18.0077,5.9174,5.6156,20.1264,10.3627,15.3569,22.2804,21.5281,5.5002,11.6016,16.9143,19.5158,21.9353,18.3697,22.8625,26.1292,25.8529,24.2699,29.7847,31.482,24.2858,39.7323,29.2754,31.3414
Net Income Margin,PROF_MARGIN,,,,,,,,21.529,18.425,24.2515,18.0077,5.8313,5.6156,20.1264,10.3627,15.7829,23.5782,21.5281,8.3343,11.6773,16.9143,19.5158,21.9353,18.3697,22.8625,26.1292,25.8529,24.2699,29.7847,31.482,24.2858,39.7323,29.2754,31.3414
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,,,,,,,,20.6218,17.9086,23.9088,17.7059,5.6041,5.4434,19.9736,10.242,15.7587,23.5717,21.5281,7.3321,8.7361,15.3505,18.0678,20.4852,17.0047,21.1088,24.2145,23.868,22.409,28.1659,29.9361,22.851,38.2272,27.8892,30.208
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,,,,,,,,35.8507,35.4158,34.7115,34.4212,33.0086,33.9817,32.9976,27.898,30.2813,32.5809,32.6244,,27.4787,30.1259,29.059,26.3962,32.9485,29.1671,20.3896,28.3849,31.9192,20.3366,18.8004,18.6626,18.8509,18.3902,19.5741
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.09,3.21,3.21,3.69,4.32,4.39,4.43,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.43,1.48,1.43,2.41,3.92,4.55,5.11,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,2.32,2.6,2.68,2.91,3.09,3.05,2.71,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.04,6.92,6.76,6.65,6.82,7.23,6.86,7.21,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,31.4254,36.0527,44.1706,46.263,46.786,46.0014,48.0938,48.5665,55.3868,55.7187,53.8879,55.2761,55.9099,56.433,55.5779,54.7832,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,2.1746,19.4503,35.8502,35.8502,35.8502,31.9239,31.9239,33.3434,38.4476,38.4476,36.7261,36.7261,37.0583,37.0583,37.0583,37.0583,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,11.3966,8.0109,15.9915,15.9915,17.5635,16.6264,16.6264,16.6264,27.5393,28.5369,24.7582,28.9299,30.5018,32.0738,29.5042,29.5042,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,86.7851,86.7851,89.2836,95.5449,95.5449,100,100,100,100,100,100,100,97.6219,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,95.262,91.999,92.227,83.343,85.95,89.225,82.525,79.556,93.031,98.505,102.423,81.944,84.911,88.553,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,1247.95,1227.4,1231.18,1219.75,1092.56,1073.55,979.445,906.093,922.762,919.876,851.622,816.056,755.514,783.616,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,2704.92,2617.94,2597.89,2517.05,2517.93,2452.02,2365.97,2292.82,2518.96,2675.43,2615.79,2514.92,2437.51,2463.28,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,2192.59,2122.77,2114.36,2085.43,2060.7,2025.94,1992.53,1942.8,2100.16,2219.12,2155.9,2180.66,2060.48,2084.73,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,31656.301,28998.5,26097.199,22393,25405.9,26293.1,22761.801,21263.6,33753.5,36732.301,37907.898,30134.801,32221.699,30845.1,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,4.155,5.08,5.53,4.737,3.72,4.674,4.615,4.486,4.927,4.614,5.161,2.897,3.223,4.923,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,23.321,26.566,32.369,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,5014.96,5127.75,7297.35,7960.42,6992.21,7089.71,6700.71,6566.87,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,200,250,,250,200,170,396,412,240
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,44,37,39,41
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,26,27,28
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,53,,,,51,50,50,49,49,49,49,49,49
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,180667,222952,222316,239831,260157,258965,251196,241359,234598,243355,252539,256105,256981,255351,271025,293723,309926
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,300,300,340,250,200,200,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,7400000,11000000,9000000,10000000,7000000,8000000,7900000,7400000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,48,49,50,51,52,53,54,55,56,57,58,59
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,,11,12,14,15,15,16,15,15,17,16,18,16,15,16,17,18,15
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,,,12,11,11,11,12,11,10,11,11,12,12,12,11,11,10,11,11
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,,,,,,,,,,,,,,,,,,16,15,16,15,15,12,11,10,11,10,10,11,12,12,13,13,12
Number of Non Executive Directors on Board,NUM_OF_NONEXEC_DIR_ON_BRD,,,,,,,,,,,,,,,,,,11,10,10,10,11,10,9,10,10,11,11,11,10,9,9,10,10
Number of Board Meetings for the Year,BOARD_MEETINGS_PER_YR,,,,,,,,,,,,,,,,,,9,18,11,8,11,15,13,10,11,10,9,11,10,13,10,9,12
Board Meeting Attendance Pct,BOARD_MEETING_ATTENDANCE_PCT,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Has Executive Share Ownership Guidelines,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Director Share Ownership Guidelines,DIRECTOR_SH_OWNERSHIP_GUIDELINES,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Size of Compensation Committee,SIZE_OF_COMPENSATION_COMMITTEE,,,,,,,,,,,,,,,,,,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
Num of Independent Directors on Compensation Cmte,NUM_IND_DIR_ON_CMPNSTN_CMTE,,,,,,,,,,,,,,,,,,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
Number of Compensation Committee Meetings,NUM_COMPENSATION_CMTE_MTG,,,,,,,,,,,,,,,,,,6,8,6,8,6,7,6,6,6,7,6,7,6,7,6,7,8
Compensation Committee Meeting Attendance %,COMPENSATION_CMTE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,2,3,4,5,6,7,7,7,7
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,5
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,,,,,,,,,,,,,,,,,,49,50,51,52,53,54,55,56,57,46,47,48,49,50,51,52,53
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,,,,,,,,,,,,,,,,,,69,70,71,72,73,74,75,76,77,78,79,80,81,82,69,70,71
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,,,,,,,,,,,,,,,,,,10,10,10,10,11,10,9,10,10,11,11,11,10,9,9,10,10
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominations & Governance Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,,,,,,,,,,,,,,,,,,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,,,,,,,,,,,,,,,,,,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,,,,,,,,,,,,,,,,,,3,2,3,4,4,4,5,5,6,6,7,7,7,9,8,8,8
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sustainability Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
