WMT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income, GAAP",NET_INCOME,1291.024,1608.476,1994.7939,2333.2771,2681,2740,3056,3526,4430,5377,6295,6671,7955,9054,10267,11231,11284,12731,13381,14370,16389,15699,16999,16022,16363,14694,13643,9862,6670,14881,13510,13673,11680,15511
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,1291.024,1608.476,1994.7939,2333.2771,2681,2740,3056,3526,4430,5377,6295,6671,7955,9054,10267,11231,11284,12731,13381,14370,16389,15699,16999,16022,16363,14694,13643,9862,6670,14881,13510,13673,11680,15511
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,1291.024,1608.476,1994.7939,2333.2771,2681,2740,3056,3526,4430,5377,6295,6671,7955,9054,10267,11231,11284,12731,13381,14370,16389,15699,16999,16022,16363,14694,13643,9862,6670,14881,13510,13673,11680,15511
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,-98,,499.3,-210,-434,215.95,0,656.6,162.15,64.34,-186.72,3431.4,7804.25,-745.68,2212.25,4459.95,5960.12,2459.4267
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,0,0,0,0,0,198,0,0,-137,-193,0,177,894,132,-146,79,-1034,21,-52,-144,-285,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,13644.9477,13830.7559,13757.1724,13792.2905,13791.624,13776,13752,13548,13392,13353,13395,13395,13290,13089,12777,12549,12492,12198,11817,11598,10968,10380,10122,9807,9690,9621,9303,8985,8787,8550,8493,8376,8172,8077
"Basic EPS, GAAP",IS_EPS,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4033,0.47,0.4967,0.6,0.6933,0.8033,0.8933,0.9033,1.0433,1.1333,1.24,1.4933,1.5133,1.68,1.6333,1.69,1.5267,1.4667,1.0967,0.76,1.74,1.59,1.6333,1.43,1.92
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4167,0.47,0.4967,0.59,0.6767,0.8033,0.91,0.9733,1.0533,1.12,1.2467,1.4,1.5167,1.6767,1.6233,1.6592,1.5267,1.4667,1.0967,0.76,1.74,1.59,1.6333,1.43,1.92
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4167,0.47,0.5,0.59,0.6767,0.8033,0.9033,0.9733,1.0533,1.1622,1.2277,1.3604,1.5353,1.6767,1.686,1.676,1.534,1.4464,1.4795,1.6472,1.6533,1.8512,2.1649,2.1586,2.2249
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,13645.188,13835.4727,13757.1724,13792.2905,13791.624,13776,13776,13599,13455,13422,13452,13443,13338,13119,12798,12564,12504,12216,11853,11631,11010,10422,10167,9849,9729,9651,9336,9030,8835,8604,8541,8415,8202,8108
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4,0.4667,0.4967,0.5967,0.69,0.8033,0.8933,0.9033,1.0433,1.13,1.2367,1.49,1.5067,1.6733,1.6267,1.6833,1.5233,1.46,1.0933,0.7533,1.73,1.5833,1.6233,1.4233,1.91
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4167,0.4667,0.4967,0.5867,0.6767,0.8033,0.9067,0.9733,1.0533,1.1167,1.2433,1.3933,1.51,1.67,1.6167,1.654,1.5233,1.46,1.0933,0.7533,1.73,1.5833,1.6233,1.4233,1.91
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.095,0.1167,0.145,0.17,0.195,0.1983,0.2217,0.26,0.33,0.4167,0.4667,0.5,0.5867,0.6767,0.8033,0.9,0.9733,1.0533,1.1588,1.2253,1.3539,1.5307,1.67,1.6833,1.6707,1.53,1.44,1.4733,1.6367,1.6433,1.8423,2.1533,2.15,2.2133
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,2296.196,2891.831,3637.3809,4416.355,5120,5416,5871,6796,8418,10684,12392,15367,16659,18877,21496,23358,25956,28269,29506,31159,33183,34597,36203,35742,36320,33559,32844,30966,32635,34225,36326,38874,33679,41142
EBITDA Margin (T12M),EBITDA_MARGIN,7.0432,6.5893,6.5558,6.5578,6.2065,5.7847,5.5989,5.7614,6.1162,6.4746,6.4768,7.0556,7.2552,7.3644,7.4642,7.4841,7.4447,7.4692,7.2989,7.6354,7.8661,7.7483,7.7249,7.5042,7.4786,6.9606,6.7598,6.189,6.3442,6.5319,6.4966,6.7872,5.5095,6.3478
EBIT,EBIT,1949.582,2416.479,2988.2439,3567.613,4050,4112,4408,5162,6546,8309,9524,12077,13295,15025,17091,18713,20497,21952,22767,24002,25542,26491,27725,26872,27147,24105,22764,20437,21957,20568,22548,25942,20428,27012
Gross Margin,GROSS_MARGIN,21.7835,20.7369,20.3827,20.6413,20.496,20.3606,20.2138,20.7871,21.0043,21.4219,21.4677,21.2292,22.3491,22.4641,23.6801,23.8551,24.2358,24.3413,24.8143,25.4797,25.3415,24.9751,24.8274,24.8219,24.8254,25.1272,25.6481,25.372,25.0977,24.6885,24.8298,25.0987,24.1405,24.3754
Operating Margin,OPER_MARGIN,5.98,5.5062,5.3858,5.2976,4.9094,4.3919,4.2037,4.3761,4.7561,5.0354,4.9778,5.545,5.7901,5.8616,5.9346,5.9958,5.879,5.8001,5.6319,5.8816,6.0548,5.9329,5.9159,5.6419,5.5898,4.9997,4.6852,4.0846,4.2684,3.9255,4.0325,4.5293,3.3418,4.1677
Profit Margin,PROF_MARGIN,3.96,3.665,3.5953,3.4647,3.2499,2.9265,2.9144,2.9892,3.2187,3.2585,3.2901,3.0629,3.4645,3.5322,3.5651,3.5985,3.2365,3.3638,3.31,3.5213,3.885,3.5159,3.6272,3.3639,3.3693,3.0477,2.8079,1.971,1.2966,2.8401,2.4162,2.3872,1.9107,2.3932
Sales per Employee,ACTUAL_SALES_PER_EMPL,99395.1029,118293.5373,127842.7869,127546.5347,132627.0096,138706.6667,144037.0879,142979.3939,151246.1538,144748.2456,153801.4469,157483.008,164011.4286,170886,169405.2941,173389.4444,183500,180226.6667,192501.9048,194326.1905,200880.4762,202958.6364,213023.1818,216497.2727,220750.4545,209621.7391,211249.1304,217540.4348,233820.4545,238165.4545,243109.1304,249023.4783,291090,308630.9524
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,27.6715,26.0372,25.3325,23.9168,22.838,19.9403,19.1605,19.7834,22.3653,22.9072,22.0193,20.0798,21.3377,21.7948,22.0751,21.8998,19.6681,20.1789,20.6031,21.1708,23.5796,22.4501,23.0248,20.999,20.7588,18.1475,17.2321,12.6706,8.8717,20.2236,17.3657,16.6563,14.6049,19.3218
Return on Assets,RETURN_ON_ASSET,13.1822,11.9891,11.0796,9.9276,9.0483,7.7885,7.9227,8.2976,9.2892,8.936,8.4793,8.2572,8.9252,9.0667,9.1235,8.6947,7.7881,8.0806,8.1855,8.609,9.3334,8.391,8.5743,7.8567,8.0163,7.291,6.8488,4.8901,3.1476,6.5298,5.5257,5.4983,4.7863,6.2595
Return on Capital,RETURN_ON_CAP,21.277,19.2495,16.8993,14.9394,13.9902,12.5778,12.6007,13.3739,15.1974,14.9746,14.0834,13.6286,14.2025,14.3773,14.7248,14.279,13.1667,13.5733,13.9127,14.6215,15.7645,14.8543,15.3101,13.8683,14.0959,12.6145,12.4126,9.6534,6.5478,11.7519,9.8588,10.1257,8.5427,12.179
Return on Invested Capital,RETURN_ON_INV_CAPITAL,18.4088,16.2317,14.266,12.4789,11.221,9.6711,9.5529,10.5917,12.4619,12.7835,-7.7939,13.5279,13.6951,13.5994,14.2052,14.0587,13.7452,13.3525,13.1187,13.76,13.9581,13.8978,14.2975,12.9794,13.3318,12.5039,12.239,11.2497,10.3967,10.4563,9.5061,12.3542,8.8918,13.0965
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,21.7835,20.7369,20.3827,20.6413,20.496,20.3606,20.2138,20.7871,21.0043,21.4219,21.4677,21.2292,22.3491,22.4641,23.6801,23.8551,24.2358,24.3413,24.8143,25.4797,25.3415,24.9751,24.8274,24.8219,24.8254,25.1272,25.6481,25.372,25.0977,24.6885,24.8298,25.0987,24.1405,24.3754
Operating Margin,OPER_MARGIN,5.98,5.5062,5.3858,5.2976,4.9094,4.3919,4.2037,4.3761,4.7561,5.0354,4.9778,5.545,5.7901,5.8616,5.9346,5.9958,5.879,5.8001,5.6319,5.8816,6.0548,5.9329,5.9159,5.6419,5.5898,4.9997,4.6852,4.0846,4.2684,3.9255,4.0325,4.5293,3.3418,4.1677
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,4.1033,4.1372,4.9303,4.8847,3.1842,0.5569,2.6353,5.7562,7.0339,6.4392,4.617,9.6449,10.3072,6.4762,6.5256,6.7269,4.8811,4.8783,3.1616,32.237,11.1886,3.8483,5.5731,,2.939,-86.3959,,,10.8093,,5.6271,24.9504,,17.8738
Pretax Margin,PRETAX_INC_TO_NET_SALES,6.2658,5.8175,5.7068,5.4816,5.1664,4.6418,4.6253,4.7822,5.2095,5.5044,0,4.9362,5.3864,5.537,5.5922,5.6184,5.4404,5.3261,5.1619,5.4199,5.5797,5.4494,5.4757,5.1766,5.1063,4.488,4.2186,3.0225,2.2278,3.8392,3.6777,3.2642,2.7836,3.371
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,3.96,3.665,3.5953,3.4647,3.2499,2.9265,2.9144,2.9892,3.2187,3.4815,-1.9297,3.1469,3.4889,3.5404,3.6515,3.759,3.6148,3.5059,3.3974,3.6664,3.7831,3.6747,3.7777,3.475,3.4622,3.1278,2.9417,2.1032,1.3956,2.9012,2.4512,2.4339,1.8472,2.5103
Net Income Margin,PROF_MARGIN,3.96,3.665,3.5953,3.4647,3.2499,2.9265,2.9144,2.9892,3.2187,3.2585,3.2901,3.0629,3.4645,3.5322,3.5651,3.5985,3.2365,3.3638,3.31,3.5213,3.885,3.5159,3.6272,3.3639,3.3693,3.0477,2.8079,1.971,1.2966,2.8401,2.4162,2.3872,1.9107,2.3932
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,3.96,3.665,3.5953,3.4647,3.2499,2.9265,2.9144,2.9892,3.2187,3.2585,3.2901,3.0629,3.4645,3.5322,3.5651,3.5985,3.2365,3.3638,3.31,3.5213,3.885,3.5159,3.6272,3.3639,3.3693,3.0477,2.8079,1.971,1.2966,2.8401,2.4162,2.3872,1.9107,2.3932
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,36.8,37,37,36.7946,37.0953,36.9535,36.9897,37.4934,38.2148,36.75,,36.2478,35.228,36.06,34.7035,33.0938,33.5565,34.175,34.1832,32.3537,32.199,32.5662,31.0108,32.8723,32.1989,30.3078,30.2678,30.4172,37.356,24.4333,33.3495,25.4386,33.6389,25.5309
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.37,3.58,3.41,3.5,3.55,3.62,3.8,3.9,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,2.07,2.04,2.18,2.19,2.64,2.83,2.82,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.37,2.14,2.13,2.12,2,2.21,2.42,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,8.2,8.02,8.29,8.54,8.51,8.52,8.48,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,27.7638,29.9769,30.8822,36.2137,37.461,40.2273,41.0623,41.6357,42.7019,50.2565,50.7796,51.192,54.1092,54.1092,53.9483,53.9483,55.3365,53.9483,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,0,1.2383,1.5705,16.7925,17.1247,19.0879,19.0879,20.8094,18.8463,31.4105,34.5515,36.8167,35.0951,35.0951,35.0951,35.0951,35.0951,35.0951,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,2.5695,10.3688,10.3688,11.1548,14.5707,20.919,20.919,20.919,26.0883,31.7412,30.1693,29.1415,33.3434,33.3434,32.8597,32.8597,30.7437,26.5719,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,80.5238,78.1457,80.5238,80.5238,80.5238,80.5238,83.0223,83.0223,83.0223,87.4774,87.4774,87.4774,93.7387,93.7387,93.7387,93.7387,100,100,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon Monoxide Emissions,CARBON_MONOXIDE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ODS Emissions,ODS_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Scope 1,CO2_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,2931.3,3164.81,3315.34,3225.55,3222.98,3229.78,2988.03,3619.01,
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,6761.81,6107.24,6650.23,6523.39,6101.64,6484.62,6728.06,7312.25,7880.87,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,15121.6,14928.1,15050.6,13187.7,13057.4,12190.9,9891.12,9475.17,9981.54,
GHG Scope 2 Market-Based,GHG_SCOPE_2_MARKET_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,14077.2,12155.7,12022.1,11079,8108.02,6544.17,6740.04,
GHG Scope 3,GHG_SCOPE_3,,,,,,,,,,,,,,,,,,,,,,,,,5444.3,13839.5,51646.602,51637.801,184474,184474,171269,242835,283950,
Scope of Disclosure,SCOPE_OF_DISCLOSURE,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,
Carbon per Unit of Production,CARBON_PER_UNIT_OF_PROD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,42876,45369,43876.602,44291.5,43150.5,42589.898,41676.301,37913.199,40978,
Renewable Energy Use,RENEW_ENERGY_USE,,,,,,,,,,,,,,,,,,,,,,,1080,2250,3021,3000,2300,2652.5,2520.17,2728.46,3919.82,6690.55,7138.15,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,29184.9,31573.1,29578.801,29060.5,27879.5,27328.5,26295.4,23928.9,24286,
Fuel Used - Coal/Lignite,COAL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,51656,725999,739883,677015,783561,755500,723936,787258,945550,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,530.802,571.176,503.709,670.634,560.922,587.655,668.493,612.062,724.584,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,5.306,4.308,3.764,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Recycled,WASTE_RECYCLED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Sent to Landfills,WASTE_SENT_TO_LANDFILLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,1400,1401,1400,1500,1400,1400,1400,1500,1700,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,44,48.13,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,57,57,56,55,55,55,56.06,55.18,53.77,53.18,
Pct Minorities in Management,PCT_MINORITY_MGT,,,,,,,,,,,,,,,,,,,,,,,,,30,31,31,32,33,35,37,39,41,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,40,42,43,44,44,45,47,49,49,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Political Donations,POLITICAL_DONATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatalities - Total,FATALITIES_TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Recordable Incident Rate - Employees,TOTAL_RECORDABLE_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,5.6,4.4,4.9,5.2,5.4,,,,,
