META US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153,-132,-136,-185,-453,-413,-171,-198,-327,-268,-284,-483,-363,-469,-482,-517,-502,-549,-780,-692,-1132,-995,-1095,-1269,-1271,-1444,-1755,-2262,-2812,-3459,-3343,-4366,-3837,-3633,-3532,-4100,-3558,-3255,-3689,-4613,-4272,-4612,-4313,-5370,-5441,-7528,-9355,-8988,-6842,-6216,-6496,-7592,-6400,-8173,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,0,0,44,20,55,0,0,47,73,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153,-132,-136,-185,-453,-413,-171,-198,-327,-268,-284,-483,-363,-469,-482,-517,-502,-549,-780,-692,-1132,-995,-1095,-1269,-1271,-1444,-1755,-2262,-2812,-3459,-3343,-4366,-3837,-3633,-3532,-4100,-3558,-3255,-3689,-4613,-4272,-4641,-4345,-5370,-5441,-7572,-9375,-9043,-6842,-6216,-6543,-7665,-6400,-8173,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,-1,0,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,0,0,,,-6020,-59,0,0,0,-2,126,0,0,-5,19,82,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,,0,,,0,0,0,0,0,0,126,0,0,0,19,82,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,-1,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,,,,,,,,,,0,,,,-6020,-59,0,0,0,-2,0,0,0,-5,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-3,-1,-19,-25,-550,-336,0,-99,-122,-16,-131,0,-19,-735,-4221,-257,-25,-27,-4,-1,-19,-61,-41,0,-8,-98,-17,0,0,0,0,-50,-3,-10,-445,0,-339,-12,-5,0,-259,-71,-521,-853,-363,-34,-62,-444,-83,-38,-64,-72,-57,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-3,-1,-19,-25,-550,-336,0,-99,-122,-16,-131,0,-19,-735,-4221,-257,-25,-27,-4,-1,-19,-61,-41,0,-8,-98,-17,0,0,0,0,-50,-3,-10,-445,0,-339,-12,-5,0,-259,-71,-521,-853,-363,-34,-62,-444,-83,-38,-64,-72,-57,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1896,-658,162,-242,-5485,118,732,100,-108,1034,-1920,-1509,66,4214,-1878,-2085,10,-2493,-2030,-543,-3957,-1961,-665,-4649,-4014,-1876,-2724,1525,1076,-905,617,-2881,-374,-1508,509,-551,-583,-6878,-496,-602,-3324,4054,11722,1389,932,-312,1524,524,1014,457,1184,-2262,-68,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-153,-2032,-795,-43,-720,-6450,-389,535,-326,-498,734,-2534,-1872,-422,2997,-6616,-2844,-564,-3300,-2726,-1676,-4971,-3117,-1975,-5920,-5466,-3729,-5003,-1287,-2383,-4248,-3749,-6768,-4010,-5050,-4036,-4109,-4177,-16599,-5173,-4874,-8195,-330,5829,-4779,-6959,-9701,-7531,-6743,-5203,-6077,-6472,-8734,-8298,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1273,-1266,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-250,0,0,0,-71,-143,-88,1496,-109,-91,-1591,-100,-84,-66,-49,-44,-47,-37,-23,-12,-312,0,0,0,0,0,0,0,0,0,0,0,-125,-142,-144,-141,-100,-109,-189,-205,-151,-123,-231,-172,-233,-219,9758,-235,-264,8235,-267,-307,-315,-299,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,301,53,29,59,7092,472,187,70,95,140,1808,349,536,487,515,423,386,346,566,0,0,0,0,-999,-874,-666,-1843,-2606,-4276,-5161,-4045,-1125,-1750,-1739,-1923,-1940,-2122,-2725,-3049,-5016,-8433,-15033,-21570,-10431,-6235,-7365,-7520,-10374,-2590,-5657,-8165,-18170,-9507,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,301,53,29,59,7092,472,187,70,95,140,1808,349,536,487,515,423,386,346,566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-874,-666,-1843,-2606,-4276,-5161,-4045,-1125,-1750,-1739,-1923,-1940,-2122,-2725,-3049,-5016,-8433,-15033,-21570,-10431,-6235,-7365,-7520,-10374,-2590,-5657,-8165,-18170,-9507,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28,-46,-39,102,62,-52,123,-2997,-405,-153,-148,-183,-3,0,0,-70,-5,-7,-8,0,2,4,-8,4,7,5,-866,1,3,4,3,504,-173,62,-136,39,18,79,2,48,-18,8,11,0,4,-109,-246,695,122,-353,49,71,-9,-106,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798,255,14,131,50,6897,507,-1314,-444,-149,-1599,1525,262,470,438,401,371,342,315,554,-310,4,-8,4,-992,-869,-1532,-1842,-2603,-4272,-5158,-3541,-1423,-1830,-2019,-2025,-2022,-2152,-2912,-3206,-5185,-8548,-15253,-21742,-10660,-6563,2147,-7060,-10516,5292,-5875,-8401,-19767,-11178,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,-9,8,-1,-14,12,4,-8,1,14,1,0,-3,-68,-52,-123,46,-22,-56,58,-46,19,-94,28,94,70,40,36,-186,-14,-14,-44,26,-156,177,-222,93,93,314,-246,117,-215,-130,-149,-550,-364,425,85,-14,-354,396,-288,-152,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991,-1645,-225,606,-230,673,380,-94,-59,676,99,223,-325,1386,4615,-4684,-896,1704,-815,599,1549,-1348,930,2865,-1826,-881,937,865,4006,-542,-1924,380,1073,2801,2082,3199,4648,-2358,-9590,5975,1937,-3380,-1707,2061,-1512,-1875,1773,345,-3176,17384,8096,4927,-9543,-258,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,73,3,18,174,8,2,-131,9,9,43,21,37,22,42,77,119,40,40,71,170,237,357,446,664,695,434,324,736,1545,447,1034,682,1014,832,2654,209,1041,1872,1107,2907,3387,1625,606,502,2139,2006,1760,405,1102,509,4591,630,5929,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,19,25,550,336,0,99,122,16,131,0,19,735,4221,257,25,27,4,1,19,61,41,0,8,98,17,,,72,0,50,3,10,445,,339,12,5,,259,71,521,853,363,34,62,444,83,38,64,72,57,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,-3,429,325,-12,-173,79,483,392,1054,666,748,922,872,766,1066,1198,1331,1412,2135,2345,2670,2941,3661,3787,3916,4373,5408,5048,2840,4153,3318,5471,4982,5775,4983,7443,623,6139,9427,7970,8605,9746,12734,8635,4625,316,5468,7156,11093,13859,11739,12846,11197,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.098,2.4135,434.9894,334.2923,-5.0236,,77.2554,485.0277,,,,751.2398,,,,,,,,,,,,,,,,,,,,,5471,4982,5775,4983,7443,623,6139,9427,7970,8605,9746,12734,8635,4625,316,5468,7198.9718,11190.2138,13973.8386,11852.4169,12956.7568,11311.0951,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,-931,-9,1979,283,963,-925,648,838,806,717,1022,1151,1294,1389,2123,2033,2670,2941,3661,3787,3916,4373,5408,5048,2840,4153,3318,5346,4840,5631,4842,7343,514,5950,9222,7819,8511,9547,12562,8402,4450,10094,5288,6892,19328,13639,11505,12531,10898,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1548,-0.0023,0.326,0.2453,-0.0089,-0.0921,0.0326,0.204,0.1643,0.4379,0.2741,0.3043,0.3623,0.3406,0.2961,0.3861,0.4303,0.476,0.5028,0.7558,0.8248,0.9349,1.0244,1.2703,1.3099,1.3503,1.5059,1.8603,1.7371,0.981,1.4395,1.1553,1.9156,1.745,2.0235,1.7466,2.6107,0.2186,2.154,3.3077,2.7994,3.0363,3.4634,4.6054,3.1688,1.7104,0.1178,2.0728,2.7661,4.3197,5.38,4.5748,5.0475,4.4187,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1185,122.4084,196.2593,82.8272,29.6616,46.4996,46.2904,43.6979,52.5174,60.6455,56.3284,56.5779,53.9898,50.0754,48.3428,44.5795,37.8623,36.2361,28.3767,31.2921,30.4705,31.4306,29.2809,24.7597,31.938,27.3282,24.6739,30.3546,30.8532,26.0374,27.622,20.5274,34.4081,38.916,32.9465,34.7332,30.7775,26.921,24.1898,15.578,12.4536,14.1297,17.0216,31.7886,30.9364,20.6491,20.7714,25.1308,25.9625,29.4751
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2549,0.8113,3.7667,2.4878,3.219,,,10.6406,3.3134,3.994,2.2512,2.3673,2.011,1.7018,1.5561,2.2744,3.3399,2.6294,2.4602,1.818,2.0075,1.6103,1.5405,1.3844,1.6535,1.3779,1.3027,1.7979,1.5761,1.2336,1.4592,1.1165,3.832,3.2932,1.528,1.236,2.2442,0.7489,1.2526,1.2514,1.289,1.2744,1.5326,1.7602,1.8856,1.824,2.205,3.1193,2.4519,2.2225,1.7614,1.3843,1.556,1.4385,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,431,467,731,731,895,954,1131,1058,1184,1262,1585,1458,1813,2016,2585,2502,2910,3203,3851,3543,4042,4501,5841,5382,6436,7011,8809,8032,9321,10328,12972,11966,13231,13727,16914,15077,16886,17652,21082,17737,18687,21470,28072,26171,29077,29010,33671,27908,28822,27714,32165,28645,31999,34146,40111,36455,39071,
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637,895,954,943,872,992,1086,1329,1245,1599,1798,2344,2265,2676,2957,3594,3317,3827,4299,5637,5201,6239,6816,8629,7857,9164,10142,12779,11795,13038,13539,16640,14912,16624,17383,20736,17440,18321,21221,27187,25439,28580,28276,32639,26998,28152,27237,31254,28101,31498,33643,38706,35635,38329,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,210,236,247,277,367,322,398,413,465,507,491,462,473,565,653,654,668,720,824,838,917,987,1047,1159,1237,1448,1611,1927,2214,2418,2796,2816,3307,3155,3492,3459,3829,4194,5210,5131,5399,5771,6348,6005,5192,5716,8336,6108,5945,6210,7695,6640,7308,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,210,236,247,277,367,322,398,413,465,507,491,462,473,565,653,654,668,720,824,838,917,987,1047,1159,1237,1448,1611,1927,2214,2418,2796,2816,3307,3155,3492,3459,3829,4194,5210,5131,5399,5771,6348,6005,5192,5716,8336,6108,5945,6210,7695,6640,7308,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,685,718,884,781,817,940,1187,1045,1348,1509,2094,2040,2437,2638,3198,2889,3374,3781,5017,4544,5519,6024,7762,6873,8084,8880,11361,10039,11017,11309,14118,12261,13579,14497,17590,14278,14858,17276,22862,21040,23678,23239,27323,21903,23630,21998,23829,22537,26054,27936,32416,29815,31763,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,278,304,336,400,1560,563,664,672,786,773,961,965,1047,1241,2065,1956,2101,2322,2457,2534,2785,2907,3196,3546,3683,3758,4009,4590,5154,5528,6298,8944,8953,7312,8732,8385,8895,9236,10087,9662,11311,12816,14738,13379,15272,16334,17430,15310,16662,14188,16032,15997,16916,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,179,196,212,247,855,319,367,379,442,404,553,510,555,633,954,894,931,1051,1143,1191,1314,1365,1633,1712,1764,1706,2060,2352,2631,2871,3443,6084,5638,3764,4855,4370,4433,4473,4879,4465,5215,6500,7692,5672,6582,7164,7659,5929,7318,4947,5515,6019,6379,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,96,114,120,143,392,168,193,203,269,233,292,323,358,374,624,620,626,706,772,826,901,926,1118,1057,1124,1170,1374,1595,1855,1928,2467,2020,2414,2416,3026,2787,2840,2683,3280,2843,3259,3554,4387,3312,3595,3780,4574,3044,3154,2877,3226,2564,2721,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,83,82,92,104,463,151,174,176,173,171,261,187,197,259,330,274,305,345,371,365,413,439,515,655,640,536,686,757,776,943,976,4064,3224,1348,1829,1583,1593,1790,1599,1622,1956,2946,3305,2360,2987,3384,3085,2885,4164,2070,2289,3455,3658,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,99,108,124,153,705,244,297,293,344,369,408,455,492,608,1111,1062,1170,1271,1314,1343,1471,1542,1563,1834,1919,2052,1949,2238,2523,2657,2855,2860,3315,3548,3877,4015,4462,4763,5208,5197,6096,6316,7046,7707,8690,9170,8283,8577,9049,9083,9779,9819,10510,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
