TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
Gross Profit,GROSS_PROFIT,1628167,1391856,1264487,1210828,1244179,1703699,2318056,2541339,2916857,2967143,3017003,3587520,3898150,3424246,3681400,4091965,4719698,4768887,2073770,2267176,2378362,2195089,3423197,4890772,5392845,5797653,4862857,5490357,5443896,5381196,4832373,5971673,6313016,9368318,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
  - Operating Expenses,IS_OPERATING_EXPN,1128308,1173345,1082590,1074602,988460,1355630,1652946,1761539,2141910,2191161,2146873,2464045,2534470,1757356,2009213,2213623,2481015,2498512,2534781,2119660,1910083,1839462,2102309,2598660,2642281,2943682,2868485,3090495,2976351,2981964,2634625,2975976,3587991,4015384,,,,,,,,,,,,,,,,,,,,,,,,
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,2169047,2124695,2404651,2410453,,,,2481015,2498512,1630706,1394315,1179743,1059656,1294855,1688143,1637734,1888010,1830957,2026226,1927469,1871596,1544201,1851715,2346304,2813010,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,389242,304375,308903,304713,330870,419409,435150,489036,448780,509653,490093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,1241464,1089940,870840,754943,963985,1268734,1202584,1398974,1382177,1516573,1437376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,904075,725345,730340,779806,807454,910517,1004547,1055672,1037528,1064269,1048882,1110369,1090424,1124262,1241686,1202373,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,499859,218511,181897,136226,255719,348069,665110,779800,774947,775982,870131,1123475,1363680,1666890,1672187,1878342,2238683,2270375,-461011,147516,468279,355627,1320888,2292112,2750564,2853971,1994372,2399862,2467545,2399232,2197748,2995697,2725025,5352934,,,,,,,,,,,,,,,,,,,,,,,,
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,99370,-143952,-95011,-77246,-82761,-148968,-142264,-129410,-199453,-220567,182080,-393710,-734606,-994835,-943708,-1612151,,,,,,,,,,,,,,,,,,,,,,,,
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,-11392,-18811,-14969,-13732,,,,,,,,,,,,,,,,,-77716,-63179,-64980,-181317,-383803,,,,,,,,,,,,,,,,,,,,,,,,
    + Interest Expense,IS_INT_EXPENSE,51154,49348,53389,46355,39310,44253,45487,36288,44733,46948,40357,31989,29546,20706,18956,21601,49326,46113,46882,33409,29318,22922,22967,19630,22871,35403,29353,27586,28078,44114,42421,36532,52785,70885,,,,,,,,,,,,,,,,,,,,,,,,
    - Interest Income,IS_INT_INC,,,,,,,,,,58340,59168,46958,43278,,,,,,,,,,,,,,,,,121830,105600,101512,234102,454688,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,-138467,-78224,-90771,-99865,-98673,-115410,-147122,-157862,-158983,-179541,-225495,-110243,-88837,-94833,-109308,-127178,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,-24314,,-18341,,-15104,,-20117,-24886,-37854,,-17365,,-4682,,-28076,,-36553,-15046,,-81966,,-120295,,-139471,,-164366,-209515,-270114,,,,,,-231519,,-318376,,-308545,,-329099,,-362060,-470083,-360066,,-310247,,-351029,,-560346,,-643063,-763137,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,189140,-30886,-19253,36802,230015,315448,378672,316575,325838,424135,751963,9877,-216419,-58489,114496,-150465,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), Adjusted",PRETAX_INC,735261,452022,340638,251740,294951,445746,745917,810056,771887,750500,864128,1113528,1649318,1886088,1894108,2251726,2592031,2707336,-560381,291468,563290,432873,1403649,2441080,2892828,2983381,2193825,2620429,2285465,2792942,2932354,3990532,3668733,6965085,,,,,,,,,,,,,,,,,,,,,,,,
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,-20269,-43253,18635,42632,,,,,,289602,49423,44129,87359,34325,117927,34203,42601,37746,36135,375374,14807,70,7705,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,68682,46937,36214,33528,32221,28657,31625,33329,30673,35289,35902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,47190,,,,,,14807,70,7705,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pretax Income (Loss), GAAP",PRETAX_INC,735261,452022,340638,251740,294951,445746,745917,810056,771887,750500,864128,1113528,1649318,1886088,1894108,2251726,2592031,2707336,-560381,291468,563290,432873,1403649,2441080,2892828,2983381,2193825,2620429,2285465,2792942,2932354,3990532,3668733,6965085,,,,,,,,,,,,,,,,,,,,,,,,
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,301000,212542,161437,123833,158788,183531,354113,354461,412624,326891,378038,480158,650794,681304,657910,795153,898312,911495,-56442,92664,312821,262272,551686,767808,893469,878269,628900,504406,659944,681817,649975,1115918,1175765,1893664,,,,,,,,,,,,,,,,,,,,,,,,
Income (Loss) from Cont Ops,IS_INC_BEF_XO_ITEM,434261,239480,179201,127907,136163,262215,391804,455595,359263,423609,486090,633370,998524,1204784,1236198,1456573,1693719,1795841,-461215,244212,465485,368302,1083482,1991648,2307904,2434211,1926985,2586106,1985587,2111125,2282379,2874614,2492968,5071421,,,,,,,,,,,,,,,,,,,,,,,,
  - Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Discontinued Operations,IS_DISCONTINUED_OPERATIONS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + XO & Accounting Changes,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,434261,,239480,,179201,,127907,,136163,262215,391804,,455595,,359263,,423609,,486090,633370,,998524,,1204784,,1236198,,1456573,1693719,1795841,,-461215,,244212,,465485,,368302,1083482,,1991648,,2307904,,2434211,,1926985,2586106,1985587,,2111125,,2282379,,2874614,,2492968,5071421
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,2811,1640,2737,2100,4210,5239,5893,1243,3081,16812,14795,17541,53852,42686,64938,84393,49687,77962,-24278,34756,57302,84743,121319,168529,134566,121517,95876,92123,102714,74985,37118,24504,41650,126488,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income, GAAP",NET_INCOME,431450,237840,176464,125807,131953,256976,385911,454352,356182,406798,471295,615824,944672,1162098,1171260,1372180,1644032,1717879,-436937,209456,408183,283559,962163,1823119,2173338,2312694,1831109,2493983,1882873,2036140,2245261,2850110,2451318,4944933,,,,,,,,,,,,,,,,,,,,,,,,
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2449,4946,7442,9938,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3638,4849,4849,4850,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,431450,237840,176464,125807,131953,256976,385911,454352,356182,406798,471295,615824,944672,1162098,1171260,1372180,1644032,1717879,-436937,209456,408183,283559,962163,1823119,2173338,2306607,1821314,2481692,1868085,2036140,2245261,2850110,2451318,4944933,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,431450,237840,176464,125807,131953,256976,385911,454352,356182,406798,471295,615824,944672,1162098,1171260,1372180,1644032,1717879,-436937,209456,408183,283559,962163,1823119,2173338,2306607,1821314,2481692,1868085,2036140,2245261,2850110,2451318,4944933,,,,,,,,,,,,,,,,,,,,,,,,
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,173181.996,29554.954,26389.142,52240.682,21418.8,73586.448,22163.544,28585.271,26006.994,24897.015,259383.434,10231.637,48.37,5324.155,0,0,,,,,,,,,,,,,,,,,,,,,,,,
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS, GAAP",IS_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS, GAAP",IS_DILUTED_EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,JP GAAP,,JP GAAP,,JP GAAP,,JP GAAP,,JP GAAP,JP GAAP,JP GAAP,,JP GAAP,,JP GAAP,,JP GAAP,,JP GAAP,JP GAAP,,JP GAAP,,US GAAP,,US GAAP,,US GAAP,US GAAP,US GAAP,,US GAAP,,US GAAP,,US GAAP,,US GAAP,US GAAP,,US GAAP,,US GAAP,,US GAAP,,US GAAP,US GAAP,US GAAP,,IAS/IFRS,,IAS/IFRS,,IAS/IFRS,,IAS/IFRS,IAS/IFRS
EBITDA,EBITDA,,,,,,,1274419,1426180,1481017,1530916,1619883,1927082,2215314,2636794,2669900,3089520,3621277,3761510,1034159,1562085,1643852,1423457,2425997,3542965,4159639,4479808,3605322,4133895,4259920,3994579,3842038,4817577,4764929,7440000,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA Margin (T12M),EBITDA_MARGIN,,,,,,,10.4087,12.2121,11.6167,11.8864,12.0667,12.7568,13.7989,15.2462,14.3918,14.6862,15.1214,14.3082,5.0374,8.2428,8.6547,7.6597,10.9952,13.7902,15.2734,15.7722,13.0641,14.0707,14.0937,13.3748,14.1176,15.3526,12.8247,16.4984,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,EBIT,499859,218511,181897,136226,255719,348069,665110,779800,774947,775982,870131,1123475,1363680,1666890,1672187,1878342,2238683,2270375,-461011,147516,468279,355627,1320888,2292112,2750564,2853971,1994372,2399862,2467545,2399232,2197748,2995697,2725025,5352934,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,16.521,13.6948,12.3839,12.9324,15.3206,15.8946,18.9324,21.761,22.8791,23.0376,22.474,23.7485,24.281,19.7993,19.8442,19.4514,19.708,18.1401,10.1014,11.9634,12.5219,11.8119,15.5147,19.0362,19.8015,20.412,17.6208,18.6877,18.0108,18.0175,17.7566,19.0305,16.9913,20.7745,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,5.0721,2.15,1.7814,1.455,3.1489,3.2473,5.4322,6.6773,6.0785,6.0249,6.4817,7.4371,8.4942,9.6381,9.0137,8.9288,9.3481,8.6361,-2.2456,0.7784,2.4654,1.9137,5.9866,8.9215,10.0995,10.0481,7.2267,8.1685,8.1637,8.0332,8.0756,9.5467,7.3343,11.8703,,,,,,,,,,,,,,,,,,,,,,,,
Profit Margin,PROF_MARGIN,4.3779,2.3402,1.7282,1.3437,1.6248,2.3974,3.1519,3.8905,2.7938,3.1585,3.5107,4.0766,5.8842,6.7194,6.3136,6.5227,6.865,6.5345,-2.1283,1.1053,2.149,1.5259,4.3607,7.0961,7.9801,8.1424,6.6351,8.4889,6.2294,6.8175,8.2502,9.0827,6.5977,10.9655,,,,,,,,,,,,,,,,,,,,,,,,
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,,,,,,,61124868.895,62251553.4575,61232985.5453,60789599.2366,65408872.5842,69807400.1046,,79988546.8647,83161953.8088,63993323.1091,59112801.3974,59781968.8023,57021687.3015,66159893.0129,75815303.578,79145041.2515,81412985.0922,75723889.7502,79592521.7542,81499396.0148,82525474.7767,74299361.4227,84168659.1545,99016077.9245,118424774.0899,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,9.7903,5.1166,3.7223,2.6231,2.6791,4.9716,7.0205,7.7676,5.8401,6.2716,6.7757,8.5296,12.7785,14.8617,13.6007,13.998,14.6811,14.4934,-3.9847,2.0514,3.9453,2.7157,8.4778,13.6988,13.9061,13.7564,10.6318,13.6918,9.8103,10.2165,10.2502,11.5055,8.9817,15.8087,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,RETURN_ON_ASSET,4.9537,2.5614,1.8578,1.3193,1.316,2.3643,3.2096,3.4214,2.4901,2.6058,2.7733,3.2924,4.65,5.4326,5.0512,5.1715,5.3633,5.2831,-1.4205,0.7051,1.3568,0.9379,2.9097,4.7403,4.8747,4.8608,3.8078,5.0354,3.6831,3.8451,3.8632,4.3863,3.4528,6.0151,,,,,,,,,,,,,,,,,,,,,,,,
Return on Capital,RETURN_ON_CAP,,,2.9642,2.1559,2.1185,3.628,4.8166,5.0094,3.669,4.0632,4.3458,5.1183,7.0676,7.4291,6.7022,6.7949,6.818,7.0558,-1.8066,1.1444,2.0465,1.6267,4.3917,6.8608,6.8172,6.7369,5.2485,6.7643,5.0145,5.1495,5.0109,5.6061,4.5039,7.8547,,,,,,,,,,,,,,,,,,,,,,,,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,1.3684,0.9852,1.6207,2.5771,4.048,4.6155,3.4817,4.2072,7.8503,5.8364,6.901,7.9824,6.043,5.2981,5.4441,5.4803,-1.6052,0.7384,1.7559,1.4948,3.9994,6.0798,6.0125,5.9611,4.5213,5.9449,5.0706,4.2498,3.6152,4.0494,3.2087,5.7626,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,16.521,13.6948,12.3839,12.9324,15.3206,15.8946,18.9324,21.761,22.8791,23.0376,22.474,23.7485,24.281,19.7993,19.8442,19.4514,19.708,18.1401,10.1014,11.9634,12.5219,11.8119,15.5147,19.0362,19.8015,20.412,17.6208,18.6877,18.0108,18.0175,17.7566,19.0305,16.9913,20.7745,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,OPER_MARGIN,5.0721,2.15,1.7814,1.455,3.1489,3.2473,5.4322,6.6773,6.0785,6.0249,6.4817,7.4371,8.4942,9.6381,9.0137,8.9288,9.3481,8.6361,-2.2456,0.7784,2.4654,1.9137,5.9866,8.9215,10.0995,10.0481,7.2267,8.1685,8.1637,8.0332,8.0756,9.5467,7.3343,11.8703,,,,,,,,,,,,,,,,,,,,,,,,
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,-5.3856,,,3.555,20.7883,,,,0.7928,,17.2794,15.0632,,25.3383,,24.4432,,0.4215,,8.2947,12.3778,1.3537,,-47.4226,,,750.9376,,-27.4738,27.7331,,26.7723,,29.7192,,8.8488,,-106.6599,22.7507,7.9987,,-19.0216,,-7.5976,,19.1588,,,33.0928,,,,,,
Pretax Margin,PRETAX_INC_TO_NET_SALES,7.4607,4.4476,3.3361,2.6887,3.632,4.1586,6.0922,6.9364,6.0545,5.8271,6.437,7.3713,10.2734,10.9055,10.21,10.7037,10.8235,10.2983,-2.7296,1.538,2.9657,2.3293,6.3617,9.5014,10.6219,10.5037,7.9494,8.9192,7.5613,9.3514,10.7749,12.717,9.8743,15.4452,,,,,,,,,,,,,,,,,,,,,,,,
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,4.4064,2.3563,1.755,1.3661,1.6767,2.4463,3.2,3.9012,2.818,3.289,3.6209,4.1928,6.2197,6.9662,6.6636,6.9239,7.0725,6.8311,-2.2466,1.2887,2.4507,1.9819,4.9106,7.752,8.4742,8.5702,6.9825,8.8024,6.5692,7.0685,8.3866,9.1608,6.7098,11.246,,,,,,,,,,,,,,,,,,,,,,,,
Net Income Margin,PROF_MARGIN,4.3779,2.3402,1.7282,1.3437,1.6248,2.3974,3.1519,3.8905,2.7938,3.1585,3.5107,4.0766,5.8842,6.7194,6.3136,6.5227,6.865,6.5345,-2.1283,1.1053,2.149,1.5259,4.3607,7.0961,7.9801,8.1424,6.6351,8.4889,6.2294,6.8175,8.2502,9.0827,6.5977,10.9655,,,,,,,,,,,,,,,,,,,,,,,,
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,4.3779,,2.3402,,1.7282,,1.3437,,1.6248,2.3974,3.1519,,3.8905,,2.7938,,3.1585,,3.5107,4.0766,,5.8842,,6.7194,,6.3136,,6.5227,6.865,6.5345,,-2.1283,,1.1053,,2.149,,1.5259,4.3607,,7.0961,,7.9801,,8.121,,6.5996,8.447,6.1805,,6.8175,,8.2502,,9.0827,,6.5977,10.9655
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,40.9378,47.0203,47.3925,49.1908,53.8354,41.1739,47.4735,43.7576,53.4565,43.5564,43.7479,43.1204,39.4584,36.1226,34.7346,35.313,34.6567,33.6676,,31.7922,55.5346,60.5887,39.3037,31.4536,30.8857,29.4387,28.6668,19.249,28.8757,24.4121,22.1656,27.9641,32.0483,27.188,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.17,4.08,4.08,4.19,5.43,5.5,5.95,,,,,,,,,,,,,,,,,,,,,,,,,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,4.05,4,4.01,4,5.08,5.26,5.79,,,,,,,,,,,,,,,,,,,,,,,,,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.84,3.43,3.14,2.94,3.13,5.69,5.73,6.56,,,,,,,,,,,,,,,,,,,,,,,,,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,5.18,5.26,5.48,5.72,5.77,5.69,5.64,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,19.9678,26.3354,26.3354,34.9462,36.435,37.964,38.9699,40.67,40.67,46.1523,51.2524,55.598,56.5436,59.7727,64.8526,66.11,66.9047,67.9006,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,28.4808,28.4808,28.4808,37.6019,41.045,40.743,41.2564,41.7699,41.7699,49.1392,54.0018,65.2371,68.0761,77.7711,83.4491,82.0296,83.7813,84.1136,,,,,,,,,,,,,,,,,,,,,,,,,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,7.8597,12.0314,12.0314,12.8174,13.8452,13.8452,13.8452,18.4401,18.4401,21.0399,25.2116,27.0254,27.0254,27.0254,36.6082,41.8077,42.4426,30.8646,,,,,,,,,,,,,,,,,,,,,,,,,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,23.54,38.4407,38.4407,54.3347,54.3347,59.2113,61.7098,61.7098,61.7098,68.1818,74.4431,74.4431,74.4431,74.4431,74.4431,74.4431,74.4431,88.6213,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,453.465,361.22,358.634,316.391,337.081,330.184,,,,,,,,0.262,0.241,0.184,0.167,1.508,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,23,19.8,25.6,22.7,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
