MLM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.668,,0,,26.501,,24.917,,27.883,15.318,10.836,10.713,10.355,9.493,8.812,8.801,8.457,7.438,7.609,7.594,7.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,115.594,125.121,115.859,114.236,75.01,79.198,78.375,82.793,80.973,81.6,84.918,88.932,92.214,204.933,202.592,192.281,195.311,216.384,228.366,441.673,440.369,461.802,494.061,492.216,495.711,503.483,499.483,502.366,524.105,663.651,652.789,646.159,646.088,674.112,681.656,664.805,668.323,661.672,672.476,648.474,663.962,655.028,663.347,639.883,,633.578,,637.041,629.255,627.413,634.328,608.221,615.243,620.192,616.573,615.785,626.606,668.449,663.931,669.332,677.477,692.346,689.576,689.518,695.146,693.509,690.461,690.702,691.924,705.573,704.501,715.681,711.245,712.424,707.156,707.284,706.955,707.248,708.818,705.219,703.507,703.968,2748.109,2772.806,2766.384,2680.752,2719.095,2719.976,2796.991,2789.171,2802.063,2791.125,2802.904,2766.303,2767.219,2768.538,2763.626,3026.173,3029.968,3028.374,3033.381,3010.494,3028.087,3017,3007.1,3011,3132.9,3217.2,3207.3,3623.5,3757.2,5602.7,5634.4,5215.9,5331.3,5416.5,5415.8,5356.7,5372.8,4648.5,4740,5116,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.15,209.849,375.978,347.347,345.308,374.113,406.824,373.509,378.97,375.399,409.456,394.178,590.417,579.394,606.968,610.735,614.534,627.055,609.421,610.9,608.147,607.422,602.728,603.948,598.91,596.779,588.262,,589.663,,588.007,587.959,587.182,582.96,581.486,586.5,584.974,584.517,584.093,590.548,629.221,627.973,636.187,637.255,642.391,637.111,636.693,643.087,642.508,641.787,644.075,643.693,657.381,657.25,670.804,669.953,671.087,667.316,666.637,665.898,664.971,665.669,665.212,664.364,663.517,2642.542,2664.004,2663.425,2580.826,2577.055,2578.787,2654.71,2643.459,2675.655,2670.649,2667.127,2663.299,2664.646,2666.639,2659.066,2916.191,2908.41,2900.4,2895.678,2888.144,2888.578,2883.6,2880.4,2878.5,2918.8,2922,2918.4,3324.6,3397.8,4559.4,4442.7,4444.1,4496.1,4497.3,4490.3,4483.3,4476.3,4087.2,4181,4555,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.347,345.308,374.113,,373.509,378.97,375.399,374.994,394.178,590.417,579.394,571.186,576.407,581.615,593.706,577.449,580.081,579.094,577.491,577.586,580.252,578.431,577.076,567.495,,569.294,,569.263,570.336,570.336,570.336,570.538,575.67,574.667,574.667,574.667,578.447,614.4,613.634,622.297,623.81,629.087,624.224,624.224,624.224,624.224,624.224,626.527,626.527,638.759,639.039,616.671,616.729,618.874,615.986,616.204,616.35,616.303,616.634,616.621,616.621,616.621,2043.32,2068.799,2071.471,2065.882,2065.644,2068.235,2135.295,2136.783,2160.605,2159.337,2159.398,2160.06,2160.06,2160.29,2160.29,2401.505,2399.434,2399.118,2397.483,2394.32,2396.955,2396.8,2397.1,2397.5,2414.5,2414,2414,2599.6,2610.6,3494.4,3392,3400.5,3640.4,3649.5,3649.5,3649.5,3649.5,3389.5,3479,3842,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,34.462,0,0,0,35.782,34.328,32.919,33.349,31.972,30.819,29.053,29.931,25.142,23.696,20.479,19.703,20.767,,20.369,,18.744,17.623,16.846,12.624,10.948,10.83,10.307,9.85,9.426,12.101,14.821,14.339,13.89,13.445,13.304,12.887,12.469,18.863,18.284,17.563,17.548,17.166,18.622,18.211,54.133,53.224,52.213,51.33,50.433,49.548,48.668,49.035,48.591,47.743,46.896,599.222,595.205,591.954,514.944,511.411,510.552,519.415,506.676,515.05,511.312,507.729,503.239,504.586,506.349,498.776,514.686,508.976,501.282,498.195,493.824,491.623,486.8,483.3,481,504.3,508,504.4,725,787.2,1065,1050.7,1043.6,855.7,847.8,840.8,833.8,826.8,697.7,702,713,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,115.594,125.121,115.859,114.236,75.01,79.198,78.375,82.793,80.973,81.6,84.918,88.932,92.214,204.933,202.592,192.281,195.311,46.234,18.517,65.695,93.022,116.494,119.948,85.392,122.202,124.513,124.084,92.91,129.927,73.234,73.395,39.191,35.353,59.578,54.601,55.384,57.423,53.525,65.054,45.746,60.014,56.118,66.568,51.621,,43.915,,49.034,41.296,40.231,51.368,26.735,28.743,35.218,32.056,31.692,36.058,39.228,35.958,33.145,40.222,49.955,52.465,52.825,52.059,51.001,48.674,46.627,48.231,48.192,47.251,44.877,41.292,41.337,39.84,40.647,41.057,42.277,43.149,40.007,39.143,40.451,105.567,108.802,102.959,99.926,142.04,141.189,142.281,145.712,126.408,120.476,135.777,103.004,102.573,101.899,104.56,109.982,121.558,127.974,137.703,122.35,139.509,133.4,126.7,132.5,214.1,295.2,288.9,298.9,359.4,1043.3,1191.7,771.8,835.2,919.2,925.5,873.4,896.5,561.3,559,561,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,394.144,407.913,400.626,405.858,441.774,452.458,457.584,475.016,467.038,475.308,481.459,497.752,505.259,794.231,805.915,783.701,814.922,828.154,862.607,1219.201,1221.197,1241.675,1303.725,1339.209,1354.564,1380.857,1390.777,1416.438,1469.757,1693.333,1719.188,1728.348,1721.031,1727.826,1744.194,1732.381,1735.615,1720.209,1718.81,1708.574,1702.648,1696.085,1708.237,1731.599,,1782.002,,1831.275,1850.078,1894.249,1924.407,1914.067,1939.319,1976.444,2031.09,2057.795,2139.228,2380.735,2389.971,2367.471,2361.16,2405.07,2387.715,2382.423,2390.191,2387.926,2383.667,2378.532,2368.245,2403.351,2391.142,2489.972,2480.173,2466.202,2458.097,2460.525,2439.042,2424.634,2491.436,2504.46,2497.043,2479.342,6126.06,6175.576,6131.49,5730.275,5792.629,5875.976,6059.972,6111.376,6181.676,6214.52,6270.549,6271.563,6288.796,6361.351,6346.12,8139.599,8133.363,8185.603,8678.296,8630.536,8645.087,8704.9,8670.4,8639.5,8782.6,8912.5,8983.6,9606.8,9785.5,12367.4,12254,11782.5,11882.4,12116.7,12078.2,12053.9,12100.4,11206,11722,14104,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,552.877,588.455,604.593,593.891,670.629,703.901,736.793,789.371,706.759,746.368,750.6,768.918,762.741,1121.176,1145.797,1105.713,1121.719,1200.217,1236.3879,1588.589,1596.804,1668.962,1733.474,1742.574,1766.405,1838.118,1854.288,1841.439,2157.119,2234.584,2258.41,2224.58,2236.343,2301.541,2321.994,2273.028,2268.875,2306.973,2331.182,2319.2251,2265.718,2312.96,2388.217,2355.852,,2406.267,,2433.316,2434.959,2502.016,2532.696,2506.421,2560.527,2667.727,2721.95,2683.805,2760.108,3071.582,3063.632,3032.502,3253.099,3207.193,3232.681,3239.283,3244.902,3096.392,3115.783,3074.743,3208.606,3148.919,3158.558,3147.822,3182.117,3226.533,3243.204,3160.926,3154.775,3231.119,3337.105,3259.826,3255.257,3356.043,7338.858,7219.754,7177.319,7260.397,7308.434,6957.611,7058.287,7233.305,7373.201,7300.905,7393.791,7515.86,7566.785,8992.511,8948.05,9596.752,9588.171,9551.419,10048.407,10163.657,10223.485,10131.6,10503.4,10226.6,10435.4,10580.8,10659.3,11223.1,13786.2,14393,14241.5,14542.8,14729.7,14993.6,14890.9,15246.2,14917.8,15124.9,16240,16333,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,0.077,18.511,22.104,13.012,8.229,19.957,23.425,15.94,4.337,26.807,27.49,19.994,8.907,30.369,36.274,22.979,2.636,36.356,45.907,30.714,7.94,41.273,43.951,32.617,7.33,42.122,42.051,20.524,-4.652,39.002,45.917,25.095,-22.059,53.362,38.925,16.077,-20.892,39.65,45.52,29.345,-6.545,44.715,54.003,37,,68.549,,47.8,31.006,75.79,76.16,62.466,32.99,82.952,90.266,56.541,20.864,63.804,66.33,25.3,-5.764,38.862,55.514,-3.2,-24.18,54.4,51.989,14.803,-17.414,35.799,49.156,14.838,-36.732,36.75,62.922,21.534,-27.839,41.307,71.836,36.033,-21.618,59.522,53.742,63.954,6.126,81.939,117.542,83.185,44.994,122.053,159.479,98.86,42.334,142.279,151.546,377.183,10.023,185.377,180.221,94.378,42.9,189.5,248.6,131,25.9,217.6,294.4,183,65.3,225.8,254.6,156.8,21.4,366.5,295.3,183.6,121.4,348.3,416.7,282.5,1045,294,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,-10.276,25.043,35.304,29.4,17.258,20.319,47.961,43.053,6.264,20.535,45.055,63.091,17.352,38.928,65.21,74.128,12.886,36.885,80.264,92.538,29.22,26.869,89.135,78.452,26.741,45.531,83.143,57.465,-3.406,47.67,114.796,93.883,19.41,28.245,84.673,71.232,19.609,41.407,110.391,105.762,-16.585,68.481,97.317,117.628,,108.65,,109.756,32.501,81.378,95.843,128.47,49.052,90.954,132.767,122.795,76.71,49.826,147.907,71.191,64.754,51.904,117.94,83.77,27.121,59.154,116.336,67.197,21.326,35.35,123.194,79.224,-4.319,31.988,94.375,100.645,18.575,29.897,117.173,143.306,6.612,63.751,131.265,180.03,35.125,91.944,192.51,261.021,68.312,137.584,210.807,272.53,73.865,155.458,188.799,239.476,105.012,133.021,203.505,263.562,117.9,215.8,316.1,316.3,106.7,266.5,310.8,366.1,191.9,249.3,339.1,357.4,169.9,116.3,274.5,430.5,160.5,358,454,555.9,172,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,-11.264,-22.168,-18.386,-27.685,-14.849,-18.225,-27.238,-26.128,-16.74,-29.415,-31.318,-46.453,-29.002,-30.842,-42.85,-35.126,-34.002,-39.305,-44.58,-52.918,-51.165,-50.968,-47.52,-44.733,-28.106,-39.747,-41.42,-43.407,-28.009,-28.641,-25.784,-38.204,-29.778,-40.559,-38.413,-54.695,,-80.362,,-65.291,-74.361,-83.338,-54.888,-53.389,-49.864,-65.12,-81.955,-67.984,-85.413,-73.995,-64.369,-34.469,-40.316,-34.434,-25.743,-38.737,-25.021,-43.533,-41.47,-25.892,-30.674,-28.054,-34.79,-61.845,-37.518,-28.733,-39.69,-45.082,-21.88,-28.122,-52.34,-52.891,-36.913,-47.824,-53.833,-93.613,-56.085,-69.933,-86.429,-105.785,-94.228,-116.331,-74.922,-101.786,-102.095,-113.994,-92.656,-101.58,-96.259,-92.011,-73.885,-113.845,-130.1,-77.3,-75.6,-110.5,-104.1,-71.6,-75.1,-108.9,-110.3,-102.7,-108.3,-101.8,-139.8,-80.9,-88.4,-172.7,-151.6,-141.8,-170.7,-186.2,1907,0,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,20.922,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3,0,0,0,2107,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,-11.264,-22.168,-18.386,-27.685,-14.849,-18.225,-27.238,-26.128,-16.74,-29.415,-31.318,-46.453,-29.002,-30.842,-42.85,-35.126,-34.002,-39.305,-44.58,-52.918,-51.165,-50.968,-47.52,-44.733,-28.106,-39.747,-41.42,-43.407,-28.009,-28.641,-25.784,-38.204,-29.778,-40.559,-38.413,-54.695,,-101.284,,-65.291,-74.361,-83.338,-54.888,-53.389,-49.864,-65.12,-81.955,-67.984,-85.413,-73.995,-64.369,-34.469,-40.316,-34.434,-25.743,-38.737,-25.021,-43.533,-41.47,-25.892,-30.674,-28.054,-34.79,-61.845,-37.518,-28.733,-39.69,-45.082,-21.88,-28.122,-52.34,-52.891,-36.913,-47.824,-53.833,-93.613,-56.085,-71.905,-86.429,-105.785,-94.228,-116.331,-74.922,-101.786,-102.095,-113.994,-92.656,-101.58,-96.259,-92.011,-73.885,-113.845,-130.1,-77.3,-75.6,-110.5,-104.1,-71.6,-75.1,-108.9,-110.3,-102.7,-108.3,-101.8,-139.8,-80.9,-88.4,-172.7,-173.9,-141.8,-170.7,-186.2,-200,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.558,-47.304,1.547,0.398,-26.438,2.198,0.657,-14.683,2.133,-46.83,0.945,-39.809,2.13,1.73,3.879,2.074,-1.049,-0.323,-59.852,5.31,1.351,0.686,170.834,8.812,-9.114,-1.599,422.01,-6.39,-116.139,1.059,-54.147,-3.065,0.539,29.35,-3.951,-2.092,2.528,-1590.013,10.247,4.238,3,3,1,1.4,15.9,-0.3,61.6,0,12.2,-633.5,-130.2,-2314.9,1,654.4,34.7,26.8,0,95.5,2.8,328.2,-488,71,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.082,0.721,1.572,0.417,1.588,2.239,0.697,0.509,2.188,3,0.99,1.83,2.184,1.763,3.924,2.102,1.58,0.294,1.334,5.356,1.401,0.753,170.891,8.827,1.475,-1.475,422.045,26.077,6.861,1.059,1.542,-2.986,0.539,31.55,1.049,2.803,2.528,55.685,5.247,5.64,3,3,1,1.4,15.9,2,123.3,1.1,12.2,19.7,9.5,1.4,1,643.4,34.7,8,0,95.5,2.8,328.2,0,2121,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.524,-48.025,-0.025,-0.019,-28.026,-0.041,-0.04,-15.192,-0.055,-49.83,-0.045,-41.639,-0.054,-0.033,-0.045,-0.028,-2.629,-0.617,-61.186,-0.046,-0.05,-0.067,-0.057,-0.015,-10.589,-0.124,-0.035,-32.467,-123,0,-55.689,-0.079,0,-2.2,-5,-4.895,0,-1645.698,5,-1.402,0,0,0,0,0,-2.3,-61.7,-1.1,0,-653.2,-139.7,-2316.3,0,11,0,18.8,0,0,0,0,-488,-2050,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.825,-265.113,0.203,2.156,-35.182,-0.033,-27.35,-319.331,0.914,-11.606,-49.814,-16.235,-12.013,-20.483,2.755,-1.26,-15.02,-156.008,-2.292,-2.479,-0.197,32.983,5.324,11.651,-2.747,0.327,8.817,14.463,6.358,14.181,10.888,8.693,,-14.138,,4.391,22.786,21.888,4.25,3.629,-9.021,4.055,9.797,4.065,-17.797,-195.159,13.871,6.569,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-3.402,0,0,0.529,0.321,0.325,1.808,0,-0.107,0.17,0,0,0,4.246,0.181,0.095,-2.024,2.028,0.099,0.325,0.347,0.029,-0.4,-0.1,-0.2,-0.1,-7.3,-3.4,-7.4,-109.1,9.8,1.4,2.7,1,15.8,-17,-704.2,-13.5,-0.8,1.4,691.5,-9.6,6,-16,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,,,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.976,-283.338,-27.035,-23.972,-51.922,-29.448,-58.668,-365.784,-28.088,-42.448,-92.664,-51.361,-46.015,-59.788,-41.825,-54.178,-66.185,-206.976,-49.812,-47.212,-28.303,-6.764,-36.096,-31.756,-30.756,-28.314,-16.967,-23.741,-23.42,-26.378,-27.525,-46.002,,-94.5,,-60.9,-51.575,-61.45,-50.638,-49.76,-58.885,-61.065,-72.158,-63.919,-103.21,-269.154,-50.498,-27.9,-36.758,-85.738,-24.196,-38.339,-51.459,-41.335,-40.813,-40.575,-28.541,-74.884,-33.845,-101.654,-35.388,-27.003,-35.811,-45.008,-22.929,-28.445,-115.594,-47.581,-35.562,-46.609,117.322,-84.476,-63.391,-71.532,335.474,-112.005,-210.367,-115.272,-129.069,-100.605,-101.375,-84.549,-98.631,-101.644,-93.632,-1681.699,-63.291,-109.578,-127.5,-74.4,-74.8,-109.2,-95.5,-75.3,-20.9,-218,-88.3,-734.8,-235.8,-2415.7,-123,556.5,-757.9,-159.4,-152.4,-44.9,523.6,132.4,1425,-2191,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
