GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23106,,,,23512,,,,28287,28545,36408,37446,39138,41453,43329,,47487,49830,69403,69739,67365,,,,69611,,,,71399,,,79093,81116,83132,84439,83061,81759,80640,83825,84880,65076,64910,63094,64128,64388,67920,70536,73291,72625,72959,72401,73162,73114,72737,73088,78024,77648,79129,79017,77859,53207,69604,62184,61660,65526,66212,67097,69988,70438,70313,72335,87068,83968,85468,82464,60377,33974,53194,52272,26666,26734,26598,24951,25277,25524,25320,25491,25333,26182,26047,25790,25275,25798,13107,13345,13177,13385,13304,8859,8754
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,3929,,,,6837,3170,7310,7191,7042,7195,6887,,7538,7253,11475,11633,11091,,,,12019,,,,12915,,,25940,13787,15937,15932,13103,12623,14758,15227,15010,11751,11545,10946,10231,9971,11292,11798,12433,12068,11921,11738,11709,11980,11818,11596,14226,14310,14788,14798,14357,13182,13533,13668,13618,17799,16890,16650,16779,16438,16515,16929,21435,20272,20663,19728,18840,12178,17053,16653,10766,10654,10381,10168,9909,9670,9395,9460,9187,9330,8290,8026,7725,7625,5990,5954,5790,5694,5547,4394,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705,,131,,,,0,5076,5013,3937,275,,,,6183,,,176,3105,3214,2242,1463,1833,953,1241,1129,8819,11479,10891,10354,12117,11413,11894,9570,9889,10457,10665,11367,14253,14232,14864,14466,10855,10583,10956,11504,11705,10344,10354,10235,10575,10316,7338,7491
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8009,,,,7489,,,,10041,,6281,,3940,,,,,1074,844,373,617,1642,1213,1288,1005,1372,610,478,671,470,450,761,441,358,429,198,174,340,220,317,452,436,467,560,484,522,783,675,691,731,575,808,482,,519,327,437,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27084,,,,27754,,,,44052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,25243,20141,19987,18690,22683,23944,24002,22290,25677,34476,26823,25145,29091,30490,31599,119208,34570,34316,34629,35050,38655,38985,39910,39547,42293,46044,47199,51218,51992,53122,56163,39820,44147,46530,49131,52908,54793,57059,60744,64981,67409,69950,74926,73887,75742,76421,76806,76597,83857,90394,89540,136231,95738,123848,127340,160175,120934,108856,111921,233163,,,,160226,,,,128429,,,127616,150606,148930,149198,143203,134971,122222,123021,125837,116360,144203,140229,141483,103514,116609,118927,126936,65880,117073,113742,113300,105725,86936,83883,82080,79972,78487,82285,85246,50266,204908,85551,81926,45389,69327,60865,56538,34195,37075,37121,35293,38976,37490,38612,34996,26954,35745,38990,37946,23675,23416,22626,21923,21430,22406,16529,22763,24473,25195,25351,24579,22526,21520,21094,21408,20966,22427,18206,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,83733,88239,93533,94646,96561,99759,105913,106436,110987,110126,112507,115825,116972,124105,124181,209620,137471,140877,146481,140908,150399,155039,161475,171015,173136,178760,182574,195145,193320,197060,200633,212711,218369,226962,239560,258628,263895,272103,280579,299350,304422,310748,315159,320158,319718,324738,335245,367418,370662,404174,408881,429544,433508,479480,480533,494611,504871,541144,547052,657421,,,,597023,,,,605129,,,308941,699520,736972,744796,732632,673051,639017,648137,641006,631625,636698,605025,605007,594765,569581,570192,566164,552175,541988,537160,529331,523945,495298,491139,492516,485311,479684,477407,471178,508499,450207,439358,403674,329026,304319,259766,239492,214070,211510,215017,236386,232618,235558,228830,201024,210293,195855,197199,152432,162081,137056,133552,133024,171358,131966,135148,133546,132526,128662,124882,120795,121554,104186,102793,100228,103246,104353,85838,39514
Total Assets,BS_TOT_ASSET,128099,135408,144081,153884,157449,157653,169473,168259,183908,189525,201509,192876,216878,226972,233231,251506,270090,261903,254873,185871,198020,205002,214931,228035,230213,242081,249182,272402,270068,278897,285354,304012,309754,318882,334575,355935,361736,368383,380224,405200,421637,424040,431141,437006,437985,445347,460097,495023,500736,540888,555523,575244,583634,614857,626933,647483,662106,697085,704620,750507,,,,673321,,,,696683,,,761706,795683,833890,846988,829550,797769,760807,778168,787846,781901,777355,749930,758824,747793,727837,739835,737700,718320,707719,694121,698880,684999,670690,660541,661438,656560,652252,651869,650021,654954,617631,610926,581310,493071,462193,401461,387694,365183,351643,355473,378038,369245,358110,342769,311691,311072,315082,312109,263009,265177,262021,256487,254315,256211,245164,237559,237133,198874,191961,185540,180877,187788,164472,163006,156662,163045,163942,123190,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,950,1088,1026,1239,-800,1131,1042,1263,1058,1216,1110,1341,298,1334,1206,1477,1068,1522,1368,768,1372,1726,1610,1865,1517,1908,1788,2067,1677,2162,2014,2350,1891,2450,2284,2671,2155,2820,2653,3089,2592,3378,3180,3585,2573,3897,3281,3933,2503,4426,4087,3102,2999,3794,3649,4560,3240,3924,4051,5631,3965,4647,4677,3422,4440,4946,4866,6441,4571,5382,5559,6696,4304,5072,4312,3722,2829,2689,2494,3013,1945,3109,2055,4535,3433,3764,3224,3730,3034,3105,3491,4011,3527,3133,3191,3206,2999,3545,3537,5152,-13573,-1360,2506,6301,228,2908,2027,3667,-83,1057,1360,-10818,-1147,800,-22769,761,3588,127,-9423,728,6199,-1987,-1144,2636,-2802,-1131,1257,-3843,-1136,-882,161,2222,7506,33,348,1591,1537,1266,
Cash from Operating Activities,CF_CASH_FROM_OPER,1253,2002,2997,2784,323,428,2215,4531,1009,1775,3242,4223,601,3225,2231,4130,-341,3952,3229,6552,2654,3459,3188,5645,2348,3469,5128,6906,2443,5013,2155,4629,3607,3717,4949,7087,4270,6050,5810,8463,1678,3894,5689,11429,4450,11818,7402,8719,5492,5781,10530,8198,3634,8164,11106,6325,8011,9341,9627,9911,8924,6744,13594,8429,5443,6695,9492,8950,4942,13418,9865,15097,6925,11165,10211,19621,-201,5735,8394,10489,7094,9433,9948,9649,7696,7444,9083,9136,6466,7751,5861,11253,4610,7321,5231,11417,4961,5249,6035,11464,6090,6295,761,6745,644,-3479,962,1629,-82,2117,1099,3662,312,-987,-2914,8567,122,70,1933,6701,-233,-1162,1335,3628,-1959,518,2341,2432,-556,550,1423,4499,-259,474,1823,3141,992,913,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,-1617,-2107,-1576,-1147,-1709,-1890,-1998,-2163,-1742,-2065,-2197,-133,-1921,-2810,-604,396,-1656,-3183,-3790,-611,-2178,-3936,-3038,2548,-2499,-5231,-3882,3437,-3455,-2588,-2793,1137,-1972,-2084,-2471,1700,-2376,-3905,-2966,1993,-1123,-1947,-2163,-3121,-1818,-2283,-1943,-3072,-2036,-2104,-757,-4449,-506,-2233,-1459,-837,-1377,-477,-265,-38,295,-793,-795,-1299,-1396,-1637,-1381,-2340,-1467,-3114,-1083,-3271,-2815,-1842,-1353,-1565,-2169,-38,-340,-1664,-1129,-813,-459,-1888,-1240,-590,124,-1069,-658,-469,-594,191,-1166,-327,-394,-647,-327,-707,-125,-458,-476,-421,-271,-208,-298,-196,-273,-316,-211,-269,-164,-364,-291,-310,-387,-518,-380,-32,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2251,0,0,0,4043,0,0,0,6262,0,0,0,6767,0,0,0,7345,,0,0,6357,,0,0,4952,0,0,0,5838,1811,1260,1362,1594,1113,1783,1530,2370,2715,2080,2423,1239,3212,2113,1961,3689,1183,1422,1084,2790,1597,896,604,4111,1773,1732,1132,1259,1819,907,2110,1348,829,1731,1559,1764,1192,294,944,493,367,914,1125,614,316,906,2181,1021,812,1354,1425,1762,624,1147,607,1715,1068,844,821,,28,77,29,69,34,71,23,39,28,41,88,50,7,55,15,12,41,46,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,-1617,-2107,-1576,-1147,-1709,-1890,-1998,-2163,-1742,-2065,-2197,-2384,-1921,-2810,-604,-3647,-1656,-3183,-3790,-6873,-2178,-3936,-3038,-4219,-2499,-5231,-3882,-3908,-3455,-2588,-2793,-5220,-1972,-2084,-2471,-3252,-2376,-3905,-2966,-3845,-2934,-3207,-3525,-4715,-2931,-4066,-3473,-5442,-4751,-4184,-3180,-5688,-3718,-4346,-3420,-4526,-2560,-1899,-1349,-2828,-1302,-1689,-1399,-5410,-3169,-3369,-2513,-3599,-3286,-4021,-3193,-4619,-3644,-3573,-2912,-3329,-3361,-332,-1284,-2157,-1496,-1727,-1584,-2502,-1556,-1496,-2057,-2090,-1470,-1823,-2019,-1571,-1790,-1474,-1001,-2362,-1395,-1551,-946,,-504,-498,-300,-277,-332,-267,-296,-355,-239,-310,-252,-414,-298,-365,-402,-530,-421,-78,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,-896,1404,-1002,-246,-3496,632,-3191,-251,-5304,-1196,-6337,-374,-5160,2044,-12901,1095,-2101,-2973,-9973,-1260,-6423,-3303,-7096,-694,-9477,10222,-4738,1417,541,-1333,-15905,750,3499,-9762,-10887,-2483,-11353,-7913,-15902,-1211,-9758,-13513,-19755,-11845,-11925,-3128,9414,18004,7940,11173,-452,10880,3801,8207,-1115,10650,5307,1711,-3016,6462,-538,3540,-2485,5209,407,1745,-4609,3169,-2908,-1960,2959,194,243,310,296,-11,-1135,1439,-93,306,747,131,-379,303,534,444,3049,353,24,145,-2122,-1392,1232,128,-1320,-688,-423,-49,-130,-1344,-12,167,313,-1556,175,141,254,-1141,176,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385,0,1404,0,0,0,632,0,0,0,0,0,0,0,2044,0,1095,0,0,0,,0,0,,,0,10222,0,1417,541,,0,750,3499,0,,0,0,0,0,0,0,0,0,,,0,9414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-896,0,-1002,-246,-3496,0,-3191,-251,-5304,-1196,-6337,-374,-5160,0,-12901,0,-2101,-2973,-9973,-1260,-6423,-3303,-7096,-694,-9477,0,-4738,0,0,-1333,-15905,0,0,-9762,-10887,-2483,-11353,-7913,-15902,-1211,-9758,-13513,-19755,-11845,-11925,-3128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1893,1166,623,-1546,1824,835,-448,-361,2586,-2208,-2952,249,-106,-171,-34,2473,23354,545,-24415,18897,-1434,-83,34,22,-1701,200,517,-8760,39,5364,-1060,-1257,-886,-1612,-525,3509,12,2349,3114,2949,569,489,65,5797,20499,-20506,20574,-20652,1,-28,0,20833,0,0,-30,0,0,-333,-32,0,0,74,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9021,11,644,302,1842,836,109,275,7133,764,368,612,84,33,176,3325,16971,741,-16611,18922,20,529,58,23,22,200,532,1529,39,5570,-336,84,81,64,2885,178,12,2349,3115,2949,569,489,65,5865,20505,-20505,20577,-20577,1,-1,0,22356,0,0,0,0,0,0,0,0,0,74,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7128,1155,-21,-1848,-18,-1,-557,-636,-4547,-2972,-3320,-363,-190,-204,-210,-852,6383,-196,-7804,-25,-1454,-612,-24,-1,-1723,0,-15,-10289,0,-206,-724,-1341,-967,-1676,-3410,3331,0,0,-1,0,0,0,0,-68,-6,-1,-3,-75,0,-27,0,-1523,0,0,-30,0,0,-333,-32,0,0,0,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1013,-2064,-2477,-7475,-2207,-2587,-10806,-13293,-4378,-1238,-1233,-13002,2009,-2265,-10908,-3540,-1050,-2601,-2187,-12343,-4467,-10009,-5986,-16219,-1931,-9030,1437,-2805,-8837,-5805,-2767,1123,-6793,-2539,-1102,89,-2062,581,-5619,2465,-3929,-10718,2543,-3817,-9331,-4617,-7090,8156,-2524,2529,-3712,7465,6001,4968,1,-721,3834,-119,-127,2506,404,3131,5436,2186,5654,6385,19193,-16612,2084,2664,2417,16244,8241,1993,2864,-18110,-10595,7708,266,4834,5184,997,1720,-2298,344,3188,3699,1445,236,-2996,2013,7757,1394,19350,-20443,1247,1833,1316,1714,408,1518,1722,696,644,3119,2148,2677,1850,2291,-2975,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,1,18,1910,9,-86,-157,1390,1611,2146,4392,66,26,11,38,-136,83,-35,-93,984,142,-1545,-1952,-20676,-1766,11085,39992,28179,43590,-11362,8966,5284,-1237,-63,-209,1612,-59,259,-664,-152,2659,3082,-425,-7047,-920,-318,-728,19902,-646,-977,-1060,287,-407,528,-602,85,-3068,-45,55,98,38,-1529,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2163,-1370,-5025,-3270,-8610,-4374,-8893,-10778,-16088,-6285,-9725,-6219,-19950,-543,-11361,-11902,-13893,-2454,-9933,-9042,-18879,-9182,-19020,-12082,-22178,-4597,-20591,9188,-5843,-9796,-9169,-7066,-12789,-7166,-987,-13027,-13919,-6363,-13055,-15475,-16509,-7176,-22580,-11727,-28021,-21682,-18775,-11677,16733,16043,11159,7837,7339,19009,8725,6808,-2106,17285,3489,1643,-2535,5319,-681,7897,-1233,31485,5460,-4923,-2905,1792,-1910,-1801,-3115,3839,12708,43224,-283,31783,-15,9735,7699,2709,-400,523,2635,-566,6003,6199,6644,3490,-108,1673,3927,19105,-663,-740,-1031,202,-308,332,21082,-444,1969,67,678,-1796,1635,2454,1684,808,-4286,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-855,-855,-849,-852,-979,-978,-976,-980,-1146,-1146,-1148,-1147,-1347,-1346,-1353,-1355,-1589,-1589,-1590,-1590,-1787,-1789,-1791,-1790,-1895,-1926,-1908,-1914,-2019,-2021,-2118,-2120,-2336,-2341,-2338,-2337,-2631,-2616,-2584,-2589,-2886,-2882,-2883,-2841,-3110,-3105,-3093,-3100,-3350,-3355,-1140,-1141,-1143,-1144,-1147,-1356,-1564,-1564,-1668,-1662,-1799,-1802,-1800,-1788,-1983,-1972,-1940,-1926,-2223,-2209,-2211,-2209,-2319,-2316,-2326,-2334,-2234,-2274,-2103,-2195,-2084,-2248,-2085,-2233,-1043,-1193,-1046,-1192,-88,-236,-87,-238,-89,-235,-88,-236,-148,-144,-139,-144,-140,-154,-161,-184,-203,-147,-151,-88,-86,-308,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-484,2416,2524,6690,2471,5379,8749,9476,3671,4515,3259,15345,-3754,2666,4967,2761,537,-121,4320,10816,6563,13243,3200,14201,3118,11962,-16933,5375,4327,-3742,1200,8089,-767,-2565,884,11238,7022,11678,12887,11963,10332,10506,15222,17046,17789,15801,2430,-36955,-13105,-7100,-5692,-4445,-26382,-10401,-11656,-476,-15843,-1199,-9845,-2273,-9070,-15366,-3161,-13107,-19030,-12025,3874,-4158,-4981,-2042,-162,-23005,-4237,-7937,-27658,-17714,-12939,-30915,-6489,-8068,-7563,3506,-4493,-4092,-10338,-7590,651,-4265,-3260,-1880,-7056,-1629,-7647,-3445,-3140,-4540,-1518,-8589,-129,-26631,-1222,-760,-1130,177,-1805,-806,-644,-149,-335,-279,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-681,-1105,-245,-784,-954,-774,11,-1102,-490,588,-840,-260,623,362,-892,376,-640,-697,-458,-640,-572,37,-335,-115,-120,286,162,398,4053,-90,-99,129,121,-510,-1479,-2976,-3141,-3076,-1173,-1164,53,-1445,-5828,-5090,-864,-679,-135,15400,245,239,14,125,80,98,-616,-825,-394,-301,-886,-3175,127,1595,-42,-1884,-1733,-2877,-2886,-792,-1337,-44,2864,0,239,260,136,-1734,-6326,-7966,-3677,-3460,-1578,-1154,-2620,70,-8,0,0,8,0,0,31,-31,0,0,0,0,0,0,0,-107,0,0,0,-1048,-309,309,0,-7028,-322,-2301,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11,0,0,588,0,0,623,362,0,376,0,0,0,0,,37,0,,,286,162,398,4053,0,0,129,121,0,0,0,0,0,0,0,53,0,0,0,0,,0,15400,245,239,14,125,80,98,,,0,0,0,0,127,2100,1733,0,0,990,,990,0,0,,0,239,260,136,0,0,0,0,0,0,0,0,70,0,0,0,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-681,-1105,-245,-784,-954,-774,0,-1102,-490,0,-840,-260,0,0,-892,0,-640,-697,-458,-640,-572,0,-335,-115,-120,0,0,0,0,-90,-99,0,0,-510,-1479,-2976,-3141,-3076,-1173,-1164,0,-1445,-5828,-5090,-864,-679,-135,0,0,0,0,0,0,0,,,-394,-301,-886,-3175,0,-505,-1775,-1884,-1733,-3867,,-1782,-1337,-44,,0,0,0,0,-1734,-6326,-7966,-3677,-3460,-1578,-1154,-2620,0,-8,0,0,0,0,0,0,-31,0,0,0,0,0,0,0,-107,0,0,0,-1048,-309,0,0,,-322,-2301,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,-259,168,499,-213,-8,-50,157,259,221,151,-9,12851,-192,187,96,-322,345,202,1822,-154,2517,1393,117,449,-243,-432,-11,-3869,2575,-1734,2033,-1205,-346,399,439,-76,-495,-432,-342,-281,-426,-512,-139,498,-666,-586,19511,-798,-1345,-181,-880,-594,-1043,941,-5585,-4728,-631,3379,-4465,-2857,441,828,-1370,-195,2991,-1228,266,46,-124,-196,-378,-43,-117,-1239,-207,-508,399,-156,-1009,-960,-9,328,556,-501,-237,-919,329,-113,-515,-419,-68,-226,-397,253,28,58,-1667,-226,-5912,-69,-741,-661,597,-2914,-511,-3036,6869,539,98,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1604,,-305,-414,382,-42,0,0,-2,,0,,-19,-15,21,1,34,-6,554,992,22416,-1886,-354,-10,-4257,-112,-599,1006,494,1907,2,-4,3538,-9,6,-2740,-1719,-274,-195,-94,-78,43,-2,-65,-66,3,-1,99,18,-28,-26,-35,0,1999,-7,7,1,0,-98,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1643,197,1598,5553,325,3619,7734,7551,2294,4178,1422,13929,8373,1490,2909,1878,-2014,-2062,2474,10408,4050,14008,2467,12413,1552,10079,-19111,3848,2492,-3278,-2751,8131,-4187,-5762,-2534,6364,1174,5491,8698,7868,7218,5753,5999,8976,14313,11351,-1384,-5144,-17008,-11561,-6999,-7945,-28039,-12795,-12892,-7860,-22571,-3695,-9020,-11577,-13599,-15132,-4175,-18168,-22956,-13862,-2179,-6576,-8501,-3865,1287,-3176,-8246,-10464,-31097,-26246,-22119,-41355,-11419,-14238,-10278,97,-6142,-2161,-11899,-9014,-4054,-6839,-3735,-2826,-7625,-2044,-7919,-4079,-3040,-4814,-1605,-10401,-395,-32776,-1459,-1681,-1987,-458,-3232,-1162,-3824,-395,-204,-2888,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-189,155,-174,1003,-756,-1149,680,892,828,1652,-1419,-1902,962,-1300,1581,35,-714,3,-327,243,73,123,-1556,-2135,-3826,940,-630,53,32,-56,-145,-977,133,405,715,-362,208,-493,-156,-187,78,-77,-131,80,-256,39,206,156,-132,95,-99,-77,-75,-191,-357,254,65,15,-171,211,-61,-82,
