GE US Equity,"=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Income (Loss) Incl. MI,NI_INCLUDING_MINORITY_INT_RATIO,4385,2708,4778,4466,4896,6777,7549,8443,9561,11082,13162,14032,14444,15312,17547,17697,21604,23124,18051,11225,12179,14443,13864,13355,15345,-5794,8540,-8849,-22443,-4912,5546,-6591,292,9444
  - Minority Interest,MIN_NONCONTROL_INTEREST_CREDITS,82,72,53,151,170,204,269,240,265,365,427,348,326,310,728,986,862,916,641,200,535,292,223,298,112,332,-291,-365,-88,67,-158,-71,67,-37
"Net Income, GAAP",NET_INCOME,4303,2636,4725,4315,4726,6573,7280,8203,9296,10717,12735,13684,14118,15002,16819,16711,20742,22208,17410,11025,11644,14151,13641,13057,15233,-6126,8831,-8484,-22355,-4979,5704,-6520,225,9481
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,300,300,1031,0,0,0,18,656,436,447,460,474,237,289,295
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,4303,2636,4725,4315,4726,6573,7280,8203,9296,10717,12735,13684,14118,15002,16819,16711,20742,22208,17335,10725,11344,13120,13641,13057,15233,-6144,8175,-8920,-22802,-5439,5230,-6757,-64,9186
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,4303,2636,4725,4315,4726,6573,7280,8203,9296,10717,12735,13684,14118,15002,16819,16711,20742,22208,17335,10725,11344,13120,13641,13057,15233,-6144,8175,-8920,-22802,-5439,5230,-6757,-64,9186
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,,-274.95,572,121.95,29.65,-921.65,1308.45,7085.465,903.3,16631,26198,5480.65,-6067,5392,2360,-5742
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,1348,-588,-131,1189,0,0,0,0,0,0,444,1015,587,-534,1950,-1362,249,679,-219,873,-29,983,2120,-5855,7495,954,312,1363,4306,911,3194,644,-414
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,1331.328,1303.3965,1285.797,1280.985,1281.5535,1262.859,1240.125,1228.125,1225.875,1229.1251,1237.125,1241.5,1243.375,1252.375,1300,1321.25,1294.875,1272.75,1260,1326.75,1332.625,1323.875,1315.375,1277.75,1255.625,1243,1128.125,1085.875,1086.375,1091,1094,1098,1096,1089
"Basic EPS, GAAP",IS_EPS,3.2333,2.02,3.6667,3.36,3.6933,5.2,5.8667,6.6667,7.5733,8.72,10.32,11.04,11.36,12,12.96,12.64,16,17.44,13.76,8.08,8.48,9.92,10.32,10.24,12.08,-4.96,7.2,-8.24,-20.96,-4.9853,4.7806,-6.16,-0.06,8.44
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,3.2333,3.0533,3.2133,3.2667,4.6133,5.2,5.8667,6.6667,7.5733,8.72,10.32,11.36,12.16,12.48,12.56,14.16,14.96,17.68,14.32,7.92,9.12,9.84,11.12,11.84,7.6,1.36,8.08,-8,-19.76,-8.308,5.6133,-3.25,0.53,8.06
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,3.2333,3.0533,3.2133,3.2667,4.6133,5.2,5.8667,6.6667,7.5733,8.72,10.32,11.36,12.16,12.48,12.56,14.16,15.36,18.72,15.52,7.7114,9.5968,9.9805,11.1403,11.1566,8.5109,6.7872,8.8929,7.3885,4.3806,3.985,0.0676,1.6658,2.6825,2.7824
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,1343.2575,1317.558,1301.4135,1296.4005,1293.6135,1277.1375,1264.125,1254.375,1248.75,1249.5,1257.125,1256.5,1253.5,1259.375,1305.625,1326.375,1299.25,1277.25,1262.25,1326.875,1334.75,1327.5,1315.375,1277.75,1265.375,1252,1141.25,1085.875,1086.375,1091,1094,1098,1101,1099
"Diluted EPS, GAAP",IS_DILUTED_EPS,3.2067,2.0067,3.6333,3.36,3.6533,5.1467,5.76,6.56,7.4667,8.56,10.16,10.96,11.28,11.92,12.88,12.56,16,17.36,13.76,8.08,8.48,9.84,10.32,10.16,12,-4.96,7.12,-8.24,-20.96,-4.9853,4.7806,-6.16,-0.06,8.36
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,3.2067,3.0267,3.18,3.2667,4.5867,5.1467,5.76,6.56,7.4667,8.56,10.16,11.28,12.08,12.4,12.48,14.08,14.88,17.6,14.24,7.92,9.12,9.84,11.04,11.76,7.52,1.36,8,-8,-19.76,-8.308,5.6133,-3.25,0.53,7.98
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,3.2067,3.0267,3.18,3.2667,4.5867,5.1467,5.76,6.56,7.4667,8.56,10.16,11.28,12.08,12.4,12.48,14.08,15.28,18.64,15.44,7.7114,9.5485,9.9319,11.0625,11.0387,8.5109,6.7872,8.7915,7.3158,4.3551,-3.2845,0.0676,1.6607,2.6735,2.7553
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,8903,8703,8783,9291,11649,13408,14800,13936,19740,22489,26782,26901,24996,27131,28319,31415,31536,35840,30781,21308,24898,24744,24821,23654,16302,14195,19052,-2579,-9207,7923,3663,7456,6018,5242
EBITDA Margin (T12M),EBITDA_MARGIN,15.44,16.1655,16.8089,16.9032,19.6389,19.3545,18.8437,15.7398,19.7756,20.2911,20.6943,21.4045,19.0523,20.3099,21.2259,21.477,21.0677,21.1484,17.0128,13.8876,16.7729,17.4895,17.2223,16.5485,14.0044,12.3265,15.9182,-2.5977,-9.4906,8.7818,4.8304,10.0491,7.861,7.714
EBIT,EBIT,6395,5871,5965,6068,8442,9814,11015,9854,13880,15798,19046,20279,18485,20175,19970,22878,23077,25565,19289,10691,15112,15758,15629,13892,11349,9348,14055,-8773,-15789,3489,-628,3677,1719,2596
Gross Margin,GROSS_MARGIN,34.345,36.0904,38.5555,40.9599,43.511,45.0805,46.6304,46.0843,48.6616,50.0893,51.3711,40.5175,38.7189,53.9859,42.6887,42.2922,41.3163,41.4052,38.0414,37.5567,39.8748,39.9558,38.4108,37.676,24.5125,26.1936,26.9068,23.858,28.4594,28.1187,23.6863,27.36,27.4574,25.844
Operating Margin,OPER_MARGIN,11.0905,10.9051,11.4158,11.0396,14.2322,14.1665,14.0245,11.1294,13.905,14.254,14.7168,16.1356,14.0895,15.1027,14.9681,15.6406,15.4166,15.0854,10.6611,6.9679,10.1804,11.138,10.8444,9.719,9.7495,8.1175,11.7431,-8.8367,-16.2753,3.8672,-0.8281,4.9558,2.2454,3.8202
Profit Margin,PROF_MARGIN,7.4625,4.8963,9.0427,7.8503,7.9675,9.4881,9.269,9.2647,9.3128,9.6696,9.8403,10.8881,10.7609,11.2303,12.6063,11.4245,13.8567,13.1045,9.6226,7.1856,7.8441,10.0022,9.465,9.1348,13.0861,-5.3196,7.3784,-8.5456,-23.0435,-5.5187,7.5218,-8.7875,0.2939,13.9521
Sales per Employee,ACTUAL_SALES_PER_EMPL,193496.6443,189566.9014,194970.1493,247594.5946,268398.19,312054.0541,328623.431,320797.1014,340682.5939,325976.4706,413472.8435,405416.129,416498.4127,437983.6066,434583.0619,462889.2405,469244.5141,518253.8226,560151.7028,504710.5263,517219.5122,470029.9003,472527.8689,465592.8339,381659.0164,345819.8198,405718.6441,317185.3035,342798.5866,440102.439,435821.8391,441642.8571,445087.2093,543632
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,20.2161,12.1578,20.9339,17.5111,18.1035,23.4767,23.9734,25.0233,25.358,26.3197,27.3727,25.9866,23.8218,20.9986,17.7041,15.18,18.7829,19.5607,15.7431,9.6641,9.6043,11.1482,11.3929,10.2976,11.7754,-5.4269,9.3917,-13.5309,-52.4184,-18.3483,16.3806,-17.817,-0.167,28.8242
Return on Assets,RETURN_ON_ASSET,3.0493,1.6365,2.6167,1.942,2.1611,3.1761,2.9095,2.8462,2.8172,2.8161,3.0242,2.9364,2.6382,2.4539,2.4062,2.3473,3.028,2.9762,2.1852,1.3959,1.5224,1.9304,1.9441,1.9465,2.323,-1.0672,2.0579,-2.3104,-6.5719,-1.7281,2.188,-2.8654,0.1164,5.4049
Return on Capital,RETURN_ON_CAP,6.2093,3.6054,5.2001,4.3911,4.3878,5.327,5.1051,5.2153,5.0751,4.9793,5.4229,5.3203,4.6459,4.3474,4.1804,3.8684,4.4237,4.1721,3.1512,1.9838,2.4252,2.9713,3.1124,3.2434,4.048,-1.5661,4.5633,-2.7198,-10.1908,-1.8636,6.0062,-5.2449,1.7862,16.8515
Return on Invested Capital,RETURN_ON_INV_CAPITAL,5.3147,4.2914,3.9156,3.6487,4.721,4.7176,4.5881,4.0109,4.6097,3.6614,4.764,4.9786,4.606,4.5708,4.2478,4.3456,4.0992,4.1757,3.8176,3.4548,3.781,3.1925,4.0947,4.7011,3.1312,1.4502,5.8607,-2.1031,-7.8747,3.7697,3.611,5.3941,1.5571,0.8737
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,34.345,36.0904,38.5555,40.9599,43.511,45.0805,46.6304,46.0843,48.6616,50.0893,51.3711,40.5175,38.7189,53.9859,42.6887,42.2922,41.3163,41.4052,38.0414,37.5567,39.8748,39.9558,38.4108,37.676,24.5125,26.1936,26.9068,23.858,28.4594,28.1187,23.6863,27.36,27.4574,25.844
Operating Margin,OPER_MARGIN,11.0905,10.9051,11.4158,11.0396,14.2322,14.1665,14.0245,11.1294,13.905,14.254,14.7168,16.1356,14.0895,15.1027,14.9681,15.6406,15.4166,15.0854,10.6611,6.9679,10.1804,11.138,10.8444,9.719,9.7495,8.1175,11.7431,-8.8367,-16.2753,3.8672,-0.8281,4.9558,2.2454,3.8202
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,16.3843,-13.6993,,3.7951,54.5747,13.7751,12.9628,,35.6915,17.4174,17.4765,,,70.7705,-122.0238,22.6198,5.8255,12.5784,,-31.2689,,,,-146.7061,-9.585,-160.3365,103.9302,-111.8581,-309.4839,,-28.6141,,,
Pretax Margin,PRETAX_INC_TO_NET_SALES,10.8026,10.7695,11.5326,11.438,14.8881,14.3498,14.1009,12.897,13.7668,14.3839,14.5831,15.9525,14.6474,15.1319,15.3646,16.1903,16.1615,16.2437,10.9336,6.4289,9.4886,14.2488,12.06,11.2994,8.8166,7.1085,7.5447,-11.4274,-21.6334,-0.0599,7.8726,-4.9639,1.8444,14.9984
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,7.6047,7.5339,8.0188,7.8867,10.2586,9.7826,9.6115,9.5358,9.5782,9.9989,10.1702,11.5182,11.783,11.9018,12.7517,13.4317,13.5227,13.7919,10.3521,7.1732,8.7927,10.1881,10.3018,10.8264,8.1525,1.4771,7.9324,-8.599,-21.7293,-0.6717,8.5148,-4.5784,1.2227,13.2884
Net Income Margin,PROF_MARGIN,7.4625,4.8963,9.0427,7.8503,7.9675,9.4881,9.269,9.2647,9.3128,9.6696,9.8403,10.8881,10.7609,11.2303,12.6063,11.4245,13.8567,13.1045,9.6226,7.1856,7.8441,10.0022,9.465,9.1348,13.0861,-5.3196,7.3784,-8.5456,-23.0435,-5.5187,7.5218,-8.7875,0.2939,13.9521
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,7.4625,4.8963,9.0427,7.8503,7.9675,9.4881,9.269,9.2647,9.3128,9.6696,9.8403,10.8881,10.7609,11.2303,12.6063,11.4245,13.8567,13.1045,9.5811,6.9901,7.642,9.2735,9.465,9.1348,13.0861,-5.3353,6.8303,-8.9848,-23.5043,-6.0285,6.8967,-9.107,-0.0836,13.518
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,29.6035,30.0448,30.468,31.0482,31.095,31.8278,31.8375,26.0618,30.425,30.4855,30.2602,27.7969,19.5556,21.3466,17.0057,17.0383,16.3277,15.0937,5.318,,7.334,28.4984,14.5791,4.1855,7.5319,79.2206,,,,,,,33.711,11.4011
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,3.74,3.92,3.65,3.77,3.68,4.74,4.82,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.78,3.45,3.09,2.18,2.6,2.76,5.76,5.5,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.34,2.01,2.4,2.4,2.4,2.51,2.51,2.74,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7,7.03,7.49,7.65,7.55,6.67,7.34,7.49,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,44.6836,47.9227,52.2684,43.6777,43.1244,44.3316,45.0759,57.2578,57.4087,57.0265,56.1412,59.6016,60.678,59.0886,56.8957,60.2153,60.2153,59.1087,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,20.5678,28.7224,29.2057,29.2057,30.6856,30.6856,30.6856,40.3503,46.8439,45.9378,47.7801,44.186,47.0251,42.2531,35.669,36.1522,36.1522,36.9979,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,32.8295,34.4015,38.1802,18.6518,18.0169,21.6445,23.8815,48.3071,42.2612,42.0193,38.2104,47.0375,47.4305,47.4305,47.4305,56.9226,56.9226,52.7509,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,80.5238,80.5238,89.2836,83.0223,80.5238,80.5238,80.5238,83.0223,83.0223,83.0223,82.3299,87.4774,87.4774,87.4774,87.4774,87.4774,87.4774,87.4774,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,80.128,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,1970.44,1946,2015,1961,1620,1665.61,1293.84,428,306.708,280.047,282.456,294.537
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,2910,3031,3019,,,2126.14,1510.72,513.078,485.792,436.503,441.302,441.385
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,29038.4,19124.699,17822.301,16781.5,15276.2,14817.6,14170.8,14112,14441.3,14540,13671,11742.6,12027.7,8850.7,3255.32,2560.81,2498.1,2685.75,2476.16
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,5490,4913.92,4619.55,3701.35,1400.43,1307.45,1269.58,1278.06,1276.09
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,591929,591696,491511,452256,460018,315646,,,,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,95.269,76.796,,260,139.818,158.624,133.663,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,38.123,41.344,43.215,32.751,36.1,34.1,36.5,50.125,54.05,47.727,52.063,66.058,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,235.121,254.583,247.955,304.979,362.1,349.1,544.5,504.913,369.11,276.979,363.709,1328.41,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,36871.602,35963.102,46638.398,40505.801,45048.5,0.085,28126.9,29073.301,63461,30701.1,25477,25212,24757.699,18662.9,19382.199,18662.9,16240.2,8330
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5670
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4,93.6,90.7,55.4,44.9,34.9,44.2,8.3
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,21,22,,,,,25.08,30.41,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,34,35,35,35,34,33,,29.4,28.82,,,,,,,21.9,22.3,22.8,19.8
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,24,,,,,23.6,25,,,,,,,24.1,24.2,25.2,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,3,7,3,,,3,1,0,9,1,,5,2,2,3,3,0,0,0
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,0.45,0.45,0.42,0.35,0.35,0.31,0.29,0.37,0.33,0.38,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
