NEE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,1093.856,1304.808,1411.6639,1494.2159,1424.072,1402.6801,1392.576,1384.448,1384,1368,1359.2,1349.6,1383.2,1420,1434.4,1520.4,1574,1590.8,1600.4,1617.6,1641.2,1666.4,1666.8,1696.8,1737.6,1802,1852.4,1875.2,1892.8,1927.9,1959,1962.5,1972.6,2026.1
"Basic EPS, GAAP",IS_EPS,-0.3575,0.185,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.5088,0.5175,0.5788,0.3425,0.6263,0.6188,0.5925,0.8125,0.825,1.025,0.9975,1.1925,1.155,1.1475,1.1245,1.4175,1.5275,1.5675,2.87,3.5075,1.95,1.49,1.82,2.1,3.61
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.2725,0.2887,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.5088,0.5175,0.5788,0.5025,0.6288,0.6188,0.5925,0.8125,0.825,1.025,0.9975,1.1925,1.155,1.1475,0.9883,1.4175,1.5275,1.5675,2.87,3.5075,1.95,1.49,1.82,2.1,3.61
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.2725,0.2887,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.4975,0.5475,0.5788,0.5025,0.615,0.6637,0.637,0.765,0.8775,0.9575,1.018,1.0113,1.1005,1.0933,1.2022,1.2842,1.4268,1.6936,1.6414,1.8654,2.107,2.1813,2.4965,2.4607,3.1303
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,1093.856,1304.808,1411.6639,1494.2159,1424.072,1402.6801,1392.576,1384.448,1384,1368,1361.6,1351.2,1386.4,1425.6,1446.4,1542.8,1586,1602.4,1610.8,1628.8,1652,1676,1676.8,1708,1760.4,1816,1863.2,1890,1908,1941.9,1968.8,1972,1979,2031
"Diluted EPS, GAAP",IS_DILUTED_EPS,-0.3575,0.185,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.5088,0.5175,0.5775,0.3413,0.625,0.6138,0.585,0.8075,0.8175,1.0175,0.9925,1.185,1.1475,1.14,1.1171,1.4,1.515,1.56,2.8475,3.47,1.94,1.48,1.81,2.1,3.6
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.2725,0.2887,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.5088,0.5175,0.5775,0.5013,0.6275,0.6138,0.585,0.8075,0.8175,1.0175,0.9925,1.185,1.1475,1.14,0.9819,1.4,1.515,1.56,2.8475,3.47,1.94,1.48,1.81,2.1,3.6
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.2725,0.2887,0.3313,0.2875,0.3638,0.395,0.4163,0.4463,0.4813,0.4975,0.5475,0.5775,0.5013,0.6138,0.6587,0.6288,0.76,0.87,0.95,1.012,1.0051,1.0943,1.0871,1.1943,1.2673,1.4153,1.6841,1.6295,1.8415,2.0909,2.1678,2.4826,2.4573,3.1235
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,1262.006,1395.116,1588.011,1572.347,1872.298,2115.0419,2131.196,2289,2536,2136,2339,,,2649,2799,2831,3495,3692,4404,4598,5300,4959,5053,5762,7280,7835,7887,7811,8427,9922,9526,7219,8941,16463
EBITDA Margin (T12M),EBITDA_MARGIN,24.8116,26.5765,30.5779,29.576,34.5273,37.8194,35.3035,35.9397,38.0724,33.178,33.1209,,,27.5078,26.6014,23.8984,22.247,24.1892,26.8373,29.3933,34.6021,32.3251,35.4447,38.0682,42.7707,44.8073,48.8722,45.4842,50.3796,51.6663,52.931,42.293,42.6656,58.558
EBIT,EBIT,760.737,877.048,1033.774,973.958,1148.442,1197.106,1170.821,1228,1252,1096,1307,1426,1432,1531,1553,1490,2225,2287,2825,2594,3227,3110,3276,3241,4384,4632,4459,5173,4280,5353,5116,2913,4081,10237
Gross Margin,GROSS_MARGIN,62.1097,63.1839,64.7642,66.9262,68.3671,69.2135,64.7066,64.5941,66.3114,63.265,59.6715,53.387,56.2462,52.866,50.4182,47.9065,43.0745,46.3277,48.7386,52.6625,59.2479,59.2204,64.0783,67.2437,67.0877,69.5356,75.2634,76.2942,77.6888,77.2808,80.3356,73.4782,69.5123,80.5897
Operating Margin,OPER_MARGIN,14.9565,16.7075,19.9058,18.3202,21.1786,21.4056,19.3948,19.2809,18.796,17.0239,18.5075,17.1271,17.5211,15.8982,14.7596,12.5781,14.163,14.9839,17.2151,16.5825,21.0681,20.2725,22.9798,21.4125,25.7564,26.4898,27.6304,30.1229,25.5874,27.8744,28.427,17.066,19.4741,36.4125
Profit Margin,PROF_MARGIN,-6.8301,5.3688,9.8367,8.8673,10.2951,10.6699,9.9918,10.0016,10.1937,11.0593,10.1813,9.5604,5.9709,9.3769,8.43,7.6059,8.154,8.596,9.9878,10.3241,12.7767,12.535,13.4049,12.6057,14.4821,15.7383,18.0072,31.3282,39.6843,19.6261,16.2194,20.9327,19.7891,26.0013
Sales per Employee,ACTUAL_SALES_PER_EMPL,328151.3042,362030.0714,357421.0013,443541.961,446861.0779,490568.8476,588953.9348,664267.8348,676587.1001,658080.3435,717828.827,853336.0664,850291.3025,1003125,,955322.5806,1510576.9231,1453619.0476,1533644.8598,1015779.2208,1021133.3333,1565408.1633,1469690.7216,1700674.1573,1956436.7816,1222797.2028,1097823.1293,1226642.8571,1177957.7465,1381582.7338,1294748.2014,1137933.3333,1369673.2026,1673452.381
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,7.3853,12.9891,10.8044,12.5023,12.8831,12.8987,13.0972,13.3186,13.2813,12.8432,,,13.3263,12.2311,11.1939,13.8554,12.6978,14.689,13.2036,14.3507,13.1106,12.3247,11.188,12.9887,12.9536,12.3884,20.4652,21.2825,10.5947,7.9409,9.6941,10.8516,16.8633
Return on Assets,RETURN_ON_ASSET,,2.5524,4.3314,3.7142,4.3452,4.7591,4.8883,5.1645,5.5478,5.5909,5.0033,,,3.6034,3.3474,3.0515,3.7232,3.4551,3.859,3.4627,3.858,3.4906,3.1424,2.8532,3.418,3.4966,3.3698,5.7247,6.5832,3.4048,2.3792,2.6605,2.7661,4.3457
Return on Capital,RETURN_ON_CAP,,6.8186,8.7722,7.6242,8.4007,9.1032,9.3513,10.0834,10.9833,9.7675,8.8389,,,7.4,7.3716,7.4231,8.7866,8.1681,8.5758,7.6807,8.1414,7.4796,6.5728,5.9494,6.948,7.06,6.8847,10.4959,9.9221,6.6961,4.7997,4.0674,3.4667,7.3932
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,6.5269,6.8028,5.985,6.8784,7.3955,7.736,8.3053,9.0172,6.0597,7.2498,,,5.1693,6.2495,4.833,6.559,6.1371,7.2779,6.2687,6.4455,5.6391,5.2095,4.4382,5.6682,5.4549,4.6249,8.2458,4.4091,5.5346,5.2706,2.6282,2.5942,6.7193
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,62.1097,63.1839,64.7642,66.9262,68.3671,69.2135,64.7066,64.5941,66.3114,63.265,59.6715,53.387,56.2462,52.866,50.4182,47.9065,43.0745,46.3277,48.7386,52.6625,59.2479,59.2204,64.0783,67.2437,67.0877,69.5356,75.2634,76.2942,77.6888,77.2808,80.3356,73.4782,69.5123,80.5897
Operating Margin,OPER_MARGIN,14.9565,16.7075,19.9058,18.3202,21.1786,21.4056,19.3948,19.2809,18.796,17.0239,18.5075,17.1271,17.5211,15.8982,14.7596,12.5781,14.163,14.9839,17.2151,16.5825,21.0681,20.2725,22.9798,21.4125,25.7564,26.4898,27.6304,30.1229,25.5874,27.8744,28.427,17.066,19.4741,36.4125
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,71.3167,,,164.0423,28.6552,,17.2111,8.2192,-69.9552,33.8141,9.4146,,6.7948,2.4664,,19.0217,,46.905,-30.1173,,,,,60.6366,53.3333,-12.8338,68.9855,-200.2242,43.3185,-19.6355,-237.3922,30.0489,86.0017
Pretax Margin,PRETAX_INC_TO_NET_SALES,9.1159,11.215,14.8707,13.5792,15.9617,16.5455,14.8596,14.7747,14.3822,16.0764,14.9391,14.1124,11.6726,13.2295,10.9675,9.9865,10.6811,11.007,12.73,12.4145,16.2499,15.9833,18.259,16.213,21.4147,22.8183,27.1285,27.1531,43.9529,19.975,13.4078,18.601,18.2859,25.923
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,6.7195,7.9514,9.8367,8.8673,10.2951,10.6699,9.9918,10.0016,10.1937,11.0593,10.1813,9.5604,8.6871,9.4081,8.43,7.6059,8.154,8.596,9.9878,10.3241,12.7767,12.535,13.4049,11.0795,14.5056,15.7955,18.5835,30.9963,34.531,17.6422,13.1633,16.5622,15.4896,22.3447
Net Income Margin,PROF_MARGIN,-6.8301,5.3688,9.8367,8.8673,10.2951,10.6699,9.9918,10.0016,10.1937,11.0593,10.1813,9.5604,5.9709,9.3769,8.43,7.6059,8.154,8.596,9.9878,10.3241,12.7767,12.535,13.4049,12.6057,14.4821,15.7383,18.0072,31.3282,39.6843,19.6261,16.2194,20.9327,19.7891,26.0013
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,-7.6873,4.5829,8.9913,8.0648,9.5656,9.8938,9.5987,9.7033,9.9685,10.8263,9.9688,9.3803,5.7873,9.242,8.43,7.6059,8.154,8.596,9.9878,10.3241,12.7767,12.535,13.4049,12.6057,14.4821,15.7383,18.0072,31.3282,39.6843,19.6261,16.2194,20.9327,19.7891,26.0013
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,26.2889,29.1003,33.852,34.6994,35.5013,35.5119,32.7589,32.3061,29.1232,31.2077,31.8483,32.2553,25.5765,28.8854,23.1369,23.8377,23.6591,21.9048,21.5414,16.8383,21.374,21.5742,26.5847,31.6626,32.2634,30.7769,31.4984,,21.4363,11.6788,1.8235,10.9606,15.2923,13.8035
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,5.18,5.11,5.08,5.49,6.13,6.33,6.29,6.36,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.96,4.99,4.89,5.5,6.13,6.61,6.59,6.47,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,3.41,3.59,4.25,5.56,5.8,5.83,5.84,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.01,7.29,7.15,6.84,6.73,6.42,6.26,6.71,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,46.0014,48.8381,50.6388,55.3868,42.541,38.306,47.46,47.3494,54.7631,54.7933,54.7933,50.8701,51.4737,57.0868,64.5609,64.5609,59.7525,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,23.5276,32.0447,37.4509,44.7599,22.1081,11.9601,35.971,35.6388,51.4346,50.3473,50.3473,44.5485,44.5485,48.8372,66.566,66.566,52.1293,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,28.8089,28.8089,28.8089,35.7618,22.3398,19.7703,20.7376,20.7376,27.2068,26.4208,26.4208,20.4353,22.2491,28.5369,26.9649,26.9649,26.9649,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,85.5208,85.5208,85.5208,85.5208,83.0223,83.0223,85.5208,85.5208,85.5208,87.4774,87.4774,87.4774,87.4774,93.7387,100,100,100,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,40.053,38.65,31.806,27.517,25.024,17.946,19.423,15.775,14.924,15.615,11.802,11.23,8.913,10.922,8.426,10.524,8.283,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,0.7,0.749,0.678,0.559,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,5.941,6.037,4.406,3.276,,,,,,,,,,0.761,0.959,0.964,0.671,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,60.586,63.392,44.418,37.768,35.191,19.5064,10.782,4.4788,5.855,4.2438,2.8304,2.1772,1.73,2.2516,1.036,0.8401,1.016,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,47470.5,44852.5,45057.102,,,,,45645.699,43311.602,43046.699,41986,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,137.821,95.414,,,,,,,14.539,17.201,14.409,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,253049,290207,207603,255762,390887,,,,172707,179808,157875,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,267.286,259.147,,,,,,,,,,,6369.64,5462.56,,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,22546400,19324200,18812200,23023600,19936300,,,,9880190,10417200,10520600,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,175.966,117.469,157.768,265.94,237.117,,,,14.772,26.345,69.802,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,0.018,,,,,,,,0.095,0.202,0.304,0.288,0.346,0.006,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,1.7,,,,,,,,33.849,133.697,317.12,62.148,32.558,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,7351980,6431710,5145230,5568600,5966080,6632340,7030590,7419750,7669590,7419750,7756660,7692310,7351600,1906660,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,7915560,7846070,5340890,6306780,,5451240,5871440,6533920,6889760,7328890,7556030,7309960,7616600,7574950,7226680,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,4.26,4.79,5.452,5.83,4.6,4.3,4.6,3.7,6,4.5,4.1,,,,,,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,22,23,23,22,,,,,,,,,,23,24,24,25,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,31,31,32,32,,,,,,,,,,36,37,39,41,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,1,1,0,0,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,1,0,0,1,,,,,0,0,2,,0,0,0,0,0,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,12387,13326,14458,14570,14977,14800,14400,13400,13400,13800,14200,13900,14300,14800,14900,15017,15300,9500
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,11,10,9,6,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,1.632,1.213,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,231436,258662,357240,256063,675000,1622770,1000000,1000000,1100000,1100000,800000,616000,1200000,1000000,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,57,58,59,60,,,63,64,65,66,67,68,69,70,71,72,73,74
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,5,6,6
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,4,5,5,5,5,5,5,5,5,5,5,5,6,6,7,5,6,6
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,9,9,9,8,12,9,9,8,8,8,9,8,8,8,8,8,8,8
