NEE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,2321,6774,6217,6493,6748,6735,7202,7180,7453,6862,6957,7144,5728,6049,5907,5942,6159,5752,6064,6316,6582,7004,7069,5991,6156,6533,6657,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,11282.262,11311.5631,11128.1782,9415.4543,9639.1587,9732.9527,9925.8287,10137.8444,10299.8647,10551.3784,10697.2089,11210.5923,11279.8337,11652.4268,11757.6585,11826.6547,11790.4589,11770.5963,11723.6528,11667.9693,11595.7003,11576.569,11484.0191,11473.878,11337.9661,11202.3576,11105.4868,11045.7919,11337.5387,11430.5482,11309.8156,11348,11429,11215,11073,10763,10868,11709,11902,12068,12284,12586,13094,13519,13869,14696,15349,15861,15913,16326,16474,21277,20134,20881,,24465,24812,24843,25230,25806,23925,26581,27613,28003,,29397,,30992,31594,32642,35187,36344,37051,38265,39170,39429,40150,41535,42979,44121,45385,45910,46958,47736,48738,49744,50333,52316,54113,55536,57612,59202,59798,60482,61694,63464,64190,65491,66560,67985,68632,70855,73306,75684,77541,78908,81117,82584,85378,86943,90670,90782,88672,89605,90254,97309,100807,103081,106543,110283,110912,114380,117356,120302,124204,126952,129591,131624,133957,137438,143518,145445,151808,155153,157430,162128,167270,171921,
Total Assets,BS_TOT_ASSET,12442.6963,12548.7373,12475.2793,10802.0078,10628.4229,10803.8867,11130.875,11281.7852,11428.7969,11610.2266,12076.0117,12306.3047,12653.8682,13471.2969,13440.5029,13078.0117,12871.9707,12868.7373,12968.4072,12617.6162,12599.6201,12623.8047,12630.376,12459.2256,12266.4258,12245.0947,12381.8311,12219.3232,12669.5615,12753.0508,12880.3965,12449,12471,12844,12844,12029,12296,13306,13520,13441,13361,14196,14937,15300,15663,16559,17355,17463,17474,18152,18693,23185,22395,23421,,26935,27078,27206,28518,28333,27084,29971,33644,32990,,33764,,35822,35535,37343,39571,40123,41330,43753,45478,44821,45304,46404,47155,48458,50942,51209,52734,52994,53257,54557,56585,57188,59207,60390,62049,64439,63843,65217,67166,69306,70331,71590,72193,74929,74929,77201,79963,82479,84637,85420,87864,89993,91205,92890,97827,97963,94284,95490,98603,103702,109029,110552,114222,117691,120637,121961,126382,127684,132441,135013,139163,140912,144945,151770,156409,158935,165357,168275,171674,177489,179950,184724,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,50.86,107.628,-557.925,52.032,-53.558,84.943,197.875,52.574,84.783,114.898,198.832,112.4,103.227,121.188,151.234,95.763,104.369,135.721,232.124,86.055,111.993,138.302,240.448,105.97,100.146,156.079,255.882,91.075,106.779,168.723,267.384,94.114,112,180,291,96,213,81,295,123,125,208,318,68,114,223,338,121,-52,254,154,132,179,243,,146,138,257,320,172,137,203,339,222,251,236,526,270,150,405,533,224,249,209,774,408,364,370,533,349,556,417,720,263,268,580,407,667,461,607,415,429,272,610,698,327,430,492,660,884,650,716,879,507,653,540,753,966,1583,793,847,2158,4431,781,1005,422,680,1234,879,975,421,1274,1229,-5,1666,256,447,1204,-451,1380,1696,1522,2086,2795,1219,1210,2268,1622,
Cash from Operating Activities,CF_CASH_FROM_OPER,322.702,265.907,350.003,142.783,309.84,235.431,387.239,298.217,299.429,226.809,217.697,341.494,248.811,238.489,555.969,235.596,351.127,305.234,464.981,289.671,428.708,447.622,435.043,235.861,493.114,336.736,503.305,282.855,516.778,446.223,549.153,104.039,458,547,527,226,684,418,432,48,484,272,311,-76,537,319,819,282,694,741,809,113,690,350,,646,947,784,581,338,214,580,1722,-969,-117,591,946,1078,1239,611,896,847,1317,751,291,1044,1043,1101,1182,1137,896,852,1021,1065,983,1008,1126,806,835,1093,1229,835,1082,1168,1140,1712,1017,1431,1520,1532,1181,1753,1579,1576,1545,1725,2024,1042,1258,1993,2078,1084,1291,1646,2298,1368,1597,1684,2962,1912,1894,1898,2839,1352,1292,2203,2741,1317,1962,2831,2474,995,1673,3086,3664,2878,3077,3933,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,93,0,0,8,8,0,153,20,16,20,59,48,0,69,732,,,,28,22,269,266,216,244,210,142,125,154,165,80,656,99,75,45,54,1005,,,,1504,,472,0,0,34,0,18,0,396,0,263,0,0,159,19,0,311,327,1290,0,995,233,88,0,0,178,834,0,0,384,2377,0,0,575,989,305,696,352,530,565,386,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,-230,-75,-171,-296,-138,-234,-259,-31,-15,-28,-1736,-327,,-69,-25,-7,-34,-63,0,-26,-294,-236,-226,-253,-174,-151,-136,-177,-166,-88,,-95,-1564,-1625,-53,,,,,,-1862,,0,0,0,0,0,0,0,-1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.908,-180.68,1.889,-90.117,-152,-50,-1,25,-164,-1044,-80,-221,-110,-247,-119,-190,-287,-667,-624,-587,-284,-342,-9,-1041,-389,-537,,-567,-165,219,-27,25,5,53,94,326,-1,9,1,3,26,291,-289,-51,39,0,2,-457,1,5,85,92,98,409,93,64,410,161,-573,846,52,61,219,319,298,-894,55,160,1,-113,416,-300,59,48,179,174,213,65,349,294,1578,-43,129,17,41,420,-122,110,137,-77,-4977,110,152,-459,378,12,238,10,-207,-1,328,28,-351,84,-24,156,-132,814,-48,-32,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,-171.025,,,,-143.732,-91.428,-326.491,-127.386,-251.888,-311,-218,-148,-118,-344,-1242,-309,-277,-411,-606,-374,-552,-620,-929,-879,-841,-553,-631,-568,-1515,-688,-867,,-876,-630,-333,-408,-501,-685,-604,-541,-300,-1233,-938,-735,-2684,-853,-986,-2043,-696,-1188,-1342,-1327,-1951,-1096,-1325,-1597,-1917,-1361,-922,-1273,-1728,-1077,-1282,-2063,-857,-1995,-3482,-2480,-2427,-1578,-1207,-1481,-1857,-1842,-1263,-973,-2283,-1564,-2190,-1723,-2519,-3681,-1756,-1546,-1127,-3670,-1844,-1337,-2067,-3667,-1688,-3206,-2389,-6945,-1946,-3572,-3714,-3135,-3050,-3021,-4493,-4420,-3741,-3684,-1746,-4693,-4615,-4541,-4510,-7817,-4997,-5963,-4690,-9321,-4805,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.815,-87.384,-87.974,-86.827,-90,-90,-79,-101,-93,-97,-93,-91,-96,-95,-96,-94,-98,-97,-102,-95,-102,-102,-106,-105,-110,-110,,-108,-111,-111,-123,-122,-135,-136,-136,-137,-148,-148,-149,-148,-163,-163,-164,-164,-178,-178,-179,-179,-191,-191,-192,-192,-204,-206,-206,-207,-229,-230,-230,-231,-248,-252,-252,-252,-279,-278,-279,-286,-315,-315,-315,-316,-341,-342,-348,-354,-401,-402,-402,-407,-460,-460,-462,-463,-523,-524,-523,-531,-598,-599,-600,-611,-685,-686,-686,-686,-755,-756,-756,-757,-836,-835,-836,-845,-930,-946,-947,-959,-1058,-1057,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-120.612,-74.339,-202.534,-164.515,-22,133,-262,-257,146,1020,-250,338,-218,577,353,539,161,670,389,437,6,-58,171,1068,167,571,,-237,-83,-424,197,24,99,4,-120,855,839,476,-52,418,-615,1020,973,-125,332,584,2370,31,-71,386,378,1046,1614,-352,250,313,437,185,1553,104,1014,840,1447,1778,666,401,422,-234,1117,262,-328,-296,627,305,454,58,2569,452,-639,-303,2382,551,375,681,1889,227,67,5186,2104,606,-317,1221,4726,-696,1720,-356,4516,570,2051,-353,4889,4957,298,306,5689,1916,3128,-1333,6762,1951,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-17.13,-15.137,-8.579,-7.154,-17,-16,-19,-10,-32,-52,-5,-27,-16,-18,-51,-65,0,0,0,0,6,336,18,18,16,14,,-210,19,28,16,47,598,7,23,11,299,4,9,21,11,16,9,10,8,15,9,9,49,34,103,12,12,57,115,124,18,15,6,9,-7,360,14,19,8,1,406,427,25,17,15,576,16,614,644,24,17,26,485,9,7,18,11,19,7,4,703,4,20,6,1462,6,-57,0,-43,0,4,1,2,7,1,0,1457,2,2502,1,2002,9,6,-40,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,336,18,18,16,14,,18,19,28,16,47,603,7,23,11,299,4,9,21,11,16,9,10,8,15,9,9,49,34,103,12,12,57,115,124,18,15,6,9,12,360,14,19,8,1,406,427,25,17,15,576,16,614,644,24,17,26,485,9,7,18,11,19,7,4,703,4,20,6,1462,6,,0,,0,4,1,2,7,1,0,1457,2,2502,1,2002,9,6,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.13,-15.137,-8.579,-7.154,-17,-16,-19,-10,-32,-52,-5,-27,-16,-18,-51,-65,0,0,0,0,0,0,0,0,0,0,,-228,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,-19,0,0,0,0,,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,,,-57,,-43,,,0,0,,0,0,0,0,0,0,0,0,0,-40,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,341.494,,,,235.596,,,,289.671,,,,64.836,,,,139.123,198.793,-57.128,122.68,-406.345,18,356,19,-260,361,47,-225,-9,-257,130,143,-248,-20,-37,227,-217,35,267,316,-430,66,-51,,-806,103,-10,229,-226,51,-87,948,-572,-382,-14,25,-1322,-374,477,-373,-60,313,-179,1168,-1057,-259,0,-112,74,977,-386,-38,-489,123,-138,353,-414,-102,-1436,-49,83,-114,196,147,-120,50,134,-137,92,-108,82,630,-597,57,102,-49,611,-729,143,826,214,-1075,-172,-15,4532,-3912,362,-145,-450,2726,-2398,1011,-891,619,-732,-429,312,1422,1755,-526,-526,748,-858,1723,-1634,-1207,-113,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,219,250,17,18,85,40,0,,,,,,0,,,,,-77,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,-195,-192,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,,,0,0,0,,,0,,0,,0,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,322.702,265.907,350.003,142.783,309.84,235.431,387.239,298.217,299.429,226.809,217.697,341.494,248.811,238.489,555.969,,351.127,305.234,464.981,289.671,295.788,224.257,291.545,64.836,377.606,213.251,398.436,139.123,402.442,300.412,419.878,-57.732,299,379,380,83,504,220,203,-206,183,-87,56,-460,204,57,564,-22,425,452,564,-361,391,20,,337,482,369,275,-17,-188,53,1321,-1489,-1338,-357,218,68,639,-666,-858,-505,97,-557,-975,-478,-50,-204,-530,-877,-554,-515,-336,-716,-481,-434,-356,-1553,-1216,-961,110,-1912,-1799,855,-396,-305,-2330,719,-341,-451,-442,-519,-323,-1135,-2349,-492,130,-642,-3990,192,453,-1019,-2417,-773,-1113,-2421,-5485,-1180,-792,-2000,-1393,-693,-738,-3987,-3366,-1548,-1120,-2805,-3059,-1812,-2291,-4588,-6425,-2763,-2519,-3156,-6761,-1226,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,404.0201,319.951,405.6039,214.935,370.1487,300.8762,444.0554,359.7081,353.7769,278.5449,265.9389,393.9425,300.6838,292.114,605.0557,,397.1232,352.8119,512.8677,340.343,344.4371,274.434,342.171,103.1088,423.0006,260.772,440.5603,184.8931,449.2656,348.3542,465.0723,6.3258,342.5556,421.8253,445.6049,149.6242,535.3824,263.1009,240.9379,-159.4808,225.5824,-43.9191,104.7205,-394.5185,261,112.0783,619.7734,30.6706,496.9577,505.2255,618.0095,-302.8305,444.6304,77.661,,436.103,583.4217,459.5341,359.3197,103.3006,-77.7107,163.5837,1424.3537,-1347.7273,-1208.6738,-221.926,339.8881,246.5009,811.6027,-533.7611,-724.1612,-302.2414,274.6022,-392.0214,-836.5665,-307.2093,150.5326,-23.6145,-377.9273,-688.6782,-382.1455,-306.5,-150.75,-470.9318,-264.1771,-229.7634,-165.1062,-1365.1127,-1018.322,-768.1882,298.9016,-1728.1429,-1738.7189,1052.637,-193.9658,-90.8584,-2094.717,910.4031,-118.4931,-239.4218,-219.0833,-316.1831,-112.5614,-933.5601,-1977.4754,-62.789,371.2104,,-3737.2374,508.3038,720.3246,,-2246.5665,-476.529,-964.6998,-1863.9837,-4848.7,-638.0055,-96.5467,-1846.9894,-138.8411,-418.0533,-551.4313,-3878.0692,,-848.3273,-794.4775,-2336.3243,,,-2076.4511,-4044.2061,-5452.3353,-2649.9193,-2496.8862,-1484.1311,-6471.8822,-449.0154,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.7901,220.233,175.825,-226.428,273,508,114,-177,646,1236,-51,327,-39,486,405,98,361,723,949,462,427,390,731,704,554,587,,,399,-55,472,2,-89,57,1206,-634,,,,,24,354,115,-630,429,27,1395,-447,-121,182,-152,169,1060,-867,-86,-403,-44,-249,1197,-1449,-202,-121,1557,-134,-1133,1256,26,-539,-1213,981,-669,-747,185,-214,131,-1077,220,-40,-509,-945,-1608,743,828,-338,-528,-546,-1046,2765,-3381,-574,-1109,-779,3333,-1389,982,-4343,1150,-978,931,-3158,1830,3145,-1993,-4282,-736,-847,609,-4489,1,725,
