PG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income, GAAP",NET_INCOME,1773,1872,-656,2211,2645,3046,3415,3780,3763,3542,2922,4352,5186,6481,6923,8684,10340,13540.5,13436,12736,11797,10756,11312,11643,7036,10508,15326,9750,3897,13027,14306,14742,14653,14879
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,78,94,102,102,102,103,104,104,109,115,121,124,125,131,136,148,161,176,192,219,233,256,244,253,259,255,247,265,263,263,271,0,0,284
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,1695,1778,-758,2109,2543,2943,3311,3676,3654,3427,2801,4228,5061,6350,6787,8536,10179,13364.5,13244,12517,11564,10500,11068,11390,6777,10253,15079,9485,3634,12764,14035,14742,14653,14595
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,1695,1778,-758,2109,2543,2943,3311,3676,3654,3427,2801,4228,5061,6350,6787,8536,10179,13364.5,13244,12517,11564,10500,11068,11390,6777,10253,15079,9485,3634,12764,14035,14742,14653,14595
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,,283.869,433.902,60.038,2179.476,583.06,811.567,3575.2,775.85,361.05,1328.28,7465.38,420.53,675.06,132.72,228.31,1232.15
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,925,0,0,0,0,0,,0,0,0,,0,0,0,0,-277,-2756,-1995,0,-1754,-449,-1127,1143,-577,-5217,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,2758.3999,2709.6001,2721.6001,2732.3999,2744,2745.2,2720.6,2686.8,2656.2,2626.4,2600.6,2594.8,2593.2,2580.1,2515.6,3059.4982,3161.1801,3080.8,2952.2,2900.8,2804,2751.3,2742.9,2719.8,2711.7,2698.9,2598.1,2529.3,2539.5,2488.1092,2466.6081,2457,2414.0033,2360.1
"Basic EPS, GAAP",IS_EPS,0.615,0.655,-0.2775,0.7725,0.9275,1.07,1.215,1.37,1.375,1.305,1.075,1.63,1.95,2.46,2.7,2.79,3.22,3.86,4.49,4.32,4.12,3.82,4.04,4.19,2.5,3.8,5.8,3.75,1.45,5.13,5.69,6,6.07,6.18
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.615,0.655,0.0625,0.7725,0.9275,1.07,1.215,1.37,1.375,1.305,1.075,1.63,1.95,2.46,2.7,2.79,3.22,3.77,3.55,3.63,4.12,3.18,3.87,3.78,2.92,3.59,3.79,3.75,1.45,5.13,5.69,6,6.07,6.18
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.615,0.655,0.0625,0.7725,0.9275,1.07,1.215,1.37,1.52,1.565,1.64,1.9,1.95,2.46,2.7,2.79,3.22,3.77,3.6488,3.7769,4.1455,3.971,4.084,4.0718,4.2391,3.8726,3.9348,4.2752,4.3707,5.299,5.9637,6.054,6.1646,6.7061
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,2758.3999,2709.6001,2721.6001,2732.3999,2744,2992.4,2974,2871.8,2893.6,2854.4,2811.2,2809.8,2802.6,2790.1,2737.1,3233.3333,3348.3553,3316.8,3154.1,3099.3,3001.9,2941.2,2930.6,2904.7,2883.6,2844.4,2740.4,2656.7,2539.5,2625.8,2601,2539.1,2483.9,2471.9
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.615,0.655,-0.2775,0.7725,0.9275,1.005,1.14,1.28,1.295,1.235,1.035,1.545,1.845,2.32,2.53,2.64,3.04,3.64,4.26,4.11,3.93,3.66,3.86,4.01,2.44,3.69,5.59,3.67,1.43,4.96,5.5,5.81,5.9,6.02
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.615,0.655,0.0625,0.7725,0.9275,1.005,1.14,1.28,1.295,1.235,1.035,1.545,1.845,2.32,2.53,2.64,3.04,3.56,3.39,3.47,3.93,3.06,3.71,3.63,2.84,3.49,3.69,3.67,1.43,4.96,5.5,5.81,5.9,6.02
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.615,0.655,0.0625,0.7725,0.9275,1.005,1.14,1.28,1.425,1.475,1.56,1.795,1.845,2.32,2.53,2.64,3.04,3.56,3.48,3.61,3.95,3.801,3.909,3.9094,4.0798,3.7628,3.8218,4.17,4.3697,5.1202,5.7595,5.8623,5.9919,6.5185
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,3658,3918,4301,4714,5497,6173,6975,7653,8401,8145,7007,8371,9556,11560,12353,15876,18580,19803,18456,18840,18656,16239,16799,17051,14183,16519,16775,16197,8311,18990,20966,20840,21077,21693
EBITDA Margin (T12M),EBITDA_MARGIN,13.5351,13.3438,14.1327,15.5598,16.4178,17.4952,19.5029,20.5981,22.0354,20.3875,17.855,20.8037,22.0301,22.4872,21.7709,23.2711,24.2952,24.2244,24.0645,24.2887,22.5972,19.8022,20.9683,22.9177,20.0469,25.2975,25.7847,24.2354,12.2791,26.7653,27.5441,25.9893,25.7018,25.813
EBIT,EBIT,2702,2867,3161,3580,4244,4815,5488,6055,6253,5954,4736,6678,7853,9827,10469,13249,15450,16637,15374,15732,15818,13035,13817,13910,11049,13441,13955,13363,5487,15706,17986,17813,18134,18545
Gross Margin,GROSS_MARGIN,40.498,40.9986,41.8953,42.7152,41.5776,41.1575,43.1943,43.3062,44.3777,46.149,43.6806,47.8379,48.9568,51.2207,50.8786,51.4453,52.0294,51.6367,49.5528,52.2452,50.6196,49.5025,50.0836,47.541,47.6233,49.6026,49.9908,48.4798,48.6319,50.3171,51.2494,47.4266,47.8575,51.394
Operating Margin,OPER_MARGIN,9.9978,9.7643,10.3868,11.8167,12.6755,13.6464,15.345,16.297,16.4013,14.9033,12.0681,16.5963,18.1041,19.1161,18.4505,19.4204,20.2024,20.3516,20.0459,20.2818,19.1596,15.8952,17.2462,18.696,15.6172,20.5838,21.4501,19.9949,8.1068,22.1367,23.6291,22.2143,22.113,22.0671
Profit Margin,PROF_MARGIN,6.5603,6.3756,-2.1556,7.298,7.8998,8.6328,9.5487,10.1739,9.8702,8.8659,7.4457,10.8156,11.9556,12.6072,12.2011,12.729,13.5206,16.5637,17.519,16.4194,14.2892,13.1161,14.1195,15.649,9.945,16.0921,23.5574,14.5888,5.7576,18.3608,18.7945,18.3845,17.8682,17.7049
Sales per Employee,ACTUAL_SALES_PER_EMPL,287510.6383,277000,281787.037,,,342563.1068,337396.2264,337763.6364,346590.9091,363190.9091,370226.4151,394490.1961,442622.449,,515827.2727,,,592376.8116,568103.7037,610763.7795,639992.2481,650841.2698,662115.7025,630516.9492,643172.7273,621895.2381,684821.0526,726434.7826,697773.1959,716666.6667,753643.5644,756481.1321,766411.215,778138.8889
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,27.6532,27.7249,-12.0729,34.1207,32.6738,31.7956,33.072,35.6859,35.318,32.9092,26.8565,37.782,37.9414,41.8341,41.4549,21.7619,16.0538,20.0244,20.3906,20.585,18.3201,16.3234,17.137,16.8703,10.4425,17.5228,27.7723,18.1384,7.4473,27.781,30.8015,32.3687,32.0689,30.6764
Return on Assets,RETURN_ON_ASSET,9.1028,8.4148,-2.6797,8.7616,9.8584,10.9068,12.3566,12.9209,11.9311,10.6836,8.5213,11.5802,12.2772,12.865,11.677,8.8063,7.5555,9.603,9.6376,9.685,8.8524,7.9498,8.3328,8.2129,5.1403,8.1892,12.3825,8.1687,3.3393,11.0494,11.9213,12.466,12.3115,12.2361
Return on Capital,RETURN_ON_CAP,15.753,14.6315,-1.5007,17.0831,18.6021,19.6433,21.4921,22.202,20.0473,17.4646,14.1373,18.0857,19.0603,20.3585,18.54,13.1653,11.0801,13,14.006,14.1489,13.0092,11.8307,12.2817,12.0055,7.6615,12.1316,17.9238,11.9336,5.3122,16.8429,18.2256,19.1049,18.9053,18.8039
Return on Invested Capital,RETURN_ON_INV_CAPITAL,12.5614,11.3072,15.0447,15.6955,17.1197,18.3691,19.9709,20.2689,18.2511,15.6942,11.6758,16.1088,17.0444,18.1311,16.7935,11.7883,9.3994,11.182,10.3273,11.3766,12.1789,9.3619,10.5512,10.1649,8.052,10.5052,12.0473,11.2449,4.1386,15.7619,17.8571,18.2361,17.7894,17.5642
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,40.498,40.9986,41.8953,42.7152,41.5776,41.1575,43.1943,43.3062,44.3777,46.149,43.6806,47.8379,48.9568,51.2207,50.8786,51.4453,52.0294,51.6367,49.5528,52.2452,50.6196,49.5025,50.0836,47.541,47.6233,49.6026,49.9908,48.4798,48.6319,50.3171,51.2494,47.4266,47.8575,51.394
Operating Margin,OPER_MARGIN,9.9978,9.7643,10.3868,11.8167,12.6755,13.6464,15.345,16.297,16.4013,14.9033,12.0681,16.5963,18.1041,19.1161,18.4505,19.4204,20.2024,20.3516,20.0459,20.2818,19.1596,15.8952,17.2462,18.696,15.6172,20.5838,21.4501,19.9949,8.1068,22.1367,23.6291,22.2143,22.113,22.0671
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,13.5823,7.0634,27.451,,20.8412,31.687,140.2083,40.7914,20.3913,,-172.2772,195.3722,37.4323,24.5828,12.036,24.2139,26.6659,22.5152,-24.9901,41.008,1.7228,-503.255,,,-78.3406,,,,,312.8904,44.1176,,17.6471,20.2164
Pretax Margin,PRETAX_INC_TO_NET_SALES,9.9423,9.8256,1.1468,11.0444,11.9467,13.2326,14.6768,15.3631,15.3128,13.857,11.7623,15.8631,17.3594,18.1882,17.5905,18.195,19.2348,20.9149,18.7929,19.1679,18.3978,15.2769,17.6981,18.157,15.5649,20.4735,20.3772,19.9395,8.9667,22.3171,23.1417,22.4413,22.3801,22.3242
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,6.5603,6.3756,0.8839,7.298,7.8998,8.6328,9.5487,10.1739,9.8702,8.8659,7.4457,10.8156,11.9556,12.6072,12.2011,12.729,13.5206,16.2249,13.9255,13.9892,14.2892,11.1577,13.6714,14.3251,11.7132,15.3555,15.6691,14.7549,5.8596,18.4679,18.8549,18.4481,17.9719,17.8179
Net Income Margin,PROF_MARGIN,6.5603,6.3756,-2.1556,7.298,7.8998,8.6328,9.5487,10.1739,9.8702,8.8659,7.4457,10.8156,11.9556,12.6072,12.2011,12.729,13.5206,16.5637,17.519,16.4194,14.2892,13.1161,14.1195,15.649,9.945,16.0921,23.5574,14.5888,5.7576,18.3608,18.7945,18.3845,17.8682,17.7049
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,6.2717,6.0554,-2.4907,6.9613,7.5951,8.3409,9.2579,9.894,9.5843,8.578,7.1374,10.5075,11.6675,12.3524,11.9614,12.5121,13.3101,16.3484,17.2686,16.137,14.007,12.8039,13.815,15.3089,9.5789,15.7016,23.1778,14.1923,5.3691,17.9901,18.4385,18.3845,17.8682,17.3669
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,34.0156,35.1127,22.9226,33.9211,33.875,34.7612,34.94,33.7772,35.543,36.0188,36.6984,31.8189,31.1288,30.6845,30.6382,30.0411,29.7077,22.4243,25.9002,27.0178,22.332,26.9636,22.752,21.1044,24.7457,24.9981,23.1048,26.0018,34.6515,17.2477,18.524,17.7938,19.6971,20.1855
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.44,4.46,4.36,4.52,4.73,4.94,4.78,5.18,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.24,4.15,4.27,4.37,4.71,5.34,5.53,5.77,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,2,1.96,2.14,2.17,2.29,1.81,2.3,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.95,8.04,7.59,7.75,8.05,7.86,7.89,8.24,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,47.0476,50.2465,48.1541,48.4358,46.7659,46.7659,49.15,49.6228,45.9008,53.8578,53.2844,60.8591,60.5774,63.0118,64.1384,54.6223,53.2039,48.637,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,37.3905,37.3905,37.3905,38.2362,38.2362,38.2362,38.2362,39.6557,39.6557,56.7502,55.0287,70.7943,71.1265,71.1265,74.5092,47.5083,49.2298,35.518,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,11.7896,21.4027,21.4027,21.4027,21.4027,21.4027,26.058,26.058,14.873,17.896,17.896,17.896,16.717,24.0326,24.0326,22.4607,16.4752,16.4752,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,91.7821,91.7821,85.5208,85.5208,80.5238,80.5238,83.0223,83.0223,83.0223,86.7851,86.7851,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,93.7387,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.4,2.4,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.6,1.6,1.6,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,1,4.3,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.1,0.2,0.1,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,2935,2875,2782,2625,2795,2900,2799,2800,2700,2389,2133,2174,2162,2219,2217.5,2241.54,2159.9,2123.1,
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,3314,3498,3603,3199,3109,1300,3028,2900,2700,3076,2923,2750,2598.62,2544.08,2566.67,2436.08,2324.45,2275,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,21666.699,21578.1,21083.6,19623.9,19956.1,20555,20085,20085.301,18384.199,19144.5,16382.6,17076.9,17424.699,17476.199,17937,17492.5,17290,16912.5,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,5520.03,4739.58,5183.89,10765.9,5957.68,6089.44,6057.59,5569.95,,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,1170940,1091240,1137680,1151970,1186320,1193720,1212470,1161140,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,31.974,25.401,20.046,434.387,17.16,15.009,13.079,14.969,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,21,48,30,27,45,23,20,19,5,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,894,983,935,871,1048,1025,985,949,1119,807,640,683,742,644,701,693,690,679,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67000,69440,68584,69900,
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,1.275,11,,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,39.3,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,38.9,40.4,41.2,41.6,42.3,43,43.6,43.9,44,49,45,,57,,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,40,,41,41,42
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,0.16,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,140000,138000,138000,135000,127000,129000,126000,121000,118000,110000,105000,95000,92000,97000,99000,101000,106000,107000,108000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,
