AAPL US Equity,"=BDH($A$1, $B6, ""19901201"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,13471.6957,13718.8798,13342,13298.3201,13781.2637,13858.2081,14118.9436,14781.0879,16033.584,18175.8076,19354.3284,19881.232,20195.336,20809.04,22636.292,23633.624,24208.66,24684.576,25004.448,25464.908,25879.224,26174.904,25909.268,24342.288,23013.684,21883.28,20868.968,19821.508,18471.336,17352.119,16701.272,16215.963,15744.231
"Basic EPS, GAAP",IS_EPS,0.023,0.0387,0.0065,0.0233,0.0308,-0.0588,-0.074,0.0209,0.0375,0.0432,-0.0013,0.0032,0.0034,0.0132,0.0586,0.0843,0.1443,0.2479,0.3293,0.5504,1.0018,1.5943,1.4296,1.6225,2.32,2.0875,2.3175,3.0025,2.99,3.31,5.67,6.15,6.16
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.023,0.0387,0.0065,0.0233,0.0308,-0.0588,-0.074,0.0209,0.0375,0.0432,-0.002,0.0032,0.0034,0.0132,0.0586,0.0843,0.1443,0.2479,0.3293,0.5504,1.0018,1.5943,1.4296,1.6225,2.32,2.0875,2.3175,3.0025,2.99,3.31,5.67,6.15,6.16
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.023,0.0387,0.0065,0.0233,0.0308,-0.0459,-0.0268,0.0191,0.0391,0.0336,-0.0048,0.0032,0.0034,0.0143,0.0586,0.0843,0.1443,0.2479,0.3293,0.5504,1.0018,1.5943,1.4296,1.6286,2.3227,2.0741,2.2939,2.9936,2.9928,3.3049,5.6556,6.15,6.16
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,13471.6957,13718.8798,13342,13298.3201,13781.2637,13858.2081,14118.9436,18806.7048,19506.368,20178.1443,19354.3284,20259.96,20354.096,21689.416,23992.584,24570.728,24900.176,25259.892,25396.14,25891.936,26226.06,26469.94,26086.536,24490.652,23172.276,22001.124,21006.768,20000.436,18595.651,17528.214,16864.919,16325.819,15812.547
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.023,0.0387,0.0065,0.0233,0.0308,-0.0588,-0.074,0.0187,0.0308,0.0389,-0.0013,0.0032,0.0034,0.0127,0.0554,0.0811,0.1404,0.2421,0.3243,0.5411,0.9886,1.5768,1.4196,1.6125,2.305,2.0775,2.3025,2.9775,2.97,3.28,5.61,6.11,6.13
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.023,0.0387,0.0065,0.0233,0.0308,-0.0588,-0.074,0.0187,0.0308,0.0389,-0.002,0.0032,0.0034,0.0127,0.0557,0.0811,0.1404,0.2421,0.3243,0.5411,0.9886,1.5768,1.4196,1.6125,2.305,2.0775,2.3025,2.9775,2.97,3.28,5.61,6.11,6.13
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.023,0.0387,0.0065,0.0233,0.0308,-0.0459,-0.0268,0.0169,0.0322,0.0302,-0.0048,0.0032,0.0034,0.0138,0.0557,0.0811,0.1404,0.2421,0.3243,0.5411,0.9886,1.5768,1.4196,1.6179,2.3076,2.0639,2.2796,2.9678,2.9713,3.2763,5.5967,6.11,6.13
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,875.825,1022.99,597.307,563.377,788,-1048,-285,379,471,704,-231,164,138,499,1822,2678,4734,8823,12474,19412,35604,58518,55756,60449,82487,70529,71501,81801,76477,78844,121933,132441,127820
EBITDA Margin (T12M),EBITDA_MARGIN,13.8825,14.4357,7.4879,6.1312,7.1235,-10.658,-4.0249,6.3794,7.6785,8.8187,-4.3073,2.8561,2.2233,6.0273,13.0787,13.8649,19.2611,23.5336,29.0735,29.7616,32.8908,37.3898,32.623,33.0693,35.2938,32.707,31.1913,30.7991,29.3946,28.7212,33.3317,33.5865,33.3486
EBIT,EBIT,671.392,805.808,431.194,395.419,661,-1204,-403,268,386,620,-333,46,25,349,1643,2453,4407,8327,11740,18385,33790,55241,48999,52503,71230,60024,61344,70898,63930,66288,108949,119437,114301
Gross Margin,GROSS_MARGIN,47.4687,43.6772,34.2,25.5076,25.8362,9.8444,19.3193,24.8948,27.6492,27.1327,23.0282,27.9171,27.5173,27.2859,29.0144,28.9827,33.1679,35.2004,40.1398,39.3775,40.4789,43.8712,37.6245,38.588,40.0599,39.076,38.4699,38.3437,37.8178,38.2332,41.7794,43.3096,44.1311
Operating Margin,OPER_MARGIN,10.6421,11.371,5.4055,4.3033,5.9754,-12.2445,-5.6913,4.511,6.2928,7.7665,-6.2092,0.8011,0.4028,4.2155,11.7938,12.7,17.9307,22.2107,27.3628,28.187,31.2151,35.296,28.6695,28.7223,30.4773,27.8354,26.7604,26.694,24.572,24.1473,29.7824,30.2887,29.8214
Profit Margin,PROF_MARGIN,4.9112,7.4842,1.0855,3.3756,3.8329,-8.2986,-14.7578,5.2011,9.7978,9.8459,-0.4662,1.132,1.1116,3.3337,9.5327,10.2977,14.22,16.3213,19.1936,21.4841,23.9466,26.6651,21.6705,21.6144,22.8458,21.1868,21.0924,22.4142,21.2381,20.9136,25.8818,25.3096,25.3062
Sales per Employee,ACTUAL_SALES_PER_EMPL,437143.0932,478885.1191,666802.1484,814100.1193,838602.0772,902441.2628,839279.3647,892310.003,630032.8677,931722.6891,558471.311,469079.3236,457540.9111,,941283.7838,,1137870.3704,1171593.75,1250874.6356,1399678.1116,1792201.9868,2149835.1648,2128393.5243,1974028.0778,2124681.8182,1858956.8966,1863691.0569,2012083.3333,1899080.292,1867448.9796,2375435.0649,2404439.0244,2380652.1739
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,19.2837,26.8268,4.1098,14.0681,16.0475,-32.9099,-67.2458,24.3116,27.0355,22.5054,-0.6289,1.622,1.6591,5.9361,21.1768,22.7966,28.5132,33.2302,30.5356,35.2835,41.6732,42.8415,30.6396,33.6118,46.2482,36.9033,36.8675,49.3636,55.9172,73.6856,147.4433,175.4593,171.9495
Return on Assets,RETURN_ON_ASSET,9.5788,13.7451,1.8433,5.9227,7.3523,-14.075,-21.7776,7.2518,12.7196,13.1394,-0.3899,1.0553,1.0524,3.7134,13.5503,13.8336,16.61,20.0462,19.684,22.8441,27.065,28.5417,19.3372,18.0066,20.4503,14.9296,13.8739,16.0668,15.6924,17.3341,28.0579,28.3629,27.5031
Return on Capital,RETURN_ON_CAP,,,3.592,11.4711,13.517,,,15.3911,21.4262,20.5115,,1.6933,1.6763,5.7932,21.1768,22.7966,28.5132,33.2302,30.5356,35.2835,41.6732,42.8415,28.7087,27.6969,32.6352,23.4462,21.5495,26.382,27.7328,31.0082,50.0857,53.4319,54.3562
Return on Invested Capital,RETURN_ON_INV_CAPITAL,18.5154,18.4772,8.2651,6.87,10.3727,,,10.17,12.7491,10.9372,,0.762,0.3918,5.0578,19.2427,19.4569,24.2325,29.9546,29.6129,36.0285,43.5028,45.7415,30.3423,29.6831,30.8866,20.0803,17.9864,22.9356,24.7611,28.196,46.2501,48.7764,48.6149
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,47.4687,43.6772,34.2,25.5076,25.8362,9.8444,19.3193,24.8948,27.6492,27.1327,23.0282,27.9171,27.5173,27.2859,29.0144,28.9827,33.1679,35.2004,40.1398,39.3775,40.4789,43.8712,37.6245,38.588,40.0599,39.076,38.4699,38.3437,37.8178,38.2332,41.7794,43.3096,44.1311
Operating Margin,OPER_MARGIN,10.6421,11.371,5.4055,4.3033,5.9754,-12.2445,-5.6913,4.511,6.2928,7.7665,-6.2092,0.8011,0.4028,4.2155,11.7938,12.7,17.9307,22.2107,27.3628,28.187,31.2151,35.296,28.6695,28.7223,30.4773,27.8354,26.7604,26.694,24.572,24.1473,29.7824,30.2887,29.8214
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,17.2839,,,14.1775,-151.7494,,,61.1399,12.6555,-36.374,100,,15.6371,22.8946,15.0446,37.1271,30.357,63.0403,29.7715,35.8056,44.4497,,29.4825,36.7773,-61.9938,9.7095,26.2754,-128.5372,16.4424,46.7252,36.7858,-46.5091
Pretax Margin,PRETAX_INC_TO_NET_SALES,7.9213,12.0714,1.7508,5.4446,6.0929,-13.1699,-14.7578,5.5378,11.0205,13.5914,-0.9696,1.5152,1.4822,4.6262,12.9782,14.5897,20.3678,23.8644,28.1226,28.4247,31.5984,35.6295,29.3459,29.2585,31.0271,28.4605,27.9579,27.4489,25.2666,24.4398,29.8529,30.204,29.674
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,4.9112,7.4842,1.0855,3.3756,3.8329,-8.2986,-14.7578,5.2011,9.7978,9.7582,-0.6899,1.132,1.0955,3.3337,9.5327,10.2977,14.22,16.3213,19.1936,21.4841,23.9466,26.6651,21.6705,21.6144,22.8458,21.1868,21.0924,22.4142,21.2381,20.9136,25.8818,25.3096,25.3062
Net Income Margin,PROF_MARGIN,4.9112,7.4842,1.0855,3.3756,3.8329,-8.2986,-14.7578,5.2011,9.7978,9.8459,-0.4662,1.132,1.1116,3.3337,9.5327,10.2977,14.22,16.3213,19.1936,21.4841,23.9466,26.6651,21.6705,21.6144,22.8458,21.1868,21.0924,22.4142,21.2381,20.9136,25.8818,25.3096,25.3062
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,4.9112,7.4842,1.0855,3.3756,3.8329,-8.2986,-14.7578,5.2011,9.7978,9.8459,-0.4662,1.132,1.1116,3.3337,9.5327,10.2977,14.22,16.3213,19.1936,21.4841,23.9466,26.6651,21.6705,21.6144,22.8458,21.1868,21.0924,22.4142,21.2381,20.9136,25.8818,25.3096,25.3062
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,38.0001,38.0001,37.9997,37.9999,37.092,,,6.079,11.0947,28.2028,,25.2874,26.087,27.9373,26.5487,29.418,30.1838,31.6084,31.7504,24.4175,24.2158,25.1601,26.1549,26.1261,26.3683,25.5573,24.5565,18.3422,15.9438,14.4282,13.3023,16.2045,14.7192
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,3.73,4.27,4.27,4.41,5.13,5.11,5.7,5.91,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,5.65,5.65,5.65,5.65,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,2.06,3.06,3.08,3.5,3.5,3.56,4.83,5.16,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,8.35,8.35,8.31,7.94,7.81,7.58,7.35,7.57,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,35.4693,42.3297,42.3297,42.6718,44.4321,43.8588,47.289,49.7837,52.3992,53.8376,54.3104,56.614,56.614,59.2496,60.9496,57.3182,54.7027
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,17.3966,34.0381,34.0381,34.0381,38.2966,36.5751,40.592,41.7699,46.6324,48.0519,49.4715,48.0519,48.0519,48.0519,53.1561,53.1561,46.8741
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,5.8041,9.7642,9.7642,10.792,11.8198,11.8198,11.8198,18.1378,19.1657,19.5586,19.5586,27.9021,27.9021,29.5345,29.5345,18.6215,17.0496
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,89.2836,89.2836,91.2402,93.7387,93.7387,93.7387,93.7387,100,100,100,100
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,17.025,16.117,47.552,56.722,28.1,34.37,45.397,57.44,52.73,47.43,55.2,55.2,55.2
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,199.603,255.628,286.634,306.675,378.79,599.522,650.6,776.5,862.127,890.2,1003.25,1065.41,1206.7
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,265.684,343.713,399.11,458.9,580.921,693,923.681,1112.84,1274.53,1780.67,2155.05,2676.46,2889.68,3019.17,3324.06,3516.98,4195.32
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,210,247,320,371,493,608,708.122,845,1154.54,1454,1743.05,2182,2427,2580,2854,3162.92,3487
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,5402.1,9098.94,7686.04,8540.04,8529.72,8241,20999.301,25984.6,10623.5,13333.8,16579.4,20554.1,20290.4,20292.4,20357.5,18915.5,31336
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,3.844,3.289,5.554,6.601,4.511,2.583,5.553,7.108,13.529
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,0.027,0.024,0.007,0.028,0.014,0.056,0.031,0.23,0.455,1.037,1.516,2.847,2.765,1.838,1.599,1.261,3.32
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,8.101,5.893,6.928,6.885,8.114,7.456,9.915,13.125,17.986,29.86,53.814,71.959,58.396,45.706,52.481,56.5,67.104
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,897.122,847.668,766.518,800.651,1000,1400,2317.18,1839.81,2000,2361.07,3694.73,4519.99,4485.92,4440.49,4792.55,5243.03,5523.17
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2918.69,2570.41,3407.03
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,190,250,250,,
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,28,28,28,29,29,28,,,,
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,30,31,32,32,33,33,34,34.8,35.3,
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,21600,32000,34300,46600,60400,72800,80300,92600,110000,116000,123000,132000,137000,147000,154000,164000,161000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296000,432000,,
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,11,12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,,14,11,9,9,9,9,10,10,9,9,8,8,9,8,8,8,9
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75,75
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
