TSLA US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.424,145.32,147.974,361.621,386.082,407.289,646.155,700.25,713.448,761.1,776.869,809.177,1114.19,1143.778,1887.844,2166.209,2416.93,4500.41,5054.463,5437.533,5830.667,6120.03,6468.185,7547.497,8067.939,9191.702,11868.952,12592.397,22664.076,25053.726,26043.705,28107.074,28655.372,27271.429,27910,29262.713,29739.614,28912.524,31872.597,32795,34309,37250,38135,45691,52148,52972,55146,57834,62131,66038,68513,74426,82338,86833,90591,93941,106618,109226,112832,119852
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.242,-29.519,-38.517,-34.934,-51.358,-48.941,-58.903,-65.078,-81.488,-89.873,-105.603,-110.806,-89.931,11.248,-30.502,-38.496,-16.264,-49.8,-61.9,-74.708,-107.632,-154.181,-184.227,-229.858,-320.397,-282.267,-293.188,21.878,-121.337,-330.277,-336.397,-619.376,-675.35,-709.551,-717.539,311.516,139.483,-702.135,-408.334,143,105,16,104,331,270,438,1142,1618,2321,3318,2259,3292,3687,2513,2703,1853,7928,1129,1478,2167
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.007,-27.329,-24.721,-41.483,-34.284,-43.297,-22.488,-21.491,-27.089,-50.087,-77.477,-101.026,-60.061,64.079,-38.193,104.931,133.987,60.64,-3.579,-27.996,-86.402,-131.794,-159.516,-203.34,-29.849,-249.605,150.336,423.649,-448.209,-69.811,-200.172,-300.562,509.891,-398.376,-129.664,1391.281,1234.561,-639.606,863.606,756,1425,-440,964,2400,3019,1641,2124,3147,4585,3995,2351,5100,3278,2513,3065,3308,4370,242,3612,6255
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.199,-5.472,-9.815,-7.768,-17.148,-20.476,-54.314,-68.844,-54.262,-67.987,-44.79,-62.398,-41.483,-57.727,-40.515,-76.548,-89.434,-141.364,-175.685,-284.175,-368.661,-426.06,-405.165,-392.403,-411.222,-216.859,-294.72,-247.611,-521.612,-552.624,-959.068,-1116.434,-786.688,-655.662,-609.813,-510.271,-324.978,-279.932,-255.01,-385.058,-412,-455,-546,-1010,-1156,-2576,-1505,-1819,-1810,-1776,-794,-1803,-1858,-2072,-2060,-2460,-2306,-2773,-2270,-3513
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,,0,0,0,0,272,0,0,0,0,936,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.199,-5.472,-9.815,-7.768,-17.148,-20.476,-54.314,-68.844,-54.262,-67.987,-44.79,-62.398,-41.483,-57.727,-40.515,-76.548,-89.434,-141.364,-175.685,-284.175,-368.661,-426.06,-405.165,-392.403,-411.222,-216.859,-294.72,-247.611,-521.612,-552.624,-959.068,-1116.434,-786.688,-655.662,-609.813,-510.271,-324.978,-279.932,-255.01,-385.391,-412,-455,-546,-1010,-1156,-2848,-1505,-1819,-1810,-1776,-1730,-1803,-1858,-2072,-2060,-2460,-2306,-2773,-2270,-3513
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-64.952,0,-14.992,0,0,0,0,0,0,0,0,189.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.111,189.111,378.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-64.952,0,-14.992,0,0,0,0,0,0,0,0,0,-189.111,-378.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.26,0,0,0,0,0,213.523,-109.147,0,0,-5.376,0,-5.604,-1.2,-11.108,-0.65,31.662,-76.012,0,0,0,-13,-62,-12,12,0,-20,-5,5,-5,-5,-1,-76,13,-1,-4,-2,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.26,0,0,0,0,0,213.523,-109.147,0,0,-5.376,0,-5.604,-1.2,-11.108,-0.65,31.662,-76.012,0,0,0,-13,-62,-12,12,0,-20,-5,5,-5,-5,-1,-76,13,-1,-4,-2,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-3.907,2.126,-146.911,8.598,30.587,31.192,-44.374,69.515,3.539,42.071,-1.616,3.296,2.491,13.341,-0.954,-0.071,-187.816,-10.816,-7.468,-3.57,-6.284,-5.412,-11.687,-3.058,-16.96,-25.134,-20.395,-286.662,-219.948,-198.844,-128.293,-169.812,-72.975,-67.4,-49.494,-28.923,-25.261,-18.197,-24.542,9,-25,-20,-16,171,6,-22,-36,-86,-386,-95,-983,-4268,-411,-1398,-2315,-2497,-2307,-953,638
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.199,-9.379,-7.689,-154.679,-8.55,10.111,-23.122,-178.17,15.253,-79.44,-2.719,-64.014,-38.187,-55.236,-27.174,-77.502,-89.505,-329.18,2.61,-291.643,-372.231,-432.344,-422.837,-404.09,-414.28,-233.819,-319.854,-268.006,-594.751,-881.719,-1157.912,-1244.727,-961.876,-728.637,-682.817,-560.965,-365.009,-305.843,-241.545,-485.612,-403,-480,-566,-1039,-1047,-2582,-1515,-1855,-1916,-2167,-884,-2791,-6131,-2484,-3534,-4762,-4804,-5084,-3225,-2875
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,29.843,15.421,11.06,15.189,30.577,31.643,90.727,51.06,83.838,70.782,32.492,-13.858,-14.219,161.026,-9.126,544.017,1997.455,-306.529,-301.768,299.506,151.896,198.984,120.137,212.92,663.635,231.937,-361.546,1184.164,1225.273,-47.407,2027.635,180.087,262.714,245.597,-221.931,-197.236,-677.19,1994.853,-633.663,-99,287,111,-220,-2666,-1162,-1588,-1526,-1456,-2068,-402,-899,-497,-408,-357,2064,817,79,2388,-181
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,0.358,0.222,235.312,34.374,3.706,232.692,2.882,2.713,8.993,1.398,7.687,228.303,17.903,452.188,10.754,149.78,374.126,68.149,300.372,-253.032,35.218,23.653,785.155,12.585,52.838,1759.374,42.983,10.356,510.365,-106.587,288.608,-210.597,94.018,31.053,94.874,75.766,77.953,192.064,904.983,-153,2309,217,4779,5381,183,70,192,262,202,24,248,67,231,63,254,152,251,197,340
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.379,0.358,0.222,235.312,34.374,3.706,232.692,2.882,2.713,8.993,1.398,7.687,228.303,17.903,452.188,10.754,149.78,374.126,68.149,300.372,0,35.218,23.653,785.155,12.585,52.838,1759.374,42.983,10.356,510.365,0,,,94.018,31.053,94.874,75.766,77.953,192.064,904.983,0,2309,217,4779,5381,183,70,192,262,202,24,248,67,231,63,254,152,251,197,340
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-253.032,0,0,0,0,0,0,0,0,0,-106.587,,,0,0,0,0,0,0,0,-153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.046,-1.574,-1.949,3.523,-3.734,0,0,0,0,0,0,0,0,0,-16.207,16.207,-16.901,-555.022,519.872,35.15,-35.149,-0.958,-4.286,-11.314,-0.467,-1.038,-14.727,-2.307,178.307,-136.889,582.761,-214.737,316.352,14.928,121.972,42.839,9.161,-53.782,-44.076,-153.142,173,112,-205,-109,-23,-37,-31,-47,-63,-48,-28,-61,-65,-56,-34,-55,-82,-134,-45,-27
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.714,28.627,13.694,249.895,45.829,34.283,264.335,93.609,53.773,92.831,72.18,40.179,214.445,3.684,597.007,17.835,16.896,1816.559,281.492,33.754,11.325,186.156,218.351,893.978,225.038,715.435,1976.584,-320.87,1372.827,1598.749,428.767,2101.506,285.842,371.66,398.622,-84.218,-112.309,-653.019,2142.841,118.178,-79,2708,123,4450,2692,-1016,-1549,-1381,-1257,-1914,-406,-712,-495,-233,-328,2263,887,196,2540,132
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,0,0,0,0,-2.585,-4.225,,0.479,-18.29,-17.714,-17.655,4.599,-11.185,-10.037,12.87,-2.554,3.183,-20.908,11.643,16.293,7.8,4.027,10.102,-22.611,-6.37,-3.821,4.878,0.593,-11.471,14,-24,38,86,234,-221,42,-42,38,-18,-214,-335,123,50,-94,-98,146,-79,-37,108
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-36.92,-8.081,-18.716,53.733,2.995,1.097,218.725,-106.052,41.937,-36.696,-8.016,-124.861,116.197,12.527,531.64,42.679,57.153,1548.019,281.002,-304.175,-465.022,-395.637,-359.403,275.363,-229.128,244.881,1804.512,-162.044,308.959,658.862,-913.024,564.017,-162.116,-745.251,-436.47,739.728,753.422,-1593.59,2765.495,377.095,957,1764,559,5897,4898,-2178,-898,-131,1450,-104,847,1262,-3225,-154,-891,711,599,-4725,2890,3620
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,-0.042,0.023,0.019,0.028,,,,,,,,,,,,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,,,12.26,0,0,,0,0,-213.523,109.147,0,0,5.376,0,5.604,1.2,11.108,0.65,-31.662,76.012,0,0,0,13,62,12,-12,0,32,5,,0,0,1,76,-13,1,4,2,0
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-35.206,-32.801,-34.536,-49.251,-51.432,-63.773,-76.802,-90.335,-81.351,-118.074,-122.267,-163.424,-101.544,6.352,-78.708,28.383,44.553,-80.724,-179.264,-312.171,-455.063,-557.854,-564.681,-595.743,-441.071,-466.464,-144.384,176.038,-969.821,-622.435,-1159.24,-1416.996,-276.797,-1054.038,-739.477,881.01,909.583,-919.538,613.929,370.609,1013,-895,418,1395,1868,293,619,1328,2775,2228,621,3297,1420,441,1005,848,2064,-2531,1342,2742
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4684,,,,,,,,,,,,,,210.0917,,,,,,,,1045.4793,1067.8262,,,528.2795,1141.9655,-730.8286,564.2,1503.373,2060.1266,379.1839,687.3295,1439.0701,2838.1321,2283.1793,661.3541,3345.5542,1450.7133,467.2968,1029.9207,882.8968,,-2475.0155,1410.089,2814.1394
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.958,-19.115,,,-33.196,-45.159,0.392,-30.291,-34.236,-51.485,-130.932,-115.402,-7.867,82.318,19.257,588.57,1916.731,-485.793,-613.939,-155.557,-405.958,-365.697,-475.606,-228.151,197.171,87.553,-185.508,214.343,602.838,-1206.647,610.639,-96.71,-791.324,-493.88,659.079,712.347,-1596.728,2608.782,-263.054,914,-608,529,1175,-798,-869,-969,-198,1319,160,219,2398,923,33,648,2912,2881,-2452,3730,2561
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3278,-0.2995,-0.3012,-0.0356,-0.0364,-0.0447,-0.0524,-0.0579,-0.052,-0.0751,-0.0775,-0.1032,-0.0595,0.0037,-0.0444,0.0155,0.0242,-0.0436,-0.0962,-0.1666,-0.2417,-0.2953,-0.2971,-0.3079,-0.2243,-0.2344,-0.0688,0.0788,-0.4171,-0.2559,-0.4678,-0.5647,-0.1096,-0.4154,-0.29,0.3437,0.3525,-0.3544,0.2317,0.138,0.3752,-0.326,0.1498,0.4963,0.6547,0.1016,0.2125,0.4436,0.9113,0.7182,0.1996,1.048,0.4494,0.1393,0.3169,0.267,0.6489,-0.7944,0.4206,0.8574
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0518,25.9761,43.6545,71.4123,83.4019,213.6198,205.6941,241.3073,158.7514,154.6382,183.0133,211.0593,157.1561,98.7675,92.1907,51.0015,112.9789,133.9942,213.3896,181.097,401.0021,365.0924,231.0386
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6969,,,,,,,,,,,,,,19.3642,,,,,,,,4.4662,8.851,,,5.2867,13.5714,-27.5,9.2692,7.2508,11.1815,3.7466,1.8599,1.945,1.9754,1.204,1.0407,1.5492,0.8891,1,1.1339,1.7852,0.5512,0.2143,2.4438,2.8865
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.585,20.812,28.405,31.241,36.286,49.03,58.171,57.666,39.375,30.167,26.653,50.104,306.332,561.792,405.139,431.346,615.219,620.542,769.349,851.804,956.661,939.88,954.976,936.789,1214.379,1147.048,1270.017,2298.436,2284.631,2696.27,2789.557,2984.675,3288.249,3408.751,4002.231,6824.413,7225.873,4541.464,6349.676,6303,7384,5985,6036,8771,10744,10389,11958,13757,17719,18756,16934,21454,24318,23329,24927,23350,25167,21301,25500,25182
