BYDDY US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.468,1953.289,2028.23,2539.642,3973.8,4172.19,,,,,,75.579,,111.961,,0,,0,,0,,0,,111.997,,241.981,,16.921,,161.87,,175.751,,86.817,,113.331,,57.509,,209.421,,44.781,,17.506,,22.945,,19.502,,11791.225,,18978.056,,20322.076,,20696.709,,1895.741,,12566.394,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.809,185.927,189.037,377.746,397.756,371.337,,,445.038,586.479,575.118,647.805,657.472,786.123,850.03,825.315,814.576,899.699,889.434,923.591,939.084,965.486,1015.799,1084.497,1030.81,1080.416,1075.444,1127.898,1213.433,1448.262,1370.192,1484.226,1473.176,1580.032,1685.763,1830.538,1633.08,1388.314,1529.48,1609.695,1524.49,1514.934,1477.315,1598.866,1615.57,1768.975,1872.144,1597.564,1353.389,1913.316,2359.51,2532.034,2929.014,3686.905,4705.231,5206.915,5731.747,6584.422,7092.056,6860.746,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,49.411,258.783,59.16,,,539.447,571.976,565.325,555.126,740.639,949.065,943.986,907.012,1033.08,1083.505,1370.762,1344.27,1492.313,1413.553,1446.746,1883.569,1877.565,1888.715,1813.697,1803.945,1829.503,2244.758,2497.645,2476.898,2960.915,3064.911,3247.672,3380.869,3582.762,3560.88,3722.895,3819.475,3822.945,4060.175,4866.511,4776.938,5229.248,5465.588,5656.091,5665.143,5864.122,7905.001,8971.327,8426.666,13377.049,15485.402,15811.251,16473.886,16909.759,17647.212,18102.324,18542.811,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,1465.871,1207.224,1509.448,1557.47,1692.066,1795.038,1419.219,817.034,966.081,822.083,830.843,864.227,875.356,1189.53,1213.853,1290.674,3157.301,1003.707,1237.198,969.603,1441.743,1188.928,1154.84,1091.869,1271.209,1185.354,1197.234,1445.918,1540.323,2432.477,2120.152,305.214,1394.76,1676.514,1524.66,1447.959,1330.281,1957.582,1849.921,1652.526,10139.339,1977.315,17272.588,2113.166,20441.364,2299.985,26013.168,2038.496,32108.795,25678.878,26847.369,15541.516,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21552.584,23538.797,26699.444,29163.831,32611.374,35322.122,,,42785.582,44199.937,44855.254,45405.965,45966.181,46778.372,46614.474,46368.405,47243.39,48150.085,48752.474,49531.439,50902.719,53275.759,53621.264,55978.328,58918.207,61074.089,61139.335,62883.937,63509.718,66830.697,68734.764,70608.518,72831.027,75415.038,77475.787,79366.782,77506.023,79360.502,82839.607,85710.797,86604.3,88674.988,89835.107,88786.828,89024.473,89412.211,90112.986,93721.746,106527.306,129669.958,142868.953,163374.299,209906.922,253057.139,290341.407,325126.273,348150.479,377426.224,384889.847,387813.1,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37641.806,40735.597,42971.345,45534.427,49432.388,53874.663,,,62621.312,65624.392,66297.883,66902.542,67608.676,68710.488,69338.722,71996.313,75611.425,78014.833,77226.35,86679.495,89305.913,94008.855,92225.6,95258.367,106659.459,115485.755,112205.554,121734.837,133924.309,145070.778,146326.109,153734.972,164727.543,178099.43,182095.536,191296.828,192108.385,194571.077,198825.689,199923.781,198225.576,195641.593,191363.274,197636.405,196799.017,201017.321,223793.264,222894.532,251860.885,295780.147,317073.763,345942.881,426230.852,493860.646,547102.961,591133.407,623283.496,679547.67,677783.621,686244.71,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160.629,1455.142,1704.127,717.051,11.343,90.893,,,77.367,1031.895,27.04,-10.771,4.612,60.496,112.387,314.551,38.162,87.959,11.966,348.725,28.218,44.616,120.946,345.714,1494.7,862.081,850.708,1408.988,1404.43,1388.028,605.795,1117.119,1068.521,1275.043,102.425,376.674,1047.954,1253.141,749.732,704.841,119.723,40.154,112.636,1549.794,1751.14,820.697,237.356,936.215,1269.541,602.076,808.408,2786.871,5716.188,7310.981,4130.063,6824.082,10412.751,8673.915,4568.793,9062.464,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3786.272,2961.713,2934.242,222.688,2414.486,-2837.97,,,-733.219,1431.937,2832.588,976.362,-1684.616,2266.257,502.235,1116.791,-899.195,474.318,-1383.912,69.688,-1598.783,1311.69,3596.731,-1405.122,-5112.424,5014.72,-1638.125,-791.004,-2062.43,522.971,-2799.107,-1692.91,3367.378,5324.892,-827.887,-1914.902,6893.998,5151.2641,-479.83,-3288.866,5017.143,10120.6301,4206.303,9572.007,12437.192,16177.857,-337.469,8942.531,21706.843,33420.34,11589.983,30903.319,47429.986,49637.056,14362.233,66909.917,15656.906,72338.583,10110.028,4085.831,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2244.524,-1824.689,-1159.267,-911.814,-883.249,-1262.011,-1235.755,-1014.88,-1617.714,-1623.393,-1166.297,-2268.741,-1997.668,-2348.568,-993.345,-2859.757,-2958.286,-3670.212,-2712.087,-3369.064,-2949.936,-3825.722,-3279.069,-3338.899,-3556.751,-4388.027,-4028.792,-4062.92,-674.42,-5140.184,-4791.903,-6712.846,-3663.321,-5045.971,-3865.333,-2456.779,-2653.051,-2539.954,-4136.896,-6150.487,-9781.805,-16448.032,-13379.731,-22565.832,-28073.661,-33169.401,-32191.344,-33503.807,-34888.536,-21039.029,-26057.362,-20857.489,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.847,27.557,24.597,21.302,37.769,50.147,58.149,43.205,25.52,145.339,16.763,37.236,293.709,449.154,1497.594,1.759,141.476,167.732,6.449,13.223,36.666,140.303,25.494,40.81,27.02,120.491,12.596,170.213,3582.477,170.788,68.762,96.937,66.983,180.437,65.528,108.06,28.232,57.157,70.952,48.88,530.075,176.482,74.631,108.116,76.231,9.259,166.393,75.322,141.352,87.726,36.987,273.823,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2253.371,-1852.246,-1183.864,-933.116,-921.018,-1312.158,-1293.904,-1058.085,-1643.234,-1768.732,-1183.06,-2305.977,-2291.377,-2797.722,-2490.939,-2861.516,-3099.762,-3837.944,-2718.536,-3382.287,-2986.602,-3966.025,-3304.563,-3379.709,-3583.771,-4508.518,-4041.388,-4233.133,-4256.897,-5310.972,-4860.665,-6809.783,-3730.304,-5226.408,-3930.861,-2564.839,-2681.283,-2597.111,-4207.848,-6199.367,-10311.88,-16624.514,-13454.362,-22673.948,-28149.892,-33178.66,-32357.737,-33579.129,-35029.888,-21126.755,-26094.349,-21131.312,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-110.9,-236.686,0,0,-155,-42,,,,,,,,,,,,,-245,-132.355,-610.2,-605.16,0,-283.42,,-521.971,,,,,,,,,-542.379,-144.049,,686.428,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,13.314,0,0,0,,,,,,,,,,,,,,0,0,10.762,3.145,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200,-250,0,0,-155,-42,,,,,,,,,,,,,-245,-132.355,-620.962,-608.305,0,-283.42,,,,,,,,,,,-542.379,-144.049,,,,,,,,,,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,185.593,0,0,0,526.682,0.5,2.62,12.58,0.391,0,0.8,0,0,-20.606,125.117,330.88,8.119,0,0,300.2,52.933,97.016,8.035,-11.941,4.766,0.931,0,0,221.398,0,0,0,95.8,0,146.808,28.318,-14056.438,0,16.395,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,185.593,0,0,0,526.682,0.5,2.62,12.58,0.391,0,0.8,0,0,0,127.807,331.977,10.598,0,0,0.2,352.933,97.016,8.035,-11.941,4.766,0.931,0,0,221.398,0,0,0,95.8,0,146.808,28.318,21.331,0,16.395,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.606,-2.69,-1.097,-2.479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14077.769,0,0,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-85.095,682.704,23.313,0.087,0,-76.97,91.09,-28.208,0,-25.532,-298.478,39.565,14.788,-126.157,-53.399,-582.841,53.029,-82.789,182.143,-2.528,-28.018,-786.219,23.423,-4.137,-34.674,-45.839,-1260.748,1251.338,-265,237.663,-863.931,316.892,-1151.44,609.54,-816.92,-43.5,-492.775,-1919.08,-150,-1917.376,401.284,-7646.895,751.02,-7658.084,-12806.487,-3918.954,9355.94,-2498.247,-1042.995,3833.277,-1326.462,-8000.464,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2355.077,-2581.314,-2996.36,-2566.55,-4115.8,-3004.055,,,-2329.619,-1141.985,-1135.954,-911.727,-994.149,-1575.667,-1144.665,-1043.088,-1772.714,-1690.925,-1464.775,-2229.176,-1982.88,-2289.132,-1046.744,-3442.598,-2905.257,-3226.319,-2529.444,-3368.972,-2965.374,-4611.55,-3500.646,-3474.591,-4201.625,-5039.026,-5310.146,-2969.885,-608.54,-5416.373,-5655.834,-6395.954,-4514.561,-4383.498,-4585.237,-2492.244,-3157.767,-4454.268,-4828.344,-8211.912,-9380.521,-23187.101,-12628.711,-30223.916,-40880.148,-36992.555,-22835.404,-35855.246,-35903.213,-31262.19,-27383.824,-28841.558,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,,0,0,0,0,0,0,0,0,0,0,-123.8,0,0,0,0,0,0,0,0,-1001.228,-76.739,-55.427,-543.049,-53.43,0,-134.643,-436.03,-52.3951,0,-135.705,-609.671,-52.5531,-83.208,-84.13,-209.817,-9.521,-40.6,-21,-432.712,-0.737,0,,-305.67,0,0,,-3324.525,0,0,,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846.94,217.652,-977.983,301.149,1640.678,-1048.84,785.244,1037.717,4282.245,126.821,-314.819,5344.718,973.651,-689.161,-1976.014,3682.897,7299.896,-1733.232,893.35,5677.712,-7238.237,5199.332,7787.328,4820.391,1416.387,259.378,5012.749,7326.579,-2187.039,-644.508,7092.344,7078.941,146.961,-3940.069,492.065,-8895.71,-7732.136,-8354.127,-3736.117,-7923.264,2457.446,-7804.491,-7550.045,3566.17,-6236.281,-6192.79,12566.568,-7120.485,267.263,12359.798,-4432.772,-5994.362,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3342.088,0,0,0,0,1700,-1700,0,0,14364.452,108.548,0,0,0,0,0,0,2.305,8.53,0.05,0.01,1.72,0.006,0,2280,520,0,25061.668,0,500,11752.051,276.625,0,196,35,0,0,0,98,0,98,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,3342.088,0,0,0,0,1700,,0,0,14364.452,108.548,0,0,0,0,0,0,2.305,8.53,0.05,0.01,1.72,0.006,0,2280,520,0,25061.668,0,500,11752.051,276.625,0,196,35,0,0,0,98,0,98,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.616,-285.325,79.705,-70.354,5.376,25.85,-268.21,-116.292,86.412,-184.159,2753.679,-2513.393,80.651,60.982,-87.115,133.097,-13.218,3206.141,647.749,-12.474,3.838,-217.11,58.434,-111.683,118.764,-33.092,-100.877,-1.737,-202.103,-1379.7,477,-125.338,-255.063,372.043,-97.323,755.138,-2252.175,-1991.897,-339.872,-1168.081,-3318.886,3015.435,395.833,-4953.982,-197.845,2884.948,-274.985,-267.48,-468.525,-368.707,-518.589,-1176.943,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.091,-1612.736,8.636,1871.478,2087.897,5620.757,,,1820.994,-67.673,-898.278,230.795,1646.054,-1022.99,517.034,921.425,4368.657,-57.338,2438.86,6173.413,930.502,-628.179,-2063.129,3815.994,8986.678,-227.091,1541.099,5665.238,7130.053,4089.542,7769.023,4653.281,992.102,172.856,4911.872,7190.199,-2822.867,-2068.0731,7569.394,6817.908,-716.053,-3620.5731,311.534,-5944.702,-9674.128,-10355.545,20945.079,-9112.345,-794.152,6962.258,-6877.587,-1387.812,-6543.796,-3272.842,12291.583,-7387.965,-3525.787,12089.091,-4951.361,-7073.305,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.098,34.167,1.875,33.11,-26.516,13.991,,,-26.483,0.877,5.695,-4.793,17.553,2.045,27.984,-73.197,-6.881,-16.06,22.822,32.161,4.317,-28.092,28.313,-14.115,51.618,138.81,-7.931,40.935,18.945,45.11,-6.922,13.53,-7.063,6.188,-37.597,52.427,59.525,-67.912,-6.249,17.86,22.571,19.152,-7.783,-13.881,-4.439,49.302,-13.175,29.436,-24.807,-35.299,25.678,116.072,283.251,184.619,-109.036,669.821,-190.273,80.268,-107.84,-123.144,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460.188,-1198.17,-51.607,-439.274,360.067,-207.277,,,-1268.327,223.156,804.051,290.637,-1015.158,-330.355,-97.412,921.931,1689.867,-1290.005,-387.005,4046.086,-2646.844,-1633.713,515.171,-1045.841,1020.615,1700.12,-2634.401,1546.197,2121.194,46.073,1462.348,-500.69,150.792,464.91,-1263.758,2357.839,3522.116,-2401.094,1427.481,-2849.052,-190.9,2135.711,-75.183,1121.18,-399.142,1417.346,15766.091,-8352.29,11507.363,17160.198,-7890.637,-592.337,289.293,9556.278,3709.376,24336.527,-23962.367,53245.752,-22332.997,-31952.176,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.95,932.423,658.271,579.995,149.315,540.696,538.377,541.246,373.378,430.847,214.628,417.295,174.223,375.493,597.767,617.773,219.565,251.427,799.51,668.061,713.222,1111.893,981.515,340.431,270.573,664.994,658.973,471.112,-525.293,724.838,892.573,633.782,268.662,-1271.265,18.154,-459.352,-1.762,199.149,999.36,546.655,-69.684,1473.4,1395.849,-147.338,2908.058,6752.457,4001.072,2256.02,5278.374,2827.446,4321.856,8206.26,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.606,2.69,1.097,2.479,,,,,,,,,,,,,,,,,,,,,,,
