SO US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,1.3,1.39,1.51,1.57,1.52,1.66,1.68,1.419,1.402,1.33,1.52,1.62,1.86,2.03,2.07,2.14,2.12,2.29,2.26,2.07,2.37,2.57,2.7,1.88,2.19,2.6,2.57,0.84,2.18,4.53,2.95,2.26,3.28,3.64
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,1.3,1.39,1.51,1.57,1.52,1.66,1.68,1.581,1.719,1.9,2.13,1.62,1.86,1.97,2.049,2.14,2.12,2.2376,2.26,2.3156,2.37,2.57,2.6739,2.7104,2.8049,2.8879,2.9414,3.331,3.1392,3.1071,3.2495,3.41,3.6037,3.6348
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,632,632,632,638,649.927,665,672.59,685,697,685,654,694,714,732,743,749,748,761,775,796,837,864,879,881,901,914,958,1008,1025,1054,1065,1068,1081,1098
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.955,1.39,1.51,1.57,1.52,1.66,1.68,1.419,1.402,1.86,2.01,1.82,1.85,2.02,2.06,2.13,2.1,2.28,2.25,2.06,2.36,2.55,2.67,1.87,2.19,2.6,2.55,0.84,2.17,4.53,2.95,2.26,3.28,3.62
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,1.3,1.39,1.51,1.57,1.52,1.66,1.68,1.419,1.402,1.33,1.52,1.61,1.85,2.02,2.06,2.13,2.1,2.28,2.25,2.06,2.36,2.55,2.67,1.87,2.19,2.6,2.55,0.84,2.17,4.53,2.95,2.26,3.28,3.62
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,1.3,1.39,1.51,1.57,1.52,1.66,1.68,1.581,1.719,1.9,2.13,1.61,1.85,1.97,2.039,2.13,2.1,2.2279,2.25,2.3086,2.36,2.55,2.6461,2.702,2.8038,2.8856,2.9146,3.3092,3.1222,3.1071,3.2495,3.407,3.6037,3.6138
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,3129,3325,3378,3509.7019,3476,3825,3802.4631,4136,4425,3466,3741,3749,3804,4026,4005,4360,4645,4812,5210,5056,5633,6279,6608,5553,5935,6677,7409,5790,7740,11377,9099,7984,9731,11064
EBITDA Margin (T12M),EBITDA_MARGIN,39.2351,41.3043,41.8432,41.3434,41.8947,41.6667,36.7108,32.7968,38.8056,37.2008,37.1647,36.9178,36.0603,35.9914,33.6498,32.1676,32.3558,31.3424,30.4198,32.1159,32.2697,35.561,39.9589,32.4984,32.1384,38.1783,37.2386,25.14,32.9432,53.1164,44.6577,34.5433,33.2354,43.8126
EBIT,EBIT,2144,2357,2409,2498.9939,2426,2691,2601.5381,2665,2652,2250,2404,2391,2646,2805,2827,2962,3224,3326,3506,3268,3802,4231,4463,3255,3642,4282,4486,2333,4191,7736,4885,3698,5370,5826
Gross Margin,GROSS_MARGIN,63.7492,66.3975,68.1903,69.3645,71.8573,71.4924,67.6808,57.8622,68.3066,70.6236,67.8025,67.5529,69.5137,67.8706,65.0143,61.4431,60.3302,58.5032,55.4329,59.1819,58.3983,61.0919,66.1305,65.0553,63.8436,69.152,69.9236,67.9693,66.1502,71.0911,75.1411,69.8698,59.6024,70.4906
Operating Margin,OPER_MARGIN,26.884,29.2795,29.8402,29.4375,29.2395,29.3137,25.1165,21.1323,23.257,24.1494,23.8824,23.5451,25.0829,25.076,23.7523,21.8533,22.4575,21.6635,20.4706,20.7584,21.7805,23.9622,26.988,19.0496,19.7217,24.484,22.5472,10.1298,17.8378,36.1175,23.9755,15.9997,18.3408,23.0705
Profit Margin,PROF_MARGIN,9.0157,12.2236,13.093,12.9025,12.9685,12.9739,11.9074,9.0001,10.0938,15.7883,14.9116,14.2688,12.6552,13.3649,12.8718,11.7382,11.1939,11.2942,10.5506,10.8493,11.6865,12.8448,14.6036,10.0076,10.998,13.843,12.5302,3.8209,9.5425,22.1952,15.3816,10.4184,12.0735,15.7447
Sales per Employee,ACTUAL_SALES_PER_EMPL,263523.114,264785.2115,277565.7555,295346.5708,298174.3693,287936.7668,354164.3515,410033.8145,358044.4612,282770.342,386841.3973,388752.7754,402971.9612,434205.4188,,,,574115.6234,627914.6502,602902.8799,672937.5482,669408.9548,625477.5143,649695.8175,700329.9329,654945.1373,621458.6912,734781.7764,775770.9833,766524.711,735559.5668,846630.0366,1057003.6101,898683.274
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,12.7381,13.4169,13.4339,12.4652,13.0101,12.5317,10.3057,10.0494,13.4309,13.2,13.5161,15.7901,16.0584,15.0758,14.8901,14.2611,14.1943,13.577,11.6715,12.7091,13.0432,13.101,8.8138,10.0778,11.6771,10.796,3.442,9.1062,18.1474,11.2443,8.57,12.0929,12.8565
Return on Assets,RETURN_ON_ASSET,,4.3017,4.585,4.4584,4.064,4.1357,4.054,3.4623,3.2212,3.9443,4.3034,4.7364,4.3328,4.4642,4.2473,4.1411,3.8847,3.9121,3.8391,3.4026,3.8103,3.9685,3.9456,2.6783,3.0138,3.2595,2.6519,0.7975,1.9674,4.0354,2.594,1.9228,2.6941,2.8998
Return on Capital,RETURN_ON_CAP,,8.7414,9.0349,8.9619,8.2309,8.3296,8.1053,7.4077,7.0782,6.8668,7.8348,8.3319,8.2222,8.5383,8.368,8.3734,8.0708,8.0366,7.5854,6.7115,7.1346,7.2522,7.2668,5.3037,5.7952,6.1829,5.5674,3.172,5.0269,7.6511,5.7447,4.6102,5.5798,6.254
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,7.0474,7.3287,7.1334,6.5183,6.6603,6.1827,5.8657,5.4648,3.8607,4.5707,5.2705,6.1428,9.3669,9.5579,6.7353,6.7754,6.3894,6.2233,5.4304,6.175,5.8013,5.8649,4.4414,4.5919,4.9636,4.2518,2.1166,3.7393,5.9129,4.0435,2.9502,3.7156,4.3218
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,63.7492,66.3975,68.1903,69.3645,71.8573,71.4924,67.6808,57.8622,68.3066,70.6236,67.8025,67.5529,69.5137,67.8706,65.0143,61.4431,60.3302,58.5032,55.4329,59.1819,58.3983,61.0919,66.1305,65.0553,63.8436,69.152,69.9236,67.9693,66.1502,71.0911,75.1411,69.8698,59.6024,70.4906
Operating Margin,OPER_MARGIN,26.884,29.2795,29.8402,29.4375,29.2395,29.3137,25.1165,21.1323,23.257,24.1494,23.8824,23.5451,25.0829,25.076,23.7523,21.8533,22.4575,21.6635,20.4706,20.7584,21.7805,23.9622,26.988,19.0496,19.7217,24.484,22.5472,10.1298,17.8378,36.1175,23.9755,15.9997,18.3408,23.0705
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,284,226.087,21.6255,-37.9887,30.0113,,2.8166,-1.0762,-19.2713,20.5607,,64.7208,24.9608,3.0726,8.1719,32.6683,10.2307,10.1466,-17.1965,31.1734,213.4328,,,28.0435,,8.4753,,400.431,,-273.0843,,27.1164,
Pretax Margin,PRETAX_INC_TO_NET_SALES,17.8182,19.6398,20.6243,20.8747,21.2245,21.4924,19.349,14.7094,16.7412,18.3428,17.5839,18.3555,17.6604,18.836,17.8037,16.1281,16.6411,16.7329,15.893,16.5407,17.5642,19.7485,22.6704,14.9763,16.2885,20.7502,17.491,4.6372,11.7004,30.543,17.1583,11.1452,14.4233,17.2059
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,11.7492,12.2236,13.093,12.9025,12.9685,13.1155,12.0346,9.23,10.7954,11.9137,11.7425,12.8607,12.6552,13.3649,12.8718,11.7382,11.2009,11.2942,10.5506,10.8493,11.6865,12.8448,14.6036,10.0076,10.998,13.923,12.7111,4.0207,9.7893,22.1486,15.2294,9.99,11.7081,15.2418
Net Income Margin,PROF_MARGIN,9.0157,12.2236,13.093,12.9025,12.9685,12.9739,11.9074,9.0001,10.0938,15.7883,14.9116,14.2688,12.6552,13.3649,12.8718,11.7382,11.1939,11.2942,10.5506,10.8493,11.6865,12.8448,14.6036,10.0076,10.998,13.843,12.5302,3.8209,9.5425,22.1952,15.3816,10.4184,12.0735,15.7447
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,7.5737,10.882,11.8048,11.8015,11.92,12.0153,10.8812,7.7076,8.5679,13.6954,13.0439,12.4274,12.4941,13.1772,12.6197,11.5169,10.9571,10.9816,10.1711,10.4364,11.3142,12.4766,14.2106,9.6213,10.6298,13.5342,12.304,3.6559,9.4744,22.1252,15.308,10.3535,12.0359,15.7447
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,34.0605,37.7609,36.5165,38.1905,38.8984,38.9762,37.8024,37.2507,35.516,35.0497,33.2203,29.9356,28.3414,29.046,27.7017,27.2187,32.6915,32.5029,33.615,34.4086,33.4638,34.9584,35.5828,33.177,32.4801,32.9016,27.3276,13.2959,16.3332,27.4839,11.2414,10.3649,18.8255,11.4154
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,4.22,4.61,5.42,5.52,5.75,5.95,5.59,5.84,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.03,3.41,4.72,4.8,5.33,5.43,5.03,5.49,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,3.58,4.2,4.62,4.73,5.47,4.96,5.33,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,8.29,8.27,8.16,7.87,7.64,7.39,7.3,6.96,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,38.3362,38.0042,39.3321,45.2872,44.7641,45.0257,36.103,43.1144,47.3896,41.8771,46.9973,49.0896,55.8998,55.8998,56.3223,63.2331,66.6734,67.4882,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,13.3494,13.3494,14.769,28.209,26.2458,27.6654,18.061,32.4373,30.4742,27.6654,35.8502,36.6959,52.7031,52.7031,52.7031,54.4246,54.4246,55.8442,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,20.9794,19.9819,22.5514,26.9952,27.3881,26.7533,9.5526,13.7243,28.5369,14.7823,20.0121,25.4534,29.8972,29.8972,31.1669,43.9238,54.2624,55.2902,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,80.5238,80.5238,80.5238,80.5238,80.5238,80.5238,80.5238,83.0223,83.0223,83.0223,84.9789,84.9789,84.9789,84.9789,84.9789,91.2402,91.2402,91.2402,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,198.673,196.859,191.416,179.622,93.44,103.419,96.161,63.503,65.317,73.482,57.169,41.263,38.669,41.8,31.612,23.772,26.859,28.339,26.241
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,891.762,912.627,922.606,746.612,476.272,352.895,306.628,185.066,201.395,219.539,111.329,30.162,19.67,22.1,15.238,8.63,12.321,9.295,8.664
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,101200,102600,88193.797,75112,82465.398,84875.102,79300
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,,,3931.61,2832.31,207.136,200,174.095,236.359,300
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,166549,206045,170858,156515,165538,170253,
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.763,83.732,91.333,103.348,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,9131180,9756140,9896460,9412540,9683090,10184900,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.638,16.741,63.783,60.708,26.602,34.252,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,0.052,0.034,0.026,0.087,,,0.055,0.032,,,0.208,0.189,0.36,0.228,0.258,0.196,0.136,0.14,0.2
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.392
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,9538140,9578210,9578210,8937080,7526330,8084550,7732210,6173610,6086560,6306250,5196720,4101000,4092710,4534860,3295450,2578710,2526090,2802920,2797760
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,6.417,7.33,9.614,7.342,6.517,6.57,,,,,,,,,,,108.5,118.2,92.1
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,16.9,17.5,18.1,18.5,18.6,19,,,,,,,,,,28,26.8,26.69,30.25
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,23,23,24,22.87,24.47,25.01,24.88
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,24.2,24.2,24.6,24.6,24.8,24.9,,,,,26,26,26,25,26,25,25,26,25
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,10.1,21.5,22.5,22.5,22.6,22.5,,,,,26,26,27,27,28,28,29,30,30
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.21,,0.26,0.26,0.39,0.37,0.43,0.49,0.53,0.46
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,25554,26091,26742,27276,26112,25940,26377,26439,26300,26369,31569,32020,28606,28670,27739,27700,27300,27700,28100
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,4.7,,5.1,5.1,5.3,5.1,4.5,4.2,5.2,,7,9,8,8,6.7,5.7,7.7,8.9,8.3
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814752,1016070,1052190
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Risk & Oversight,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years Auditor Employed,YEARS_AUDITOR_EMPLOYED,,,,,,,,,,,,,,,,,,,,,,,11,12,13,14,15,16,17,18,19,20,21,22
Size of Audit Committee,SIZE_OF_AUDIT_COMMITTEE,,,,,,,,,,,,,,,,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,5
Number of Independent Directors on Audit Committee,NUM_IND_DIR_ON_AUD_CMTE,,,,,,,,,,,,,,,,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,3,3,5
Audit Committee Meetings,AUDIT_COMMITTEE_MEETINGS,,,,,,,,,,,,,,,,11,10,10,9,10,10,10,10,10,10,10,10,9,10,9,9,10,9,9
Audit Committee Meeting Attendance Percentage,AUDIT_COMMITTEE_MTG_ATTEND_PCT,,,,,,,,,,,,,,,,94,97,97,98,95,92,97,99,97,98,95,96,94,94,96,98,100,100,100
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board Composition,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Conducts Board Evaluations,COMPANY_CONDUCTS_BRD_EVALUATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Board Size,BOARD_SIZE,,,,,,,,,,,,,,,,10,10,12,12,12,13,13,13,13,14,15,15,15,14,15,15,14,13,15
Number of Executives / Company Managers,NUM_EXECUTIVES_COMP_MANAGERS,,,,,,,,,,,,,,,,10,10,8,9,11,11,11,11,10,11,11,12,13,11,11,13,12,12,12
