XOM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29105,30358,32064,24411,32541,32642,33173,26715,35207,35241,35342,26708,34527,33921,35105,28489,35641,35643,37048,30095,37169,35110,35012,29835,34471,34162,34315,29447,34915,34182,35553,30253,38268,37719,37649,39160,,39691,40427,40790,42068,42533,42920,43164,42981,43192,43609,43515,44181,44774,45641,45195,46329,46820,50235,49793,49044,47273,48066,47630,47608,47948,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,5983,5903,6586,5476,6064,5909,6310,5536,6383,6445,6547,5693,6736,6686,7037,6147,7389,7673,7886,6654,8284,8519,8320,7187,8432,8508,8976,9010,8386,8606,8429,8458,,,,15086,,,,4793,,,,15528,,,,15518,,,,18249,,,,22249,,,,,25247,25971,,,,,,,,31537,32312,7056,,,,5884,6344,6946,7045,7307,7692,8063,8695,8640,8578,8851,9315,9092,19863,7987,7618,7618,7676,7888,8232,7320,8103,8110,7751,8374,8335,8798,8530,7831,8366,8401,4631,8537,9663,10126,10470,2670,50159,10335,11073,3358,9542,9335,9368,3248,14165,14763,15245,3849,16753,16661,16697,3752,18414,18632,17526,1316,17080,17479,17189,2371,17210,18238,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,66127,66911,68848,69371,66818,66233,68425,70548,68837,70560,70407,68606,68557,68294,68759,69286,69166,70116,71340,71402,72819,73172,73208,73978,73615,73995,74890,75617,73879,74126,75437,74872,74912,74936,77150,110741,74022,74806,76346,113380,110858,109567,108803,108601,106259,106338,107577,107493,106582,112095,112930,114353,117021,121037,124029,128318,127727,126739,129498,111502,132662,132186,134991,127602,137528,140352,142194,136924,145234,147595,151414,156119,160444,162776,160197,155786,157673,165165,171983,178088,181052,228852,237361,243526,247511,253899,253851,258089,268992,256848,263053,269335,277045,278771,286261,287500,291169,294573,294169,296583,292303,296613,293428,294135,298538,296645,296441,288898,301078,300832,303675,301557,300511,298235,300653,298223,304613,308986,309353,312545,305555,308479,309350,287857,285575,284447,281133,279769,277516,274611,270863,271436,272147,271488,271117,279708,278541,364469,
Total Assets,BS_TOT_ASSET,82285,82608,86157,87707,83661,81744,84593,87560,84507,87218,87543,85030,84735,84550,84987,84145,84654,86102,87790,87862,91271,91158,90706,91296,92579,92396,93468,95527,95647,94920,97123,96064,94953,93216,95227,139335,90731,91235,94394,144521,143238,146618,148252,149000,148786,147660,147904,143174,142037,148232,149473,152644,162495,165103,166987,174278,180202,180989,187433,195256,201252,201816,209721,208335,216002,221010,223947,219015,223299,228315,236661,242082,258202,266758,256218,228052,222491,224661,229307,233323,242748,291068,299994,302510,319533,326204,323227,331052,345152,329645,335191,333795,339639,341615,347564,346808,353033,358586,352764,349493,342961,348260,340662,336758,342789,342473,339386,330314,344209,343012,349427,348691,348826,348790,354628,346196,356189,360729,359361,362597,355804,361495,358043,332750,333770,337289,336688,338923,354771,367774,370152,369067,369371,363248,372259,376317,377918,460707,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,1280,1100,1075,1555,2240,1125,1115,1120,1295,930,1145,1400,1185,1235,1360,1500,1160,885,1155,1900,1660,1630,1500,1680,1885,1570,1560,2495,2175,1965,1820,2500,1820,1620,1400,3234,1484,1954,2188,4185,3480,4530,4490,5220,5000,4460,3180,2680,2090,2640,2640,4090,7040,4170,3650,6650,5440,5790,5680,8420,7860,7640,9920,10710,8400,10360,10490,10250,9280,10260,9410,11660,10890,11680,14830,7820,4550,3950,4730,6050,6300,7560,7350,9250,10650,10680,10330,9400,9450,15910,9570,9950,9500,6860,7870,8350,9100,8780,8070,6570,4940,4190,4240,2780,1810,1700,2650,1680,4010,3350,3970,8380,4650,3950,6240,6000,2350,3130,3170,5690,-610,-1080,-680,-20070,2730,4690,6750,8870,5480,17850,19660,12750,11430,7880,9070,7630,8220,9240,
Cash from Operating Activities,CF_CASH_FROM_OPER,1770,2751,1961,4164,2750,2593,2799,2800,2480,1756,2591,2784,2612,2688,3177,3026,2363,2055,2683,2750,3282,3048,3944,3573,4077,2983,3140,2962,4566,3553,4088,2661,3015,2829,3508,7084,3060,3461,4240,7156,5490,5964,5408,6075,8729,5515,5255,3390,4624,4116,7449,5079,8646,7349,5704,6799,10138,8652,9453,12308,12968,9013,15767,10390,14631,11296,14497,8862,14286,11318,15063,11335,21420,13418,14403,10484,8910,2197,8827,8504,13046,9235,13077,13055,16856,12889,14849,10751,19287,10217,13442,13224,13592,7683,13431,10208,15103,10202,12396,7415,7998,8792,9174,4380,4812,4519,5355,7396,8173,6947,7535,7411,8519,7780,11108,8607,8338,5947,9079,6352,6274,0,4389,4005,9264,9650,12091,17124,14788,19963,24425,17621,16341,9383,15963,13682,14664,10560,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,-1399,-1647,-1779,-2303,-1413,-1846,-1842,-2108,-1437,-1790,-1969,-2093,-1554,-1872,-2106,-5676,-2423,-2788,-2405,-4716,213,-805,-1530,-554,-1741,-1884,-2350,-2936,-1658,-2727,-2703,-1556,-1605,-3046,-2833,-3085,-2356,-2004,-2267,-2605,-916,-1706,-2738,-2443,-3336,-4250,-3715,-1081,-2568,-2651,-3186,-2778,-3566,-3713,-2512,-3542,-4532,-4795,-5318,-6301,-5332,-5216,-7046,-6016,-5710,-6315,-6070,-1747,-5330,-4615,-7419,-9252,-7134,-8346,-8892,-6590,-6217,-5986,-8071,-8643,-6360,-6480,-5910,-5351,-4424,-3242,-2428,-1794,-2203,-2944,-4059,-3093,-1908,-4620,-3713,-5210,-5092,-6140,-5825,-3612,-5859,-4374,-3191,-2859,-2093,-2497,-2822,-1488,-3618,-2898,-2194,-4450,-4558,-4072,-4003,-5208,-4371,-5309,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,110,0,0,125,135,43,1219,234,286,78,358,1982,1227,505,2056,287,458,143,190,768,110,181,1734,1333,248,240,469,454,928,570,802,1797,2029,754,1456,394,,,2686,538,1135,749,1782,413,1159,2630,1783,141,770,172,462,424,428,755,1654,1341,1497,1408,6887,2513,3730,607,805,360,305,206,1836,1111,2556,127,241,484,629,491,785,177,1029,976,2093,687,154,854,1408,1441,307,1491,884,107,33,460,3092,86,43,100,770,307,250,18,2601,293,939,2682,1333,854,1287,917,1020,703,926,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,-1399,-1647,-1779,-2303,-1413,-1846,-1842,-2108,-1492,-1900,-1969,-2093,-1679,-2007,-2149,-6895,-2657,-3074,-2483,-5074,-1769,-2032,-2035,-2610,-2028,-2342,-2493,-3126,-2426,-2837,-2884,-3290,-2938,-3294,-3073,-3554,-2810,-2932,-2837,-3407,-2713,-3735,-3492,-3899,-3730,-4250,-3715,-3767,-3106,-3786,-3935,-4560,-3979,-4872,-5142,-5325,-4673,-5565,-5490,-6763,-5756,-5644,-7801,-7670,-7051,-7812,-7478,-8634,-7843,-8345,-8026,-10057,-7494,-8651,-9098,-8426,-7328,-8542,-8198,-8884,-6844,-7109,-6401,-6136,-4601,-4271,-3404,-3887,-2890,-3098,-4913,-4501,-3349,-4927,-5204,-6094,-5199,-6173,-6285,-6704,-5945,-4417,-3291,-3629,-2400,-2747,-2840,-4089,-3911,-3837,-4876,-5783,-5412,-5359,-4920,-6228,-5074,-6235,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,-245,0,0,0,555,0,0,0,140,0,-1754,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1868,0,0,0,571,0,0,0,155,0,,1674,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,-2113,0,0,0,-16,0,0,0,-15,0,-1754,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,332,-228,-170,503,407,-44,-380,-757,122,-182,-287,-1062,645,54,-280,-1041,649,-338,-281,670,421,-406,-452,-677,870,-590,-502,-51,775,-4565,-603,-1285,-170,-422,-1427,-448,-167,977,-273,-2385,-670,-434,-556,3115,-734,-755,-1592,1160,-208,-178,-966,-676,165,138,167,-1204,357,-2435,100,-265,-21,859,-73,250,-2920,-147,-50,-122,-89,1809,426,-204,8,-11,253,27,75,95,-807,122,-1558,66,1504,-3443,49,-476,-194,-374,-701,-737,-325,-652,-508,-707,-518,-443,-262,-219,-232,-622,-327,-166,-184,-905,-367,-284,-276,-506,-206,440,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,-1779,-2303,-1413,,-1842,-2108,-1105,-2018,-2139,-1590,-1147,-1916,-2486,-6433,-2301,-2970,-2692,-5778,858,-751,-1810,-1595,-1092,-2222,-2631,-2266,-1237,-3133,-3155,-2233,-735,-3636,-3335,-3136,-1581,-6569,-2870,-3890,-1086,-2128,-4165,-2891,-3503,-3273,-3988,-3466,-3238,-3085,-3742,337,-4300,-4468,-4104,-2627,-4740,-4973,-6284,-6422,-5167,-5078,-6879,-7080,-5353,-10504,-4296,-2012,-5351,-3756,-7492,-9002,-10054,-8493,-8942,-6712,-6306,-4177,-7645,-8847,-6352,-6491,-5657,-5324,-4349,-3147,-3235,-1672,-3761,-2878,-2555,-6536,-1859,-5096,-3907,-5584,-5793,-6877,-6150,-4264,-6367,-5081,-3709,-3302,-2355,-2716,-3054,-2110,-3945,-3064,-2378,-5355,-4925,-4356,-4279,-5714,-4577,-4869,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1061,-1131,-1017,-1014,-1009,-1004,-1001,-2829,-1455,-1455,-1453,-2883,-1531,-1532,-1533,-1527,-1522,-1515,-1646,-1571,-1563,-1558,-1551,-1545,-1541,-1667,-1658,-1649,-1642,-1763,-1753,-1738,-1728,-1840,-1822,-1795,-1957,-1926,-1892,-1853,-1825,-1961,-1932,-1903,-1879,-2098,-2063,-2018,-1981,-2039,-2011,-1992,-1986,-2066,-2234,-2212,-2188,-2308,-2277,-2247,-2221,-2657,-2622,-2592,-2561,-2794,-2770,-2750,-2732,-2966,-2946,-2924,-2910,-3066,-3060,-3054,-3054,-3133,-3133,-3133,-3134,-3289,-3289,-3289,-3291,-3502,-3503,-3502,-3505,-3715,-3716,-3716,-3719,-3715,-3716,-3715,-3720,-3721,-3720,-3763,-3760,-3727,-3685,-3767,-3738,-3701,-3663,-3839,-3808,-4285,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,-142,-60,39,-205,-126,-22,2571,789,1303,101,1379,-3531,-786,0,-1388,-691,-1694,13,-400,-346,535,-478,-18,-187,-611,-636,-690,320,-154,-152,-1965,9,-286,-738,-487,-55,206,186,-264,331,-61,-91,419,179,-411,551,-846,-192,-33,188,-116,-97,-583,-2262,-3268,812,576,247,322,-403,567,-3088,16,1592,6176,1921,1915,-1168,432,312,7390,3877,923,198,4257,4341,1400,1875,-3323,433,-1681,-1589,1789,-1922,568,-1299,-2272,2999,4365,1958,-660,12760,9838,-928,-1529,-4065,-2953,-3812,-8824,-732,-301,-1169,-5018,-298,84,503,-528,-1003,-2699,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166,-748,-568,-691,-797,-856,-678,-709,-77,-215,-52,92,109,86,-856,-1198,-1370,-1406,-1289,-1355,-1317,-1052,-1033,-1097,-1155,-1056,-1577,-1659,-1745,-1730,-2760,-2756,-3087,-3609,-5289,-5295,-5764,-6502,-7843,-7814,-7788,-7396,-7453,-7737,-9334,-8304,-8600,-8410,-7731,-5127,-4098,-1758,-2453,-1471,-3095,-4909,-5269,-5273,-5255,-5074,-5622,-5008,-5000,-5115,-5619,-4017,-3000,-3264,-3858,-2989,-2998,-3193,-1781,-1003,-501,-747,-721,1,-1,-250,-501,-13,-1,-232,-427,-2,-1,-196,-421,0,0,-173,-305,0,0,-100,-1,0,0,-154,-2067,-3919,-4494,-4675,-4340,-4340,-4412,-4656,-3011,-5326,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,340,0,0,0,507,0,0,0,348,109,86,0,298,0,0,0,301,0,0,0,299,0,0,0,434,0,0,0,960,0,0,0,941,0,128,142,1365,0,237,1010,201,131,457,63,435,121,119,135,614,42,97,177,849,384,239,213,348,82,4,98,139,2,14,44,38,2,14,4,125,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-166,-748,-568,-1031,-797,-856,-678,-1216,-77,-215,-52,-256,0,0,-856,-1496,-1370,-1406,-1289,-1656,-1317,-1052,-1033,-1396,-1155,-1056,-1577,-2093,-1745,-1730,-2760,-3716,-3087,-3609,-5289,-6236,-5764,-6630,-7985,-9179,-7788,-7633,-8463,-7938,-9465,-8761,-8663,-8845,-7852,-5246,-4233,-2372,-2495,-1568,-3272,-5758,-5653,-5512,-5468,-5422,-5704,-5012,-5098,-5254,-5621,-4031,-3044,-3302,-3860,-3003,-3002,-3318,-1781,-1003,-501,-754,-726,-1,-1,-250,-501,-13,-1,-232,-427,-2,-1,-196,-421,0,0,-173,-305,0,0,-100,-1,0,0,-154,-2067,-3919,-4494,-4675,-4340,-4340,-4412,-4656,-3011,-5326,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,-84,-243,-139,-64,-79,213,-518,-71,-280,-4,-374,-155,-96,-378,69,-228,-286,26,-277,-86,170,5,106,71,-186,-4,-54,-222,-153,13,464,-442,-667,-161,-491,-78,367,-339,45,-16,150,619,107,846,-82,-2481,-1820,-201,-56,-107,-29,-84,-57,-106,-41,-104,-60,-112,-46,116,-55,-150,-34,-106,-80,-40,-79,-58,-73,-41,-76,-40,-48,-39,-43,-42,-43,-37,-40,-44,-76,-109,-105,-102,-308,-156,469,-117,-102,92,93,49,154,150,61,1,-348,-125,-218,-154,-724,-445,-477,-131,-219,-487,-532,-160,-248,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-899,-2105,-1888,-1805,-2075,-2065,-1488,-1485,-814,-647,-1408,-1786,-5108,-2328,-2767,-4044,-3811,-4901,-2896,-3603,-3312,-1905,-3057,-2554,-2812,-3520,-3875,-4052,-3289,-3800,-4652,-5995,-5248,-6402,-8010,-8068,-7854,-7855,-9888,-9886,-9298,-9268,-8857,-9114,-10188,-10895,-12593,-13094,-10105,-7255,-6028,-3895,-4620,-4177,-7697,-10430,-6749,-7065,-7397,-7045,-8130,-7153,-10860,-7725,-6694,-715,-3889,-4178,-7816,-5596,-5673,1197,-854,-3194,-3402,413,524,-1775,-1296,-6746,-3246,-5059,-4988,-1837,-5742,-3244,-4959,-5501,-1044,548,-1666,-4456,8785,6277,-4494,-5283,-7785,-7022,-7657,-12959,-6713,-8671,-9793,-13937,-8507,-8176,-8059,-9555,-7982,-12558,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-530,635,381,34,-210,-470,491,36,254,134,-421,-52,200,-176,163,30,-212,-80,101,16,-24,53,-199,-111,-224,52,-162,-60,154,-85,-89,-414,74,135,232,-127,30,-135,-3,-149,43,9,-125,106,-369,-32,70,112,27,38,-77,-21,142,-441,-651,872,102,30,-209,182,-324,6,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,4164,2750,,2799,,2480,,2591,2784,,,3177,3026,2363,2055,2683,2750,,,2165,1270,2664,,1298,854,2562,-570,61,-734,-207,-1152,-466,-834,-55,-156,140,-408,1240,2885,831,436,3826,-1608,-272,-2479,75,-922,1237,292,5099,193,-1506,-389,5268,-1717,1931,2423,6634,483,3592,-569,3274,168,621,-4490,1750,-1035,2464,2558,6932,-1945,-2294,-5237,-6465,-9396,-3104,-1779,3049,-490,-1008,-4419,5008,-4546,2735,1642,6006,-868,-4747,-3473,-3368,-1605,701,-666,957,482,-1121,-346,568,-841,-47,-591,1141,-488,735,-1436,1240,-855,224,-1089,948,-695,2239,-2627,1544,-373,1138,-2262,8323,1164,-3744,-4468,-849,-50,1303,2034,4272,7787,11603,-799,3011,-3119,3416,-1405,1781,-6861,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565,924,238,2902,650,617,662,2636,974,1608,1629,4460,1491,2691,2357,3316,1644,1479,1237,1746,1168,2802,1268,2911,1502,3529,3461,5018,3820,7047,4237,7431,4088,8133,6416,7528,3998,8384,5565,8395,4849,11078,9267,8747,3817,4723,3602,3285,3896,5591,4463,4991,5173,8374,6802,6905,5416,6911,5568,6454,7220,7440,5211,5195,4145,6221,3972,3747,1226,2846,1522,1675,749,1395,905,1165,1970,1277,1364,2899,2117,2309,2314,2554,1793,2091,1375,1759,1372,396,573,87,855,1224,1437,1825,1798,3747,4627,5192,4404,4437,2786,3846,2718,4250,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
