NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,30.793,0,0,23.931,22.244,27.213,23.949,45.015,39.963,40.157,34.764,30.068,27.514,27.416,23.268,19.207,15.421,22.989,29.428,26.538,45.511,50.914,54.735,78.173,106.926,125.001,145.148,155.646,147.101,142.446,135.678,127.817,120.458,115.423,118.879,112.642,288.745,278.761,358.136,342.839,326.136,363.395,346.938,331.248,312.332,336.733,322.52,320.589,296.012,277.53,260.613,241.301,222,205,190,172,166,155,138,120,104,90,76,63,52,55,51,49,45,54,49,43,49,80,2854,2861,2737,2613,2478,2454,2339,2211,2036,1850,1676,1541,1395,1251,1112,986,952,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.005,,,,15.432,,,,21.239,,,,83.98,,,,75.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,409,405,399,393,387,3554,3553,3356,364,2590,1996,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851,,,,7.459,,,,3.527,,,,,,,,,,,,,,,,,,,,,,,,560,601,588,569,548,533,630,666,806,778,958,970,1222,1784,2225,2762,3396,4568,5398,5982,6081,7798,9578,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.412,,,,6.63,,,,8.792,,,,10.382,,,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,,266,285,307,314,299,505,800,1172,1546,1750,1819,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,0.59,3.538,3.367,3.189,4.122,5.339,20.181,14.943,40.566,47.696,46.508,67.818,66.529,66.634,66.465,53.79,55.488,56.037,50.934,7.731,7.255,8.277,8.132,9.034,10.678,15.977,24.713,65.498,31.028,47.311,54.508,35.729,33.454,25.912,25.156,38.051,40.389,35.404,37.193,13.609,44.677,42.068,42.901,20.866,41.867,44.367,39.719,9.968,38.01,44.322,46.323,18.511,118.085,116.006,111.499,18.717,107.125,104.486,102.346,104.252,99.354,95.43,93.679,91,89,66,73,67,66,64,64,62,47,60,70,319,273,220,312,108,110,110,116,118,119,157,2028,2144,2090,1481,3761,3166,2815,2634,2873,3134,145,148,139,2590,228,186,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22,23.281,26.28,29.991,29.075,34.565,40.247,57.606,86.018,201.131,223.528,240.413,269.065,280.653,290.674,283.401,265.413,286.744,334.07,400.676,346.632,341.233,334.595,328.505,323.61,315.437,326.303,355.532,404.388,438.826,457.54,505.265,643.493,646.635,638.862,719.209,858.842,1058.465,1145.83,1168.799,1182.769,1158.02,1130.504,1105.858,1105.088,1076.05,1075.306,1107.877,1268.296,1239.981,1546.867,1588.972,1647.57,1676.051,1678.03,1650.317,1636.987,1672.911,1646.984,1661.532,1626.183,1590.865,1556.133,1544.76,1488,1459,1371,1340,1317,1318,1305,1305,1305,1294,1332,1351,1986,2012,2051,2271,2735,3392,3384,3390,3625,3670,10499,12488,12736,12669,12844,14826,15358,15637,16058,17265,18109,19577,20758,21490,21383,23343,25594,
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.332,126.656,134.403,157.553,202.25,447.791,507.183,983.346,1016.902,1081.7841,1190.139,1247.35,1503.174,1599.717,1615.1541,1629.697,1617.015,1687.533,1780.113,1458.78,1399.344,1458.1899,1480.89,1539.656,1628.536,1635.094,1728.218,1805.508,1954.687,2161.453,2183.829,2531.153,2675.263,2800.868,3036.267,3475.263,3747.671,3807.458,3960.049,3648.898,3350.727,3178.704,3298.409,3463.574,3585.918,3803.03,3731.268,3915.579,4495.246,4736.744,4864.424,5089.043,5552.928,5708.167,5891.881,6075.144,6412.245,6279.527,5569.592,5711.373,7250.894,6864.663,6933.719,6885.869,7201,7291,6979,7174,7370,7108,7461,9612,9841,9410,9402,9830,11241,11460,12882,13657,13292,14021,14775,15810,17315,23254,25180,26881,28791,30796,38650,40632,44187,45212,43476,40488,41182,44460,49555,54148,65728,77072,85227,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.261,6.686,10.564,14.587,18.287,22.522,28.068,29.592,26.65,32.926,44.661,76.033,83.245,5.254,-48.636,50.936,19.747,24.15,6.356,24.166,21.349,5.119,25.879,48.009,65.522,73.833,203.802,97.374,90.676,86.753,106.511,163.506,132.259,172.732,235.661,256.993,176.805,-120.929,61.748,-147.665,-201.338,-105.302,107.577,131.076,137.594,-140.961,84.862,171.651,135.219,151.573,178.273,116.025,60.437,119.046,209.08,173.973,77.891,96.448,118.734,146.917,137,128,173,193,134,26,246,207,208,261,563,654,507,584,838,1118,1244,1101,1230,567,394,552,899,950,917,622,1336,1457,1912,2374,2464,3003,1618,656,680,1414,2043,6189,9243,12285,14881,16599,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36,-3.255,10.463,5.303,10.626,24.067,17.681,215.535,35.678,58.116,19.463,47.549,48.775,0.668,91.264,124.325,40.428,18.814,-8.615,-0.949,61.486,-28.891,0.434,99.171,89.579,47.347,215.115,225.383,50.396,17.002,289.318,215.965,295.198,321.679,400.848,252.471,145.245,80.957,43.003,-19.845,142.128,135.117,141.317,69.245,-5.397,34.344,212.177,434.673,172.2,82.021,244.417,410.518,-9.208,200.886,181.485,451.009,175.65,96.469,162.315,400.712,151,96,216,443,246,163,255,511,319,200,458,721,282,705,1158,1357,1445,913,487,898,720,936,1640,1465,909,1567,1279,2067,1874,2682,1519,3032,1731,1270,392,2248,2911,6348,7333,11499,15345,14489,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.483,-2.233,-5.233,-1.64,-7.451,-7.609,-6.534,-14.735,-31.741,-23.829,-21.245,-20.151,-21.192,-23.931,-8.06,-9.94,-25.592,-66.271,-23.385,-12.356,-18.599,-16.628,-14.057,-17.977,-13.504,-29.185,-56.155,-23.445,-20.667,-20.111,-28.786,-61.262,-26.336,-20.644,-70.426,-70.339,-202.173,-53.514,-109.008,-42.975,-20.777,-17.656,-16.593,-22.575,-17.08,-37.644,-21.823,-21.343,-31.195,-23.323,-39.035,-45.182,-28.923,-61.944,-44.684,-47.758,-65.667,-84.986,-38.159,-41.593,-8,-23,-39,-31,-30,-22,-12,-15,-55,-26,-38,-50,-54,-54,-69,-414,-118,-129,-150,-203,-128,-113,-103,-144,-155,-217,-473,-283,-298,-183,-221,-274,-361,-433,-530,-509,-248,-289,-278,-253,-369,-977,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.781,21,0,0,0,0,2,5,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.483,-2.233,-5.233,-1.64,-7.451,-7.609,-6.534,-14.735,-31.741,-23.829,-21.245,-20.151,-21.192,-23.931,-8.06,-9.94,-25.592,-66.271,-23.385,-12.356,-18.599,-16.628,-14.057,-17.977,-13.504,-29.185,-56.155,-23.445,-20.667,-20.111,-28.786,-61.262,-26.336,-20.644,-70.426,-70.339,-202.173,-53.514,-109.008,-42.975,-20.777,-17.656,-16.593,-22.575,-17.08,-37.644,-21.823,-21.343,-31.195,-23.323,-39.035,-45.182,-28.923,-61.944,-44.684,-47.758,-65.667,-84.986,-38.159,-66.374,-29,-23,-39,-31,-30,-24,-17,-15,-55,-32,-38,-51,-54,-54,-69,-416,-118,-129,-150,-203,-128,-113,-103,-144,-155,-217,-473,-283,-298,-183,-221,-274,-361,-433,-530,-509,-248,-289,-278,-253,-369,-977,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,374.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,-374.661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.948,0,0,0,0,0,0,0,0,0,0,0,0,-348.884,0,0,0,0,0,0,0,0,-17.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,-34,-7137,-1353,0,0,0,-203,-60,-36,-13,0,0,-83,0,0,0,-39,-279,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.948,0,0,0,0,0,0,0,0,0,0,0,0,-348.884,0,0,0,0,0,0,0,0,-17.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34,-7137,-1353,0,0,0,-203,-60,-36,-13,0,0,-83,0,0,0,-39,-279,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-24.5,-67.16,-0.499,-295.812,-140.735,-67.543,-46.918,-10.198,-89.542,-89.466,32.31,281.341,-8.54,-74.332,26.167,4.017,-40.544,8.893,-26.493,25.071,12.742,-136.847,5.08,32.417,-296.217,-53.436,-27.812,-136.746,-355.579,254.654,-121.132,81.106,11.623,11.872,-113.501,-78.904,-261.199,-40.262,-81.457,-142.161,-287.908,-221.311,98.989,-250.11,-283.313,-306.131,-22.759,-138.115,-93.678,-165.119,796.804,-132.069,-1058.003,-322,-41,24,-287,-205,269,-187,-198,231,-243,-289,-323,808,316,355,390,-3433,-676,369,242,1623,3660,1357,-7,-866,-6136,-175,-2846,-974,-2350,-4014,-1253,3009,2064,3678,506,-510,-157,-2891,-5856,-5285,-1929,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.483,-2.233,-5.233,-1.64,-7.451,-7.609,-6.534,-39.235,-98.901,-24.328,-317.057,-160.886,-88.735,-70.849,-18.258,-99.482,-115.058,-33.961,257.956,-20.896,-92.931,9.539,-10.04,-58.521,-4.611,-55.678,-31.084,-10.703,-157.514,-15.031,3.631,-357.479,-79.772,-48.456,-207.172,-425.918,24.533,-174.646,-27.902,-31.352,-8.905,-131.157,-95.497,-283.774,-57.342,-119.101,-163.984,-309.251,-252.506,-273.218,-289.145,-328.495,-335.054,-84.703,-182.799,-141.436,-230.786,711.818,-187.373,-1099.596,-330,-64,-15,-318,-235,247,-199,-213,176,-269,-327,-373,754,262,286,-24,-3551,-805,219,39,1495,3545,1256,-151,-1055,-13490,-2001,-3129,-1272,-2533,-4438,-1587,2612,1618,3148,-3,-841,-446,-3169,-6109,-5693,-3185,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-46.866,-46.267,-43.343,-43.397,-48.329,-47,-47,-46,-46,-46,-53,-53,-61,-62,-62,-61,-76,-82,-84,-84,-91,-91,-91,-91,-98,-97,-98,-97,-98,-98,-99,-99,-99,-99,-100,-100,-101,-100,-100,-100,-98,-99,-100,-99,-99,-98,-246,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.241,-0.448,-0.676,-0.032,-0.501,-0.471,290.391,-0.363,-0.23,-0.294,5.264,10.048,-0.87,-1.088,-1.613,4.37,-1.414,-1.39,-301.693,-3.551,-1.483,-1.35,-0.678,-0.504,0,0,-0.856,0.856,0,,0,0,0,0,0,0,0,0,0,0,-0.222,0.119,-0.215,-0.611,-0.282,-0.292,-0.301,0.304,-0.352,-10.698,-0.457,-0.42,-0.515,-0.496,-0.511,-0.527,-0.576,-0.593,-0.611,1304.941,-1,0,-1,-2,-1,-1,-1,3,0,0,1546,-229,-605,-136,-62,-9,-2,0,-10,-3,0,0,0,0,0,0,0,0,0,0,-1000,0,0,0,0,0,0,-1250,0,0,0,0,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,0.87,3.889,2.729,5.566,3.418,104.14,3.455,16.514,15.149,9.743,49.07,14.981,5.2,4.326,0.98,7.846,12.038,9.868,8.005,15.181,4.606,-13.608,11.679,-12.456,-30.158,-33.289,-27.723,43.125,-101.311,60.374,-56.006,-80.889,-37.429,-51.719,-156.506,-93.439,9.524,-272.991,7.688,-38.415,7.432,45.1,47.871,63.062,14.79,26.279,88.461,98.93,50.876,79.387,19.457,46.036,14.796,27.595,-54.782,-66.884,-734.453,39.829,29.275,-416,21,-274,27,3,-385,29,-104,-430,12,82,-211,65,-747,-95,7,-589,3,-134,-724,83,0,63,2,88,6,96,4,126,2,149,4,-1792,-3344,-3342,-1206,246,-3066,-3650,-2660,-7455,-7158,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,0.87,3.889,2.729,5.566,3.418,104.14,3.455,16.514,15.149,9.743,49.07,14.981,5.2,4.326,0.98,7.846,12.038,9.868,8.005,15.181,4.606,11.036,11.679,36.011,19.884,105.22,22.277,93.125,23.667,60.374,43.994,44.111,86.957,73.322,21.579,30.457,9.524,26.749,7.688,39.66,7.432,45.1,47.871,63.062,14.79,26.279,88.461,98.93,50.876,79.387,19.457,46.036,14.796,27.595,45.218,33.116,15.547,39.829,66.579,84,21,36,31,56,14,29,31,70,21,82,19,65,11,56,7,66,3,66,0,83,0,63,2,88,6,96,4,126,2,149,4,204,1,143,7,246,1,156,0,285,0,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.644,0,-48.467,-50.042,-138.509,-50,-50,-124.978,0,-100,-125,-124.386,-125.041,-178.085,-123.896,0,-299.74,0,-78.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-750,0,-37.304,-500,0,-310,-4,-53,-399,0,-135,-500,-9,0,-230,0,-758,-151,0,-655,0,-200,-724,0,0,0,0,0,0,0,0,0,0,0,0,-1996,-3345,-3485,-1213,0,-3067,-3806,-2660,-7740,-7158,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,200,0,0,-200,-0.035,5.134,0,-11.272,0,5.734,0,-5.734,0,0,0,0,0,0,0,0,-0.02,-0.345,0,-0.365,0,,0,0.188,0,0,0,0.22,0,0,0,-0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,0,0,2.5,0,,,-2,0,0,5,-11,-52,-2,-184,-6,-191,-1,-388,-41,-449,-67,-468,-51,-211,-50,-202,-87,4754,-204,-298,-247,-498,4599,-470,-647,-554,-318,-311,-352,-527,-683,-778,-870,-1792,-2916,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.689,0.422,3.213,2.697,205.065,2.947,394.531,-196.908,16.249,19.989,15.007,47.846,14.111,9.846,2.713,-0.384,6.432,10.648,-291.825,4.454,13.698,3.256,-14.286,11.175,-12.476,-30.503,-34.145,-27.232,43.125,-101.311,60.374,-55.818,-80.889,-37.429,-51.719,-156.286,-93.439,9.524,-272.991,7.632,-38.637,7.551,44.885,47.26,62.78,14.498,25.978,88.765,98.578,40.178,78.93,19.037,45.521,14.3,27.084,-102.175,-116.227,-778.389,-4.179,1288.387,-464,-26,-321,-23,-44,-439,-20,-173,-544,-52,1383,-522,-813,-968,-629,-134,-1131,-155,-703,-876,-225,-148,-236,-183,4744,-297,-301,-342,-471,4501,-1421,-744,-2446,-3762,-3753,-1656,-380,-5099,-4527,-3629,-9345,-10320,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
