AMT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.991,,,,,,,,,,,,,,,,6733.477,6110.31,5730.599,5662.203,5722.897,5576.252,5590.307,5290.654,5197.91,5166.27,5068.434,5085.972,4924.9,4825.663,8785.659,8786.854,8667.432,8607.674,8605.73,8613.219,8319.912,8384.091,8203.438,8130.457,8192.227,8265.54,8129.936,8211.665,8325.87,8486.487,8394.824,8512.668,8674.251,8585.923,9448.978,10368.014,,,,12242.395,12638.206,12709.359,12961.304,14089.429,14463.74,14339.394,18181.32,20272.571,20417.407,20847.737,20596.615,21263.565,25930.194,26469.725,26926.788,26904.272,27064.315,30740.198,30655.527,30879.2,32057.389,32138.21,32319.326,33214.3,34372.7,33205.7,33077.2,33010.4,38926.8,39072.7,39307.2,42801.6,40789.1,41515.9,41462.2,47233.5,46942.5,58982.9,60530,69887.9,69763.5,68116.8,66512.8,67194.5,66817.7,66879,65653,66027.6,66679,65837.8,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359,,,,,,,,,,,,,,,,-71.771,-101.168,-353.877,-615.063,-91.623,-107.715,-52.862,-73.121,-48.238,-65.197,-60.122,-81.907,-31.561,-36.151,-22.08,-91.567,-1.937,7.664,3.472,18.933,22.228,-19.991,59.628,-5.549,42.155,158.786,60.466,85.839,58.601,56.289,67.355,64.35,96.318,99.665,93.439,83.514,91.842,115.211,-15.701,205.11,221.306,48.209,232.089,135.679,171.407,99.821,180.123,99.982,202.499,234.431,207.593,180.387,193.317,156.056,102.999,232.702,275.159,187.55,264.509,229.182,316.1,367.051,317.248,238.501,285.2,306.7,366.9,277.6,397.4,429.1,498.6,562.7,415,446.1,464.4,365.1,645,746.3,723,453.4,711.7,898.2,839.7,-683.8,335.8,475.7,586.9,84.9,917.4,900.3,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,-8.003,40.475,2.667,70.01,7.059,43.528,29.438,76.361,31.716,73.674,43.773,67.537,92.555,72.454,95.195,137,151.696,140.945,182.528,145.569,171.387,210.777,181.637,128.878,182.382,176.751,403.944,186.932,205.738,203.608,240.053,192.727,253.649,262.747,258.223,246.358,283.816,275.522,290.66,315.944,402.017,360.858,353.672,297.844,394.036,390.485,359.922,454.604,476.582,595.8,497.224,564.983,509.93,526.53,507.155,623.285,563.512,747.804,667.115,723.269,678.2,789.703,668.697,789,791.8,940,753.3,1263.2,785.1,1036.6,937.2,993.7,800,988.8,960.3,1132.3,1092.7,951.9,2096.4,678.9,663.6,915.3,530.7,1586.6,1070.5,1209.4,1300.6,1141.9,1283.6,1338.5,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.652,-11.999,0,29.319,1.205,-0.57,-10.683,-6.305,-2.586,173.17,169.813,-168.033,-0.31,-0.277,-0.512,0.374,-0.05,-0.284,0.088,0.126,0.065,-26.301,16.462,31.937,2.07,-3.919,1.843,3.53,1.12,-8.176,2.727,13.432,-8.211,-15.848,-25.656,19.24,37.152,9.572,-1.913,-17.43,-8.99,3.793,33.563,-5.99,-7.5,-1.403,-13.432,16.782,-13.035,19.138,-13.393,46.805,-9.873,-24.696,25.463,18.606,1.184,1.417,1.858,7.841,3.8,3.449,2.851,4.6,-394.1,335.8,83.1,73.1,-6.6,19.4,365.6,5.1,5.8,3.5,5.4,4.9,4.4,-21.5,5.9,0.5,3.2,6,6.8,3.6,3.1,3.8,6.1,4.3,6,245.5,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.068,0,0,0,6.946,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.054,-12.789,-6.03,69.269,41.633,-5.412,-37.915,16.699,7.445,-8.457,-7.279,2.928,-7.292,-0.537,32.772,-16.115,0.912,-11.946,4.675,4.465,-0.966,3.251,-2.911,-53.336,-26.176,-3.605,-4.01,-8.713,-0.001,-90.87,-66.754,-144.282,-87.412,-42.929,-450.624,-342.798,-613.781,-253.65,-339.923,-1087.824,-161.274,-374.036,-290.296,-1187.107,-245.223,-67.043,-175.788,-3955.198,-64.13,-312.531,3.894,-641.892,-5080.362,-653.387,-943.404,-345.247,-32.478,-1194.097,-88.912,-116.613,-756,-94.293,-115.307,-1046.4,-688,-671.8,-109.7,-464.7,-95.9,-43.3,-915.4,-2325.1,-44.8,-178.4,-93.3,-3456,-118.3,-8767.5,-710.8,-9708.2,-130.2,-26.3,-150.3,-194.4,182,-22.6,-64.5,-9.6,-45.4,-9.5,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.489,,,,,,,,,,,,,,,,-90.849,-52.773,-10.924,39.289,24.017,-19.852,-61.841,1.666,-5.973,156.879,152.588,-178.674,-23.483,-21.459,9.558,-45.15,-27.514,-40.898,-28.855,-31.845,-32.346,-59.191,-25.829,-68.814,-68.731,-60.217,-122.736,-83.473,-48.508,-163.273,-132.6,-198.685,-150.68,-136.23,-572.25,-441.742,-674.53,-382.757,-502.344,-1231.181,-291.296,-475.613,-407.357,-1384.119,-376.628,-225.146,-356.864,-4214.699,-291.056,-545.749,-266.605,-846.138,-5249.419,-830.021,-1124.837,-537.423,-185.516,-1357.885,-242.801,-316.098,-920.3,-294.206,-295.994,-1290.4,-1280.6,-562.4,-212.1,-694.4,-323.3,-267.4,-810.1,-2586.7,-253.4,-385.4,-331.8,-3814,-438.7,-9066.9,-1018.9,-10167.7,-513.1,-390.4,-602.7,-849,-276.8,-439.7,-449.1,-529.9,-436.1,-89.2,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,-137.765,0,-82.881,-86.935,-185.758,0,-102.984,-106.727,-224.976,-0.554,-126.715,-134.644,-142.718,-152.037,-177.729,-186.246,-194.888,-209.984,-216.58,-225.402,-234.134,-250.4,-264.464,-274.636,-283.5,-304.3,-331.3,-339.5,-348.4,-377.1,-398,-407.1,-420.8,-454.9,-478.9,-488,-506.4,-544.9,-551.5,-578,-596.6,-641.2,-638.9,-665.8,-684.5,-733.6,-727.7,-731.9,-756.1,-802.1,-757.1,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.544,,,,,,,,,,,,,,,,45.886,11.266,-3.824,-41.598,179.289,-41.204,-34.446,-143.211,-82.704,-69.274,-101.857,22.934,-169.086,-91.102,-116.262,-29.994,-3.024,12.683,-40.086,-23.333,84.151,404.163,49.92,274.948,149.36,-0.686,48.711,49.476,-1.155,43.671,-97.16,23.445,14.291,-78.351,498.342,780.913,-25.54,129.351,151.025,1194.988,38.626,177.412,21.496,1256.605,43.872,15.045,3749.198,243.479,-144.131,-568.691,-18.502,521.501,1159.229,430.869,834.496,153.706,-118.282,892.074,-61.233,-123.159,301.8,297.633,-24.033,898.3,1163.4,-172.6,178.2,-208.9,215.7,-200.2,450.8,2214.1,503.6,606.7,-544.1,3653.9,134.9,6481.6,-1807.9,8978.8,432.9,-2193.3,-2041.7,-1633.4,-204.6,203.5,59.6,-7168.8,523.8,-232.8,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,4.271,4.509,14.68,17.096,7.5,3.267,35.27,19.32,-146.501,-107.596,3.418,-15.237,-452.168,-359.206,-330.913,-376.447,-171.106,-85.084,-384.885,-75.736,4.237,-53.881,-104.039,6.368,-11.367,-99.085,-117.658,-64,-117.55,-73.805,-138.817,-21.588,-5.05,9.007,22.135,-33.379,-6.34,-48.533,-57.166,12.523,13.795,600.269,16.979,-44.773,3783.505,12.132,11.96,21.303,14.582,45.779,16.24,15.899,-110.3,-448.56,-5.14,-82.6,20,-78.4,-68.7,-6.8,27.2,29.4,36.1,-6.8,-28.6,6.9,48.2,15.6,1.9,2386.5,33.8,36.4,8,2303.5,1.2,-7.4,1.8,8.5,2,9.8,13.9,9.8,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,4.271,4.509,14.68,17.096,7.5,3.267,35.27,19.32,16.179,19.183,3.418,2.16,46.845,55.018,8.552,13.672,11.644,28.732,64.266,7.018,8.898,7.203,19.886,29.986,47.469,42.61,32.263,16.166,10.173,30.055,20.698,24.716,15.615,15.519,22.135,12.616,6.14,13.612,13.221,12.523,13.795,600.269,16.979,14.338,3783.505,12.132,11.96,21.303,14.582,45.779,16.24,15.899,36.9,45.667,23.133,14,20,20.2,13.9,44.8,27.2,29.4,36.1,12.8,11.1,23.2,48.2,15.6,1.9,2386.5,33.8,36.4,8,2303.5,1.2,11.4,1.8,8.5,2,9.8,13.9,9.8,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-162.68,-126.779,0,-17.397,-499.013,-414.224,-339.465,-390.119,-182.75,-113.816,-449.151,-82.754,-4.661,-61.084,-123.925,-23.618,-58.836,-141.695,-149.921,-80.166,-127.723,-103.86,-159.515,-46.304,-20.665,-6.512,0,-45.995,-12.48,-62.145,-70.387,0,0,0,0,-59.111,0,0,0,0,0,0,0,0,-147.2,-494.227,-28.273,-96.6,0,-98.6,-82.6,-51.6,0,0,0,-19.6,-39.7,-16.3,0,0,0,0,0,0,0,0,0,-18.8,0,0,0,0,0,0,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.906,,,,21.051,-29.109,-0.771,,7.238,-4.2,-5.56,-28.212,-10.73,24.703,-11.847,-31.266,3.785,-12.107,-0.962,-17.216,6,3.1,-3.1,1.724,-4.5,-57.5,4.7,16.2,-16.6,14.1,-37.6,26.4,-118.3,3.2,8.2,78.2,-42.1,55.5,-74.8,-8.9,28.5,-88.7,-78,17.8,3.6,15.5,-61.6,65.7,-34,-119.5,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,,-6.394,-0.093,35.389,62.432,-25.881,6.186,-41.466,39.334,-6.767,99.158,-71.023,88.724,-92.76,-37.175,23.537,3.542,-27.128,4.881,116.748,74.062,-234.113,165.87,-130.286,-49.612,88.51,30.497,-55.398,76.842,159.961,20.599,-93.963,17.619,105.594,-49.994,68.985,512.085,-521.14,-30.281,-155.036,152.685,141.067,10.679,-99.625,-13.694,73.088,6.741,3591.906,-3746.777,39.863,-50.48,12.654,17.879,9.908,-48.698,12.702,15.288,15.717,74.135,119.82,263.928,-78.2,51.183,45.217,0.2,324,-308.8,323.2,11.6,-205.2,186.3,162.3,129.7,-177.7,705.8,-375.9,131.2,131.9,7.5,1698.5,-1356,-71.9,-68.3,-368.6,306.2,-215.3,224,82.2,-138.2,423.3,101.9,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,-0.319,0.471,0.744,0.276,0.882,0.455,0.996,0.279,0.71,0.913,2.355,0.958,8.495,4.499,4.567,7.333,6.302,5.953,6.886,4.547,10.432,5.063,8.992,11.72,114.682,15.722,7.62,7.494,11.502,13.764,7.454,7.899,102.026,34.314,,13.477,14.818,20.513,5.101,-0.897,13.673,15.689,40.812,95.251,-78.098,6.019,28.504,19.094,16.682,16.603,16.833,14.714,15.197,100.32,26.869,19.368,31.045,21.455,24.332,23.1,37.326,27.274,48.8,24.7,19.9,30.7,88.6,36.9,41,33.1,36.5,35.1,32.5,18.4,60.3,5.8,56.4,58.9,104.1,99.8,81.6,63.1,77.8,62.3,68.8,66.3,109.1,66.5,112.7,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.514,,,40.847,30.521,10.575,34.894,19.087,13.373,4.98,9.49,5.56,8.202,-4.018,-25.327,11.926,0.724,2.106,30.217,-18.71,10.061,3.935,6.698,23.268,28.312,3.823,4.321,10.184,1.145,92.121,67.909,134.428,88.487,43.985,451.798,315.336,617.348,275.206,328.018,1100.101,159.403,373.457,289.854,1175.241,245.094,66.076,54.488,4096.106,62.761,252.766,9.409,685.701,20.946,649.3,945.959,344.895,0.873,1215.594,93.448,101.385,777.8,79.445,99.655,1050.1,673.4,663.1,101.3,443.6,91.1,43.4,553.1,2272,49.3,183.4,100.9,3465.5,114.8,8767.8,712.7,9708.6,128.6,89.7,140.8,189.9,60.9,30.3,60.7,16.1,44.7,10.3,
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-91.254,-7.539,-21.924,5.643,-11.762,29.658,16.195,60.687,20.884,65.84,33.827,53.968,76.674,51.809,72.493,107.591,123.32,112.277,148.91,109.133,139.942,174.636,142.257,81.463,137.757,,283.375,108.642,156.111,139.381,171.48,124.892,198.592,185.294,162.253,128.174,185.915,136.843,130.152,190.017,280.985,255.488,203.048,106.822,270.131,233.785,192.278,178.321,262.691,343.444,240.118,313.932,350.746,374.592,300.259,412.503,409.29,582.599,511.368,515.943,510.1,586.341,485.159,540.4,593.3,713.6,567.8,960.4,564.3,793.1,676.9,727,585.6,778.3,716.4,769.4,767.9,674,1782.4,218.9,277.5,545.2,71.5,928.4,608.6,788.5,909.9,617.3,886.9,1013.3,
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.774,,,,,,,,,,,,,,,,,,,,,,,331.742,,,,,,,,267.94,184.396,756.565,1027.271,,,,,440.643,538.27,375.168,1554.449,437.908,405.53,4109.12,698.083,332.451,622.734,471.022,2449.671,1659.34,930.617,1314.87,750.21,418.449,1613.096,579.101,573.31,953.2,464.479,625.757,294.814,1944.4,768.8,931.5,1052.9,1000.8,836.4,1388,3207.8,1303.6,1595.5,416.2,4786.2,1227.6,7433.5,288.5,9657.7,1096.5,-1278,-1497.5,-60.3,865.9,1412.9,1360.2,-6026.9,1807.4,1105.7,
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4673,-0.0386,-0.1121,0.0288,-0.0601,0.1462,0.0758,0.2759,0.0948,0.2945,0.1504,0.2362,0.3331,0.2245,0.217,0.2593,0.2955,0.2653,0.3496,0.2529,0.3319,0.4181,0.3469,0.202,0.3469,,0.72,0.2742,0.393,0.3507,0.4316,0.311,0.4936,0.4601,0.405,0.3213,0.4674,0.345,0.3293,0.4831,0.7134,0.6472,0.5137,0.2703,0.6835,0.5912,0.4871,0.4517,0.6648,0.8676,0.606,0.7917,0.8658,0.8852,0.7092,0.9735,0.9652,1.3711,1.2018,1.2109,1.1938,1.3722,1.1302,1.2602,1.3635,1.6163,1.2879,2.1786,1.2786,1.7935,1.5288,1.6413,1.3217,1.7552,1.6144,1.7317,1.7276,1.4957,3.9154,0.4806,0.6086,1.1884,0.1536,1.9939,1.3067,1.6917,1.9519,1.324,1.9011,2.1696,
