UNH US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
"Net Income, GAAP",NET_INCOME,33.929,74.849,130.591,212.078,1665.214,285.964,356,460,-166,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5625,5619,5813,7017,10558,11986,13839,15403,17285,20120,22381
  - Preferred Dividends,IS_TOT_CASH_PFD_DVD,0,0,0,0,0,7.188,29,29,28,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Other Adjustments,OTHER_ADJUSTMENTS,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",EARN_FOR_COMMON,33.929,74.849,130.591,212.078,1665.214,278.776,327,431,-194,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5625,5619,5813,7017,10558,11986,13839,15403,17285,20120,22381
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Income Avail to Common, Adj",EARN_FOR_COMMON,33.929,74.849,130.591,212.078,1665.214,278.776,327,431,-194,568,736,913,1352,1825,2587,3083,4159,4654,2977,3822,4634,5142,5526,5625,5619,5813,7017,10558,11986,13839,15403,17285,20120,22381
  Net Abnormal Losses (Gains),IS_NET_ABNORMAL_ITEMS,,,,,,,,,,,,,,,,,,112,683,-7.15,144.05,-73.45,-101.4,-117.65,-137.15,-91.65,-107.9,-1250.95,0,0,0,0,0,0
  Net Extraordinary Losses (Gains),XO_GL_NET_OF_TAX,0,0,0,0,-1377.075,0,0,0,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Weighted Avg Shares,IS_AVG_NUM_SH_FOR_EPS,839.808,997.152,1328.728,2747.824,1401.672,1419.544,1456,1496,1528,1392.8,1296.8,1249.6,1213.6,1178,1252,1265,1344,1312,1214,1168,1120,1070,1027,1006,972,953,952,964,963,951,949,943,937,928
"Basic EPS, GAAP",IS_EPS,0.0403,0.075,0.0988,0.0769,1.1875,0.1963,0.225,0.2875,-0.14,0.4075,0.5675,0.73,1.115,1.55,2.065,2.44,3.09,3.55,2.45,3.27,4.14,4.81,5.38,5.59,5.78,6.1,7.37,10.95,12.45,14.55,16.23,18.33,21.47,24.12
"Basic EPS from Cont Ops, GAAP",IS_EARN_BEF_XO_ITEMS_PER_SH,0.0403,0.075,0.0988,0.0769,0.2075,0.1963,0.225,0.2875,-0.14,0.4075,0.5675,0.73,1.115,1.55,2.065,2.44,3.09,3.55,2.45,3.27,4.14,4.81,5.38,5.59,5.78,6.1,7.37,10.95,12.45,14.55,16.23,18.33,21.47,24.12
"Basic EPS from Cont Ops, Adjusted",IS_BASIC_EPS_CONT_OPS,0.0403,0.075,0.0988,0.0769,0.2075,0.1963,0.225,0.2875,0.3275,0.4075,0.5675,0.73,1.115,1.55,2.06,2.44,3.14,3.63,3,3.2661,4.2661,4.737,5.282,5.4745,5.6398,6.0035,7.2575,9.6546,12.45,14.55,16.23,18.33,21.47,24.12
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted Weighted Avg Shares,IS_SH_FOR_DILUTED_EPS,944.8,997.152,1328.728,2747.824,1401.672,1419.544,1488,1528,1528,1420,1346,1307.2,1272.4,1234,1312,1333,1402,1361,1241,1179,1131,1087,1046,1023,986,967,968,985,983,966,961,956,950,938
"Diluted EPS, GAAP",IS_DILUTED_EPS,0.0375,0.075,0.0988,0.0769,1.1875,0.1963,0.22,0.2825,-0.14,0.4,0.5475,0.6975,1.0625,1.48,1.97,2.31,2.97,3.42,2.4,3.24,4.1,4.73,5.28,5.5,5.7,6.01,7.25,10.72,12.19,14.33,16.03,18.08,21.18,23.86
"Diluted EPS from Cont Ops, GAAP",IS_DIL_EPS_BEF_XO,0.0375,0.075,0.0988,0.0769,0.2075,0.1963,0.22,0.2825,-0.14,0.4,0.5475,0.6975,1.0625,1.48,1.97,2.31,2.97,3.42,2.4,3.24,4.1,4.73,5.28,5.5,5.7,6.01,7.25,10.72,12.19,14.33,16.03,18.08,21.18,23.86
"Diluted EPS from Cont Ops, Adjusted",IS_DIL_EPS_CONT_OPS,0.0375,0.075,0.0988,0.0769,0.2075,0.1963,0.22,0.2825,0.3275,0.4,0.5475,0.6975,1.0625,1.48,1.965,2.31,3.02,3.5,2.95,3.2339,4.2274,4.6624,5.1831,5.385,5.5609,5.9152,7.1385,9.45,12.19,14.33,16.03,18.08,21.18,23.86
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,65.85,129.445,237.769,386.979,570.126,735.243,729.166,888,868,1176,1447,1831,2441,3234,4475,5533,7654,8645,6244,7350,8928,9588,10563,10998,11752,12714,14985,17454,19772,23405,26396,28273,33135,37730
EBITDA Margin (T12M),EBITDA_MARGIN,10.876,15.2804,10.8046,12.4223,15.1272,12.9652,7.2381,7.5293,5.0014,6.0117,6.8507,7.8068,9.7562,11.2202,12.0238,11.9181,10.6986,11.4608,7.691,8.4349,9.4822,9.4127,9.5491,8.9788,9.0072,8.0926,8.107,8.6767,8.7391,9.6653,10.2652,9.8308,10.2217,10.1528
EBIT,EBIT,55.206,115.106,207.306,336.351,506.047,640.785,596,742,683,943,1200,1566,2186,2935,4101,5080,6984,7849,5263,6359,7864,8464,9254,9623,10274,11021,12930,15209,17344,19685,22405,23970,28435,32358
Gross Margin,GROSS_MARGIN,36.6316,37.0038,28.28,28.2041,29.8703,30.6821,28.7274,27.5733,22.0801,23.1009,23.5158,24.7719,27.2902,28.1338,27.4545,27.2849,24.6499,25.4908,23.8305,23.0485,24.6381,24.6854,25.1939,24.4422,25.3039,23.5674,23.4722,23.3701,23.7997,23.7856,26.0557,24.2186,24.5609,24.4759
Operating Margin,OPER_MARGIN,9.118,13.5878,9.4203,10.7971,13.427,11.2996,5.9162,6.2913,3.9355,4.8206,5.6813,6.6769,8.737,10.1828,11.0189,10.9424,9.7621,10.4055,6.4826,7.2976,8.3522,8.3093,8.3657,7.8562,7.8744,7.015,6.9952,7.5607,7.666,8.1291,8.7131,8.3346,8.7718,8.7072
Profit Margin,PROF_MARGIN,5.6038,8.8356,5.9342,6.8078,44.1832,5.0427,3.5338,3.9003,-0.9565,2.9036,3.4845,3.8927,5.4037,6.3317,6.9509,6.6408,5.8134,6.1699,3.6669,4.3861,4.9217,5.048,4.9956,4.5922,4.3066,3.7,3.7963,5.2486,5.2977,5.7149,5.9901,6.0101,6.2068,6.0225
Sales per Employee,ACTUAL_SALES_PER_EMPL,208780.6897,264728.125,458465.8333,479261.8462,392591.875,198978.1754,362374.1007,398445.9459,593820.5707,674551.7241,704066.6667,781800,781875,873424.2424,930450,844090.9091,1233482.7586,1125835.8209,1082480,,1082241.3793,,,,767494.1176,785535,803652.1739,773688.4615,754156.6667,745092.3077,779215.1515,821705.7143,810405,844595.4545
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,36.4751,33.6828,25.1758,23.5103,85.8166,9.3182,9.3281,10.3146,-4.5264,14.3779,19.4941,24.0929,32.5039,38.1959,32.6538,21.6108,21.5353,22.773,14.5778,17.2216,18.7494,19.0033,18.5842,17.7649,17.3955,17.5397,19.4636,24.5392,24.0992,25.3202,25.0238,25.1874,26.9106,26.8796
Return on Assets,RETURN_ON_ASSET,12.7966,17.2616,15.5769,14.6761,63.1141,5.9264,5.4113,6.2929,-1.9164,5.6874,6.9024,7.7573,10.1463,11.4787,11.3682,8.9147,9.2827,9.3813,5.5794,6.6551,7.59,7.8533,7.4287,6.9117,6.6788,5.8825,5.9958,8.0636,8.2299,8.4873,8.2995,8.4421,8.7877,8.6176
Return on Capital,RETURN_ON_CAP,28.8021,33.2755,25.7212,23.8671,85.7767,8.8945,8.811,9.7801,,12.4819,16.0369,18.7293,24.1779,28.3701,24.4459,16.3256,16.7351,16.8546,10.4829,12.2441,13.7594,14.2223,13.5009,12.6335,12.094,10.779,11.1265,15.1599,15.263,15.6212,15.1238,15.5389,16.1696,16.3251
Return on Invested Capital,RETURN_ON_INV_CAPITAL,26.8208,31.9326,25.5341,23.7299,16.0498,12.7414,9.0384,9.7801,,12.7842,16.7343,20.1473,23.9723,26.4987,23.6555,16.1335,16.6346,16.5601,10.2197,12.0076,13.4763,13.8614,13.0194,12.1646,11.6999,10.3527,10.6401,14.5855,14.7605,15.114,14.6133,15.0138,15.7209,15.9374
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,36.6316,37.0038,28.28,28.2041,29.8703,30.6821,28.7274,27.5733,22.0801,23.1009,23.5158,24.7719,27.2902,28.1338,27.4545,27.2849,24.6499,25.4908,23.8305,23.0485,24.6381,24.6854,25.1939,24.4422,25.3039,23.5674,23.4722,23.3701,23.7997,23.7856,26.0557,24.2186,24.5609,24.4759
Operating Margin,OPER_MARGIN,9.118,13.5878,9.4203,10.7971,13.427,11.2996,5.9162,6.2913,3.9355,4.8206,5.6813,6.6769,8.737,10.1828,11.0189,10.9424,9.7621,10.4055,6.4826,7.2976,8.3522,8.3093,8.3657,7.8562,7.8744,7.015,6.9952,7.5607,7.666,8.1291,8.7131,8.3346,8.7718,8.7072
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,15.1692,24.7863,6.8119,14.11,25.9601,7.084,,8.4884,,11.7807,16.4744,15.6947,39.5913,19.695,13.8892,10.6332,7.5805,22.2422,,18.414,21.4479,7.7851,9.0224,3.1084,8.1528,2.8048,6.8835,13.9653,8.51,14.7159,18.1503,5.1386,12.2111,8.2659
Pretax Margin,PRETAX_INC_TO_NET_SALES,8.5662,13.4408,9.2852,10.7033,12.416,8.5739,5.7673,6.2913,-0.2651,4.5701,5.4682,6.2761,8.3773,9.8532,10.6749,10.4233,9.1247,9.6843,5.6956,6.6653,7.8413,7.8135,7.7944,7.2782,7.4007,6.5121,6.418,6.9711,7.0472,7.4254,8.0664,7.7574,8.1265,7.8338
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,5.6537,8.871,6.0107,6.8711,7.6978,5.5726,3.5338,3.9003,-0.9565,2.9036,3.4845,3.8927,5.4037,6.3317,6.9509,6.6408,5.8134,6.1699,3.6669,4.3861,4.9217,5.048,4.9956,4.6314,4.3066,3.735,3.8266,5.3803,5.4728,5.8801,6.1324,6.1656,6.3669,6.2278
Net Income Margin,PROF_MARGIN,5.6038,8.8356,5.9342,6.8078,44.1832,5.0427,3.5338,3.9003,-0.9565,2.9036,3.4845,3.8927,5.4037,6.3317,6.9509,6.6408,5.8134,6.1699,3.6669,4.3861,4.9217,5.048,4.9956,4.5922,4.3066,3.7,3.7963,5.2486,5.2977,5.7149,5.9901,6.0101,6.2068,6.0225
Net Income to Common Margin,NET_INCOME_TO_COMMON_MARGIN,5.6038,8.8356,5.9342,6.8078,44.1832,4.9159,3.246,3.6544,-1.1178,2.9036,3.4845,3.8927,5.4037,6.3317,6.9509,6.6408,5.8134,6.1699,3.6669,4.3861,4.9217,5.048,4.9956,4.5922,4.3066,3.7,3.7963,5.2486,5.2977,5.7149,5.9901,6.0101,6.2068,6.0225
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effective Tax Rate,EFF_TAX_RATE,33.9998,33.9994,35.2658,35.8035,38.0007,35.0059,38.7263,38.0054,,36.4653,36.2771,37.9755,35.4962,35.7394,34.8855,36.2885,36.2898,36.2902,35.6185,34.1942,37.2342,35.3939,35.9081,36.3657,41.8082,42.6449,40.3776,22.8197,22.3407,20.8109,23.9755,20.5199,21.6528,20.5001
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Financial Materiality Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESG ESG Score,ESG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,3.17,3.52,3.52,3.57,3.69,6.04,6.41,
BESG Environmental Pillar Score,ENVIRONMENTAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.47,2.9,3.08,3.13,3.1,5.78,5.18,
BESG Social Pillar Score,SOCIAL_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1.67,1.66,1.68,1.67,1.7,1.98,4.93,5.48,
BESG Governance Pillar Score,GOVERNANCE_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,7.59,7.32,7.92,7.9,7.98,7.7,8.18,8.56,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Scores,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESG Disclosure Score,ESG_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,31.6165,32.9444,31.0432,29.8059,29.9467,31.0432,31.2041,33.8698,40.3179,48.2446,50.5482,53.6868,55.7288,57.7105,57.9318,56.3122,
Environmental Disclosure Score,ENVIRON_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,1.7215,3.141,0,0,0.4228,0,0.4832,5.2552,21.6249,36.3334,42.6155,42.6155,42.6155,45.9982,46.6626,41.8001,
Social Disclosure Score,SOCIAL_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,9.9154,12.4849,9.9154,6.1971,6.1971,9.9154,9.9154,13.1499,14.1778,23.2769,23.9117,27.0556,33.1923,35.7618,35.7618,35.7618,
Governance Disclosure Score,GOVNCE_DISCLOSURE_SCORE,,,,,,,,,,,,,,,,,,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,83.0223,84.9789,84.9789,84.9789,91.2402,91.2402,91.2402,91.2402,91.2402,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Quality,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Oxide Emissions,NOX_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOC Emissions,VOC_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particulate Emissions,PARTICULATE_EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulphur Dioxide / Sulphur Oxide Emissions,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Change,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emissions Reduction Initiatives,EMISSION_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Transition Plan Claim,TRANSITION_PLAN_INDICATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Climate Change Policy,CLIMATE_CHG_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Climate Change Opportunities Discussed,CLIMATE_CHG_OPPORTUNITIES,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Risks of Climate Change Discussed,CLIMATE_RISKS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GHG Scope 1,GHG_SCOPE_1,,,,,,,,,,,,,,,,,,,7.36,,,,,,,16.567,15.838,16.57,13.924,17.709,24.487,131.593,134.165,139.361
GHG Scope 2 Location-Based,GHG_SCOPE_2_LOCATION_BASED,,,,,,,,,,,,,,,,,,,,,,,,,,194.299,173.329,191.64,157.029,153.004,156.751,389.057,383.084,413.101
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Efficiency Policy,ENERGY_EFFIC_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Total Energy Consumption,ENERGY_CONSUMPTION,,,,,,,,,,,,,,,,,,282.67,229.659,,,,,,,372.206,372.857,366.475,364.678,375.673,381.692,1563.28,1656.62,1782.85
Electricity Used,ELECTRICITY_USED,,,,,,,,,,,,,,,,,,,,,,,,,,311.067,312.833,305.824,305.63,304.492,314.318,913.725,1168.09,
Fuel Used - Natural Gas,NAT_GAS_USED,,,,,,,,,,,,,,,,,,,,,,,,,,4841.95,4489.07,4679.8,4761.73,4426.26,4632.57,16666.5,,
Fuel Used - Crude Oil/Diesel,OIL_DIESEL_USED,,,,,,,,,,,,,,,,,,,,,,,,,,1.314,1.559,1.429,1.182,2.616,1.768,0.043,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Materials & Waste,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waste Reduction Policy,WASTE_REDUCTION,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Hazardous Waste,HAZARDOUS_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Waste,TOTAL_WASTE,,,,,,,,,,,,,,,,,,,,,,,,,13.426,12.885,13.487,15.898,15.521,15.361,14.366,17.577,100.027,85.91
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental Supply Chain Management,ENVIRON_SUPPLY_MGT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Policy,WATER_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Total Water Withdrawal,TOTAL_WATER_WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,690,942.929,816.218,736.817,650,560,1250,1810,990
Total Water Discharged,TOTAL_WATER_DISCHARGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.012,406.001,497.291,434.563
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecological & Biodiversity Impacts,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biodiversity Policy,BIODIVERSITY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Adopts TNFD Recommendations,ADOPT_TNFD_RECOMMENDATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Zero Deforestation Policy,ZERO_DEFORESTATION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Board Level Oversight of Biodiversity,BOARD_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Executive Level Oversight of Biodiversity,EXEC_LEVEL_OVERSIGHT_BIODIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community & Customers,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Rights Policy,HUMAN_RIGHTS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Policy Against Child Labor,POLICY_AGAINST_CHILD_LABOR,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Quality Assurance and Recall Policy,QUALITY_ASSURANCE_AND_RECALL_POL,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,
Consumer Data Protection Policy,CONSUMER_DATA_PROTECTION_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1
Community Spending,COMMUNITY_SPENDING,,,,,,,,,,,,,,,,,,9.025,33.2,55,,,60.3,,,58,70,78.9,62,70,58,122,95.8,95
Number of Customer Complaints,CUSTOMER_COMPLAINTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diversity,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equal Opportunity Policy,EQUAL_OPPORTUNITY_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Gender Pay Gap Breakout,GENDER_PAY_GAP_BREAKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,1,1,1
Pct Women in Senior Management,PCT_WOMEN_SENIOR_MGT,,,,,,,,,,,,,,,,,,,,,,,,,,,55,56,55,55,37,38,40,40
Pct Women in Middle and or Other Management,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,62,63,62,62,62,64,67,68
Pct Women in Workforce,PCT_WOMEN_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,66,69,66,69,70,70,71,70
Pct Minorities in Workforce,PCT_MINORITY_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,40,41,42,45,45
Pct Disabled in Workforce,PCT_DISABLED_IN_WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethics & Compliance,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Ethics Policy,ETHICS_POLICY,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anti-Bribery Ethics Policy,ANTI_BRIBERY_ETHICS_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Safety,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Safety Policy,HEALTH_SAFETY_POLICY,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Fatalities - Employees,FATALITIES_EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Time Incident Rate - Employees,LOST_TIME_INCIDENT_RATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human Capital,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Policy,TRAINING_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Fair Remuneration Policy,FAIR_REMUNERATION_POLICY,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Number of Employees - CSR,NUMBER_EMPLOYEES_CSR,,,,,,,,,,,,,,,,,,67000,75000,80000,87000,99000,133000,156000,170000,200000,230000,260000,300000,325000,330000,350000,400000,440000
Employee Turnover Pct,EMPLOYEE_TURNOVER_PCT,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,13,20,20,15
Employee Training Cost,EMPLOYEE_TRAINING_COST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,313.5,350,448,457.16
Total Hours Spent by Firm - Employee Training,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,12420000,10920000,10500000,9100000,6270000,12950000,16000000,13200000
Company Discloses Employee Engagement Score,COMP_DISCLOSES_EMP_ENG_SCORE,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply Chain,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social Supply Chain Management,SOCIAL_SUPPLY_CHAIN_MGMT,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
